Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2000-01-03;2.0;124.0;248.0;2.0;2.0;2.0;2.0;2.0
2000-01-13;1.0;40.0;130.0;3.25;3.25;3.25;3.25;3.25
2000-01-14;1.0;120.0;450.0;3.75;3.75;3.75;3.75;3.75
2000-01-17;1.0;32.0;120.0;3.75;3.75;3.75;3.75;3.75
2000-01-19;3.0;200.0;700.0;3.5;3.5;3.5;3.5;3.5
2000-01-26;2.0;2248.0;7868.0;3.5;3.5;3.5;3.5;3.5
2000-01-31;2.0;40.0;160.0;4.0;4.0;4.0;4.0;4.0
2000-02-07;5.0;532.0;2487.0;5.25;3.75;3.75;5.25;4.75
2000-02-08;2.0;84.0;483.0;5.75;5.75;5.75;5.75;5.75
2000-02-09;3.0;148.0;869.0;5.75;5.75;5.75;6.25;5.75
2000-02-11;5.0;2160.0;12420.0;5.75;5.75;5.75;5.75;5.75
2000-02-14;2.0;220.0;1265.0;5.75;5.75;5.75;5.75;5.75
2000-02-23;3.0;2280.0;6840.0;3.0;3.0;3.0;3.0;3.0
2000-02-24;9.0;4688.0;15446.0;5.0;3.0;3.0;5.0;3.25
2000-02-25;4.0;260.0;1480.0;6.5;5.0;5.0;6.5;5.75
2000-02-28;1.0;120.0;780.0;6.5;6.5;6.5;6.5;6.5
2000-02-29;1.0;12.0;78.0;6.5;6.5;6.5;6.5;6.5
2000-03-02;1.0;60.0;450.0;7.5;7.5;7.5;7.5;7.5
2000-04-05;1.0;8.0;100.0;12.5;12.5;12.5;12.5;12.5
2000-04-06;2.0;364.0;2729.0;7.5;7.25;7.25;7.5;7.5
2000-04-28;1.0;20.0;100.0;5.0;5.0;5.0;5.0;5.0
2000-05-03;1.0;180.0;900.0;5.0;5.0;5.0;5.0;5.0
2000-05-10;3.0;956.0;3585.0;3.75;3.75;3.75;3.75;3.75
2000-05-11;1.0;20.0;120.0;6.0;6.0;6.0;6.0;6.0
2000-05-15;3.0;660.0;3300.0;5.0;5.0;5.0;5.0;5.0
2000-05-16;5.0;132.0;825.0;6.25;6.25;6.25;6.25;6.25
2000-05-25;4.0;304.0;2425.0;8.0;6.25;6.25;8.0;8.0
2000-05-26;3.0;136.0;1360.0;10.0;10.0;10.0;10.0;10.0
2000-05-29;2.0;40.0;400.0;10.0;10.0;10.0;10.0;10.0
2000-06-01;2.0;280.0;2310.0;8.25;8.25;8.25;8.25;8.25
2000-06-02;1.0;40.0;380.0;9.5;9.5;9.5;9.5;9.5
2000-06-06;1.0;96.0;1104.0;11.5;11.5;11.5;11.5;11.5
2000-06-08;1.0;20.0;250.0;12.5;12.5;12.5;12.5;12.5
2000-06-12;3.0;80.0;998.0;12.5;12.25;12.25;12.5;12.5
2000-06-15;1.0;116.0;1450.0;12.5;12.5;12.5;12.5;12.5
2000-06-16;1.0;4.0;30.0;7.5;7.5;7.5;7.5;7.5
2000-06-30;1.0;80.0;700.0;8.75;8.75;8.75;8.75;8.75
2000-07-03;1.0;60.0;450.0;7.5;7.5;7.5;7.5;7.5
2000-07-05;1.0;156.0;1170.0;7.5;7.5;7.5;7.5;7.5
2000-07-07;1.0;40.0;350.0;8.75;8.75;8.75;8.75;8.75
2000-07-11;1.0;64.0;480.0;7.5;7.5;7.5;7.5;7.5
2000-07-13;1.0;76.0;703.0;9.25;9.25;9.25;9.25;9.25
2000-07-14;1.0;4.0;35.0;8.75;8.75;8.75;8.75;8.75
2000-07-18;1.0;44.0;418.0;9.5;9.5;9.5;9.5;9.5
2000-07-19;4.0;428.0;5350.0;12.5;12.5;12.5;12.5;12.5
2000-07-27;1.0;4.0;55.0;13.75;13.75;13.75;13.75;13.75
2000-08-01;1.0;136.0;1700.0;12.5;12.5;12.5;12.5;12.5
2000-08-03;2.0;20.0;155.0;7.75;7.75;7.75;7.75;7.75
2000-08-04;2.0;52.0;650.0;12.5;12.5;12.5;12.5;12.5
2000-08-08;2.0;60.0;790.0;15.0;12.5;12.5;15.0;13.25
2000-08-18;1.0;40.0;600.0;15.0;15.0;15.0;15.0;15.0
2000-08-21;1.0;8.0;120.0;15.0;15.0;15.0;15.0;15.0
2000-08-30;2.0;40.0;450.0;11.25;11.25;11.25;11.25;11.25
2000-09-04;1.0;40.0;450.0;11.25;11.25;11.25;11.25;11.25
2000-09-05;3.0;164.0;1876.0;11.25;11.5;11.25;11.5;11.5
2000-09-12;3.0;192.0;2160.0;11.25;11.25;11.25;11.25;11.25
2000-09-18;1.0;20.0;225.0;11.25;11.25;11.25;11.25;11.25
2000-09-19;2.0;224.0;2520.0;11.25;11.25;11.25;11.25;11.25
2000-10-31;1.0;400.0;4000.0;10.0;10.0;10.0;10.0;10.0
2000-12-07;2.0;404.0;4242.0;10.5;10.5;10.5;10.5;10.5
2000-12-08;1.0;4.0;42.0;10.5;10.5;10.5;10.5;10.5
2001-01-02;1.0;60.0;600.0;10.0;10.0;10.0;10.0;10.0
2001-01-03;1.0;20.0;200.0;10.0;10.0;10.0;10.0;10.0
2001-01-09;2.0;52.0;650.0;12.5;12.5;12.5;12.5;12.5
2001-01-11;1.0;40.0;400.0;10.0;10.0;10.0;10.0;10.0
2001-01-12;2.0;40.0;400.0;10.0;10.0;10.0;10.0;10.0
2001-01-23;2.0;244.0;3050.0;12.5;12.5;12.5;12.5;12.5
2001-01-30;1.0;16.0;240.0;15.0;15.0;15.0;15.0;15.0
2001-02-02;2.0;8.0;130.0;17.5;15.0;15.0;17.5;16.25
2001-02-09;1.0;52.0;910.0;17.5;17.5;17.5;17.5;17.5
2001-03-02;1.0;52.0;819.0;15.75;15.75;15.75;15.75;15.75
2001-04-10;1.0;4.0;49.0;12.25;12.25;12.25;12.25;12.25
2001-04-18;1.0;20.0;345.0;17.25;17.25;17.25;17.25;17.25
2001-04-19;2.0;120.0;2071.0;17.5;17.25;17.25;17.5;17.25
2001-04-23;2.0;12800.0;208000.0;16.25;16.25;16.25;16.25;16.25
2001-04-24;1.0;76.0;1330.0;17.5;17.5;17.5;17.5;17.5
2001-04-25;3.0;1000.0;18750.0;18.75;18.75;18.75;18.75;18.75
2001-05-10;2.0;404.0;7474.0;18.5;18.5;18.5;18.5;18.5
2001-10-18;2.0;44.0;550.0;12.5;12.5;12.5;12.5;12.5
2001-10-23;1.0;20.0;350.0;17.5;17.5;17.5;17.5;17.5
2001-11-12;2.0;80.0;1400.0;17.5;17.5;17.5;17.5;17.5
2001-11-30;2.0;44.0;836.0;19.0;19.0;19.0;19.0;19.0
2001-12-26;1.0;4.0;50.0;12.5;12.5;12.5;12.5;12.5
2002-01-15;1.0;76.0;798.0;10.5;10.5;10.5;10.5;10.5
2002-01-17;2.0;76.0;1425.0;18.75;18.75;18.75;18.75;18.75
2002-06-11;1.0;8.0;200.0;25.0;25.0;25.0;25.0;25.0
2002-08-22;2.0;32.0;680.0;21.25;21.25;21.25;21.25;21.25
2002-08-23;1.0;4.0;150.0;37.5;37.5;37.5;37.5;37.5
2002-08-26;1.0;4.0;200.0;50.0;50.0;50.0;50.0;50.0
2003-08-01;1.0;4.0;22.0;5.5;5.5;5.5;5.5;5.5
2003-08-27;1.0;4.0;14.0;3.5;3.5;3.5;3.5;3.5
2003-08-28;1.0;4.0;23.0;5.75;5.75;5.75;5.75;5.75
2003-09-03;2.0;12.0;267.0;22.25;22.25;22.25;22.25;22.25
2003-12-05;3.0;184.0;2254.0;12.25;12.25;12.25;12.25;12.25
2004-02-18;2.0;8.0;88.0;11.0;11.0;11.0;11.0;11.0
2004-02-27;2.0;12.0;75.0;6.25;6.25;6.25;6.25;6.25
2004-03-22;1.0;800.0;5200.0;6.5;6.5;6.5;6.5;6.5
2004-03-26;1.0;12.0;78.0;6.5;6.5;6.5;6.5;6.5
2004-04-05;1.0;12.0;78.0;6.5;6.5;6.5;6.5;6.5
2004-04-06;1.0;12.0;78.0;6.5;6.5;6.5;6.5;6.5
2004-04-12;1.0;20.0;125.0;6.25;6.25;6.25;6.25;6.25
2004-05-05;3.0;320.0;1620.0;5.0;5.5;5.0;5.5;5.0
2004-06-07;3.0;2120.0;12190.0;5.75;5.75;5.75;5.75;5.75
2004-07-29;6.0;1100.0;5195.0;4.5;4.75;4.5;4.75;4.75
2004-07-30;13.0;4320.0;21123.0;5.0;4.75;4.75;5.75;5.0
2004-08-02;7.0;1104.0;6355.0;5.5;5.75;5.5;6.0;5.75
2004-08-03;3.0;2056.0;13850.0;6.75;6.25;6.25;6.75;6.75
2004-08-04;6.0;4720.0;34000.0;7.5;7.0;7.0;7.5;7.25
2004-08-09;1.0;4.0;28.0;7.0;7.0;7.0;7.0;7.0
2004-08-18;1.0;152.0;988.0;6.5;6.5;6.5;6.5;6.5
2004-08-19;1.0;16.0;108.0;6.75;6.75;6.75;6.75;6.75
2004-08-25;1.0;8.0;56.0;7.0;7.0;7.0;7.0;7.0
2004-08-27;1.0;452.0;2825.0;6.25;6.25;6.25;6.25;6.25
2004-09-06;4.0;244.0;2928.0;12.0;12.0;12.0;12.0;12.0
2004-09-08;2.0;36.0;449.0;12.5;12.25;12.25;12.5;12.5
2004-09-15;2.0;616.0;6930.0;11.25;11.25;11.25;11.25;11.25
2004-09-16;6.0;804.0;9304.0;13.5;11.0;11.0;13.5;11.5
2004-09-17;5.0;484.0;6740.0;15.0;13.75;13.75;15.0;14.0
2004-09-20;2.0;1124.0;16860.0;15.0;15.0;15.0;15.0;15.0
2004-09-21;3.0;864.0;13010.0;16.25;15.0;15.0;16.25;15.0
2004-09-22;3.0;84.0;1460.0;15.0;17.5;15.0;17.5;17.5
2004-09-23;1.0;120.0;1800.0;15.0;15.0;15.0;15.0;15.0
2004-09-24;2.0;156.0;2340.0;15.0;15.0;15.0;15.0;15.0
2004-10-04;1.0;80.0;1200.0;15.0;15.0;15.0;15.0;15.0
2004-10-07;5.0;92.0;1875.0;21.75;20.0;20.0;21.75;20.5
2004-10-18;1.0;144.0;3240.0;22.5;22.5;22.5;22.5;22.5
2004-11-01;2.0;12.0;294.0;24.5;24.5;24.5;24.5;24.5
2004-11-25;5.0;36.0;882.0;24.5;24.5;24.5;24.5;24.5
2004-11-26;11.0;1644.0;30424.0;18.5;18.5;18.5;18.75;18.5
