Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2004-05-25;0.0;0.0;0.0;1.9727863338;1.9727863338;1.9727863338;1.9727863338;1.9727863338
2004-05-26;1464.0;39385000.0;159519277.0;2.2808652955;2.1619576261;2.1089896642;2.324104448;2.1889820964
2004-05-27;843.0;13940000.0;59216779.0;2.3078897658;2.3181590645;2.2700555074;2.3403191302;2.2959989989
2004-05-28;340.0;3556000.0;15349351.0;2.3403191302;2.324104448;2.324104448;2.3511289183;2.3327522785
2004-05-31;181.0;970000.0;4062902.0;2.3078897658;2.3138351493;2.2268163548;2.3203210222;2.2641101239
2004-06-01;202.0;6867000.0;29121673.0;2.3024848718;2.2484359311;2.2484359311;2.3024848718;2.292215573
2004-06-02;248.0;3996000.0;17181962.0;2.3511289183;2.2970799777;2.2970799777;2.3511289183;2.324104448
2004-06-03;313.0;4173000.0;18671074.0;2.4538219056;2.3349142361;2.3273473845;2.4835488229;2.4181496047
2004-06-04;292.0;2624000.0;12135515.0;2.491656164;2.4322023293;2.4322023293;2.5884037678;2.4997635051
2004-06-07;112.0;833000.0;3835874.0;2.491656164;2.5403002106;2.4808463759;2.5403002106;2.488953717
2004-06-08;184.0;2112000.0;9448144.0;2.4213925412;2.48625127;2.405177859;2.48625127;2.4181496047
2004-06-09;162.0;929000.0;4185993.0;2.4457145645;2.3781533887;2.3673436005;2.4619292467;2.4354452658
2004-06-11;34.0;67000.0;302036.0;2.48625127;2.3927466026;2.3927466026;2.48625127;2.4365262446
2004-06-14;263.0;2341000.0;10685840.0;2.5284094437;2.4322023293;2.4322023293;2.5348953166;2.4673341407
2004-06-15;233.0;3292000.0;15765043.0;2.5781344691;2.5132757403;2.5132757403;2.6105638335;2.5884037678
2004-06-16;116.0;774000.0;3638267.0;2.5403002106;2.5673246809;2.48625127;2.5781344691;2.5408407
2004-06-17;71.0;2932000.0;13664859.0;2.5024659522;2.5024659522;2.5024659522;2.5430026577;2.5192211238
2004-06-18;64.0;238000.0;1095330.0;2.5105732933;2.48625127;2.48625127;2.5105732933;2.4873322488
2004-06-21;96.0;577000.0;2676370.0;2.4867917594;2.5132757403;2.48625127;2.5386787424;2.5067898674
2004-06-22;68.0;4762000.0;21905960.0;2.4911156746;2.4857107806;2.4808463759;2.4970610581;2.48625127
2004-06-23;116.0;1062000.0;4892610.0;2.5051683992;2.48625127;2.4694960984;2.5132757403;2.4900346958
2004-06-24;90.0;484000.0;2268067.0;2.5673246809;2.48625127;2.48625127;2.5673246809;2.5327333589
2004-06-25;46.0;1298000.0;6105687.0;2.5538124458;2.5403002106;2.5403002106;2.5673246809;2.5424621682
2004-06-28;46.0;726000.0;3430853.0;2.5673246809;2.5565148928;2.5403002106;2.5673246809;2.5543529352
2004-06-29;211.0;2995000.0;14353366.0;2.6105638335;2.5457051047;2.5457051047;2.6186711746;2.590025236
2004-06-30;92.0;1311000.0;6522147.0;2.6965016491;2.5673246809;2.5673246809;2.7024470326;2.6889347974
2004-07-01;106.0;648000.0;3239812.0;2.7024470326;2.6916372444;2.6754225623;2.8370288948;2.7024470326
2004-07-02;51.0;298000.0;1488964.0;2.7019065432;2.7024470326;2.6754225623;2.7046089902;2.7008255644
2004-07-05;60.0;313000.0;1524663.0;2.6321834097;2.6483980919;2.6159687275;2.6483980919;2.6327238991
2004-07-06;114.0;1247000.0;6097829.0;2.6700176682;2.6213736216;2.5943491513;2.6754225623;2.6429931979
2004-07-07;121.0;1745000.0;8704639.0;2.6975826279;2.6970421385;2.6321834097;2.7294715029;2.6959611597
