Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2019-06-28;0.0;0.0;0.0;11.681782537;11.681782537;11.681782537;11.681782537;11.681782537
2019-07-01;51708.0;59343300.0;1005674104.0;12.659618647;12.584974669;12.540188282;12.876086183;12.644689851
2019-07-02;28411.0;15665900.0;273239116.0;13.18959089;12.801442205;12.689476238;13.249306072;13.017909741
2019-07-03;11620.0;10741700.0;191488156.0;13.271699265;13.211984083;13.070160525;13.420987221;13.301556857
2019-07-04;6719.0;3785600.0;66684605.0;13.422198478;13.391865826;13.194703588;13.482863782;13.353950011
2019-07-05;7240.0;3336500.0;58686082.0;13.399448989;13.422198478;13.232619403;13.422198478;13.331200522
2019-07-08;3454.0;2872800.0;50826770.0;13.490446945;13.407032152;13.316034196;13.513196434;13.414615315
2019-07-10;10457.0;7661000.0;137316147.0;13.748274486;13.535945923;13.429781641;13.793773464;13.589028063
2019-07-11;6938.0;2689300.0;48523944.0;13.611777552;13.763440812;13.513196434;13.915104072;13.680026019
2019-07-12;3776.0;2351700.0;42216172.0;13.573861737;13.649693367;13.513196434;13.725524997;13.611777552
2019-07-15;4380.0;2770900.0;49673148.0;13.498030108;13.649693367;13.353950011;13.680026019;13.589028063
2019-07-16;2258.0;4221400.0;74997756.0;13.566278575;13.558695412;13.384282663;13.566278575;13.467697456
2019-07-17;4507.0;2578300.0;45974259.0;13.566278575;13.558695412;13.490446945;13.566278575;13.520779597
2019-07-18;2470.0;2732400.0;48970938.0;13.611777552;13.520779597;13.520779597;13.642110204;13.589028063
2019-07-19;3201.0;1736800.0;31067628.0;13.596611226;13.5814449;13.52836276;13.611777552;13.558695412
2019-07-22;5469.0;3546400.0;62774660.0;13.422198478;13.596611226;13.232619403;13.611777552;13.422198478
2019-07-23;2774.0;1775300.0;31395211.0;13.460114293;13.422198478;13.270535218;13.535945923;13.407032152
2019-07-24;6892.0;6799700.0;120874922.0;13.422198478;13.65727653;13.346366848;13.680026019;13.475280619
2019-07-25;2667.0;2381200.0;41788309.0;13.3766995;13.45253113;13.217453077;13.45253113;13.30086787
2019-07-26;3905.0;2587900.0;45843166.0;13.460114293;13.3766995;13.293284707;13.482863782;13.429781641
2019-07-29;4800.0;3387200.0;59853478.0;13.460114293;13.45253113;13.255368892;13.52836276;13.399448989
2019-07-30;5260.0;2394200.0;42231085.0;13.649693367;13.45253113;13.278118381;13.649693367;13.369116337
2019-07-31;9603.0;3401400.0;61524653.0;13.831689279;13.589028063;13.482863782;13.877188257;13.710358671
2019-08-01;14296.0;6532200.0;122644592.0;14.31701171;13.846855605;13.846855605;14.408009666;14.233596917
2019-08-02;6814.0;3449100.0;66121056.0;14.82508363;14.370093851;14.263929569;14.900915259;14.536923436
2019-08-05;8985.0;5213100.0;100897241.0;14.787167815;14.52175711;14.408009666;14.787167815;14.67342037
2019-08-06;6621.0;3101600.0;61418170.0;15.090494334;14.787167815;14.787167815;15.272490245;15.014662704
2019-08-07;7206.0;4156200.0;83935517.0;15.659231558;15.075328008;14.923664748;15.727480024;15.31040606
2019-08-08;10002.0;5529800.0;117841181.0;16.129387663;15.621315743;15.553067276;16.667792235;16.159720315
2019-08-09;5413.0;2487900.0;53106231.0;16.303800411;15.992890729;15.992890729;16.493379486;16.182469804
2019-08-12;10528.0;4321000.0;91000816.0;16.068722359;16.083888685;15.628898906;16.417547856;15.97014124
2019-08-13;7031.0;2045500.0;43405517.0;16.227968782;16.083888685;15.89430961;16.227968782;16.091471848
2019-08-14;9957.0;3349700.0;70140800.0;15.985307566;16.114221337;15.431736668;16.288634086;15.871560121
2019-08-15;4938.0;1768600.0;36724468.0;15.772979002;16.068722359;15.499985135;16.212802456;15.74264635
2019-08-16;6104.0;2775800.0;58493971.0;16.114221337;16.076305522;15.765395839;16.288634086;15.977724403
2019-08-19;7475.0;2737800.0;57605334.0;16.076305522;16.227968782;15.780562165;16.447880508;15.954974914
2019-08-20;3785.0;1587200.0;33443260.0;16.023223381;16.212802456;15.810894817;16.265884597;15.977724403
2019-08-21;6343.0;2791700.0;58804396.0;15.924642262;16.076305522;15.871560121;16.227968782;15.97014124
2019-08-22;6142.0;5396000.0;111848767.0;15.735063187;15.97014124;15.583399928;16.030806544;15.712313698
2019-08-23;10045.0;8429100.0;173144445.0;15.583399928;15.68956421;15.196658616;15.863976958;15.575816765
2019-08-26;9334.0;1623400.0;33046581.0;15.530317787;15.757812676;15.098077497;15.757812676;15.431736668
2019-08-27;6822.0;1569200.0;31944475.0;15.545484113;15.606149417;15.189075453;15.712313698;15.431736668
2019-08-28;3581.0;2345100.0;47740796.0;15.545484113;15.522734624;15.280073408;15.545484113;15.431736668
2019-08-29;4604.0;5799800.0;118764736.0;15.68956421;15.621315743;15.46206932;15.712313698;15.522734624
2019-08-30;4018.0;2309500.0;47998467.0;15.780562165;15.719896861;15.469652483;15.932225425;15.757812676
2019-09-02;4609.0;5215300.0;106592276.0;15.545484113;15.772979002;15.431736668;15.886726447;15.492401972
2019-09-03;7859.0;2534500.0;51375918.0;15.469652483;15.469652483;15.189075453;15.68956421;15.371071364
2019-09-04;5073.0;4812600.0;98346604.0;15.621315743;15.568233602;15.401404016;15.621315743;15.492401972
2019-09-05;5639.0;3003000.0;61751019.0;15.53790095;15.61373258;15.469652483;15.795728491;15.590983091
2019-09-06;7542.0;3436500.0;69367217.0;15.280073408;15.651648395;15.090494334;15.659231558;15.302822897
2019-09-09;11130.0;4926400.0;95167771.0;14.847833118;15.287656571;14.286679058;15.393820853;14.643087718
2019-09-10;7599.0;5311000.0;103036547.0;15.067744845;14.847833118;14.408009666;15.067744845;14.711336185
2019-09-11;7772.0;3913300.0;79278283.0;15.545484113;15.151159638;15.075328008;15.545484113;15.355905038
2019-09-12;6293.0;2384400.0;49400976.0;15.681981047;15.61373258;15.401404016;15.917059099;15.704730535
2019-09-13;5258.0;2873200.0;58544488.0;15.590983091;15.727480024;15.317989223;15.727480024;15.446902994
2019-09-16;4319.0;1576000.0;31908398.0;15.325572386;15.61373258;15.287656571;15.61373258;15.348321875
2019-09-17;6904.0;4958400.0;99005822.0;15.204241779;15.204241779;15.02982903;15.287656571;15.135993312
2019-09-18;5438.0;2854500.0;56867047.0;15.158742801;15.189075453;15.014662704;15.204241779;15.10566066
2019-09-19;4400.0;4797400.0;96744573.0;15.363488201;15.317989223;15.158742801;15.363488201;15.287656571
2019-09-20;5049.0;3211300.0;65470544.0;15.530317787;15.393820853;15.287656571;15.68956421;15.454486157
2019-09-23;4811.0;1238000.0;25123351.0;15.469652483;15.515151461;15.287656571;15.515151461;15.38623769
2019-09-24;5044.0;1790500.0;36274049.0;15.46206932;15.46206932;15.219408105;15.499985135;15.355905038
2019-09-25;4216.0;938400.0;19079407.0;15.530317787;15.363488201;15.272490245;15.530317787;15.416570342
2019-09-26;9681.0;2400800.0;49145354.0;15.530317787;15.484818809;15.340738712;15.621315743;15.522734624
2019-09-27;3671.0;1191100.0;24210292.0;15.401404016;15.499985135;15.363488201;15.545484113;15.408987179
2019-09-30;3750.0;3287600.0;67146174.0;15.598566254;15.38623769;15.272490245;15.68956421;15.484818809
2019-10-01;2565.0;893200.0;18244407.0;15.469652483;15.583399928;15.416570342;15.598566254;15.484818809
2019-10-02;4968.0;1833200.0;36750560.0;15.242157594;15.416570342;15.113243823;15.416570342;15.196658616
2019-10-03;5365.0;3753600.0;75662718.0;15.469652483;15.249740757;15.075328008;15.484818809;15.280073408
2019-10-04;12602.0;3341300.0;69399292.0;16.061139196;15.545484113;15.333155549;16.265884597;15.750229513
2019-10-07;6317.0;1678600.0;35161516.0;15.879143284;16.000473892;15.780562165;16.053556033;15.879143284
2019-10-08;4994.0;1749700.0;36445656.0;15.772979002;15.848810632;15.681981047;15.89430961;15.788145328
2019-10-09;4432.0;1266100.0;26554368.0;16.000473892;15.810894817;15.636482069;16.061139196;15.901892773
2019-10-10;5974.0;1617600.0;33965453.0;15.886726447;16.008057055;15.810894817;16.030806544;15.917059099
2019-10-11;6299.0;1879200.0;39376351.0;16.000473892;15.924642262;15.712313698;16.000473892;15.886726447
2019-10-14;4693.0;1564500.0;32772434.0;15.826061143;15.924642262;15.826061143;16.061139196;15.879143284
2019-10-15;10588.0;4993500.0;100983582.0;15.317989223;15.841227469;14.665837207;15.939808588;15.333155549
2019-10-16;8332.0;3782600.0;76162174.0;15.355905038;15.295239734;15.052578519;15.424153505;15.264907083
2019-10-17;3861.0;1248000.0;25336957.0;15.393820853;15.363488201;15.287656571;15.477235646;15.393820853
2019-10-18;4891.0;1414100.0;28583754.0;15.393820853;15.38623769;15.166325964;15.507568298;15.325572386
2019-10-21;7069.0;1962900.0;40335645.0;15.545484113;15.583399928;15.408987179;15.757812676;15.575816765
2019-10-22;5014.0;2614000.0;53183042.0;15.469652483;15.530317787;15.348321875;15.61373258;15.424153505
2019-10-23;4347.0;1250300.0;25438981.0;15.401404016;15.469652483;15.302822897;15.598566254;15.424153505
2019-10-24;6518.0;2171100.0;44436207.0;15.499985135;15.424153505;15.348321875;15.651648395;15.515151461
2019-10-25;3762.0;1548800.0;31813769.0;15.583399928;15.477235646;15.393820853;15.651648395;15.575816765
2019-10-28;4826.0;1708800.0;35270729.0;15.727480024;15.553067276;15.484818809;15.856393795;15.651648395
2019-10-29;11084.0;3000500.0;63209090.0;15.886726447;15.727480024;15.727480024;16.144553989;15.97014124
2019-10-30;3592.0;1987600.0;41867729.0;16.053556033;15.886726447;15.780562165;16.114221337;15.97014124
2019-10-31;6850.0;2246300.0;47221522.0;15.89430961;16.04597287;15.795728491;16.114221337;15.939808588
2019-11-01;4565.0;1073000.0;22766262.0;16.114221337;15.924642262;15.924642262;16.114221337;16.083888685
2019-11-04;3829.0;929200.0;19944926.0;16.227968782;16.227968782;16.1218045;16.516128975;16.27346776
2019-11-05;3761.0;1189300.0;25152936.0;15.985307566;16.265884597;15.856393795;16.455463671;16.030806544
2019-11-06;2060.0;610900.0;13022754.0;16.303800411;16.023223381;15.826061143;16.303800411;16.159720315
2019-11-07;3433.0;2064700.0;44473794.0;16.455463671;16.281050923;16.159720315;16.455463671;16.334133063
2019-11-08;4933.0;1006400.0;21562934.0;16.227968782;16.425131019;15.97014124;16.425131019;16.243135108
2019-11-11;3233.0;695200.0;14959627.0;16.531295301;16.220385619;15.917059099;16.531295301;16.311383574
2019-11-12;8545.0;2418700.0;52134718.0;16.455463671;16.546461627;16.068722359;16.675375398;16.341716226
2019-11-13;5747.0;1170200.0;25083994.0;16.243135108;16.296217249;16.129387663;16.455463671;16.250718271
2019-11-14;7498.0;1352700.0;29177422.0;16.364465715;16.190052967;16.167303478;16.493379486;16.349299389
2019-11-18;5066.0;943800.0;20291194.0;16.205219293;16.455463671;16.205219293;16.508545812;16.296217249
2019-11-19;6296.0;1624400.0;34916691.0;16.485796323;16.3265499;16.190052967;16.485796323;16.296217249
2019-11-21;5593.0;1376300.0;29893607.0;16.47821316;16.500962649;16.341716226;16.614710094;16.470629997
2019-11-22;5566.0;1774700.0;38473917.0;16.493379486;16.47821316;16.288634086;16.599543768;16.432714182
2019-11-25;5541.0;1180700.0;25669066.0;16.569211116;16.523712138;16.379632041;16.599543768;16.485796323
2019-11-26;5697.0;1746600.0;37699696.0;16.485796323;16.561627953;16.076305522;16.561627953;16.364465715
2019-11-27;4296.0;1270900.0;27466598.0;16.318966737;16.47821316;16.318966737;16.667792235;16.387215204
2019-11-28;4422.0;789100.0;16947737.0;16.349299389;16.349299389;16.114221337;16.379632041;16.281050923
2019-11-29;5012.0;3325500.0;71254722.0;16.152137152;16.356882552;16.114221337;16.356882552;16.243135108
2019-12-02;5394.0;1468900.0;31358810.0;16.152137152;16.083888685;16.023223381;16.265884597;16.182469804
2019-12-03;4095.0;1131300.0;24214202.0;16.227968782;16.159720315;16.129387663;16.311383574;16.227968782
2019-12-04;5434.0;1173000.0;25504507.0;16.55404479;16.265884597;16.227968782;16.682958561;16.485796323
2019-12-05;3752.0;813400.0;17830957.0;16.607126931;16.637459583;16.516128975;16.682958561;16.622293257
2019-12-06;14248.0;4948700.0;110638251.0;17.024200895;16.675375398;16.599543768;17.175864154;16.948369265
2019-12-09;8568.0;3369000.0;77214583.0;17.251695784;17.054533547;16.91045345;17.592938118;17.373026392
2019-12-10;7449.0;2602700.0;59584248.0;17.577771792;17.259278947;17.168280991;17.577771792;17.357860066
2019-12-11;5450.0;1515600.0;35189593.0;17.661186585;17.577771792;17.456441185;17.805266682;17.600521281
2019-12-12;9398.0;2107900.0;48687066.0;17.441274859;17.661186585;17.244112621;17.752184541;17.509523326
2019-12-13;5727.0;1261000.0;29295501.0;17.714268726;17.441274859;17.236529458;17.744601378;17.615687607
2019-12-16;7694.0;1255200.0;29195567.0;17.517106489;17.797683519;17.517106489;17.812849845;17.630853933
2019-12-17;7241.0;1865500.0;43266754.0;17.744601378;17.539855978;17.289611599;17.934180453;17.585354955
2019-12-18;9150.0;8592900.0;201911176.0;18.245090135;17.737018215;17.608104444;18.245090135;17.812849845
2019-12-19;10046.0;2623100.0;62284970.0;18.123759527;18.101010038;17.881098312;18.176841668;18.002428919
2019-12-20;11698.0;13558200.0;320937341.0;17.858348823;18.199591157;17.812849845;18.313338602;17.949346779
2019-12-23;9237.0;2087500.0;49974430.0;18.222340646;17.858348823;17.858348823;18.427086046;18.146509016
2019-12-26;8301.0;2375500.0;57764107.0;18.692496751;18.214757483;18.123759527;18.806244196;18.434669209
2019-12-27;9891.0;2647700.0;64754331.0;18.798661033;18.646997773;18.290589113;18.798661033;18.540833491
2019-12-30;6100.0;1506700.0;37320285.0;18.866909499;18.730412566;18.510500839;19.048905411;18.775911544
2020-01-02;6598.0;1987000.0;49054639.0;18.654580936;18.844160011;18.593915632;19.064071737;18.71524624
2020-01-03;11947.0;4198100.0;101837500.0;18.389170232;18.533250328;17.987262594;18.609081958;18.389170232
2020-01-06;9406.0;2385100.0;58133186.0;18.502917676;18.389170232;18.229923809;18.662164099;18.480168187
2020-01-07;5621.0;1186200.0;28688728.0;18.563535934;18.540617989;18.257963326;18.647568401;18.471864152
2020-01-08;6862.0;2206200.0;54048586.0;18.830911966;18.433667576;18.418388945;18.998976901;18.708682923
2020-01-09;6682.0;5486800.0;135090824.0;18.785076075;18.869108542;18.662847032;19.021894846;18.807994021
2020-01-10;8507.0;2425700.0;59783209.0;18.624650456;18.79271539;18.624650456;19.18995978;18.823272651
2020-01-13;5382.0;2136800.0;52757168.0;18.953141009;18.79271539;18.716322238;18.991337585;18.853829912
2020-01-14;6412.0;1490400.0;37335364.0;19.098287998;19.060091422;18.807994021;19.388581976;19.136484574
2020-01-15;5450.0;3520800.0;88490070.0;19.289270878;19.15940252;19.105927313;19.38094266;19.197599096
2020-01-16;5240.0;2193800.0;56004288.0;19.785826366;19.36566403;19.258713617;19.785826366;19.495532388
2020-01-17;7955.0;2826200.0;72743824.0;19.701793899;19.74762979;19.495532388;19.74762979;19.655958008
2020-01-20;2884.0;802800.0;20768840.0;19.93861267;19.633040062;19.54136828;19.93861267;19.76290842
2020-01-21;9688.0;1755200.0;45116297.0;19.785826366;19.839301572;19.342746084;19.839301572;19.633040062
2020-01-22;6795.0;1731000.0;44437235.0;19.617761432;19.946251985;19.457335812;20.015005822;19.610122116
2020-01-23;9365.0;3243800.0;82550122.0;19.625400747;19.602482801;19.235795672;19.625400747;19.434417867
2020-01-24;8077.0;1926100.0;48695739.0;19.342746084;19.625400747;19.136484574;19.724711844;19.312188824
2020-01-27;7551.0;2132300.0;53893493.0;19.358024715;19.098287998;18.723961553;19.839301572;19.304549508
2020-01-28;8505.0;2028700.0;51643056.0;19.602482801;19.480253758;19.182320465;19.701793899;19.442057182
2020-01-29;9389.0;1996200.0;52067163.0;20.175431441;19.594843486;19.518450334;20.198349387;19.92333404
2020-01-30;9235.0;2178900.0;57080660.0;20.099038289;20.022645137;19.839301572;20.183070756;20.007366507
2020-01-31;10397.0;2138900.0;54999070.0;19.655958008;19.999727192;19.335106769;20.14487418;19.640679377
2020-02-03;6169.0;1913100.0;50403155.0;20.236545963;19.633040062;19.625400747;20.236545963;20.121956235
2020-02-04;3752.0;1126700.0;30249851.0;20.580315147;20.374053636;20.282381854;20.649068984;20.503921995
2020-02-05;5736.0;1681400.0;45929925.0;21.031034744;20.664347614;20.626151038;21.031034744;20.862969809
2020-02-06;10238.0;2951900.0;80077048.0;20.89352707;21.222017623;20.396971582;21.328968036;20.71782282
2020-02-07;8719.0;1979200.0;52939748.0;20.435168158;20.740740766;20.213628017;20.763658712;20.427528843
2020-02-10;9963.0;3954500.0;101841711.0;19.816383627;20.389332267;19.128845259;20.419889528;19.671236638
2020-02-11;7691.0;2344200.0;62581849.0;20.396971582;19.92333404;19.785826366;20.71782282;20.389332267
2020-02-12;6060.0;1885000.0;49731717.0;20.205988702;20.412250212;19.869858833;20.519200625;20.152513496
2020-02-13;3681.0;1280700.0;33582426.0;19.984448561;19.908055409;19.908055409;20.228906648;20.030284452
2020-02-14;4275.0;1520900.0;39777026.0;19.93861267;20.068481028;19.846940888;20.290021169;19.976809246
2020-02-17;3303.0;3120200.0;81792624.0;20.091398974;19.984448561;19.946251985;20.244185278;20.022645137
2020-02-18;7849.0;2952800.0;76391124.0;19.579564856;20.549757886;19.55664691;20.595593777;19.76290842
2020-02-19;7078.0;1860500.0;48213527.0;19.785826366;19.633040062;19.594843486;19.969169931;19.793465681
2020-02-20;5685.0;1155100.0;29928390.0;19.770547736;19.908055409;19.709433214;20.030284452;19.785826366
2020-02-21;5087.0;1358500.0;34875331.0;19.579564856;19.73235116;19.411499921;19.824022942;19.610122116
2020-02-26;8669.0;4243200.0;103924408.0;19.060091422;18.739240184;18.189209489;19.060091422;18.708682923
2020-02-27;13138.0;3336400.0;80941562.0;18.532978673;18.716322238;18.265602641;18.937862379;18.532978673
2020-02-28;16747.0;7142100.0;166853533.0;18.21976675;18.265602641;17.379442078;18.311438533;17.845440305
2020-03-02;18873.0;5272800.0;129370988.0;18.98369827;18.21976675;18.21976675;19.403860606;18.739240184
2020-03-03;14592.0;4630100.0;114743586.0;18.991337585;18.98369827;18.594093195;19.327467454;18.930223064
2020-03-04;10694.0;5240300.0;133025405.0;20.060841713;19.17468115;18.899665803;20.167792126;19.388581976
2020-03-05;12249.0;2541600.0;63892152.0;18.960780325;19.785826366;18.655207717;20.007366507;19.197599096
2020-03-06;7927.0;2105000.0;49602926.0;17.960030033;18.341995793;17.578064273;18.372553054;17.998226609
2020-03-09;15728.0;3327200.0;72168621.0;16.730100286;16.875247275;16.149512331;17.119705361;16.569674667
2020-03-10;14551.0;3567600.0;77825393.0;16.959279742;17.180819883;16.180069592;17.692654001;16.66134645
2020-03-11;9323.0;3033300.0;63372409.0;16.141873016;16.562035352;14.889025323;16.722460971;15.958529451
2020-03-12;11416.0;7194000.0;125284565.0;13.177818718;14.438305726;12.834049534;14.476502302;13.300047761
2020-03-13;15218.0;10775700.0;204311724.0;14.743878334;14.507059563;13.06322899;14.743878334;14.484141617
2020-03-16;13187.0;3166900.0;56437910.0;13.903553662;12.238182949;12.199986373;14.507059563;13.613259685
2020-03-17;26465.0;5794200.0;108153409.0;15.087647518;14.216765585;13.216015294;15.538367115;14.254962161
2020-03-18;17493.0;5125300.0;83488667.0;13.330605022;13.758406673;10.855466898;13.766045989;12.444444459
2020-03-19;15411.0;4117300.0;68495571.0;12.986835838;12.505558981;11.764545406;13.277129816;12.704181176
2020-03-20;11658.0;4952100.0;83423816.0;12.910442686;13.743128043;12.291658155;13.82716051;12.864606795
2020-03-23;14440.0;3494800.0;54335653.0;12.184707742;12.757656382;11.130482245;12.910442686;11.871495819
2020-03-24;14979.0;3433700.0;55072883.0;12.070118014;12.750017067;12.047200069;12.811131589;12.245822264
2020-03-25;20370.0;10570800.0;164055400.0;12.452083774;12.169429112;11.237432658;12.704181176;11.848577874
2020-03-26;12804.0;4224700.0;72552063.0;13.483391326;12.452083774;12.452083774;13.582702424;13.116704197
2020-03-27;10343.0;3198700.0;54131454.0;12.757656382;12.68126323;12.467362405;13.330605022;12.925721317
2020-03-30;11026.0;2640000.0;44408381.0;12.902803371;12.757656382;12.452083774;13.292408446;12.849328165
2020-03-31;9653.0;4242900.0;72878263.0;13.131982827;13.147261457;12.895164056;13.44519475;13.116704197
2020-04-01;17363.0;4481300.0;72677375.0;12.444444459;12.528476926;12.070118014;12.895164056;12.383329938
2020-04-02;12570.0;4266000.0;67553378.0;12.115953906;12.360411992;11.772184722;12.49028035;12.09303596
2020-04-03;9211.0;5205400.0;77400533.0;11.382579646;12.184707742;11.168678821;12.184707742;11.352022386
2020-04-06;16301.0;12126300.0;187718196.0;12.383329938;11.795102667;11.474251429;12.383329938;11.825659928
2020-04-07;11084.0;4927900.0;81271004.0;12.452083774;12.719459806;12.26874021;13.06322899;12.597230763
2020-04-08;12318.0;4553100.0;74439259.0;13.025032414;12.528476926;11.840938558;13.269490501;12.482641035
2020-04-09;10445.0;3959700.0;68426236.0;13.139622142;13.154900773;12.994475153;13.491030641;13.200736664
2020-04-13;8222.0;3074600.0;53286489.0;13.559784478;13.017393099;12.765295697;13.712570782;13.23893324
2020-04-14;8170.0;2731700.0;47984677.0;13.353522968;13.674374206;13.216015294;13.81188188;13.414637489
2020-04-15;9361.0;1845200.0;32064519.0;13.277129816;13.101425566;12.948639262;13.483391326;13.269490501
