Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2025-10-07;873.0;327100.0;8410167.0;24.0;24.0;23.13;29.0;25.71
2025-10-08;384.0;97200.0;2325799.0;23.13;24.69;23.13;24.72;23.9
2025-10-09;371.0;66300.0;1442947.0;21.13;22.99;19.53;22.99;21.76
2025-10-10;320.0;66200.0;1283579.0;18.85;21.99;18.0;21.99;19.38
2025-10-13;559.0;143600.0;2653075.0;18.0;19.01;17.8;20.5;18.47
2025-10-14;439.0;112000.0;1951423.0;16.91;17.99;16.5;18.0;17.42
2025-10-15;466.0;103500.0;1684346.0;15.71;16.91;15.53;17.54;16.27
2025-10-16;898.0;195500.0;2941479.0;14.73;15.8;14.6;16.23;15.04
2025-10-17;854.0;237300.0;3452879.0;14.43;14.09;14.0;15.0;14.55
2025-10-20;1461.0;426900.0;6313423.0;14.65;14.99;14.1;15.0;14.78
2025-10-21;1054.0;336600.0;4913523.0;15.17;14.55;14.0;15.4;14.59
2025-10-22;1134.0;179100.0;2579351.0;14.28;15.09;14.14;15.23;14.4
2025-10-23;1240.0;179800.0;2612572.0;14.28;14.43;14.28;14.73;14.53
2025-10-24;315.0;58400.0;835489.0;14.25;14.37;14.0;14.76;14.3
2025-10-27;1498.0;301100.0;4340644.0;14.2;14.51;14.0;14.92;14.41
2025-10-28;1464.0;280500.0;3878425.0;13.55;14.21;13.55;14.4;13.82
2025-10-29;1262.0;304700.0;3987581.0;12.86;13.72;12.63;13.87;13.08
2025-10-30;818.0;135800.0;1737496.0;12.9;12.95;12.66;13.0;12.79
2025-10-31;1672.0;320200.0;4262324.0;13.63;13.04;12.8;13.7;13.31
2025-11-03;793.0;237200.0;3141517.0;12.99;13.63;12.9;13.63;13.24
2025-11-04;763.0;175500.0;2253630.0;12.9;12.98;12.6;13.1;12.84
2025-11-05;694.0;117200.0;1528249.0;13.16;13.0;12.75;13.32;13.03
2025-11-06;753.0;1321500.0;17041343.0;12.68;13.16;12.66;13.24;12.89
2025-11-07;855.0;127400.0;1649120.0;12.86;12.68;12.64;13.27;12.94
2025-11-10;855.0;162300.0;2266659.0;14.01;12.99;12.98;14.3;13.96
2025-11-11;521.0;128600.0;1754373.0;13.35;14.02;13.35;14.05;13.64
2025-11-12;412.0;114000.0;1543566.0;13.42;13.62;13.34;13.8;13.54
2025-11-13;548.0;89200.0;1160972.0;12.89;13.69;12.86;13.69;13.01
2025-11-14;887.0;168000.0;2124227.0;12.35;12.8;12.31;13.26;12.64
2025-11-17;945.0;170300.0;2013004.0;11.6;12.6;11.52;12.6;11.82
2025-11-18;923.0;165900.0;1935452.0;11.55;11.6;11.21;12.03;11.66
2025-11-19;1369.0;261600.0;2922390.0;10.85;11.66;10.8;11.74;11.17
2025-11-21;1510.0;240900.0;2574960.0;10.5;10.52;10.4;10.98;10.68
2025-11-24;2332.0;502500.0;5491868.0;11.05;10.8;10.76;11.08;10.92
2025-11-25;1168.0;193900.0;2103662.0;10.8;11.1;10.68;11.1;10.84
2025-11-26;2621.0;473100.0;5074388.0;10.81;10.8;10.46;11.12;10.72
2025-11-27;1213.0;186500.0;2061462.0;11.12;10.86;10.68;11.35;11.05
2025-11-28;3369.0;979600.0;10459037.0;10.38;11.15;10.33;11.5;10.67
2025-12-01;2140.0;434800.0;4298521.0;9.66;10.36;9.65;10.36;9.88
2025-12-02;2476.0;560900.0;5627136.0;9.99;9.7;9.66;10.43;10.03
2025-12-03;1181.0;368900.0;3807320.0;10.39;10.12;10.02;10.53;10.32
2025-12-04;741.0;246500.0;2572059.0;10.67;10.41;10.26;10.67;10.43
2025-12-05;1006.0;274200.0;2886731.0;10.6;10.46;10.35;10.66;10.52
2025-12-08;1038.0;245900.0;2664007.0;11.0;10.8;10.68;11.0;10.83
2025-12-09;972.0;195000.0;2175267.0;11.11;11.0;10.83;11.38;11.15
2025-12-10;1049.0;202700.0;2266186.0;10.89;11.0;10.89;11.37;11.18
2025-12-11;569.0;103100.0;1115783.0;10.85;10.81;10.67;11.04;10.82
2025-12-12;754.0;145300.0;1579349.0;10.66;10.88;10.66;11.05;10.86
2025-12-15;584.0;143700.0;1498939.0;10.2;10.67;10.2;10.96;10.43
2025-12-16;492.0;114500.0;1201733.0;10.35;10.29;10.09;10.66;10.49
2025-12-17;1257.0;297500.0;3125385.0;10.21;10.3;10.21;10.88;10.5
2025-12-18;965.0;226800.0;2383142.0;10.1;10.69;10.1;10.84;10.5
2025-12-19;1131.0;436600.0;4553903.0;10.38;10.4;10.32;10.64;10.43
2025-12-22;1349.0;374800.0;3873446.0;10.11;10.51;10.05;10.69;10.33
2025-12-23;1560.0;371500.0;3606064.0;9.52;10.46;9.5;10.46;9.7
2025-12-26;1039.0;373200.0;3476299.0;9.14;9.72;9.09;9.72;9.31
2025-12-29;815.0;204700.0;1878554.0;9.08;9.16;9.0;9.23;9.17
2025-12-30;1126.0;207300.0;1941542.0;9.79;9.38;9.07;9.79;9.36
2026-01-02;877.0;164000.0;1594456.0;9.81;9.81;9.5;9.9;9.72
2026-01-05;1499.0;382100.0;3810427.0;10.08;9.99;9.73;10.18;9.97
2026-01-06;1919.0;397900.0;3797434.0;9.44;10.14;9.34;10.15;9.54
2026-01-07;568.0;96600.0;898239.0;9.23;9.44;9.22;9.45;9.29
2026-01-08;994.0;233500.0;2125305.0;9.02;9.34;9.0;9.34;9.1
2026-01-09;1623.0;341300.0;3081558.0;9.11;9.15;8.81;9.19;9.02
2026-01-12;1208.0;238600.0;2136535.0;8.96;9.2;8.71;9.2;8.95
2026-01-13;1999.0;450900.0;4104808.0;9.05;9.05;8.81;9.25;9.1
2026-01-14;3762.0;824000.0;7715010.0;9.49;9.26;9.2;9.51;9.36
2026-01-15;1764.0;417700.0;3881267.0;9.17;9.59;9.11;9.59;9.29
2026-01-16;1114.0;227700.0;2098067.0;9.16;9.4;9.06;9.4;9.21
2026-01-19;675.0;1693400.0;15360878.0;9.01;9.18;9.0;9.24;9.07
2026-01-20;1225.0;333200.0;2968487.0;8.77;9.02;8.76;9.05;8.9
2026-01-21;2293.0;494800.0;4404745.0;8.85;8.77;8.72;9.23;8.9
2026-01-22;5210.0;1446900.0;11760685.0;7.91;8.76;7.67;9.08;8.12
2026-01-23;3740.0;926900.0;7282742.0;7.7;8.01;7.52;8.12;7.85
2026-01-26;4707.0;1492300.0;11001394.0;7.58;7.8;7.03;7.8;7.37
2026-01-27;3289.0;745900.0;5700733.0;7.81;7.8;7.37;7.86;7.64
2026-01-28;2353.0;639900.0;5219753.0;8.19;7.86;7.86;8.39;8.15
2026-01-29;3729.0;617100.0;4818840.0;7.49;8.04;7.49;8.06;7.8
2026-01-30;4090.0;977100.0;7549430.0;7.9;7.65;7.4;7.97;7.72
2026-02-02;2574.0;753900.0;5660926.0;7.4;7.56;7.35;7.67;7.5
2026-02-03;2361.0;784900.0;5538993.0;7.08;7.65;6.85;7.65;7.05
2026-02-04;2213.0;623300.0;4313801.0;6.81;7.15;6.72;7.15;6.92
2026-02-05;5765.0;1522200.0;10052748.0;6.49;6.67;6.44;6.79;6.6
2026-02-06;4545.0;2764900.0;19171537.0;7.02;6.77;6.51;7.16;6.93
2026-02-09;7654.0;2072200.0;13657183.0;6.45;7.02;6.45;7.26;6.59
2026-02-10;2747.0;663200.0;4299265.0;6.4;6.45;6.31;6.65;6.48
2026-02-11;2242.0;910500.0;5714487.0;6.26;6.41;6.11;6.54;6.27
2026-02-12;1237.0;375700.0;2319983.0;6.15;6.46;6.06;6.46;6.17
2026-02-13;2005.0;734300.0;4687632.0;6.56;6.15;6.1;6.6;6.38
2026-02-18;1297.0;305400.0;1998894.0;6.6;6.67;6.31;6.68;6.54
2026-02-19;1521.0;364400.0;2391966.0;6.66;6.6;6.4;6.7;6.56
2026-02-20;1624.0;368700.0;2428879.0;6.62;6.66;6.46;6.7;6.58
