Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2006-11-30;0.0;0.0;0.0;0.81944347815;0.81944347815;0.81944347815;0.81944347815;0.81944347815
2006-12-01;7147.0;81333120.0;193970156.0;0.94792050918;0.9104602359;0.90782631043;0.96109013651;0.92128859614
2006-12-04;822.0;12763080.0;31353019.0;0.95406633527;0.94089670794;0.93650683217;0.95699291912;0.94909114272
2006-12-05;452.0;4785000.0;12008707.0;0.98186888185;0.94967645949;0.94235999987;0.99445319241;0.96957722968
2006-12-06;548.0;9019560.0;23095690.0;0.98625875763;0.98040558992;0.96577267067;1.0067448446;0.98918534147
2006-12-07;255.0;3080880.0;8001805.0;1.0102567452;0.98625875763;0.97455242222;1.0152319377;1.003232944
2006-12-08;286.0;1738440.0;4505949.0;1.0125980123;1.0038182607;0.98362483216;1.0149392794;1.0011843353
2006-12-11;215.0;5150640.0;13475232.0;1.0125980123;0.99533116756;0.98889268309;1.0169878881;1.0105494036
2006-12-12;136.0;2779920.0;7205453.0;1.0096714284;1.0026476272;0.99533116756;1.0096714284;1.0011843353
2006-12-13;237.0;5656200.0;14864365.0;1.0477170185;1.0096714284;0.99884306818;1.0477170185;1.0152319377
2006-12-14;69.0;2201760.0;5942525.0;1.0389372669;1.0404005589;1.0243043477;1.0433271427;1.0427418259
2006-12-15;54.0;4338840.0;11576377.0;1.0243043477;1.0392299253;1.0096714284;1.0392299253;1.0307428322
2006-12-18;66.0;2154240.0;5607119.0;1.0096714284;1.0140613042;1.0008916769;1.026060298;1.005574211
2006-12-19;106.0;5379000.0;13736553.0;0.98918534147;0.99533116756;0.98069824831;0.99796509303;0.98655141601
2006-12-20;106.0;3802920.0;9696177.0;0.97747900607;0.99474585079;0.97747900607;0.99474585079;0.98508812408
2006-12-21;140.0;4304520.0;10766567.0;0.96869925452;0.97747900607;0.95465165204;0.97747900607;0.96635798744
2006-12-22;83.0;1201200.0;2985428.0;0.9593341862;0.97162583837;0.95699291912;0.97162583837;0.96021216136
2006-12-26;79.0;1461240.0;3700427.0;0.98128356508;0.93065366446;0.93065366446;0.98303951539;0.97835698123
2006-12-27;200.0;4309800.0;10970117.0;0.9965018011;0.98040558992;0.9710405216;1.0196218135;0.98333217377
2006-12-28;316.0;4119720.0;10683619.0;1.0008916769;0.99211192533;0.99211192533;1.0155245961;1.001769652
2007-01-02;63.0;960960.0;2550967.0;1.0301575154;1.0096714284;1.0023549688;1.0389372669;1.0254749812
2007-01-03;96.0;1672440.0;4553952.0;1.0477170185;1.0243043477;1.0243043477;1.0550334781;1.0518142359
2007-01-04;36.0;3595680.0;9565671.0;1.0389372669;1.0243043477;1.0243043477;1.0389372669;1.0278162483
2007-01-05;48.0;718080.0;1902754.0;1.0243043477;1.0389372669;1.0096714284;1.0389372669;1.0237190309
2007-01-08;121.0;3821400.0;10123989.0;1.0389372669;1.0169878881;1.0096714284;1.0389372669;1.0234263725
2007-01-09;53.0;1071840.0;2836890.0;1.0535701862;1.0313281489;1.0102567452;1.0535701862;1.0225483974
2007-01-10;39.0;1997160.0;5314299.0;1.0535701862;1.0386446085;1.0169878881;1.0535701862;1.0278162483
2007-01-11;41.0;500280.0;1345561.0;1.0243043477;1.0535701862;1.0243043477;1.0535701862;1.0389372669
2007-01-12;200.0;2964720.0;7857491.0;1.0477170185;1.0532775278;1.0096714284;1.0532775278;1.0237190309
2007-01-15;40.0;150480.0;404395.0;1.0418638508;1.0506436023;1.0243043477;1.0506436023;1.0380592918
2007-01-16;61.0;1041480.0;2797141.0;1.0477170185;1.0272309315;1.0243043477;1.0477170185;1.037473975
2007-01-17;93.0;1269840.0;3486597.0;1.0828360247;1.0471317017;1.0447904346;1.0828360247;1.0605939874
2007-01-18;38.0;1032240.0;2886507.0;1.0799094408;1.0828360247;1.0682031054;1.0828360247;1.0802020992
2007-01-19;35.0;525360.0;1469109.0;1.0828360247;1.0763975402;1.0761048818;1.0828360247;1.0802020992
2007-01-22;53.0;991320.0;2772735.0;1.0799094408;1.0857626085;1.0696663974;1.0971762856;1.0804947576
2007-01-23;34.0;452760.0;1263230.0;1.076982857;1.0810800744;1.076982857;1.0813727328;1.0778608321
2007-01-24;61.0;5727480.0;15856744.0;1.0828360247;1.0714223477;1.0682031054;1.0828360247;1.069373739
2007-01-26;63.0;2464440.0;6837141.0;1.0954203352;1.0740562731;1.0682031054;1.0954203352;1.0717150061
2007-01-29;58.0;953040.0;2764995.0;1.1267347824;1.0954203352;1.0954203352;1.1413677017;1.1208816147
2007-01-30;212.0;3400320.0;10065853.0;1.1486841613;1.1208816147;1.1208816147;1.167414298;1.1437089688
2007-01-31;97.0;2468400.0;7320812.0;1.1472208694;1.1530740371;1.1410750433;1.154537329;1.1457575775
2007-02-01;225.0;2376000.0;7095143.0;1.1644877141;1.1720968321;1.1296613663;1.1779499998;1.1536593539
2007-02-02;103.0;2460480.0;7650693.0;1.2277019253;1.1966801365;1.1808765837;1.2511145961;1.2010700123
2007-02-05;109.0;9077640.0;29570872.0;1.2584310557;1.2716006831;1.2291652172;1.2716006831;1.2584310557
2007-02-06;185.0;2840640.0;9450326.0;1.2853556271;1.273063975;1.2350183849;1.2876968942;1.2850629688
2007-02-07;72.0;2735040.0;9065699.0;1.2759905588;1.273063975;1.2584310557;1.2932574035;1.2803804346
2007-02-08;46.0;525360.0;1740256.0;1.2876968942;1.2496513042;1.2496513042;1.2876968942;1.2797951178
2007-02-09;34.0;406560.0;1362659.0;1.2874042358;1.2876968942;1.2874042358;1.3023298135;1.2947206955
2007-02-12;73.0;801240.0;2648614.0;1.273063975;1.3020371551;1.2642842234;1.3020371551;1.276868534
2007-02-13;54.0;6453480.0;21146274.0;1.2642842234;1.2642842234;1.2555044719;1.273063975;1.2657475153
2007-02-14;54.0;1103520.0;3602222.0;1.2701373911;1.2584310557;1.2455540868;1.273063975;1.2610649812
2007-02-15;33.0;660000.0;2141824.0;1.2437981365;1.2470173787;1.2437981365;1.2584310557;1.2537485216
2007-02-16;84.0;979440.0;3102351.0;1.225945975;1.2437981365;1.1998993787;1.2437981365;1.2236047079
2007-02-21;12.0;29040.0;93152.0;1.2429201613;1.2613576396;1.2159955899;1.2613576396;1.2391156023
2007-02-22;65.0;2145000.0;6927814.0;1.2464320619;1.2584310557;1.2364816768;1.2584310557;1.2476026955
2007-02-23;49.0;2071080.0;6690994.0;1.2467247203;1.252577888;1.2452614284;1.2584310557;1.2478953539
2007-02-26;52.0;1589280.0;5097838.0;1.2341404098;1.2701373911;1.2306285091;1.2701373911;1.2391156023
2007-02-27;42.0;768240.0;2404375.0;1.2142396396;1.1972654532;1.194046211;1.2291652172;1.2089717886
2007-02-28;24.0;696960.0;2179598.0;1.2072158383;1.2435054781;1.20692318;1.2435054781;1.2080938135
2007-03-01;66.0;1049400.0;3127290.0;1.1998993787;1.171218857;1.1381484595;1.1998993787;1.1513180868
2007-03-02;74.0;370920.0;1148619.0;1.1984360868;1.1706335402;1.1706335402;1.2101424222;1.1963874781
2007-03-05;42.0;513480.0;1568775.0;1.1823398756;1.1969727949;1.1384411179;1.1969727949;1.1802912669
2007-03-06;84.0;1164240.0;3561649.0;1.1706335402;1.1706335402;1.156000621;1.2101424222;1.1817545588
2007-03-07;75.0;1820280.0;5614224.0;1.1911196272;1.1998993787;1.1706335402;1.2086791303;1.1914122855
2007-03-08;93.0;1871760.0;6012341.0;1.2432128197;1.2101424222;1.2101424222;1.2584310557;1.2408715526
2007-03-09;30.0;764280.0;2472699.0;1.2379449688;1.273063975;1.2291652172;1.2786244843;1.2499439626
2007-03-12;34.0;541200.0;1756880.0;1.2555044719;1.2584310557;1.2437981365;1.2584310557;1.2540411799
2007-03-13;25.0;587400.0;1888760.0;1.2291652172;1.2555044719;1.2291652172;1.2555044719;1.2420421862
2007-03-14;26.0;386760.0;1227465.0;1.2233120495;1.2189221737;1.2057525464;1.2285799004;1.225945975
2007-03-15;21.0;328680.0;1045758.0;1.2288725588;1.2233120495;1.2233120495;1.2437981365;1.2291652172
2007-03-16;7.0;22440.0;71123.0;1.2218487576;1.2288725588;1.2218487576;1.2288725588;1.2244826831
2007-03-19;13.0;67320.0;213996.0;1.2288725588;1.2437981365;1.2066305216;1.2437981365;1.2279945837
2007-03-20;40.0;879120.0;2774396.0;1.2218487576;1.2285799004;1.2025333042;1.2285799004;1.2192148321
2007-03-21;176.0;1848000.0;5834174.0;1.214532298;1.2277019253;1.2127763477;1.2437981365;1.2195074905
2007-03-22;113.0;2610960.0;8176458.0;1.2218487576;1.2268239501;1.1855591178;1.2268239501;1.2098497638
2007-03-23;73.0;546480.0;1733381.0;1.2288725588;1.2288725588;1.2060452048;1.2291652172;1.2253606582
2007-03-26;67.0;261360.0;821378.0;1.214532298;1.2288725588;1.1998993787;1.2291652172;1.2139469812
2007-03-27;30.0;1004520.0;3157440.0;1.2139469812;1.214532298;1.2045819129;1.2200928073;1.2142396396
2007-03-28;78.0;468600.0;1467134.0;1.214532298;1.2116057141;1.1998993787;1.225945975;1.2095571054
2007-03-29;87.0;588720.0;1838651.0;1.1998993787;1.2274092669;1.1998993787;1.2274092669;1.2066305216
2007-03-30;50.0;504240.0;1568856.0;1.1998993787;1.2142396396;1.1998993787;1.2195074905;1.2019479874
2007-04-02;158.0;4857600.0;14985703.0;1.1706335402;1.1709261986;1.1428309936;1.1998993787;1.1917049439
2007-04-03;145.0;1454640.0;4422137.0;1.1706335402;1.1996067203;1.1633170806;1.2028259626;1.1744380992
2007-04-04;167.0;42302040.0;129092201.0;1.1881930433;1.1694629067;1.1677069564;1.2028259626;1.178827975
2007-04-05;48.0;1830840.0;5721675.0;1.2004846955;1.1993140619;1.1993140619;1.2174588818;1.2072158383
2007-04-09;44.0;1602480.0;5048298.0;1.2203854657;1.2057525464;1.2057525464;1.2203854657;1.216873565
2007-04-10;42.0;3074280.0;9750926.0;1.2203854657;1.2200928073;1.2200928073;1.2288725588;1.2253606582
2007-04-11;48.0;549120.0;1730728.0;1.214532298;1.2203854657;1.2086791303;1.2203854657;1.2174588818
2007-04-12;68.0;510840.0;1618472.0;1.2203854657;1.2285799004;1.1998993787;1.2584310557;1.2238973663
2007-04-13;34.0;859320.0;2702728.0;1.2159955899;1.2519925713;1.214532298;1.2519925713;1.2151176147
2007-04-16;90.0;4664880.0;14750091.0;1.2203854657;1.2435054781;1.2004846955;1.2435054781;1.2215560992
2007-04-17;49.0;2636040.0;8320565.0;1.2089717886;1.2437981365;1.2089717886;1.2437981365;1.2195074905
2007-04-18;45.0;621720.0;1977451.0;1.2379449688;1.2344330681;1.2086791303;1.2435054781;1.2285799004
2007-04-19;73.0;736560.0;2385432.0;1.2847703104;1.2379449688;1.2060452048;1.2874042358;1.2511145961
2007-04-20;163.0;3883440.0;13204338.0;1.3708540485;1.2971522179;1.2971522179;1.3708540485;1.3230952623
2007-04-23;129.0;2477640.0;8588667.0;1.3620098288;1.3620098288;1.3266329501;1.364957902;1.3490383066
2007-04-24;36.0;630960.0;2195227.0;1.3546396458;1.3499227286;1.3472694627;1.3561136824;1.3540500311
2007-04-25;84.0;2556840.0;8870229.0;1.3502175359;1.364957902;1.3269277575;1.364957902;1.3499227286
2007-04-26;19.0;200640.0;695150.0;1.3502175359;1.3502175359;1.3325290966;1.3543448384;1.3481538847
2007-04-27;38.0;389400.0;1349605.0;1.3502175359;1.3266329501;1.3266329501;1.3528708018;1.3487434993
2007-04-30;25.0;353760.0;1227326.0;1.3502175359;1.3679059753;1.3413733162;1.3679059753;1.3502175359
2007-05-02;77.0;6669960.0;23158984.0;1.3708540485;1.3502175359;1.3416681236;1.3835307633;1.3511019579
2007-05-03;138.0;2728440.0;9552288.0;1.3796982681;1.4000399734;1.3413733162;1.4000399734;1.3623046361
2007-05-04;40.0;1833480.0;6572251.0;1.3852996073;1.4147803395;1.3852996073;1.4147803395;1.3950282489
2007-05-07;38.0;337920.0;1206834.0;1.3855944146;1.4000399734;1.3767501949;1.4000399734;1.3897217171
2007-05-08;62.0;828960.0;2938500.0;1.3782242315;1.4003347807;1.3623046361;1.4003347807;1.3794034608
2007-05-09;79.0;2478960.0;8755137.0;1.3782242315;1.3870684512;1.3561136824;1.3870684512;1.3743917363
2007-05-10;69.0;987360.0;3445951.0;1.3767501949;1.3708540485;1.3531656091;1.4136011102;1.3581773336
2007-05-11;194.0;10973160.0;40486538.0;1.4534000987;1.4003347807;1.4003347807;1.4592962452;1.4357116594
2007-05-14;44.0;438240.0;1638590.0;1.4534000987;1.444555879;1.4416078058;1.4740366113;1.4551689426
2007-05-15;194.0;2269080.0;8498213.0;1.4651923916;1.444555879;1.4312895495;1.471088538;1.4575274012
2007-05-16;84.0;2156880.0;8295164.0;1.4961471604;1.5032225362;1.4890717847;1.5035173435;1.4967367751
2007-05-17;41.0;673200.0;2585968.0;1.4946731238;1.4887769774;1.4743314186;1.5011588849;1.4949679311
2007-05-18;85.0;1981320.0;7625077.0;1.5108875265;1.5388942222;1.463718355;1.5388942222;1.497621197
2007-05-21;47.0;960960.0;3757122.0;1.5223850121;1.5091186826;1.5091186826;1.524153856;1.5215005901
2007-05-22;34.0;378840.0;1479600.0;1.5212057828;1.5182577096;1.5182577096;1.5327032684;1.5197317462
2007-05-23;89.0;349800.0;1364935.0;1.5153096364;1.5474436345;1.4796379504;1.5474436345;1.5185525169
2007-05-24;15.0;1532520.0;5906547.0;1.4946731238;1.5179629023;1.4946731238;1.5179629023;1.4996848483
2007-05-25;69.0;2979240.0;11458897.0;1.5182577096;1.5094134899;1.4887769774;1.5182577096;1.4967367751
2007-05-28;21.0;799920.0;3144619.0;1.5294603878;1.5444955613;1.5294603878;1.5447903686;1.5297551952
2007-05-29;28.0;245520.0;963088.0;1.5324084611;1.5400734514;1.5156044437;1.5400734514;1.5265123146
2007-05-30;21.0;2343000.0;9211355.0;1.5297551952;1.5327032684;1.5297551952;1.5329980757;1.5297551952
2007-05-31;60.0;1425600.0;5620265.0;1.5329980757;1.5444955613;1.5253330853;1.5477384418;1.534177305
2007-06-01;44.0;4823280.0;19044929.0;1.5388942222;1.5474436345;1.5197317462;1.5477384418;1.5365357636
2007-06-04;54.0;2566080.0;10064854.0;1.5271019293;1.5329980757;1.5035173435;1.533292883;1.5262175073
2007-06-05;160.0;1194600.0;4633509.0;1.5212057828;1.5182577096;1.4982108117;1.5329980757;1.5094134899
2007-06-06;186.0;3594360.0;13980473.0;1.5005692703;1.5153096364;1.4887769774;1.5329980757;1.5135407924
2007-06-08;32.0;248160.0;964815.0;1.543316332;1.4740366113;1.4740366113;1.543316332;1.5129511778
2007-06-11;26.0;785400.0;3117080.0;1.5471488272;1.543316332;1.5418422954;1.5562878542;1.5444955613
2007-06-12;30.0;96360.0;383082.0;1.5565826615;1.5185525169;1.5123615632;1.5565826615;1.5471488272
2007-06-13;27.0;438240.0;1795988.0;1.5916647328;1.5503917077;1.5503917077;1.606405099;1.5949076134
2007-06-14;22.0;124080.0;508395.0;1.5978556866;1.6034570257;1.586358201;1.6034570257;1.5943179987
2007-06-15;43.0;183480.0;750983.0;1.5919595402;1.6450248582;1.5845893571;1.6656613707;1.5928439621
2007-06-18;55.0;1916640.0;7839109.0;1.5913699255;1.5960868427;1.5772191741;1.5960868427;1.5916647328
2007-06-19;22.0;436920.0;1785188.0;1.5890114669;1.5857685864;1.5595307347;1.5919595402;1.5898958889
2007-06-20;30.0;1271160.0;5177169.0;1.5842945498;1.5857685864;1.5683749544;1.5857685864;1.5848841644
2007-06-21;9.0;13200.0;53661.0;1.5910751182;1.5916647328;1.5701437983;1.5916647328;1.5819360912
2007-06-22;12.0;35640.0;144366.0;1.5857685864;1.5887166596;1.5589411201;1.5887166596;1.5763347521
2007-06-25;26.0;864600.0;3493397.0;1.5742711008;1.5769243667;1.569848991;1.5860633937;1.5722074496
2007-06-26;24.0;256080.0;1030908.0;1.5618891933;1.5887166596;1.5480332491;1.5887166596;1.5666061105
2007-06-27;48.0;287760.0;1149051.0;1.5551086249;1.5586463127;1.5462644052;1.5866530084;1.5539293956
2007-06-28;168.0;2625480.0;10362847.0;1.5551086249;1.5551086249;1.5329980757;1.5554034322;1.5359461489
2007-06-29;128.0;4521000.0;18470932.0;1.5919595402;1.5916647328;1.5786932107;1.6214402724;1.5898958889
2007-07-02;48.0;1334520.0;5558998.0;1.6214402724;1.6273364188;1.6155441259;1.6273364188;1.6211454651
2007-07-03;63.0;1426920.0;6023221.0;1.6656613707;1.6211454651;1.5978556866;1.6697886732;1.6426663996
2007-07-04;14.0;182160.0;779046.0;1.6641873341;1.6653665634;1.6568171511;1.6653665634;1.6641873341
2007-07-05;49.0;922680.0;3976602.0;1.6745055904;1.7066395885;1.6671354073;1.7066395885;1.6771588563
2007-07-06;74.0;312840.0;1343382.0;1.6697886732;1.6833498101;1.6423715923;1.7066395885;1.6709679025
2007-07-10;44.0;1642080.0;7027239.0;1.6624184902;1.6715575172;1.6302844921;1.6801069295;1.6653665634
2007-07-11;34.0;904200.0;3844917.0;1.6538690778;1.7007434421;1.6529846559;1.7007434421;1.6547534998
2007-07-12;53.0;366960.0;1572703.0;1.6774536636;1.6771588563;1.6641873341;1.6774536636;1.667725022
2007-07-13;28.0;283800.0;1238247.0;1.695142103;1.6777484709;1.6777484709;1.7275709084;1.6977953689
2007-07-16;17.0;105600.0;463567.0;1.7036915153;1.7452593477;1.7036915153;1.7629477871;1.7084084325
2007-07-17;48.0;426360.0;1861833.0;1.6804017368;1.7098824691;1.6804017368;1.7479126136;1.6992694055
2007-07-18;98.0;774840.0;3334778.0;1.6653665634;1.729929367;1.6364754458;1.729929367;1.6748003977
2007-07-19;11.0;279840.0;1218560.0;1.694257681;1.7128305423;1.6748003977;1.7128305423;1.6945524883
2007-07-20;49.0;162360.0;691820.0;1.6804017368;1.6562275364;1.6506261973;1.6980901762;1.6582911877
2007-07-23;70.0;995280.0;4349250.0;1.7098824691;1.7098824691;1.6945524883;1.7567568333;1.7004486348
2007-07-24;51.0;481800.0;2097433.0;1.6804017368;1.7095876617;1.6804017368;1.7243280279;1.6939628737
2007-07-25;41.0;149160.0;641180.0;1.6745055904;1.6804017368;1.6509210046;1.7305189816;1.6727367465
2007-07-26;42.0;623040.0;2593857.0;1.6155441259;1.6509210046;1.5919595402;1.6509210046;1.6199662358
2007-07-27;35.0;444840.0;1851015.0;1.6037518331;1.5919595402;1.5919595402;1.6624184902;1.6193766211
