Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2000-01-03;23.0;25.35;357660.0;3028.1463154;3184.9609496;2882.1463503;3184.9609496;2975.4240789
2000-01-04;23.0;15.21;209629.8;3055.1291627;2919.9983363;2838.8870297;3055.1291627;2906.5336641
2000-01-05;13.0;37.05;522896.4;3022.7389809;2865.9240245;2865.9240245;3028.1463154;2976.3432968
2000-01-06;23.0;60.06;838404.3;3001.1093207;2963.2573346;2865.9240245;3001.1093207;2943.8989675
2000-01-07;18.0;51.09;719994.9;2892.9613416;3028.1463154;2892.9613416;3028.1463154;2971.9634751
2000-01-10;25.0;65.13;917886.9;2962.6626793;2974.0723259;2962.6626793;2979.4796604;2972.0714477
2000-01-11;26.0;104.91;1439830.8;2925.4056708;2947.0353311;2811.8500349;2947.0891563;2894.3130946
2000-01-12;37.0;658.71;8980760.7;2947.0353311;2919.9441889;2784.8130402;2974.0723259;2875.2248203
2000-01-13;31.0;125.97;1792011.1;3001.1093207;3109.2572998;2919.9983363;3109.2572998;3000.0276604
2000-01-14;56.0;322.14;4602261.0;3076.2721403;3022.7389809;2919.9983363;3082.1661575;3012.8432075
2000-01-17;95.0;606.06;9588389.8;3379.6275698;3284.9980881;3284.9980881;3379.6275698;3336.4223967
2000-01-18;77.0;238.68;3769296.5;3352.590575;3379.6275698;3298.462438;3401.2572301;3330.4200846
2000-01-19;34.0;134.94;2079032.3;3295.8127571;3298.5165855;3233.6276046;3298.5165855;3249.2011276
2000-01-20;25.0;115.05;1788177.2;3291.4867606;3298.5165855;3217.4056012;3298.5165855;3277.7519956
2000-01-21;30.0;34.71;545100.0;3374.2202353;3244.4425959;3190.3682841;3406.6645646;3311.8726404
2000-01-24;46.0;124.41;1982039.7;3368.8129008;3374.2202353;3325.5535803;3460.7385541;3359.7825201
2000-01-26;35.0;45.63;722040.2;3347.1832405;3347.1290931;3244.4425959;3347.1832405;3337.0711995
2000-01-27;24.0;26.91;419059.0;3298.5165855;3379.6275698;3244.4425959;3379.6275698;3284.0788702
2000-01-28;46.0;161.46;2470992.6;3260.6645994;3244.4425959;3136.2942945;3298.5165855;3227.4631724
2000-01-31;50.0;87.36;1310640.0;3271.4795907;3244.4425959;2974.0723259;3271.4795907;3163.9262669
2000-02-01;84.0;258.57;3808685.8;3136.2942945;3293.109251;3028.1463154;3293.109251;3106.3375261
2000-02-02;16.0;41.34;606910.2;3082.220305;3190.3682841;3028.1463154;3190.3682841;3096.0633649
2000-02-03;45.0;140.79;2077513.5;3071.405636;3163.3312893;3028.1463154;3244.4425959;3111.9069807
2000-02-04;63.0;227.37;3327167.9;2974.0723259;3114.6646342;2973.5314957;3163.3312893;3086.0054714
2000-02-07;53.0;326.04;4708072.1;3038.9609844;3033.5536499;3001.1093207;3136.2942945;3045.2878591
2000-02-08;148.0;436.41;6763377.5;3293.109251;3136.2942945;3109.2572998;3298.5165855;3268.2890796
2000-02-09;242.0;1158.3;18586578.9;3514.8125437;3439.1088938;3325.5535803;3568.8868555;3384.0077138
2000-02-10;277.0;2288.52;40352697.9;3720.2941552;3568.8868555;3379.6275698;4055.5530838;3718.5095446
2000-02-11;262.0;2143.83;38488971.7;3806.812474;3731.1088242;3725.7014897;3839.2568033;3786.156179
2000-02-14;157.0;793.26;14614215.3;3812.2198085;3839.2568033;3812.2198085;3974.387952;3885.2199522
2000-02-15;107.0;542.88;9624296.7;3758.1458189;3812.2198085;3622.9608451;3812.2198085;3738.6791569
2000-02-16;202.0;548.34;9738865.8;3785.1828137;3785.1828137;3677.0348346;3893.3311151;3745.4923919
2000-02-17;57.0;291.72;5132695.0;3704.0718294;3785.1828137;3693.2571604;3785.1828137;3710.5066767
2000-02-18;161.0;1074.45;19166183.9;3785.2911087;3622.9608451;3622.9608451;3839.2029781;3761.8768378
2000-02-21;89.0;269.88;5014546.7;3958.2197737;3731.1088242;3731.1088242;3974.4420994;3918.4755267
2000-02-22;132.0;310.83;5749468.6;3850.0717946;4050.0374543;3839.2568033;4050.0374543;3900.8473004
2000-02-23;94.0;244.92;4439496.8;3812.2198085;3877.1087893;3785.1828137;3877.1087893;3822.6560898
2000-02-24;107.0;435.24;8020868.0;3877.1087893;3866.293798;3850.0717946;3931.1827789;3886.4095851
2000-02-25;99.0;401.7;7484866.5;3871.7014548;3952.8124392;3871.7014548;3952.8124392;3929.5064633
2000-02-28;75.0;178.23;3317512.0;3974.4420994;4044.7384148;3812.2198085;4044.7384148;3925.3967344
2000-02-29;45.0;147.42;2716700.2;3947.4051047;4028.516089;3866.293798;4028.516089;3886.3012902
2000-03-01;65.0;317.85;5974905.4;3974.4420994;3947.4051047;3947.4051047;3990.6641029;3964.2762332
2000-03-02;61.0;255.06;4703803.0;3968.4939348;3974.387952;3817.627143;3974.4420994;3889.2213862
2000-03-03;72.0;528.45;9953957.3;3968.4939348;3974.4420994;3947.4051047;3979.8494339;3972.3332487
2000-03-08;32.0;113.88;2108858.8;3896.0346212;3968.4939348;3893.3311151;3968.4939348;3905.2812696
2000-03-09;63.0;157.95;2933859.6;3920.3681099;3898.7384496;3893.3311151;3974.4420994;3917.1775988
2000-03-10;45.0;153.66;2806668.9;3806.812474;3893.3311151;3785.1828137;3893.3311151;3851.9643777
2000-03-13;71.0;201.24;3473750.1;3622.9608451;3731.1088242;3568.8868555;3758.1458189;3640.3186563
2000-03-14;55.0;294.84;5098310.8;3595.8697028;3709.4791639;3568.8868555;3722.9976613;3646.6452087
2000-03-15;51.0;155.61;2628730.0;3568.8868555;3595.8697028;3514.8125437;3622.9608451;3562.5599809
2000-03-16;48.0;219.96;3761540.7;3639.1828486;3622.9608451;3568.8868555;3649.9978398;3606.4139567
2000-03-17;23.0;73.71;1273060.0;3622.9608451;3633.7755141;3622.9608451;3731.1088242;3642.3192121
2000-03-20;68.0;291.72;5115939.7;3687.8495036;3622.9608451;3622.9608451;3731.1088242;3698.3940798
2000-03-21;92.0;222.69;4003858.2;3785.1828137;3731.1088242;3731.1088242;3812.2198085;3791.6718085
2000-03-22;100.0;194.61;3617306.8;3936.5901134;3893.3311151;3841.9606317;4001.4790942;3919.8814272
2000-03-23;139.0;595.92;11437384.6;4033.9234235;3936.5901134;3936.5901134;4077.182744;4047.5502158
2000-03-24;80.0;275.34;5234549.3;4055.5530838;4055.5530838;3990.6641029;4055.5530838;4009.2656946
2000-03-27;106.0;419.25;8227639.1;4136.6640681;4136.6640681;4055.5530838;4190.7380576;4138.6107987
2000-03-28;60.0;216.45;4266506.9908;4131.2567336;4136.6640681;4060.9604183;4325.9233538;4156.8878278
2000-03-29;46.0;92.43;1793585.6;4082.5900785;4212.3677179;4028.516089;4212.3677179;4092.2154369
2000-03-30;31.0;162.63;3111552.7;4006.9405762;4001.4790942;4001.4790942;4055.5530838;4034.8426413
2000-03-31;57.0;151.32;2902168.8;4055.5530838;4001.4790942;4001.4790942;4109.6270733;4044.6301198
2000-04-03;48.0;138.06;2644841.0;4006.8864287;3866.293798;3866.293798;4055.5530838;4040.0337082
2000-04-04;17.0;20.28;375870.1;3941.9974479;4001.4790942;3785.1828137;4001.4790942;3908.5797533
2000-04-05;85.0;173.94;3152100.5;3860.8864635;3785.1828137;3785.1286662;3893.3311151;3821.6827244
2000-04-06;71.0;193.05;3538735.7;3947.4051047;3785.3452561;3785.2911087;4001.4249467;3865.7532902
2000-04-07;36.0;116.61;2132020.1;3887.9234583;3947.3509572;3812.1659833;3947.3509572;3855.7495441
2000-04-10;43.0;83.07;1499004.9;3758.1458189;3850.0717946;3758.1458189;3850.0717946;3805.5148684
2000-04-11;69.0;198.12;3571950.0;3833.8494688;3758.1458189;3731.1088242;3882.5161238;3802.1622372
2000-04-12;67.0;83.46;1486268.1;3704.0718294;3785.1828137;3677.0348346;3817.627143;3755.5502855
2000-04-13;29.0;35.88;620419.4;3677.0348346;3785.1828137;3568.8868555;3785.1828137;3646.5910612
2000-04-14;78.0;89.7;1431504.8;3298.5165855;3622.9608451;3271.4795907;3622.9608451;3365.5140948
2000-04-17;75.0;276.9;4080069.7;3298.5165855;3136.2942945;2974.0723259;3298.5165855;3107.418864
2000-04-18;79.0;315.12;4911789.5;3460.1980463;3460.7385541;3190.3682841;3460.7385541;3287.1069389
2000-04-19;54.0;187.2;2970210.5;3347.1832405;3449.9238851;3298.5165855;3449.9238851;3346.0474328
2000-04-20;42.0;116.61;1832922.8;3325.5535803;3325.5535803;3298.5165855;3349.8867466;3314.8468839
2000-04-24;26.0;104.91;1627957.9;3239.0349391;3325.5535803;3239.0349391;3325.5535803;3272.5067812
2000-04-25;56.0;195.78;3018212.1;3260.6645994;3244.4425959;3190.3682841;3298.5165855;3251.147536
2000-04-26;30.0;71.76;1104039.3;3217.3514537;3298.5165855;3217.3514537;3298.5165855;3244.5505686
2000-04-27;63.0;257.01;3929248.3;3244.4425959;3244.3884485;3190.3682841;3249.8499304;3224.1105412
2000-04-28;128.0;416.13;6646213.0;3385.0349043;3276.8869252;3266.0719339;3568.8868555;3368.2179232
2000-05-02;149.0;847.47;13010274.3;3263.4663633;3443.5197146;3179.0664492;3463.2129608;3368.7977297
2000-05-03;104.0;342.42;5030738.5;3150.9331445;3319.7329727;3066.5332304;3319.7329727;3223.9671847
2000-05-04;153.0;442.65;6256150.0;3024.3332733;3150.9331445;2982.1329809;3150.9331445;3101.4183136
2000-05-05;103.0;284.31;4013390.6;3134.0530275;3024.3332733;2982.1329809;3179.0664492;3097.6486936
2000-05-08;51.0;167.7;2333758.7;2942.7464885;3134.0530275;2903.3596607;3134.0530275;3053.7604565
2000-05-09;46.0;127.53;1654610.9;2810.5198558;2942.7464885;2757.0665433;2942.7464885;2847.0930513
2000-05-10;82.0;249.21;3121299.5;2813.3331527;2773.9464926;2689.5464108;2813.3331527;2748.4576233
2000-05-11;61.0;242.19;3091153.0;2768.3198988;2813.3331527;2757.0665433;2925.3039469;2800.7857512
2000-05-12;89.0;304.2;3748648.2;2706.4265278;2768.3198988;2644.5331569;2768.3198988;2704.1758232
2000-05-15;89.0;254.28;3162152.8;2886.4798791;2700.7997663;2672.6664616;2892.106473;2728.8768956
2000-05-16;112.0;384.93;5128417.2;2937.1198946;2880.8532852;2880.8532852;2953.9996762;2923.6156669
2000-05-17;65.0;106.47;1388731.5;2869.5997621;2897.7330668;2841.4664574;2897.7330668;2862.2288806
2000-05-18;85.0;165.36;2134407.0;2813.3331527;2925.8103638;2757.0665433;2925.8663715;2832.4639743
2000-05-19;51.0;118.56;1439270.5;2672.6664616;2728.9332386;2644.5331569;2728.9332386;2663.8888477
2000-05-22;111.0;350.22;4121404.8;2644.5331569;2599.5199029;2555.0692412;2644.5331569;2582.3585736
2000-05-23;63.0;179.4;2160592.0;2606.8344414;2644.5331569;2606.8344414;2700.7997663;2642.7888692
2000-05-24;104.0;1281.93;15049668.3;2728.9332386;2672.6664616;2554.5064812;2728.9332386;2576.1692197
2000-05-25;75.0;341.64;4207795.4;2700.7435909;2728.9332386;2672.6102862;2757.0665433;2702.7129155
2000-05-26;98.0;491.01;6176338.6;2802.0797973;2723.3064771;2700.7997663;2813.3331527;2760.2737387
2000-05-29;55.0;119.73;1537694.6;2813.3331527;2841.4664574;2785.143505;2841.4664574;2818.2846358
2000-05-30;113.0;269.1;3486870.2;2858.3465744;2897.7330668;2813.3331527;2897.7330668;2843.379439
2000-05-31;130.0;404.04;5269787.6;2852.7199805;2818.9597466;2813.3331527;2869.6561052;2862.1161944
2000-06-01;139.0;663.39;8821976.5;3038.3999257;2892.106473;2869.5997621;3038.3999257;2918.1581023
2000-06-02;210.0;923.91;13484704.4;3207.256097;3150.9331445;3150.9331445;3251.9317955;3202.8110308
2000-06-05;75.0;194.22;2816981.5;3122.7998398;3179.0101061;3066.5332304;3229.7064647;3182.7800615
2000-06-06;59.0;106.86;1505080.5;3060.8502935;3094.6665351;3010.266621;3117.1732459;3090.7278858
2000-06-07;159.0;558.09;7841916.8;3255.0263048;3060.9066365;2970.8797932;3319.7329727;3083.413012
2000-06-08;68.0;135.33;1980716.5;3207.1434108;3364.7463943;3150.9331445;3364.7463943;3211.7575062
