Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2021-08-09;0.0;0.0;0.0;19.007391001;19.007391001;19.007391001;19.007391001;19.007391001
2021-08-10;18483.0;10252600.0;194792806.0;18.391455292;17.611911661;17.46755173;18.88227906;18.275967347
2021-08-11;9217.0;3462200.0;63922393.0;17.900631525;18.381831297;17.380935771;18.449199265;17.765895588
2021-08-12;4337.0;976900.0;18697054.0;18.516567233;17.900631525;17.900631525;18.747543124;18.410703283
2021-08-13;2422.0;1542600.0;28806762.0;18.141231411;18.651303169;17.371311775;18.651303169;17.967999493
2021-08-16;3169.0;1296500.0;23165550.0;17.111463898;18.247095361;16.93823198;18.343335315;17.188455862
2021-08-17;8954.0;15250400.0;247654668.0;15.590872618;17.111463898;14.65734506;17.130711889;15.619744604
2021-08-18;3716.0;1778000.0;28476428.0;15.2059128;15.821848508;15.061552868;16.07207239;15.408016704
2021-08-19;2735.0;2442900.0;37252803.0;15.061552868;14.830576978;14.147273301;15.177040814;14.676593051
2021-08-20;3486.0;1433900.0;22493607.0;15.090424855;14.869072959;14.541857114;15.446512686;15.090424855
2021-08-23;1392.0;521200.0;8219590.0;15.186664809;15.109672846;14.926816932;15.369520723;15.177040814
2021-08-24;4618.0;2555500.0;43182341.0;16.399288235;15.4176407;15.2059128;16.668760108;16.254928304
2021-08-25;1867.0;757300.0;13007029.0;16.745752071;16.399288235;16.033576409;16.83236803;16.524400176
2021-08-26;1355.0;1319100.0;22714387.0;16.841992026;16.745752071;16.110568372;17.024847939;16.562896158
2021-08-27;2384.0;736900.0;12743184.0;16.572520153;16.841992026;16.370416249;16.957479971;16.639888121
2021-08-30;1452.0;942000.0;16059719.0;16.360792254;16.572520153;16.264552299;16.697632094;16.399288235
2021-08-31;1806.0;781500.0;13227363.0;16.360792254;16.360792254;15.898840472;16.688008099;16.28380029
2021-09-01;2164.0;1389700.0;23469266.0;16.553272163;16.505152185;15.841096499;16.582144149;16.245304308
2021-09-02;1761.0;1993100.0;34124841.0;16.457032208;16.553272163;16.17793634;17.130711889;16.476280199
2021-09-03;1546.0;1833100.0;32112644.0;17.409807757;16.457032208;16.457032208;17.506047711;16.851616021
2021-09-06;1474.0;1986100.0;36175488.0;17.891007529;17.313567803;16.909359994;17.919879515;17.525295702
2021-09-08;4094.0;2545400.0;45315802.0;16.755376067;17.891007529;16.149064354;18.237471365;17.130711889
2021-09-09;2493.0;922800.0;15616136.0;16.351168258;16.755376067;15.995080426;16.755376067;16.28380029
2021-09-10;1972.0;547600.0;9022801.0;15.504256659;16.17793634;15.504256659;16.534024172;15.841096499
2021-09-13;1838.0;401800.0;6484365.0;15.31177675;15.619744604;15.31177675;15.764104536;15.52350465
2021-09-14;1267.0;261000.0;4180257.0;15.436888691;15.369520723;15.2059128;15.600496613;15.408016704
2021-09-15;533.0;167700.0;2677760.0;15.398392709;15.436888691;15.215536795;15.533128645;15.359896727
2021-09-16;1418.0;431500.0;6702902.0;14.869072959;15.398392709;14.792080996;15.533128645;14.946064923
2021-09-17;1940.0;484600.0;7242951.0;14.426369169;14.88832095;14.099153324;15.023056887;14.378249192
2021-09-20;2435.0;638200.0;9267299.0;13.945169397;14.108777319;13.704569511;14.301257228;13.974041383
2021-09-21;1370.0;398300.0;5887041.0;14.214641269;14.089529329;13.887425424;14.849824969;14.224265265
2021-09-22;1624.0;321000.0;4886443.0;14.820952982;14.715089032;14.291633233;14.849824969;14.647721064
2021-09-23;1147.0;359800.0;5546051.0;14.830576978;14.869072959;14.561105105;15.321400745;14.830576978
2021-09-24;1012.0;405200.0;6137136.0;14.532233119;14.628473073;14.310881224;14.811328987;14.570729101
2021-09-27;1876.0;516000.0;7661836.0;14.435993165;14.474489146;14.099153324;14.512985128;14.282009237
2021-09-28;1427.0;1584400.0;23283152.0;14.051033347;14.397497183;13.848929442;14.512985128;14.137649306
2021-09-29;2731.0;1648800.0;23688667.0;13.675697524;14.156897297;13.540961588;14.522609123;13.820057456
