Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2021-02-11;0.0;0.0;0.0;11.15;11.15;11.15;11.15;11.15
2021-02-12;30105.0;19543200.0;217714660.0;11.15;11.09;10.75;11.48;11.14
2021-02-17;830.0;1027200.0;11370361.0;11.14;11.15;10.85;11.16;11.06
2021-02-18;1945.0;820300.0;9047154.0;11.14;11.14;10.82;11.15;11.02
2021-02-19;1538.0;764400.0;8511800.0;11.15;11.06;10.83;11.24;11.13
2021-02-22;1905.0;2633300.0;27647075.0;10.85;10.92;10.21;10.92;10.49
2021-02-23;2050.0;1693600.0;18477979.0;11.14;10.96;10.67;11.19;10.91
2021-02-24;1905.0;1074800.0;11860367.0;11.08;11.1;10.87;11.18;11.03
2021-02-25;902.0;542800.0;6024884.0;11.1;11.08;11.01;11.18;11.09
2021-02-26;1617.0;803200.0;8790454.0;10.97;11.13;10.76;11.13;10.94
2021-03-01;2119.0;915700.0;9934795.0;10.9;11.0;10.66;11.01;10.84
2021-03-02;4697.0;2057400.0;21763163.0;10.88;10.9;10.3;10.9;10.57
2021-03-03;3958.0;3620100.0;38290277.0;10.74;10.88;10.35;10.88;10.57
2021-03-04;2756.0;2401000.0;25731237.0;10.7;10.76;10.43;10.99;10.71
2021-03-05;2745.0;1506000.0;15637571.0;10.48;10.71;10.07;10.71;10.38
2021-03-08;1278.0;1481900.0;15101688.0;10.1;10.48;9.92;10.48;10.19
2021-03-09;2540.0;1791400.0;17459042.0;9.84;10.1;9.42;10.25;9.74
2021-03-10;2464.0;1274800.0;12374882.0;9.9;9.86;9.5;9.94;9.7
2021-03-11;2599.0;985200.0;10074526.0;10.4;10.0;9.93;10.4;10.22
2021-03-12;1586.0;1277200.0;13286965.0;10.26;10.4;10.2;10.64;10.4
2021-03-15;558.0;321800.0;3339027.0;10.45;10.37;10.0;10.49;10.37
2021-03-16;429.0;129700.0;1349161.0;10.44;10.44;10.2;10.47;10.4
2021-03-17;1087.0;247200.0;2551060.0;10.32;10.15;10.13;10.45;10.31
2021-03-18;2929.0;968000.0;9387830.0;9.44;10.37;9.44;10.4;9.69
2021-03-19;2981.0;2936000.0;26511999.0;9.0;9.54;8.91;9.54;9.02
2021-03-22;1101.0;346200.0;3084856.0;8.91;9.0;8.84;9.18;8.91
2021-03-23;2273.0;725500.0;6623637.0;9.16;8.89;8.78;9.35;9.12
