Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2021-02-12;0.0;0.0;0.0;22.0;22.0;22.0;22.0;22.0
2021-02-17;10000.0;3206100.0;70496759.0;22.0;22.0;21.61;22.36;21.98
2021-02-18;1831.0;776300.0;17067126.0;22.05;21.95;21.8;22.22;21.98
2021-02-19;612.0;229300.0;5043353.0;21.96;22.14;21.91;22.2;21.99
2021-02-22;3559.0;767600.0;16568855.0;21.9;22.0;21.4;22.01;21.58
2021-02-23;618.0;253700.0;5512157.0;21.7;21.99;21.55;22.0;21.72
2021-02-24;338.0;604800.0;13077119.0;21.83;21.79;21.42;21.85;21.62
2021-02-25;335.0;449700.0;9720327.0;21.6;21.76;21.3;21.76;21.61
2021-02-26;983.0;738100.0;15588938.0;21.4;21.7;20.6;21.78;21.12
2021-03-01;201.0;157500.0;3335155.0;21.2;21.78;20.7;21.79;21.17
2021-03-02;719.0;401500.0;8333561.0;21.0;21.12;20.24;21.68;20.75
2021-03-03;555.0;191900.0;3998413.0;21.14;21.15;20.51;21.35;20.83
2021-03-04;461.0;143700.0;3072879.0;21.5;21.28;21.14;21.5;21.38
2021-03-05;574.0;450800.0;9757368.0;21.65;21.5;21.26;22.05;21.64
2021-03-08;486.0;132200.0;2803532.0;21.05;21.5;20.95;21.88;21.2
2021-03-09;487.0;334600.0;6952849.0;20.5;20.81;20.4;21.18;20.77
2021-03-10;680.0;520700.0;10234992.0;19.7;20.5;19.1;20.75;19.65
2021-03-11;404.0;127700.0;2549909.0;20.79;19.68;19.4;20.88;19.96
2021-03-12;250.0;88900.0;1832520.0;20.57;20.97;20.21;20.99;20.61
2021-03-15;198.0;164500.0;3408796.0;20.8;20.79;20.26;20.8;20.72
2021-03-16;1077.0;541500.0;11335920.0;21.0;21.0;20.6;21.0;20.93
2021-03-17;424.0;254800.0;5360465.0;21.4;21.0;20.64;21.42;21.03
2021-03-18;414.0;707900.0;15402381.0;21.89;21.65;21.4;21.89;21.75
2021-03-19;287.0;61300.0;1330549.0;21.83;21.71;21.28;21.88;21.7
2021-03-22;239.0;102300.0;2188928.0;21.3;21.8;21.3;21.8;21.39
2021-03-23;328.0;99700.0;2173105.0;22.21;21.24;21.1;22.21;21.79
2021-03-24;618.0;154800.0;3404486.0;21.94;22.4;21.82;22.78;21.99
2021-03-25;1038.0;184800.0;3977677.0;21.5;21.9;21.27;21.9;21.52
2021-03-26;824.0;218300.0;4599069.0;20.97;21.62;20.75;21.79;21.06
2021-03-29;478.0;200100.0;4065654.0;20.5;20.99;20.01;21.09;20.31
2021-03-30;1314.0;306000.0;6083253.0;19.85;20.4;19.73;20.4;19.87
2021-03-31;2620.0;452300.0;9450717.0;21.13;20.0;19.95;21.5;20.89
2021-04-01;1995.0;349700.0;7327289.0;21.1;21.15;20.5;21.7;20.95
2021-04-05;674.0;168300.0;3515484.0;20.85;21.27;20.66;21.29;20.88
2021-04-06;662.0;871400.0;17701539.0;20.55;20.85;20.23;20.99;20.31
2021-04-07;795.0;239700.0;4892741.0;20.6;20.84;20.22;20.84;20.41
2021-04-08;576.0;159500.0;3382904.0;21.79;20.6;20.5;21.79;21.2
2021-04-09;1068.0;288800.0;6151594.0;21.4;21.5;20.92;21.7;21.3
2021-04-12;790.0;140300.0;3018371.0;21.6;21.64;21.31;21.7;21.51
2021-04-13;470.0;144600.0;3106906.0;21.58;21.36;21.15;21.58;21.48
2021-04-14;505.0;132800.0;2823898.0;21.2;21.5;21.18;21.54;21.26
2021-04-15;600.0;156600.0;3334280.0;21.3;21.33;21.01;21.5;21.29
2021-04-16;460.0;94500.0;2021339.0;21.47;21.39;21.1;21.5;21.38
2021-04-19;466.0;125900.0;2666305.0;21.1;21.4;21.1;21.46;21.17
2021-04-20;800.0;203100.0;4344383.0;21.59;21.4;21.0;21.79;21.39
2021-04-22;688.0;172000.0;3709617.0;21.49;21.68;21.23;21.9;21.56
2021-04-23;421.0;108300.0;2324400.0;21.49;21.59;21.3;21.68;21.46
2021-04-26;462.0;174300.0;3674879.0;21.0;21.49;21.0;21.49;21.08
2021-04-27;863.0;206700.0;4261622.0;20.5;21.0;20.5;21.0;20.61
2021-04-28;1292.0;288400.0;5867424.0;20.38;20.54;20.17;21.0;20.34
2021-04-29;1464.0;332900.0;6819760.0;20.6;20.49;20.06;20.75;20.48
2021-04-30;864.0;394700.0;8280829.0;21.2;20.6;20.59;21.49;20.98
2021-05-03;323.0;150900.0;3213876.0;21.54;21.49;20.87;21.6;21.29
2021-05-04;338.0;78500.0;1689974.0;21.7;21.31;21.21;21.8;21.52
2021-05-05;593.0;136400.0;2973635.0;21.9;21.75;21.55;21.9;21.8
2021-05-06;1063.0;283900.0;6267402.0;22.12;21.97;21.65;22.28;22.07
2021-05-07;618.0;860200.0;19056453.0;22.15;22.12;22.0;22.28;22.15
2021-05-10;470.0;639400.0;14336746.0;22.48;22.26;22.15;22.48;22.42
2021-05-11;742.0;205000.0;4604497.0;22.62;22.05;22.03;22.69;22.46
2021-05-12;295.0;72100.0;1603623.0;22.18;22.49;22.0;22.6;22.24
2021-05-13;530.0;179100.0;4065890.0;23.19;22.35;22.15;23.19;22.7
2021-05-14;1196.0;558500.0;13160687.0;23.7;23.2;23.12;23.82;23.56
2021-05-17;755.0;409400.0;9736848.0;24.14;23.7;23.4;24.24;23.78
2021-05-18;1116.0;245800.0;5884870.0;24.0;24.0;23.76;24.34;23.94
2021-05-19;809.0;208300.0;4952713.0;23.9;23.8;23.52;24.2;23.77
2021-05-20;833.0;224700.0;5350022.0;23.9;23.71;23.65;24.22;23.8
2021-05-21;548.0;126400.0;3007562.0;23.92;23.75;23.55;24.06;23.79
2021-05-24;715.0;216100.0;5204791.0;24.3;23.92;23.76;24.32;24.08
2021-05-25;649.0;153800.0;3747769.0;24.31;24.3;24.08;24.87;24.36
2021-05-26;523.0;247400.0;5941481.0;23.99;24.12;23.81;24.47;24.01
