Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2010-03-19;0.0;0.0;0.0;3200.0;3200.0;3200.0;3200.0;3200.0
2010-03-22;1941.0;129725.0;367816052.0;2800.0;3000.0;2720.04;3040.0;2835.36
2010-03-23;659.0;33850.0;95524653.0;2872.0;2800.0;2720.0;2879.6;2822.0
2010-03-24;526.0;24875.0;72726963.0;2948.0;2855.96;2855.96;2955.56;2923.68
2010-03-25;161.0;10650.0;31278224.0;2880.0;2968.0;2880.0;2968.0;2936.92
2010-03-26;161.0;9000.0;25830594.0;2860.0;2880.0;2826.0;2906.0;2870.08
2010-03-29;155.0;6575.0;18618418.0;2840.0;2928.0;2780.04;2928.0;2831.68
2010-03-30;125.0;4650.0;13049810.0;2832.0;2812.0;2772.0;2832.0;2806.4
2010-03-31;145.0;8225.0;23125494.0;2800.0;2820.0;2768.0;2840.0;2811.6
2010-04-01;57.0;3025.0;8448921.0;2800.0;2800.12;2772.0;2811.4;2793.04
2010-04-05;82.0;4600.0;12852795.0;2799.96;2800.0;2764.04;2800.0;2794.08
2010-04-06;58.0;2825.0;7772957.0;2740.0;2798.0;2724.0;2798.0;2751.48
2010-04-07;569.0;30350.0;77293389.0;2640.0;2700.0;2420.04;2700.0;2546.72
2010-04-08;410.0;29075.0;80169812.0;2800.0;2596.0;2596.0;2800.0;2757.36
2010-04-09;197.0;8525.0;23041407.0;2640.2;2746.0;2640.2;2759.92;2702.8
2010-04-12;369.0;14975.0;36773943.0;2420.0;2660.0;2408.0;2660.0;2455.68
2010-04-13;388.0;17100.0;42416398.0;2436.04;2452.0;2400.0;2560.0;2480.48
2010-04-14;124.0;8850.0;21740144.0;2466.0;2480.0;2420.0;2480.0;2456.52
2010-04-15;152.0;7675.0;19243134.0;2526.0;2472.0;2471.96;2539.96;2507.24
2010-04-16;78.0;2800.0;6942295.0;2460.0;2554.0;2460.0;2554.0;2479.4
2010-04-19;56.0;1725.0;4240396.0;2444.0;2420.4;2420.0;2493.0;2458.2
2010-04-20;43.0;1100.0;2690340.0;2428.12;2452.04;2428.0;2468.0;2445.76
2010-04-22;65.0;1825.0;4354820.0;2368.0;2412.4;2360.12;2424.0;2386.2
2010-04-23;91.0;3300.0;7664381.0;2339.96;2380.0;2272.0;2380.0;2322.52
2010-04-26;45.0;1300.0;2996580.0;2299.96;2308.0;2284.0;2339.92;2305.08
2010-04-27;94.0;3650.0;8157300.0;2227.96;2280.0;2208.0;2300.0;2234.88
2010-04-28;61.0;2325.0;5279123.0;2240.0;2239.96;2220.0;2302.0;2270.6
2010-04-29;148.0;7000.0;16450283.0;2304.0;2244.0;2244.0;2388.0;2350.04
2010-04-30;142.0;9300.0;21986206.0;2375.96;2340.0;2303.08;2400.0;2364.12
2010-05-03;76.0;6500.0;15452404.0;2384.12;2375.96;2356.0;2400.0;2377.28
2010-05-04;89.0;5875.0;13453662.0;2284.0;2328.0;2240.0;2336.0;2290.0
2010-05-05;67.0;9075.0;20635552.0;2248.0;2244.0;2208.0;2300.0;2273.88
2010-05-06;75.0;7325.0;16271416.0;2124.0;2248.0;2120.0;2279.92;2221.36
2010-05-07;131.0;14175.0;28690687.0;1960.0;2141.2;1960.0;2141.2;2024.04
2010-05-10;120.0;3950.0;8111830.0;2048.04;2100.04;2020.04;2108.0;2053.64
2010-05-11;164.0;5200.0;10260260.0;1960.04;2000.0;1932.0;2040.0;1973.12
2010-05-12;160.0;5350.0;10205600.0;1932.04;1980.0;1840.0;1980.0;1907.6
2010-05-13;107.0;3800.0;7321662.0;1860.0;1942.0;1844.04;2028.0;1926.76
2010-05-14;96.0;5925.0;11208838.0;1916.0;1896.0;1848.0;1960.0;1891.8
2010-05-17;121.0;3475.0;6827873.0;2008.0;1920.0;1880.0;2019.96;1964.84
2010-05-18;103.0;9925.0;19315536.0;1880.0;2000.0;1880.0;2008.0;1946.16
2010-05-19;65.0;8150.0;14905241.0;1832.0;1880.0;1780.0;1880.0;1828.88
2010-05-20;115.0;3775.0;6978966.0;1860.0;1832.0;1812.0;1900.04;1848.72
2010-05-21;101.0;5950.0;11212162.0;1873.96;1860.0;1860.0;1932.0;1884.4
2010-05-24;28.0;850.0;1575852.0;1840.0;1919.96;1814.0;1919.96;1853.96
2010-05-25;26.0;2125.0;3826877.0;1780.0;1793.76;1776.0;1820.0;1800.88
2010-05-26;47.0;2000.0;3684299.0;1840.0;1804.12;1804.12;1860.0;1842.16
2010-05-27;128.0;11100.0;20232001.0;1860.0;1840.4;1796.04;1908.0;1822.72
2010-05-28;22.0;775.0;1482668.0;1955.6;1880.0;1860.4;1955.6;1913.12
2010-05-31;54.0;2175.0;4397489.0;2039.96;1948.0;1948.0;2080.0;2021.84
2010-06-01;51.0;2500.0;5027559.0;2000.0;1995.96;1986.04;2040.04;2011.04
2010-06-02;45.0;1750.0;3646222.0;2080.0;2039.96;2039.96;2116.04;2083.56
2010-06-04;28.0;2500.0;5206439.0;2116.0;2080.0;2072.0;2116.0;2082.56
2010-06-07;20.0;1775.0;3633359.0;2052.0;2112.0;2002.04;2112.0;2046.96
2010-06-08;63.0;1925.0;3920789.0;2036.0;2052.0;1999.96;2099.2;2036.76
2010-06-09;101.0;3725.0;7482519.0;1952.0;2080.0;1952.0;2084.0;2008.72
2010-06-10;60.0;4425.0;8784676.0;1952.0;1944.0;1920.0;2011.96;1985.24
2010-06-11;46.0;2125.0;4166520.0;1951.96;1990.0;1944.0;2000.0;1960.72
2010-06-14;93.0;3550.0;6960371.0;1900.0;2000.0;1880.0;2007.96;1960.68
2010-06-15;55.0;3325.0;6515421.0;1979.56;1932.0;1908.0;1996.0;1959.52
2010-06-16;82.0;2875.0;5472582.0;1886.0;1960.0;1876.04;1960.0;1903.52
2010-06-17;100.0;4350.0;7932829.0;1812.04;1844.0;1792.0;1860.0;1823.64
2010-06-18;96.0;3950.0;7317628.0;1900.0;1820.04;1820.0;1900.0;1852.56
2010-06-21;20.0;525.0;1001459.0;1912.0;1940.0;1892.0;1940.0;1907.56
2010-06-22;33.0;950.0;1815128.0;1900.0;1880.0;1880.0;1940.0;1910.68
2010-06-23;17.0;500.0;951551.0;1904.0;1899.88;1888.4;1915.8;1903.12
2010-06-24;24.0;850.0;1625827.0;1918.0;1918.0;1890.2;1930.8;1912.72
2010-06-25;95.0;3025.0;6033999.0;2040.0;1939.96;1939.96;2040.0;1994.72
