Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2000-05-29;1.0;200.0;2851.0;3.6004238266;3.6004238266;3.6004238266;3.6004238266;3.6004238266
2000-06-27;1.0;200.0;3301.0;4.1687123997;4.1687123997;4.1687123997;4.1687123997;4.1687123997
2000-06-28;1.0;200.0;3400.0;4.2937358858;4.2937358858;4.2937358858;4.2937358858;4.2937358858
2000-06-30;1.0;200.0;3400.0;4.2937358858;4.2937358858;4.2937358858;4.2937358858;4.2937358858
2000-10-17;1.0;600.0;10200.0;4.2937358858;4.2937358858;4.2937358858;4.2937358858;4.2937358858
2001-02-02;2.0;580.0;11600.0;5.3368420847;5.3368420847;5.3368420847;5.3368420847;5.3368420847
2001-02-19;1.0;40.0;960.2;6.4055447121;6.4055447121;6.4055447121;6.4055447121;6.4055447121
2001-05-10;3.0;60.0;1500.0;6.6710526058;6.6710526058;6.6710526058;6.6710526058;6.6710526058
2001-05-22;1.0;60.0;1500.0;6.6710526058;6.6710526058;6.6710526058;6.6710526058;6.6710526058
2002-11-12;1.0;20.0;601.7;8.1151878443;8.1151878443;8.1151878443;8.1151878443;8.1151878443
2005-06-15;4.0;200.0;6130.2;9.5816988693;8.0553491002;8.0553491002;9.5816988693;8.5136706869
2006-02-17;1.0;20.0;680.0;9.4442023933;9.4442023933;9.4442023933;9.4442023933;9.4442023933
2006-04-28;1.0;20.0;700.2;9.7992379364;9.7992379364;9.7992379364;9.7992379364;9.7992379364
2006-05-24;1.0;20.0;700.0;9.7964389539;9.7964389539;9.7964389539;9.7964389539;9.7964389539
2006-06-28;2.0;220.0;7660.0;9.516540698;9.7964389539;9.516540698;9.7964389539;9.7460572678
2006-07-07;1.0;20.0;700.0;9.7964389539;9.7964389539;9.7964389539;9.7964389539;9.7964389539
2006-07-24;1.0;40.0;1780.0;12.455472384;12.455472384;12.455472384;12.455472384;12.455472384
2006-11-21;1.0;20.0;890.0;12.455472384;12.455472384;12.455472384;12.455472384;12.455472384
2006-11-27;1.0;100.0;4450.0;12.455472384;12.455472384;12.455472384;12.455472384;12.455472384
2006-12-06;1.0;60.0;2310.3;10.77748234;10.77748234;10.77748234;10.77748234;10.77748234
2006-12-19;1.0;40.0;1540.0;10.776082849;10.776082849;10.776082849;10.776082849;10.776082849
2007-01-16;2.0;60.0;2499.9;13.9935133;10.496184593;10.496184593;13.9935133;11.661960828
2007-03-22;1.0;20.0;900.0;12.595421512;12.595421512;12.595421512;12.595421512;12.595421512
2007-04-17;1.0;20.0;890.0;12.455472384;12.455472384;12.455472384;12.455472384;12.455472384
2007-04-19;2.0;60.0;2400.0;11.195930233;11.195930233;11.195930233;11.195930233;11.195930233
2007-04-24;1.0;20.0;800.0;11.195930233;11.195930233;11.195930233;11.195930233;11.195930233
2007-05-30;1.0;20.0;810.0;11.35988137;11.35988137;11.35988137;11.35988137;11.35988137
2007-06-04;1.0;20.0;820.0;11.500126819;11.500126819;11.500126819;11.500126819;11.500126819
2007-08-07;1.0;20.0;800.0;11.219635921;11.219635921;11.219635921;11.219635921;11.219635921
2007-08-16;2.0;40.0;1600.0;11.219635921;11.219635921;11.219635921;11.219635921;11.219635921
2007-09-11;1.0;100.0;4000.0;11.219635921;11.219635921;11.219635921;11.219635921;11.219635921
2007-09-25;1.0;100.0;3949.0;11.076585563;11.076585563;11.076585563;11.076585563;11.076585563
2007-11-07;1.0;100.0;3900.0;10.939145023;10.939145023;10.939145023;10.939145023;10.939145023
2008-08-01;1.0;100.0;3400.0;9.5880475576;9.5880475576;9.5880475576;9.5880475576;9.5880475576
2009-03-26;1.0;100.0;3110.0;8.7702435012;8.7702435012;8.7702435012;8.7702435012;8.7702435012
2009-04-02;1.0;100.0;3251.0;9.1678654735;9.1678654735;9.1678654735;9.1678654735;9.1678654735
2009-04-03;1.0;100.0;3251.0;9.1678654735;9.1678654735;9.1678654735;9.1678654735;9.1678654735
2009-11-10;1.0;100.0;6000.0;17.128281129;17.128281129;17.128281129;17.128281129;17.128281129
2010-03-08;1.0;100.0;7499.0;21.428940184;21.428940184;21.428940184;21.428940184;21.428940184
2015-06-30;1.0;100.0;7352.0;22.38736283;22.38736283;22.38736283;22.38736283;22.38736283
2015-07-29;1.0;100.0;7308.0;22.294732001;22.294732001;22.294732001;22.294732001;22.294732001
2015-10-08;1.0;100.0;5530.0;16.870534752;16.870534752;16.870534752;16.870534752;16.870534752
2016-02-17;1.0;100.0;5516.0;16.869423071;16.869423071;16.869423071;16.869423071;16.869423071
2016-03-17;1.0;100.0;5516.0;16.869423071;16.869423071;16.869423071;16.869423071;16.869423071
2016-03-24;1.0;100.0;4033.0;12.334007114;12.334007114;12.334007114;12.334007114;12.334007114
2016-05-10;2.0;200.0;9402.0;14.381818708;14.381818708;14.381818708;14.381818708;14.381818708
2017-01-03;1.0;300.0;13800.0;14.072828346;14.072828346;14.072828346;14.072828346;14.072828346
2017-01-31;1.0;100.0;4600.0;14.072828346;14.072828346;14.072828346;14.072828346;14.072828346
2017-02-01;1.0;100.0;11000.0;33.652415612;33.652415612;33.652415612;33.652415612;33.652415612
2017-03-29;1.0;100.0;8500.0;26.004139337;26.004139337;26.004139337;26.004139337;26.004139337
2017-04-28;1.0;100.0;7250.0;22.180001199;22.180001199;22.180001199;22.180001199;22.180001199
2017-05-05;1.0;100.0;12870.0;39.373326266;39.373326266;39.373326266;39.373326266;39.373326266
2017-05-09;1.0;100.0;13000.0;39.771036633;39.771036633;39.771036633;39.771036633;39.771036633
2017-05-19;1.0;100.0;8501.0;26.007198647;26.007198647;26.007198647;26.007198647;26.007198647
2017-07-27;1.0;100.0;8499.0;26.001080026;26.001080026;26.001080026;26.001080026;26.001080026
2018-02-06;2.0;500.0;37995.0;23.326314697;23.326314697;23.326314697;23.326314697;23.326314697
2018-02-07;3.0;300.0;27000.0;27.626902523;27.626902523;27.626902523;27.626902523;27.626902523
2018-10-23;1.0;500.0;42505.0;26.386124377;26.386124377;26.386124377;26.386124377;26.386124377
2019-01-28;1.0;100.0;9401.0;29.266440896;29.266440896;29.266440896;29.266440896;29.266440896
2019-02-11;2.0;300.0;24606.0;25.533810045;25.533810045;25.533810045;25.533810045;25.533810045
2019-02-12;1.0;100.0;9350.0;29.107671778;29.107671778;29.107671778;29.107671778;29.107671778
