Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2007-01-24;0.0;0.0;0.0;3625810709.6;3625810709.6;3625810709.6;3625810709.6;3625810709.6
2007-01-26;4966.0;0.02445408;107740911.0;3625810709.6;3677608005.5;3576603278.6;3690557329.4;3651709357.6
2007-01-29;1345.0;0.01215104;53024347.0;3548114765.8;3625810709.6;3535165441.9;3638760033.6;3615451250.5
2007-01-30;762.0;0.00243008;10374765.0;3612861385.7;3561064089.8;3457469498.1;3612861385.7;3537755306.7
2007-01-31;467.0;0.00151712;6542612.0;3625810709.6;3612861385.7;3498907334.8;3625810709.6;3574013413.8
2007-02-01;393.0;0.00228992;9971324.0;3623220844.8;3623220844.8;3574013413.8;3630990439.2;3607681656.1
2007-02-02;563.0;0.00238272;10531339.0;3690557329.4;3625810709.6;3548114765.8;3729405301.3;3662068816.7
2007-02-05;154.0;0.0004416;1944960.0;3625810709.6;3687967464.6;3625810709.6;3703506653.4;3649119492.8
2007-02-06;225.0;0.00109152;4789756.0;3651709357.6;3602501926.5;3602501926.5;3677608005.5;3636170168.8
2007-02-07;184.0;0.00151968;6652112.0;3620630980.0;3625810709.6;3599912061.7;3731995166.1;3628400574.4
2007-02-08;71.0;0.00191424;8308557.0;3599912061.7;3623220844.8;3522216117.9;3638760033.6;3597322196.9
2007-02-09;72.0;0.00099072;4271171.0;3561064089.8;3599912061.7;3501497199.6;3630990439.2;3574013413.8
2007-02-12;62.0;0.00064256;2738682.0;3522216117.9;3599912061.7;3509266794.0;3599912061.7;3532575577.1
2007-02-13;159.0;0.002624;10935748.0;3436750579.8;3548114765.8;3392722878.3;3548114765.8;3454879633.3
2007-02-14;140.0;0.0020704;8590896.0;3444520174.1;3436750579.8;3392722878.3;3470418822.1;3439340444.6
2007-02-15;263.0;0.00121664;5088296.0;3522216117.9;3421211391.0;3418621526.2;3548114765.8;3465239092.5
2007-02-16;76.0;0.00035104;1503882.0;3545524901.1;3574013413.8;3509266794.0;3574013413.8;3550704630.6
2007-02-21;108.0;0.00069024;2988831.0;3620630980.0;3457469498.1;3457469498.1;3620630980.0;3589552602.5
2007-02-22;106.0;0.00037024;1610655.0;3618041115.2;3599912061.7;3574013413.8;3625810709.6;3605091791.3
2007-02-23;107.0;0.0016864;7350674.0;3625810709.6;3576603278.6;3548114765.8;3625810709.6;3612861385.7
