Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2000-06-08;191.0;12940.0;1908065.0;115.76370623;119.7555563;114.867579;126.27286712;120.16288968
2000-06-09;76.0;4430.0;601914.0;110.79426071;118.12623053;106.72094242;118.12623053;110.71279248
2000-06-12;21.0;1390.0;181031.0;104.27694988;107.53560141;98.655766292;107.53560141;106.06921211
2000-06-13;29.0;1120.0;137952.0;101.83295735;102.64762412;97.759639064;103.05494973;100.36656028
2000-06-14;14.0;550.0;67723.0;101.01829059;97.759639064;97.759639064;101.83295735;100.28509982
2000-06-15;20.0;1670.0;209128.0;104.27694988;101.83295735;101.01829059;105.90627565;101.99589382
2000-06-16;14.0;930.0;113846.0;101.67002089;101.75148912;99.388964828;101.75148912;99.714829981
2000-06-19;13.0;1790.0;221272.0;101.83295735;99.388964828;99.388964828;101.83295735;100.69242543
2000-06-20;21.0;7330.0;916164.0;101.83295735;100.20363159;100.20363159;103.05494973;101.83295735
2000-06-21;14.0;860.0;108632.0;102.24029074;103.8696165;97.759639064;103.8696165;102.89202104
2000-06-23;1.0;10.0;1269.9999809;103.46228312;103.46228312;103.46228312;103.46228312;103.46228312
2000-06-26;8.0;350.0;43619.0;101.83295735;102.64762412;98.574305831;103.38081489;101.5070922
2000-06-27;9.0;530.0;66088.0;101.83295735;100.93683013;97.759639064;101.83295735;101.58856043
2000-06-28;3.0;30.0;3690.0000572;101.01829059;97.759639064;97.759639064;101.83295735;100.20363159
2000-06-30;2.0;200.0;24799.999237;101.83295735;100.20363159;100.20363159;101.83295735;101.01829059
2000-07-03;4.0;90.0;11501.0;104.11401342;104.27694988;104.03255296;104.27694988;104.11401342
2000-07-04;11.0;270.0;32840.0;101.83295735;105.09160888;90.020335859;105.09160888;99.063099676
2000-07-05;1.0;30.0;3719.9998856;101.01829059;101.01829059;101.01829059;101.01829059;101.01829059
2000-07-06;3.0;40.0;4969.0;101.75148912;101.01829059;101.01829059;101.75148912;101.18122705
2000-07-07;4.0;340.0;42229.0;101.01829059;101.75148912;100.69242543;101.75148912;101.18122705
2000-07-10;5.0;510.0;63345.0;101.42562397;100.61096497;100.61096497;101.83295735;101.18122705
2000-07-11;12.0;1010.0;120639.0;96.130313301;97.759639064;96.130313301;97.841107295;97.270837451
2000-07-13;5.0;1850.0;212870.0;93.68632077;95.315646534;93.68632077;95.315646534;93.767789001
2000-07-17;2.0;200.0;22350.0;90.020335859;92.056995006;90.020335859;92.056995006;91.079399548
2000-07-18;11.0;1120.0;120525.0;89.613002476;87.983676712;86.354350948;90.020335859;87.657811559
2000-07-19;4.0;3010.0;314599.0;89.531534245;84.725017415;84.725017415;89.531534245;85.132350798
2000-07-20;12.0;3290.0;351439.0;87.983676712;86.354350948;86.354350948;87.983676712;87.006081254
2000-07-21;1.0;70.0;7420.000267;86.354350948;86.354350948;86.354350948;86.354350948;86.354350948
2000-07-24;4.0;100.0;10100.000381;82.281032654;82.281032654;82.281032654;82.281032654;82.281032654
2000-07-26;2.0;30.0;3030.0001144;82.281032654;82.281032654;82.281032654;82.281032654;82.281032654
2000-07-27;5.0;50.0;4991.0;82.281032654;82.281032654;79.837040123;82.281032654;81.303429426
2000-07-28;1.0;10.0;1000.0;81.466365887;81.466365887;81.466365887;81.466365887;81.466365887
2000-07-31;3.0;150.0;14640.000343;77.393047593;79.837040123;77.393047593;79.837040123;79.51117497
2000-08-01;2.0;40.0;3720.0000763;75.763721829;75.763721829;75.763721829;75.763721829;75.763721829
2000-08-02;10.0;1670.0;155650.0;77.393047593;75.763721829;75.763721829;77.393047593;75.926650521
2000-08-03;5.0;270.0;26270.0;79.022373357;77.393047593;77.393047593;79.837040123;79.266770279
2000-08-04;2.0;100.0;9300.0001907;75.763721829;75.763721829;75.763721829;75.763721829;75.763721829
2000-08-07;2.0;40.0;3865.0;78.615039973;79.022373357;78.615039973;79.022373357;78.696508204
2000-08-08;4.0;110.0;10446.0;78.940905126;78.207714359;75.763721829;78.940905126;77.393047593
2000-08-09;4.0;70.0;6690.0;78.207714359;77.800380976;77.800380976;78.207714359;77.881849207
2000-08-10;3.0;1010.0;93945.0;75.763721829;76.985714209;75.763721829;76.985714209;75.763721829
2000-08-11;4.0;310.0;29729.000473;78.126246129;78.126246129;78.126246129;78.126246129;78.126246129
2000-08-14;2.0;140.0;13440.000534;78.207714359;78.207714359;78.207714359;78.207714359;78.207714359
2000-08-15;1.0;70.0;6502.9999733;75.682253598;75.682253598;75.682253598;75.682253598;75.682253598
2000-08-16;7.0;100.0;9289.0;75.682253598;75.682253598;75.600785368;75.682253598;75.682253598
2000-08-17;6.0;140.0;13098.0;76.252515673;76.089586982;76.089586982;76.333983904;76.252515673
2000-08-18;7.0;80.0;7451.0;75.763721829;76.252515673;75.600785368;76.252515673;75.845190059
2000-08-21;10.0;180.0;16739.0;75.519324907;76.171055212;75.519324907;76.171055212;75.763721829
2000-08-22;16.0;420.0;38885.0;75.111991523;75.763721829;75.111991523;75.763721829;75.437856676
2000-08-23;9.0;140.0;13024.0;75.763721829;75.763721829;75.763721829;75.845190059;75.763721829
2000-08-24;7.0;140.0;12917.0;74.949055062;74.134396065;74.134396065;75.437856676;75.193451984
2000-08-25;9.0;140.0;12932.0;75.356388445;75.111991523;74.949055062;75.356388445;75.274920215
2000-08-28;10.0;180.0;16554.0;74.78612637;74.949055062;74.78612637;74.949055062;74.949055062
2000-08-29;18.0;1680.0;151625.0;73.319729298;75.030523293;73.319729298;75.030523293;73.564126221
2000-08-30;19.0;850.0;76844.0;73.727062682;74.134396065;69.246411004;74.949055062;73.645594451
2000-08-31;33.0;2030.0;170964.0;69.083474543;73.319729298;57.026456121;73.319729298;68.594680698
2000-09-01;11.0;2100.0;222027.0;75.763721829;75.763721829;69.246411004;87.983676712;86.109946256
2000-09-04;2.0;1170.0;107630.0;74.949055062;74.867586832;74.867586832;74.949055062;74.949055062
2000-09-08;6.0;5050.0;428697.0;69.164942774;69.246411004;65.17309271;69.246411004;69.164942774
2000-09-11;3.0;50.0;4250.0;69.246411004;69.246411004;69.246411004;69.246411004;69.246411004
2000-09-12;8.0;140.0;11900.0;69.246411004;69.246411004;69.246411004;69.246411004;69.246411004
2000-09-13;4.0;80.0;6800.0;69.246411004;69.246411004;69.246411004;69.246411004;69.246411004
2000-09-14;11.0;240.0;20400.0;69.246411004;69.246411004;69.246411004;69.246411004;69.246411004
2000-09-15;5.0;70.0;5942.0;69.164942774;69.164942774;69.083474543;69.164942774;69.164942774
2000-09-18;6.0;170.0;14338.0;69.246411004;69.246411004;66.232156398;69.246411004;68.676148929
2000-09-19;2.0;50.0;4173.0;69.164942774;66.232156398;66.232156398;69.164942774;68.024418623
2000-09-20;4.0;100.0;8473.0;69.246411004;68.920545851;68.920545851;69.246411004;69.002014082
2000-09-21;1.0;110.0;9350.0;69.246411004;69.246411004;69.246411004;69.246411004;69.246411004
2000-09-22;4.0;60.0;5100.0;69.246411004;69.246411004;69.246411004;69.246411004;69.246411004
2000-09-25;3.0;50.0;4250.0;69.246411004;69.246411004;69.246411004;69.246411004;69.246411004
2000-09-26;5.0;80.0;6799.0;69.246411004;69.164942774;69.164942774;69.246411004;69.246411004
