Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2004-10-07;1.0;200.0;3300.0;3.0300617912;3.0300617912;3.0300617912;3.0300617912;3.0300617912
2004-10-13;1.0;1000.0;17500.0;3.2137018997;3.2137018997;3.2137018997;3.2137018997;3.2137018997
2004-10-15;1.0;1400.0;24500.0;3.2137018997;3.2137018997;3.2137018997;3.2137018997;3.2137018997
2004-10-25;5.0;5200.0;88400.0;3.1218818455;3.1218818455;3.1218818455;3.1218818455;3.1218818455
2004-10-28;1.0;1000.0;17000.0;3.1218818455;3.1218818455;3.1218818455;3.1218818455;3.1218818455
2004-11-11;1.0;100.0;1700.0;3.1218818455;3.1218818455;3.1218818455;3.1218818455;3.1218818455
2004-11-12;2.0;200.0;3400.0;3.1218818455;3.1218818455;3.1218818455;3.1218818455;3.1218818455
2004-11-17;2.0;1600.0;26450.0;3.0300617912;3.1218818455;3.0300617912;3.1218818455;3.0355709944
2004-11-29;2.0;400.0;6801.0;3.1218818455;3.1237182465;3.1218818455;3.1237182465;3.1218818455
2004-11-30;1.0;300.0;5100.0;3.1218818455;3.1218818455;3.1218818455;3.1218818455;3.1218818455
2004-12-07;1.0;100.0;1750.0;3.2137018997;3.2137018997;3.2137018997;3.2137018997;3.2137018997
2004-12-16;1.0;100.0;1750.0;3.2137018997;3.2137018997;3.2137018997;3.2137018997;3.2137018997
2004-12-28;1.0;900.0;16650.0;3.3973420083;3.3973420083;3.3973420083;3.3973420083;3.3973420083
2005-01-03;1.0;200.0;3800.0;3.4891620626;3.4891620626;3.4891620626;3.4891620626;3.4891620626
2005-01-11;1.0;1000.0;18010.0;3.3073583551;3.3073583551;3.3073583551;3.3073583551;3.3073583551
2005-01-12;1.0;100.0;1801.0;3.3073583551;3.3073583551;3.3073583551;3.3073583551;3.3073583551
2005-01-14;2.0;1900.0;34219.0;3.3073583551;3.3073583551;3.3073583551;3.3073583551;3.3073583551
2005-01-31;2.0;1100.0;19789.0;3.3036855529;3.3036855529;3.3036855529;3.3036855529;3.3036855529
2005-02-01;1.0;200.0;3600.0;3.305521954;3.305521954;3.305521954;3.305521954;3.305521954
2005-03-01;2.0;1200.0;23760.0;3.6360741494;3.6360741494;3.6360741494;3.6360741494;3.6360741494
2005-03-10;1.0;1100.0;21780.0;3.6360741494;3.6360741494;3.6360741494;3.6360741494;3.6360741494
2005-03-11;1.0;500.0;10000.0;3.6728021711;3.6728021711;3.6728021711;3.6728021711;3.6728021711
2005-03-14;1.0;500.0;10000.0;3.6728021711;3.6728021711;3.6728021711;3.6728021711;3.6728021711
2005-03-16;1.0;1000.0;20500.0;3.7646222254;3.7646222254;3.7646222254;3.7646222254;3.7646222254
2005-03-17;3.0;1900.0;38950.0;3.7646222254;3.7646222254;3.7646222254;3.7646222254;3.7646222254
2005-03-23;1.0;1700.0;35700.0;3.8564422797;3.8564422797;3.8564422797;3.8564422797;3.8564422797
2005-04-13;4.0;2000.0;43000.0;4.0288391163;4.0288391163;4.0288391163;4.0288391163;4.0288391163
2005-05-31;1.0;900.0;18900.0;3.9351451834;3.9351451834;3.9351451834;3.9351451834;3.9351451834
2005-06-06;1.0;1000.0;21000.0;3.9351451834;3.9351451834;3.9351451834;3.9351451834;3.9351451834
2005-06-10;4.0;2200.0;46640.0;3.9726227565;3.9726227565;3.9726227565;3.9726227565;3.9726227565
2005-06-23;3.0;4900.0;103880.0;3.9726227565;3.9726227565;3.9726227565;3.9726227565;3.9726227565
2005-07-01;2.0;1800.0;38160.0;3.9726227565;3.9726227565;3.9726227565;3.9726227565;3.9726227565
2005-07-07;1.0;2900.0;61625.0;3.9819921498;3.9819921498;3.9819921498;3.9819921498;3.9819921498
2005-07-08;1.0;2900.0;61625.0;3.9819921498;3.9819921498;3.9819921498;3.9819921498;3.9819921498
2005-07-27;2.0;200.0;4260.0;3.9913615431;3.9913615431;3.9913615431;3.9913615431;3.9913615431
2005-07-29;1.0;100.0;2130.0;3.9913615431;3.9913615431;3.9913615431;3.9913615431;3.9913615431
2005-08-02;2.0;1900.0;40375.0;3.9819921498;3.9819921498;3.9819921498;3.9819921498;3.9819921498
2005-08-08;1.0;900.0;19125.0;3.9819921498;3.9819921498;3.9819921498;3.9819921498;3.9819921498
2005-08-15;2.0;1300.0;27670.0;3.9913615431;3.9819921498;3.9819921498;3.9913615431;3.9876137858
2005-08-19;1.0;100.0;2100.0;3.9351451834;3.9351451834;3.9351451834;3.9351451834;3.9351451834
2005-08-25;1.0;100.0;2050.0;3.8414512504;3.8414512504;3.8414512504;3.8414512504;3.8414512504
2005-09-09;3.0;3700.0;80512.0;4.0775599614;4.0775599614;4.0775599614;4.0775599614;4.0775599614
2005-09-12;1.0;100.0;2074.0;3.8864243382;3.8864243382;3.8864243382;3.8864243382;3.8864243382
2005-09-13;2.0;300.0;6222.0;3.8864243382;3.8864243382;3.8864243382;3.8864243382;3.8864243382
2005-09-19;1.0;200.0;4148.0;3.8864243382;3.8864243382;3.8864243382;3.8864243382;3.8864243382
2005-09-21;1.0;100.0;2150.0;4.0288391163;4.0288391163;4.0288391163;4.0288391163;4.0288391163
2005-09-26;1.0;200.0;4200.0;3.9351451834;3.9351451834;3.9351451834;3.9351451834;3.9351451834
2005-09-27;1.0;200.0;4200.0;3.9351451834;3.9351451834;3.9351451834;3.9351451834;3.9351451834
2005-09-28;1.0;200.0;4200.0;3.9351451834;3.9351451834;3.9351451834;3.9351451834;3.9351451834
2005-10-11;1.0;100.0;2002.0;3.9351451834;3.9351451834;3.9351451834;3.9351451834;3.9351451834
