Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2020-09-01;0.0;0.0;0.0;6.3754458926;6.3754458926;6.3754458926;6.3754458926;6.3754458926
2020-09-02;33701.0;15462800.0;153575926.0;7.7255403169;6.832977892;6.60046163;8.2130744146;7.4480209075
2020-09-03;27694.0;12416100.0;132689081.0;7.8005455627;8.0855654967;7.5755298253;8.4755927749;8.0105602509
2020-09-04;10802.0;4048500.0;42232220.0;7.8005455627;8.0255613001;7.688037694;8.1005665459;7.8230471364
2020-09-08;3195.0;1459400.0;14971912.0;7.7630429398;7.8005455627;7.5005245795;7.8005455627;7.688037694
2020-09-09;2259.0;1223400.0;12578458.0;7.7180397923;7.7630429398;7.6430345465;7.830547661;7.7105392678
2020-09-10;2022.0;905400.0;9196945.0;7.5755298253;7.688037694;7.5755298253;7.688037694;7.6130324482
2020-09-11;3701.0;1523800.0;15107133.0;7.4255193337;7.5605287762;7.2530072684;7.5755298253;7.4330198583
2020-09-14;4709.0;1182400.0;11676639.0;7.3280125142;7.4255193337;7.3280125142;7.5980313991;7.40301776
2020-09-15;3653.0;838400.0;8101675.0;7.3355130388;7.313011465;7.1254983505;7.3730156617;7.2455067438
2020-09-16;752.0;252900.0;2455624.0;7.40301776;7.3205119896;7.2155046455;7.40301776;7.2755088421
2020-09-17;924.0;517300.0;4990485.0;7.2005035964;7.3955172354;7.1930030718;7.3955172354;7.2305056947
2020-09-18;958.0;338200.0;3201238.0;7.0354920556;7.1930030718;7.0354920556;7.2005035964;7.0954962522
2020-09-21;903.0;359200.0;3309991.0;6.975487859;7.0354920556;6.7729736953;7.0354920556;6.9079831378
2020-09-22;1389.0;418000.0;4012582.0;7.3505140879;7.0354920556;6.9004826132;7.3505140879;7.1930030718
2020-09-23;862.0;285500.0;2763478.0;7.170501498;7.3505140879;7.170501498;7.4255193337;7.2530072684
2020-09-24;607.0;400200.0;3829813.0;7.2005035964;7.1780020226;6.975487859;7.2755088421;7.170501498
2020-09-25;2066.0;406700.0;3851227.0;7.1104973014;7.1930030718;7.0354920556;7.1930030718;7.0954962522
2020-09-28;1283.0;1806300.0;17119352.0;6.975487859;7.0654941539;6.9379852361;7.1404993997;7.1029967768
