Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2023-07-28;1.0;100.0;150.0;1.1046975878;1.1046975878;1.1046975878;1.1046975878;1.1046975878
2023-08-18;1.0;100.0;415.0;3.2761227231;3.2761227231;3.2761227231;3.2761227231;3.2761227231
2023-09-21;1.0;100.0;416.0;3.2840169947;3.2840169947;3.2840169947;3.2840169947;3.2840169947
2023-12-21;1.0;100.0;350.0;2.7629950676;2.7629950676;2.7629950676;2.7629950676;2.7629950676
2023-12-22;1.0;100.0;523.0;4.1287040582;4.1287040582;4.1287040582;4.1287040582;4.1287040582
2024-01-02;1.0;1000.0;5230.0;4.1287040582;4.1287040582;4.1287040582;4.1287040582;4.1287040582
2024-01-08;1.0;100.0;523.0;4.1287040582;4.1287040582;4.1287040582;4.1287040582;4.1287040582
2024-01-09;1.0;1000.0;4500.0;3.6996235701;3.6996235701;3.6996235701;3.6996235701;3.6996235701
2024-01-11;1.0;100.0;499.0;4.10247147;4.10247147;4.10247147;4.10247147;4.10247147
2024-01-26;2.0;1900.0;9481.0;4.10247147;4.10247147;4.10247147;4.10247147;4.10247147
2024-01-31;2.0;300.0;1290.0;3.5351958559;3.5351958559;3.5351958559;3.5351958559;3.5351958559
2024-02-02;8.0;1400.0;5180.0;3.0419127132;3.0419127132;3.0419127132;3.0419127132;3.0419127132
2024-02-05;1.0;100.0;490.0;4.0284789986;4.0284789986;4.0284789986;4.0284789986;4.0284789986
2024-02-06;1.0;100.0;490.0;4.0284789986;4.0284789986;4.0284789986;4.0284789986;4.0284789986
2024-02-07;1.0;100.0;490.0;4.0284789986;4.0284789986;4.0284789986;4.0284789986;4.0284789986
2024-02-08;1.0;100.0;467.0;3.8393871272;3.8393871272;3.8393871272;3.8393871272;3.8393871272
2024-02-09;4.0;1100.0;4829.0;3.6091883273;3.6091883273;3.6091883273;3.6091883273;3.6091883273
2024-02-14;1.0;100.0;357.0;2.935034699;2.935034699;2.935034699;2.935034699;2.935034699
2024-02-15;1.0;100.0;406.0;3.3378825988;3.3378825988;3.3378825988;3.3378825988;3.3378825988
2024-02-16;3.0;400.0;1796.0;3.6914021844;3.6914021844;3.6914021844;3.6914021844;3.6914021844
2024-02-19;9.0;3400.0;16660.0;4.0284789986;4.0284789986;4.0284789986;4.0284789986;4.0284789986
2024-02-21;4.0;1900.0;9310.0;4.0284789986;4.0284789986;4.0284789986;4.0284789986;4.0284789986
2024-02-22;10.0;3900.0;19396.0;4.10247147;4.0695859271;3.8640512844;4.10247147;4.0860286986
2024-02-23;35.0;3800.0;25822.0;5.1794729982;4.1189142414;4.1189142414;6.5688871834;5.5823208981
2024-02-26;44.0;6300.0;54999.0;7.6458887116;6.5688871834;6.5688871834;7.6458887116;7.1772697261
2024-02-27;146.0;28800.0;340195.0;9.0435242825;9.6436854395;8.7968827112;10.112304425;9.7094565252
2024-02-28;114.0;20100.0;236542.0;8.2213857114;10.844007753;8.2213857114;11.09887071;9.6683495966
