Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2007-04-13;29.0;2960.0;1337298.0;448.03544291;445.60961565;440.60944109;451.99597721;447.3423494
2007-04-16;40.0;16220.0;7360499.0;450.46127017;448.2829763;440.65894777;450.51077685;449.32261655
2007-04-17;75.0;9440.0;4304512.0;452.93660411;450.51077685;448.53050969;452.93660411;451.50091042
2007-04-18;60.0;12260.0;5596407.0;450.51077685;452.98611078;447.04530933;452.98611078;451.99597721
2007-04-19;35.0;3480.0;1584012.0;445.56010897;445.56010897;445.56010897;452.98611078;450.70880356
2007-04-20;63.0;10300.0;4692535.0;450.51077685;448.2829763;448.03544291;455.46144472;451.10485699
2007-04-23;92.0;28920.0;13255571.0;464.3726469;448.53050969;448.53050969;464.3726469;453.82772432
2007-04-24;96.0;22280.0;10431690.0;465.85784727;464.3726469;458.48135213;470.214435;463.58054004
2007-04-25;62.0;20580.0;9809650.0;472.78878229;465.85784727;465.85784727;475.26411623;471.94716875
2007-04-26;22.0;1080.0;514166.0;465.36278048;475.26411623;465.36278048;475.26411623;471.40259529
2007-04-27;29.0;2700.0;1273419.0;467.83811442;470.31344836;456.00601819;471.05604854;466.99650088
2007-04-30;23.0;13100.0;6239189.0;467.83811442;470.31344836;467.83811442;474.76904944;471.55111532
2007-05-02;60.0;37480.0;17817215.0;470.31344836;470.31344836;470.31344836;478.68007707;470.70950179
2007-05-03;34.0;1800.0;858459.0;468.82824799;471.30358193;468.82824799;475.26411623;472.19470215
2007-05-04;91.0;37300.0;17787892.0;486.60114567;472.78878229;465.41228716;489.5715464;472.19470215
2007-05-07;26.0;3160.0;1550098.0;481.74949115;488.13585271;481.20491769;489.62105308;485.71002545
2007-05-08;45.0;18020.0;8761985.0;480.21478411;482.69011805;475.26411623;485.16545199;481.45245108
2007-05-09;82.0;27380.0;13382392.0;477.73945017;484.96742527;475.75918302;485.01693195;483.92778502
2007-05-10;50.0;24380.0;11737633.0;474.76904944;480.21478411;470.31344836;480.21478411;476.69980992
2007-05-11;35.0;16420.0;7905366.0;475.16510288;474.76904944;470.31344836;479.71971732;476.69980992
2007-05-14;31.0;13920.0;6740438.0;476.7493166;478.23451696;470.31344836;480.21478411;479.47218393
2007-05-15;37.0;6880.0;3315490.0;476.7493166;476.7493166;471.8481554;477.98698356;477.14537003
2007-05-16;56.0;7620.0;3679704.0;472.83828897;479.12563718;472.83828897;480.16527743;478.1355036
