Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2020-09-16;0.0;0.0;0.0;7.0126113876;7.0126113876;7.0126113876;7.0126113876;7.0126113876
2020-09-17;15336.0;14077200.0;135494597.0;7.0126113876;7.236418134;7.0126113876;7.4527646556;7.176736335
2020-09-18;5319.0;6292000.0;56407193.0;6.7142023924;7.0126113876;6.4157933972;7.0722931867;6.6843614929
2020-09-21;2935.0;2249700.0;19064844.0;6.3411911484;6.4456342967;6.1919866508;6.4754751962;6.3188104737
2020-09-22;1658.0;1926100.0;16185369.0;6.4008729474;6.3337309235;6.1323048517;6.4605547465;6.2665888996
2020-09-23;2069.0;2828200.0;24749342.0;6.6396001436;6.3784922728;6.3561115982;6.6992819427;6.5276967704
2020-09-24;2251.0;1642100.0;14924403.0;6.8484864403;6.6396001436;6.5053160958;6.8932477896;6.7738841915
2020-09-25;3089.0;2064400.0;18652167.0;6.7515035168;6.8484864403;6.676901268;6.9230886891;6.7365830671
2020-09-28;2718.0;1240300.0;11177461.0;6.7142023924;6.8111853159;6.4829354211;7.0200716125;6.7216626173
2020-09-29;1501.0;1015700.0;8984922.0;6.5575376699;6.7142023924;6.4978558709;6.9380091388;6.5948387943
2020-09-30;1796.0;2047100.0;18245405.0;6.9007080144;6.5948387943;6.4456342967;6.9007080144;6.6470603685
2020-10-01;1924.0;699900.0;6613415.0;7.3557817321;6.86340689;6.6843614929;7.3557817321;7.0424522872
2020-10-02;2974.0;730400.0;6941289.0;7.049912512;7.2438783589;7.0349920623;7.3110203829;7.0872136364
2020-10-05;1630.0;886900.0;8399728.0;7.1991170096;7.049912512;6.9081682393;7.1991170096;7.0648329618
2020-10-06;969.0;493200.0;4787214.0;7.2662590336;7.0946738613;7.0946738613;7.3110203829;7.236418134
2020-10-07;1043.0;867500.0;8175435.0;7.0126113876;7.2662590336;6.9603898135;7.2662590336;7.0275318374
2020-10-08;1388.0;1335900.0;12208970.0;6.9305489139;7.1245147608;6.7515035168;7.1468954355;6.8111853159
2020-10-09;983.0;220100.0;2056522.0;6.9753102632;6.803725091;6.803725091;7.049912512;6.9678500383
2020-10-13;596.0;160800.0;1512139.0;6.9976909379;6.9753102632;6.9753102632;7.0648329618;7.0126113876
2020-10-14;832.0;639200.0;5981437.0;7.117054536;6.9603898135;6.7738841915;7.117054536;6.9753102632
2020-10-15;527.0;232400.0;2211765.0;7.0872136364;7.0051511628;7.0051511628;7.1991170096;7.0946738613
