Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2000-08-04;1.0;2.9411764706;301.00001022;39.736797627;39.736797627;39.736797627;39.736797627;39.736797627
2000-08-21;1.0;1247.0588235;154760.00365;48.18581722;48.18581722;48.18581722;48.18581722;48.18581722
2000-12-19;1.0;50.0;5100.0000443;39.604780688;39.604780688;39.604780688;39.604780688;39.604780688
2001-12-28;1.0;23.529411765;2400.0000209;39.604780688;39.604780688;39.604780688;39.604780688;39.604780688
2002-10-28;1.0;2.9411764706;150.0000013;19.802390344;19.802390344;19.802390344;19.802390344;19.802390344
2002-11-19;1.0;2.9411764706;149.00000533;19.670374941;19.670374941;19.670374941;19.670374941;19.670374941
2003-06-25;1.0;29.411764706;4000.00019;52.806376299;52.806376299;52.806376299;52.806376299;52.806376299
2003-06-26;1.0;2.9411764706;499.99998882;66.007965763;66.007965763;66.007965763;66.007965763;66.007965763
2003-06-30;1.0;2.9411764706;499.99998882;66.007965763;66.007965763;66.007965763;66.007965763;66.007965763
2003-08-11;7.0;52.941176471;3979.0;30.363665604;26.535202016;26.535202016;30.363665604;29.175522367
2003-08-12;4.0;26.470588235;2022.0;30.627696409;27.723345252;27.723345252;30.627696409;29.703583979
2003-08-13;2.0;26.470588235;2070.0000459;30.363665604;30.363665604;30.363665604;30.363665604;30.363665604
2003-08-14;1.0;2.9411764706;249.99999441;33.003982882;33.003982882;33.003982882;33.003982882;33.003982882
2003-08-15;5.0;1782.3529412;139380.00309;30.363665604;30.363665604;30.363665604;30.363665604;30.363665604
2003-08-18;1.0;2941.1764706;230000.0051;30.363665604;30.363665604;30.363665604;30.363665604;30.363665604
2003-08-20;1.0;8823.5294118;690000.01531;30.363665604;30.363665604;30.363665604;30.363665604;30.363665604
2003-08-25;7.0;194.11764706;17520.0;35.644303234;33.003982882;33.003982882;38.284620512;34.984221609
2003-08-26;4.0;14764.705882;1531000.0;39.604780688;39.604780688;39.604780688;40.264859239;40.264859239
2003-08-27;15.0;3441.1764706;352250.0;39.604780688;40.264859239;39.604780688;40.924940863;39.736797627
2003-08-28;2.0;132.35294118;13142.0;38.284620512;38.812685197;38.284620512;38.812685197;38.548654391
2003-09-02;1.0;88.235294118;8699.9998894;38.284620512;38.284620512;38.284620512;38.284620512;38.284620512
2003-09-04;1.0;58.823529412;6000.0000522;39.604780688;39.604780688;39.604780688;39.604780688;39.604780688
2003-09-05;3.0;88.235294118;8850.000333;38.944702136;38.944702136;38.944702136;38.944702136;38.944702136
2003-09-08;5.0;185.29411765;18600.0;38.944702136;39.604780688;38.944702136;39.604780688;38.944702136
2003-09-09;50.0;11352.941176;1237660.0;42.245097966;42.245097966;39.604780688;46.205578493;42.377114905
2003-09-10;42.0;6005.8823529;764319.0;42.377114905;44.885418317;42.377114905;54.126533401;49.373960457
2003-09-11;168.0;48055.882353;5097198.0;40.924940863;42.245097966;40.792923924;47.39372173;41.188971669
2003-09-12;43.0;3123.5294118;362350.0;46.205578493;42.245097966;42.245097966;46.205578493;45.017432183
2003-09-15;61.0;4232.3529412;537550.0;49.902022068;50.166055947;47.525735596;50.166055947;49.373960457
2003-09-16;162.0;20317.647059;2841118.0;54.786611952;52.674359359;50.298069813;56.502819874;54.258550341
2003-09-17;75.0;2747.0588235;394056.0;55.446690504;56.106775202;52.938387091;57.426932304;55.710724383
2003-09-18;40.0;1714.7058824;236163.0;52.54234242;54.786611952;51.48621305;55.446690504;53.46645485
2003-09-19;43.0;3547.0588235;417790.0;46.337592359;51.48621305;41.717036354;51.48621305;45.677513808
2003-09-22;23.0;1338.2352941;167565.0;46.073561554;50.958151438;45.149449123;50.958151438;48.581864966
2003-09-23;12.0;594.11764706;67005.0;44.885418317;43.697275081;42.245097966;44.885418317;43.829288947
2003-09-24;21.0;3600.0;403738.0;42.773162651;48.053800281;39.604780688;48.053800281;43.565258142
2003-09-25;16.0;814.70588235;85125.0;38.680668257;44.225336693;38.680668257;44.225336693;40.528893118
2003-09-26;33.0;2355.8823529;237930.0;36.964460336;40.924940863;36.964460336;41.585019415;39.208732942
2003-09-29;3.0;23.529411765;2252.0;36.436398724;36.964460336;36.436398724;39.604780688;37.228494215
2003-09-30;21.0;1514.7058824;143966.0;36.304381785;36.56841259;36.304381785;38.284620512;36.964460336
2003-10-01;19.0;1111.7647059;115427.0;40.924939688;38.284620998;38.284620998;41.849051229;40.264860016
2003-10-02;16.0;355.88235294;37583.0;39.868812212;42.113083098;39.604780343;43.433242443;41.056955623
2003-10-03;5.0;129.41176471;13260.0;39.604780343;40.924939688;39.604780343;40.924939688;39.736796278
2003-10-06;1.0;441.17647059;47850.0;42.113083098;42.113083098;42.113083098;42.113083098;42.113083098
2003-10-07;10.0;2323.5294118;242665.0;39.604780343;41.453003426;39.604780343;41.58501936;40.528891885
2003-10-08;7.0;750.0;75836.0;38.284620998;40.264860016;37.624541326;40.264860016;39.20873254
2003-10-09;5.0;123.52941176;12625.0;39.736796278;39.604780343;39.604780343;40.924939688;39.736796278
2003-10-10;52.0;3252.9411765;360155.0;45.545497395;40.924939688;39.604780343;45.545497395;43.03719464
2003-10-13;39.0;1964.7058824;235955.0;44.885417722;46.601624871;43.829290247;47.525736412;46.601624871
2003-10-14;21.0;1067.6470588;113129.0;41.849051229;42.245099033;40.39687595;42.905178705;41.188971557
2003-10-15;12.0;485.29411765;52780.0;41.58501936;42.245099033;41.056955623;42.905178705;42.245099033
2003-10-16;7.0;123.52941176;13290.0;41.58501936;41.58501936;41.58501936;42.905178705;41.717035295
2003-10-17;32.0;1455.8823529;157800.0;41.58501936;43.565258378;39.736796278;43.565258378;42.113083098
2003-10-20;44.0;3929.4117647;431892.0;43.301226509;41.58501936;41.58501936;43.565258378;42.641146836
2003-10-21;19.0;614.70588235;66341.0;40.792923754;43.565258378;40.792923754;44.093322116;41.849051229
2003-10-22;2.0;5.8823529412;636.0;41.981067164;41.981067164;41.981067164;41.981067164;41.981067164
2003-10-23;10.0;176.47058824;18860.0;41.188971557;41.188971557;40.924939688;42.245099033;41.453003426
2003-10-24;20.0;1232.3529412;133675.0;41.58501936;42.245099033;41.58501936;42.245099033;42.113083098
2003-10-27;5.0;258.82352941;26525.0;40.924939688;42.905178705;39.604780343;42.905178705;39.736796278
2003-10-28;16.0;1170.5882353;127045.0;42.113083098;42.245099033;42.113083098;42.905178705;42.113083098
2003-10-31;7.0;1911.7647059;209920.0;42.245099033;42.641146836;42.245099033;42.641146836;42.641146836
2003-11-04;3.0;88.235294118;9570.0;41.849051229;42.245099033;41.849051229;42.245099033;42.113083098
2003-11-05;32.0;12835.294117;1418205.0;42.905178705;41.981067164;41.981067164;44.22533805;42.905178705
2003-11-06;10.0;670.58823529;73015.0;42.245099033;43.565258378;42.245099033;46.86565674;42.245099033
2003-11-07;4.0;238.23529412;26915.0;42.905178705;45.545497395;42.905178705;45.545497395;43.829290247
2003-11-10;1.0;2.9411764706;352.0;46.469608936;46.469608936;46.469608936;46.469608936;46.469608936
2003-11-11;3.0;64.705882353;7633.0;46.205577067;45.281465526;45.281465526;46.205577067;45.809529264
2003-11-12;2.0;32.352941176;3830.0;45.941545198;46.205577067;45.941545198;46.205577067;45.941545198
2003-11-13;1.0;1441.1764706;168070.0;45.281465526;45.281465526;45.281465526;45.281465526;45.281465526
2003-11-14;3.0;173.52941176;20523.0;45.941545198;45.941545198;45.545497395;45.941545198;45.941545198
2003-11-17;6.0;155.88235294;16436.0;38.284620998;45.545497395;38.284620998;45.545497395;40.924939688
2003-11-18;23.0;1023.5294117;114147.0;43.565258378;43.433242443;40.924939688;43.565258378;43.301226509
2003-11-19;4.0;400.0;46125.0;44.885417722;44.885417722;44.753401788;44.885417722;44.753401788
2003-11-20;1.0;2.9411764706;340.0;44.885417722;44.885417722;44.885417722;44.885417722;44.885417722
2003-11-21;1.0;2.9411764706;338.0;44.621385853;44.621385853;44.621385853;44.621385853;44.621385853
2003-11-24;5.0;355.88235294;38470.0;42.113083098;42.245099033;41.849051229;42.245099033;41.981067164
2003-11-25;1.0;61.764705882;6720.0;42.245099033;42.245099033;42.245099033;42.245099033;42.245099033
2003-11-26;5.0;385.29411765;41977.0;42.905178705;43.169210574;42.245099033;43.169210574;42.245099033
2003-11-27;1.0;2.9411764706;327.0;43.169210574;43.169210574;43.169210574;43.169210574;43.169210574
2003-11-28;1.0;5.8823529412;640.0;42.245099033;42.245099033;42.245099033;42.245099033;42.245099033
2003-12-01;6.0;94.117647059;10293.0;42.113083098;43.169210574;41.981067164;43.169210574;42.509130902
2003-12-02;1.0;2.9411764706;320.0;42.245099033;42.245099033;42.245099033;42.245099033;42.245099033
2003-12-03;2.0;91.176470588;9890.0;42.245099033;42.113083098;42.113083098;42.245099033;42.113083098
2003-12-04;2.0;17.647058824;1875.0;40.924939688;42.905178705;40.924939688;42.905178705;41.320987491
2003-12-05;6.0;147.05882353;15320.0;39.604780343;42.245099033;39.604780343;42.245099033;40.39687595
2003-12-08;5.0;135.29411765;14389.0;39.604780343;42.113083098;39.604780343;42.113083098;41.320987491
2003-12-09;11.0;814.70588235;83100.0;39.604780343;39.604780343;39.604780343;39.604780343;39.604780343
2003-12-10;10.0;3535.2941176;381591.0;42.773162771;40.660907819;40.660907819;42.773162771;41.849051229
2003-12-11;20.0;3676.4705882;375859.0;39.604780343;42.113083098;39.472764409;42.113083098;39.736796278
2003-12-12;6.0;379.41176471;38120.0;38.284620998;39.604780343;38.284620998;39.604780343;39.076716605
2003-12-15;1.0;2.9411764706;318.0;41.981067164;41.981067164;41.981067164;41.981067164;41.981067164
2003-12-16;3.0;88.235294118;9150.0;40.264860016;40.264860016;40.264860016;40.264860016;40.264860016
2003-12-17;2.0;58.823529412;6200.0;40.924939688;40.924939688;40.924939688;40.924939688;40.924939688
2003-12-18;2.0;297.05882353;30614.0;40.000828147;41.453003426;40.000828147;41.453003426;40.000828147
2003-12-19;8.0;976.47058823;99983.0;39.604780343;41.320987491;39.604780343;41.320987491;39.736796278
2003-12-22;3.0;35.294117647;3619.0;39.604780343;41.717035295;39.604780343;41.717035295;39.868812212
2003-12-26;1.0;29.411764706;2980.0;39.340748474;39.340748474;39.340748474;39.340748474;39.340748474
2003-12-29;1.0;2.9411764706;295.0;38.944700671;38.944700671;38.944700671;38.944700671;38.944700671
2003-12-30;1.0;2.9411764706;300.0;39.604780343;39.604780343;39.604780343;39.604780343;39.604780343
2004-01-02;18.0;714.70588235;72860.0;39.604780343;39.604780343;39.472764409;39.604780343;39.604780343
2004-01-05;6.0;76.470588235;7967.0;38.944700671;40.264860016;38.944700671;42.113083098;40.39687595
2004-01-06;11.0;1473.5294118;147802.0;37.624541326;39.076716605;37.624541326;39.472764409;38.944700671
2004-01-07;8.0;338.23529412;33396.0;38.680668802;38.680668802;38.284620998;38.680668802;38.284620998
2004-01-08;2.0;17.647058824;1710.0;37.228493523;38.02058913;37.228493523;38.02058913;37.624541326
2004-01-09;8.0;211.76470588;19947.0;36.964461654;37.360509457;35.644302309;37.360509457;36.56841385
2004-01-12;3.0;376.47058824;36423.0;37.492525392;37.096477588;37.096477588;37.624541326;37.624541326
2004-01-13;4.0;226.47058824;21562.0;35.116238571;37.228493523;35.116238571;37.228493523;36.964461654
2004-01-14;16.0;1402.9411765;116402.0;34.984222637;36.040350112;31.683824275;36.040350112;32.211888013
2004-01-15;6.0;205.88235294;18617.0;34.984222637;34.324142964;33.135999554;35.644302309;35.116238571
2004-01-16;25.0;2700.0;220610.0;32.211888013;34.984222637;31.683824275;34.984222637;31.683824275
2004-01-19;17.0;573.52941176;48623.0;32.211888013;33.532047357;32.211888013;33.532047357;32.871967685
2004-01-20;11.0;302.94117647;25749.0;33.003983619;33.003983619;32.871967685;33.003983619;33.003983619
2004-01-21;15.0;650.0;55769.0;33.003983619;33.003983619;32.343903947;34.324142964;33.268015488
2004-01-22;10.0;147.05882353;12673.0;33.003983619;34.324142964;33.003983619;34.324142964;33.400031423
2004-01-23;15.0;479.41176471;40548.0;33.003983619;35.644302309;31.683824275;35.644302309;32.871967685
2004-01-26;3.0;35.294117647;2960.0;33.664063292;32.343903947;32.343903947;33.664063292;32.607935816
2004-01-27;36.0;1638.2352941;147516.0;33.928095161;34.984222637;33.400031423;35.644302309;34.984222637
2004-01-28;10.0;411.76470588;36253.0;33.400031423;33.664063292;33.400031423;34.984222637;34.19212703
2004-01-29;24.0;1250.0;101930.0;31.419792406;33.400031423;31.419792406;33.400031423;31.683824275
2004-01-30;8.0;258.82352941;20802.0;30.891728668;30.891728668;30.891728668;31.683824275;31.155760537
2004-02-02;1.0;1429.4117647;114696.0;31.155760537;31.155760537;31.155760537;31.155760537;31.155760537
2004-02-03;3.0;138.23529412;11309.0;31.287776471;31.155760537;31.155760537;32.079872078;31.815840209
2004-02-04;5.0;55.882352941;4526.0;31.683824275;31.287776471;31.155760537;31.683824275;31.419792406
2004-02-05;5.0;155.88235294;12293.0;30.36366493;31.683824275;30.36366493;31.683824275;30.627696799
2004-02-06;1.0;29.411764706;2210.0;29.17552152;29.17552152;29.17552152;29.17552152;29.17552152
2004-02-09;1.0;2.9411764706;230.0;30.36366493;30.36366493;30.36366493;30.36366493;30.36366493
2004-02-10;9.0;211.76470588;16464.0;29.967617126;30.36366493;29.967617126;30.36366493;30.231648995
2004-02-11;23.0;7070.5882353;552380.0;30.36366493;30.36366493;29.043505585;30.36366493;30.36366493
2004-02-12;16.0;11144.117647;871444.0;30.36366493;30.36366493;29.043505585;30.36366493;30.36366493
2004-02-13;9.0;3450.0;269790.0;30.36366493;30.36366493;30.36366493;30.36366493;30.36366493
2004-02-16;3.0;35.294117647;2685.0;30.36366493;29.439553389;29.307537454;30.36366493;29.571569323
2004-02-17;9.0;1635.2941176;127880.0;30.36366493;30.36366493;30.36366493;30.36366493;30.36366493
2004-02-18;5.0;167.64705882;13111.0;30.36366493;30.36366493;30.36366493;30.495680864;30.36366493
2004-02-19;9.0;561.76470588;43957.0;30.36366493;30.36366493;30.36366493;31.023744602;30.36366493
2004-02-20;1.0;14.705882352;1150.0;30.36366493;30.36366493;30.36366493;30.36366493;30.36366493
2004-02-25;1.0;88.235294118;6900.0;30.36366493;30.36366493;30.36366493;30.36366493;30.36366493
2004-02-26;1.0;58.823529412;4600.0;30.36366493;30.36366493;30.36366493;30.36366493;30.36366493
2004-02-27;5.0;650.0;50840.0;30.36366493;30.36366493;30.36366493;30.495680864;30.36366493
2004-03-01;2.0;5.8823529412;537.0;34.324142964;36.56841385;34.324142964;36.56841385;35.512286374
2004-03-04;5.0;94.117647059;7597.0;30.36366493;32.343903947;30.36366493;32.343903947;31.287776471
2004-03-05;3.0;32.352941176;2635.0;31.023744602;31.683824275;31.023744602;31.683824275;31.683824275
2004-03-08;2.0;20.588235294;1655.0;32.343903947;31.023744602;31.023744602;32.343903947;31.155760537
2004-03-09;4.0;288.23529412;24594.0;34.324142964;32.607935816;32.607935816;34.324142964;33.135999554
2004-03-10;6.0;647.05882353;58200.0;34.324142964;35.644302309;34.324142964;35.644302309;34.984222637
2004-03-11;2.0;161.76470588;12775.0;30.495680864;32.343903947;30.495680864;32.343903947;30.627696799
2004-03-12;8.0;670.58823529;52510.0;30.36366493;31.155760537;30.36366493;31.155760537;30.36366493
2004-03-15;1.0;14.705882352;1150.0;30.36366493;30.36366493;30.36366493;30.36366493;30.36366493
2004-03-17;1.0;5.8823529412;530.0;34.984222637;34.984222637;34.984222637;34.984222637;34.984222637
2004-03-18;3.0;26.470588235;2362.0;35.248254506;34.984222637;34.324142964;35.248254506;34.588174833
2004-03-19;3.0;20.588235294;1906.0;35.644302309;35.644302309;35.644302309;37.756557261;35.908334178
2004-03-23;9.0;826.47058823;77473.0;36.304381981;35.644302309;35.512286374;36.832445719;36.436397916
2004-03-24;4.0;50.0;4515.0;36.304381981;34.984222637;34.984222637;36.304381981;35.116238571
2004-03-25;6.0;61.764705882;5460.0;33.003983619;34.984222637;33.003983619;34.984222637;34.324142964
2004-03-29;5.0;94.117647059;8844.0;36.964461654;36.964461654;35.644302309;36.964461654;36.436397916
2004-03-30;22.0;2182.3529412;218396.0;39.604780343;38.548652867;37.624541326;39.604780343;38.812684736
2004-03-31;9.0;329.41176471;33742.0;40.264860016;39.604780343;39.472764409;40.264860016;39.736796278
2004-04-01;2.0;32.352941176;3300.0;39.604780343;39.604780343;39.604780343;39.604780343;39.604780343
2004-04-02;1.0;8.8235294118;915.0;40.264860016;40.264860016;40.264860016;40.264860016;40.264860016
2004-04-05;5.0;126.47058823;12850.0;39.340748474;39.340748474;39.340748474;40.924939688;39.472764409
2004-04-06;9.0;470.58823529;48000.0;39.604780343;39.604780343;39.604780343;39.604780343;39.604780343
2004-04-07;3.0;155.88235294;15900.0;39.604780343;39.604780343;39.604780343;39.604780343;39.604780343
2004-04-08;2.0;147.05882353;14000.0;36.964461654;36.964461654;36.964461654;36.964461654;36.964461654
2004-04-13;1.0;8.8235294118;840.0;36.964461654;36.964461654;36.964461654;36.964461654;36.964461654
2004-04-16;6.0;1826.4705882;173880.0;36.964461654;36.964461654;36.964461654;36.964461654;36.964461654
2004-04-19;2.0;294.11764706;28000.0;36.964461654;36.964461654;36.964461654;36.964461654;36.964461654
2004-04-23;6.0;170.58823529;16240.0;36.964461654;36.964461654;36.964461654;36.964461654;36.964461654
2004-04-27;3.0;29.411764706;2750.0;36.304381981;36.304381981;36.304381981;36.304381981;36.304381981
2004-05-03;4.0;252.94117647;22010.0;33.003983619;34.324142964;33.003983619;34.324142964;33.796079226
2004-05-04;1.0;11.764705882;1000.0;33.003983619;33.003983619;33.003983619;33.003983619;33.003983619
2004-05-06;5.0;132.35294118;11260.0;33.003983619;33.664063292;33.003983619;33.664063292;33.003983619
2004-05-07;2.0;176.47058824;15000.0;33.003983619;33.003983619;33.003983619;33.003983619;33.003983619
2004-05-10;12.0;1526.4705882;129750.0;33.003983619;33.003983619;33.003983619;33.003983619;33.003983619
2004-05-11;2.0;294.11764706;25000.0;33.003983619;33.003983619;33.003983619;33.003983619;33.003983619
2004-05-12;2.0;102.94117647;9650.0;36.964461654;33.003983619;33.003983619;36.964461654;36.436397916
2004-05-14;1.0;2.9411764706;295.0;38.944700671;38.944700671;38.944700671;38.944700671;38.944700671
2004-05-17;1.0;2.9411764706;260.0;34.324142964;34.324142964;34.324142964;34.324142964;34.324142964
