Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2006-12-08;0.0;0.0;0.0;14.203607266;14.203607266;14.203607266;14.203607266;14.203607266
2006-12-11;7315.0;9021900.0;213191722.0;13.992064179;14.505811676;13.992064179;14.79592791;14.282180413
2006-12-12;1208.0;1202500.0;27718531.0;14.040416885;13.998108268;13.780521092;14.131078208;13.931623297
2006-12-13;1035.0;867300.0;20352436.0;14.264048148;14.052505061;13.901402856;14.264048148;14.185475002
2006-12-14;692.0;274000.0;6518714.0;14.378885824;14.505811676;14.270092237;14.505811676;14.378885824
2006-12-15;498.0;641400.0;15088850.0;14.264048148;14.330533119;13.986020091;14.330533119;14.215695443
2006-12-18;500.0;569500.0;13364406.0;14.185475002;14.264048148;14.082725502;14.264048148;14.185475002
2006-12-19;369.0;340900.0;7852949.0;13.901402856;14.082725502;13.786565181;14.082725502;13.925579209
2006-12-20;638.0;628900.0;14189500.0;13.895358768;13.901402856;13.309082213;13.943711474;13.635462976
2006-12-21;398.0;701800.0;15974322.0;13.895358768;13.895358768;13.593154358;13.901402856;13.75634474
2006-12-22;243.0;225800.0;5150649.0;13.840961974;13.895358768;13.72008021;13.895358768;13.786565181
2006-12-26;273.0;259800.0;5911327.0;13.72008021;13.840961974;13.599198447;13.901402856;13.750300651
2006-12-27;351.0;574700.0;13267416.0;14.02228462;13.659639329;13.659639329;14.082725502;13.95579965
2006-12-28;164.0;309600.0;7147917.0;13.901402856;14.02228462;13.847006063;14.203607266;13.95579965
2007-01-02;259.0;297000.0;6883996.0;14.137122296;13.853050151;13.853050151;14.197563178;14.010196444
2007-01-03;249.0;191100.0;4390695.0;13.901402856;14.137122296;13.780521092;14.137122296;13.88931468
2007-01-04;215.0;295400.0;6836201.0;14.02228462;13.901402856;13.810741533;14.02228462;13.986020091
2007-01-05;375.0;2330100.0;54088765.0;14.264048148;14.02228462;13.925579209;14.264048148;14.028328709
2007-01-08;372.0;596000.0;14026416.0;14.421194442;14.233827707;14.106901855;14.421194442;14.221739531
2007-01-09;186.0;108600.0;2541254.0;14.264048148;14.264048148;13.901402856;14.270092237;14.143166384
2007-01-10;108.0;241300.0;5645943.0;14.25800406;13.961843738;13.871182415;14.25800406;14.143166384
2007-01-11;388.0;190400.0;4517042.0;14.499767588;14.239871796;13.931623297;14.499767588;14.336577207
2007-01-12;241.0;412100.0;9634700.0;14.173386825;14.439326706;13.992064179;14.475591235;14.131078208
2007-01-15;92.0;67200.0;1565508.0;14.052505061;14.052505061;13.992064179;14.233827707;14.082725502
2007-01-16;191.0;409900.0;9379329.0;13.871182415;13.967887827;13.659639329;13.967887827;13.828873798
2007-01-17;237.0;539700.0;12532766.0;14.475591235;13.689859769;13.689859769;14.475591235;14.034372797
2007-01-18;326.0;309100.0;7344933.0;14.409106265;14.475591235;14.264048148;14.475591235;14.36075356
2007-01-19;594.0;234600.0;5657997.0;14.808016086;14.203607266;14.143166384;14.808016086;14.578340735
2007-01-22;275.0;395400.0;9513016.0;14.687134322;14.747575204;14.421194442;14.771751557;14.542076206
2007-01-23;640.0;510700.0;12587301.0;14.989338732;14.56020847;14.56020847;14.99538282;14.898677409
2007-01-24;854.0;491000.0;12651578.0;16.016833726;14.983294644;14.983294644;16.016833726;15.575615287
2007-01-26;329.0;168700.0;4393741.0;15.986613285;15.714629316;15.412424906;15.986613285;15.738805669
2007-01-29;512.0;479700.0;12906062.0;16.319038136;15.986613285;15.974525109;16.409699459;16.258597254
2007-01-30;422.0;271100.0;7458797.0;17.165210484;16.288817695;16.264641343;17.165210484;16.627286634
2007-01-31;470.0;631100.0;17897767.0;17.165210484;17.201475013;16.802565192;17.34653313;17.141034131
2007-02-01;580.0;554900.0;16085785.0;17.830060186;17.171254572;17.134990043;18.132264596;17.521811688
2007-02-02;343.0;348600.0;10128994.0;17.769619304;17.890501068;16.923446956;17.95094195;17.564120305
2007-02-05;214.0;207500.0;5971703.0;17.527855776;17.630605275;17.104769602;17.830060186;17.394885836
2007-02-06;205.0;174200.0;5015944.0;17.521811688;17.527855776;17.050372808;17.757531128;17.400929924
2007-02-07;241.0;254200.0;7233271.0;17.34653313;17.406974012;16.627286634;17.527855776;17.201475013
2007-02-08;334.0;418200.0;11686777.0;16.893226515;17.388841748;16.621242546;17.388841748;16.893226515
2007-02-09;305.0;416400.0;11259905.0;16.228376813;16.80860928;16.016833726;17.032240544;16.343214489
2007-02-12;221.0;198400.0;5272096.0;16.089362785;16.258597254;15.865731521;16.4399199;16.059142344
2007-02-13;167.0;119800.0;3240332.0;16.319038136;15.956392844;15.956392844;16.560801664;16.349258577
2007-02-14;215.0;251400.0;6783550.0;16.409699459;16.433875812;16.016833726;16.560801664;16.30694996
2007-02-15;238.0;338600.0;9454701.0;16.983887838;16.409699459;16.409699459;17.038284632;16.875094251
2007-02-16;117.0;96600.0;2685948.0;16.983887838;16.983887838;16.500360782;17.038284632;16.802565192
2007-02-21;144.0;115400.0;3166252.0;16.621242546;16.923446956;16.379479018;17.04432872;16.584978017
2007-02-22;191.0;128800.0;3588705.0;16.91135878;16.923446956;16.591022105;16.953667397;16.838829721
2007-02-23;207.0;133600.0;3677053.0;16.560801664;16.621242546;16.409699459;16.923446956;16.633330723
2007-02-26;266.0;328000.0;9091018.0;16.802565192;16.621242546;16.621242546;16.923446956;16.754212487
2007-02-27;527.0;506900.0;13212289.0;15.720673404;16.802565192;15.170661378;16.802565192;15.750893845
2007-02-28;383.0;571700.0;14882102.0;15.714629316;15.90199605;15.116264584;16.077274608;15.732761581
2007-03-01;280.0;641100.0;16341638.0;16.198156372;15.412424906;14.62669344;16.198156372;15.406380818
2007-03-02;238.0;496200.0;12940133.0;16.192112284;16.161891843;15.291543142;16.252553166;15.762982022
2007-03-05;268.0;310000.0;8102075.0;15.895951962;15.503086229;15.412424906;16.016833726;15.799246551
2007-03-06;257.0;441300.0;12046489.0;16.74212431;16.319038136;16.016833726;16.74212431;16.500360782
2007-03-07;272.0;540600.0;15090588.0;17.165210484;16.784432928;16.458052165;17.165210484;16.869050162
2007-03-08;397.0;382100.0;10934424.0;17.267959984;16.917402868;16.802565192;17.527855776;17.298180425
2007-03-09;176.0;260300.0;7269740.0;16.863006074;17.292136336;16.754212487;17.521811688;16.881138339
2007-03-12;174.0;339000.0;9283393.0;16.591022105;16.74212431;16.4399199;16.74212431;16.548713488
2007-03-13;350.0;383600.0;10170585.0;16.312994048;16.331126313;15.412424906;16.554757576;16.022877815
2007-03-14;413.0;278200.0;7472991.0;16.681683428;16.167935931;15.66627661;16.681683428;16.234420902
2007-03-15;214.0;187600.0;5106691.0;16.409699459;16.687727516;16.13771549;16.699815693;16.452008077
2007-03-16;297.0;582200.0;15527780.0;16.433875812;16.37343493;15.714629316;16.67563934;16.119583226
2007-03-19;179.0;166900.0;4557320.0;16.554757576;16.621242546;16.319038136;16.802565192;16.506404871
2007-03-20;288.0;1068400.0;29074358.0;16.294861784;16.917402868;16.294861784;16.917402868;16.445963989
2007-03-21;514.0;640000.0;17783575.0;17.400929924;16.464096253;16.047054167;17.400929924;16.796521104
2007-03-22;238.0;422300.0;12044314.0;17.34653313;17.400929924;16.923446956;17.443238541;17.237739543
2007-03-23;143.0;188900.0;5409976.0;17.310268601;17.388841748;17.165210484;17.406974012;17.310268601
2007-03-26;185.0;201100.0;5717247.0;17.225651366;17.165210484;16.748168398;17.539943952;17.183342749
2007-03-27;156.0;227200.0;6472253.0;17.328400866;17.310268601;17.002020103;17.406974012;17.219607278
2007-03-28;170.0;164400.0;4627799.0;16.923446956;17.34653313;16.802565192;17.34653313;17.014108279
2007-03-29;187.0;496000.0;14053526.0;17.34653313;17.340489042;16.923446956;17.34653313;17.122901867
2007-03-30;185.0;657700.0;18810621.0;17.34653313;17.370709483;17.020152367;17.370709483;17.286092248
2007-04-02;441.0;1242300.0;35659965.0;17.225651366;17.255871807;17.171254572;17.64873754;17.34653313
2007-04-03;357.0;424700.0;12399550.0;17.703134334;17.521811688;17.14707822;17.830060186;17.64873754
2007-04-04;340.0;503200.0;15018266.0;18.011382832;17.703134334;17.588296658;18.283366801;18.041603273
2007-04-05;219.0;339800.0;10413912.0;18.917996062;17.975118303;17.739398863;19.147671413;18.525130329
2007-04-09;205.0;374400.0;11830314.0;19.008657385;18.972392856;18.706452975;19.576801675;19.099318708
2007-04-10;169.0;358700.0;11159752.0;18.797114298;19.099318708;18.676232534;19.099318708;18.803158386
2007-04-11;213.0;599500.0;18519966.0;18.615791652;18.736673416;18.077867802;19.032833738;18.670188446
2007-04-12;256.0;920400.0;27969655.0;18.543262593;18.85755518;18.144352772;18.85755518;18.367984036
2007-04-13;199.0;1079500.0;33712186.0;19.189980031;18.736673416;18.609747564;19.455919911;18.875687444
2007-04-16;374.0;604400.0;19382440.0;19.455919911;19.189980031;19.069098267;19.643286646;19.383390853
2007-04-17;265.0;691900.0;22104382.0;19.280641354;19.341082236;19.044921914;19.909226526;19.310861795
2007-04-18;284.0;405500.0;13057880.0;19.818565203;19.600978028;19.232288648;19.818565203;19.461964
2007-04-19;411.0;785500.0;25914807.0;20.241651377;19.341082236;19.341082236;20.247695465;19.939446967
2007-04-20;202.0;814300.0;27557940.0;20.187254584;20.259783642;20.06637282;20.846060197;20.453194464
2007-04-23;199.0;411100.0;13685497.0;20.368577229;20.193298672;19.76416841;20.731222521;20.120769613
2007-04-24;115.0;260200.0;8757237.0;20.308136347;20.368577229;20.13285779;20.664737551;20.344400877
2007-04-25;158.0;451100.0;15338924.0;20.549899875;20.489458993;20.441106288;20.791663403;20.549899875
2007-04-26;166.0;339400.0;11415461.0;19.945491056;20.815839756;19.945491056;20.815839756;20.326268612
2007-04-27;172.0;262400.0;8556968.0;19.534493058;19.945491056;19.52844897;19.945491056;19.709771616
2007-04-30;152.0;197700.0;6291533.0;19.099318708;19.891094262;19.09327462;19.945491056;19.232288648
2007-05-02;317.0;521200.0;16219173.0;18.676232534;19.177891854;18.652056181;19.22624456;18.809202474
2007-05-03;314.0;407600.0;12543195.0;18.676232534;18.797114298;18.434469006;18.797114298;18.597659387
2007-05-04;378.0;341700.0;10851322.0;19.431743559;18.839422915;18.839422915;19.437787647;19.196024119
2007-05-07;325.0;535500.0;17105825.0;19.576801675;19.697683439;19.165803678;19.697683439;19.304817706
2007-05-08;197.0;263500.0;8445423.0;19.492184441;19.492184441;19.220200472;19.643286646;19.371302677
2007-05-09;192.0;254200.0;8381049.0;20.187254584;19.371302677;19.347126324;20.187254584;19.927358791
2007-05-10;346.0;448300.0;14767228.0;19.885050174;20.187254584;18.742717504;20.513635346;19.909226526
2007-05-11;238.0;187100.0;6313913.0;20.537811699;19.921314703;19.915270615;20.543855787;20.39879767
2007-05-14;215.0;174200.0;5992394.0;20.773531139;20.531767611;20.253739554;20.972986049;20.791663403
2007-05-15;294.0;261600.0;8756670.0;20.241651377;20.731222521;19.945491056;20.912545167;20.229563201
2007-05-16;224.0;367700.0;12443534.0;20.4350622;20.513635346;20.096593261;20.821883844;20.453194464
2007-05-17;238.0;453100.0;15521670.0;20.997162402;20.374621318;20.368577229;21.154308695;20.707046169
2007-05-18;248.0;655100.0;23092526.0;21.529042164;20.972986049;20.972986049;22.060921925;21.3054109
2007-05-21;262.0;532300.0;19421151.0;22.060921925;21.758717515;21.522998075;22.363126335;22.054877837
2007-05-22;169.0;333100.0;12288705.0;22.538404893;22.169715513;22.121362807;22.538404893;22.296641365
2007-05-23;168.0;351200.0;13121265.0;22.665330745;22.484008099;22.363126335;22.81643295;22.58071351
2007-05-24;284.0;349400.0;12799388.0;21.879599279;22.635110304;21.825202485;22.81643295;22.139495072
2007-05-25;155.0;199400.0;7384641.0;22.538404893;22.060921925;22.060921925;22.550493069;22.3812586
2007-05-28;86.0;57700.0;2170431.0;22.822477038;22.840609303;22.629066216;22.937314714;22.737859803
2007-05-29;234.0;396900.0;14745375.0;22.242244571;22.731815715;21.940040161;22.907094273;22.453787658
2007-05-30;166.0;163300.0;6064315.0;22.846653391;22.060921925;21.492777634;22.961491067;22.44774357
2007-05-31;146.0;167800.0;6476384.0;23.571943975;22.931270626;22.931270626;23.571943975;23.330180447
2007-06-01;306.0;561200.0;22286220.0;23.874148385;23.571943975;23.571943975;24.339543176;24.001074237
2007-06-04;229.0;422400.0;16709180.0;24.146132354;23.632384857;22.997755596;24.146132354;23.910412914
2007-06-05;200.0;271100.0;10714470.0;24.02525059;24.146132354;23.571943975;24.170308706;23.886236561
2007-06-06;223.0;228700.0;8899797.0;23.874148385;23.874148385;23.330180447;23.874148385;23.517547181
2007-06-08;145.0;280800.0;11080266.0;24.236793677;23.269739565;23.058196478;24.236793677;23.849972032
2007-06-11;298.0;411900.0;16869249.0;25.082966024;24.248881853;24.242837765;25.082966024;24.750541173
2007-06-12;273.0;683200.0;27921406.0;24.430204499;25.082966024;24.369763617;25.095054201;24.702188468
2007-06-13;201.0;750100.0;30668497.0;25.082966024;24.720320733;24.418116323;25.258244582;24.714276644
2007-06-14;186.0;240100.0;9992650.0;25.203847788;25.082966024;25.076921936;25.385170434;25.155495083
2007-06-15;207.0;809700.0;34509797.0;25.747815726;25.506052198;25.379126346;26.231342782;25.759903903
2007-06-18;201.0;183900.0;7942887.0;26.291783664;25.989579254;25.717595285;26.533547192;26.10441693
2007-06-19;234.0;243700.0;10499858.0;26.291783664;26.467062222;25.778036167;26.587943986;26.043976048
2007-06-20;201.0;168800.0;7172635.0;25.385170434;26.291783664;25.385170434;26.412665428;25.681330756
2007-06-21;138.0;101600.0;4292204.0;25.687374844;25.808256608;24.931863819;25.808256608;25.536272639
2007-06-22;206.0;172900.0;7333820.0;25.56649308;25.506052198;25.385170434;25.983535166;25.639022139
2007-06-25;225.0;201700.0;8348017.0;24.804937967;25.747815726;24.653835762;25.953314725;25.016481054
2007-06-26;156.0;119100.0;4884042.0;24.65987985;24.810982055;24.611527145;25.354949993;24.786805703
2007-06-27;247.0;227100.0;9193130.0;24.780761614;24.65987985;24.188440971;24.780761614;24.466469028
2007-06-28;202.0;171100.0;7062049.0;24.780761614;25.082966024;24.538998087;25.143406906;24.943951996
