Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2017-02-16;194.0;1252.2222222;148840.0;135.0;86.4;81.0;145.8;118.8
2017-02-17;1038.0;22911.481481;5183123.0;229.5;202.5;175.5;253.8;226.8
2017-02-20;1267.0;14801.111111;4047410.0;270.0;267.3;248.4;321.3;272.7
2017-02-21;1056.0;8441.1111111;1997636.0;202.5;275.4;197.1;280.8;237.6
2017-02-22;243.0;4044.8148148;862448.0;213.3;205.2;191.7;216.0;213.3
2017-02-23;204.0;9613.3333333;2068371.0;216.0;216.0;205.2;216.0;216.0
2017-02-24;381.0;2222.2222222;428601.0;186.3;213.3;175.5;213.3;191.7
2017-03-01;190.0;1126.6666667;230608.0;210.6;189.0;186.3;216.0;205.2
2017-03-02;219.0;1855.9259259;399404.0;216.0;221.4;199.8;229.5;216.0
2017-03-03;133.0;905.55555556;184686.0;207.9;213.3;191.7;216.0;205.2
2017-03-06;91.0;371.85185185;74600.0;202.5;202.5;191.7;210.6;199.8
2017-03-07;111.0;347.40740741;70333.0;205.2;202.5;199.8;213.3;202.5
2017-03-08;47.0;100.74074074;20330.0;199.8;202.5;194.4;210.6;202.5
2017-03-09;66.0;213.33333333;42393.0;199.8;199.8;194.4;207.9;199.8
2017-03-10;99.0;372.22222222;74261.0;202.5;199.8;194.4;207.9;199.8
2017-03-13;138.0;1204.8148148;249893.0;207.9;202.5;194.4;216.0;207.9
2017-03-14;55.0;99.62962963;20739.0;207.9;207.9;205.2;213.3;207.9
2017-03-15;34.0;94.444444444;19425.0;210.6;207.9;199.8;213.3;205.2
2017-03-16;25.0;68.888888889;14159.0;207.9;213.3;202.5;213.3;205.2
2017-03-17;52.0;252.96296296;52289.0;210.6;207.9;199.8;210.6;207.9
2017-03-20;71.0;346.2962963;72190.0;207.9;210.6;202.5;213.3;207.9
2017-03-21;89.0;258.14814815;52900.0;207.9;207.9;199.8;210.6;205.2
2017-03-22;179.0;918.14814815;177543.0;189.0;205.2;183.6;207.9;194.4
2017-03-23;49.0;192.22222222;35611.0;189.0;189.0;183.6;191.7;186.3
2017-03-24;69.0;132.22222222;25216.0;189.0;189.0;189.0;197.1;191.7
2017-03-27;50.0;180.0;31576.0;175.5;183.6;170.1;183.6;175.5
2017-03-28;75.0;254.81481482;42664.0;170.1;175.5;159.3;175.5;167.4
2017-03-29;196.0;2499.6296296;403972.0;159.3;175.5;156.6;175.5;162.0
2017-03-30;262.0;2341.1111111;350054.0;148.5;156.6;143.1;162.0;148.5
2017-03-31;109.0;520.0;74332.0;148.5;145.8;140.4;148.5;143.1
2017-04-03;92.0;745.55555556;109925.0;148.5;145.8;143.1;148.5;148.5
2017-04-04;174.0;1362.2222222;201501.0;148.5;151.2;140.4;159.3;148.5
2017-04-05;125.0;1143.7037037;163174.0;140.4;148.5;137.7;148.5;143.1
2017-04-06;97.0;827.40740741;112126.0;132.3;140.4;132.3;140.4;135.0
2017-04-07;247.0;1065.9259259;147741.0;137.7;132.3;124.2;148.5;137.7
