Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2010-10-22;0.0;0.0;0.0;23.961513377;23.961513377;23.961513377;23.961513377;23.961513377
2010-10-25;1627.0;25180000.0;590550369.0;23.30257176;24.061353017;22.065358952;24.360871934;23.415590231
2010-10-26;704.0;7200000.0;163944504.0;22.463918791;22.763637388;22.463918791;23.362475543;22.733485817
2010-10-27;350.0;3685000.0;84097094.0;22.66359807;22.463918791;22.166796025;23.162796265;22.784803391
2010-10-28;222.0;2900000.0;64907026.0;22.463918791;22.673582033;22.064560235;22.673582033;22.345908338
2010-10-29;96.0;825000.0;18752345.0;22.703533925;22.56375843;22.364079152;22.863277348;22.693749641
2010-11-01;143.0;910000.0;21344495.0;23.462315182;22.803373564;22.803373564;23.741666492;23.417786703
2010-11-03;171.0;2010000.0;47945795.0;23.861673738;23.721898244;23.365870091;24.161192656;23.815348146
2010-11-04;87.0;1385000.0;33227415.0;23.921577522;23.861673738;23.762233458;24.160992976;23.95252781
2010-11-05;258.0;5510000.0;133375186.0;24.360871934;23.921178163;23.921178163;24.400807789;24.167183034
2010-11-08;80.0;960000.0;23167850.0;23.961513377;24.360871934;23.961513377;24.360871934;24.094499777
2010-11-09;171.0;1500000.0;36160468.0;23.562154821;23.961713057;23.562154821;24.560551212;24.068341791
2010-11-10;55.0;465000.0;10941008.0;23.66199446;24.161192656;23.183163551;24.161192656;23.491268677
2010-11-11;124.0;1085000.0;25561646.0;23.562154821;23.162796265;23.162796265;23.801769955;23.521420248
2010-11-12;50.0;345000.0;8121916.0;23.362475543;23.561955142;23.27481634;23.661794781;23.504048151
2010-11-16;121.0;1245000.0;28393909.0;22.205334126;22.963116987;22.164399874;23.162796265;22.769827446
2010-11-17;133.0;1025000.0;23133612.0;22.56375843;22.205334126;22.204535409;22.703334246;22.533207501
2010-11-18;151.0;1300000.0;30805265.0;23.961713057;22.863277348;22.863277348;24.041385089;23.658400233
2010-11-19;55.0;1455000.0;34890871.0;23.961513377;23.462315182;23.462315182;24.061353017;23.94154545
2010-11-22;84.0;815000.0;19536060.0;23.981481305;24.001648912;23.761834099;24.001648912;23.932160524
2010-11-23;87.0;1040000.0;24984634.0;24.161192656;23.961513377;23.861673738;24.360871934;23.985075532
2010-11-24;137.0;1055000.0;27497657.0;26.95670255;24.560551212;24.560551212;26.95670255;26.022403207
2010-11-25;69.0;585000.0;15741033.0;26.95670255;27.555740384;26.557343993;27.555740384;26.864650402
2010-11-26;156.0;1450000.0;40636567.0;27.755419662;26.577311921;26.577311921;28.653976414;27.980258529
2010-11-29;169.0;1065000.0;29655072.0;27.655580023;27.755419662;27.376029034;28.314521641;27.800547179
2010-11-30;72.0;510000.0;13861080.0;27.036574261;27.156381828;26.607663171;27.95509894;27.135016145
2010-12-01;118.0;990000.0;27187096.0;27.954899261;27.03677394;26.956902229;27.954899261;27.417762003
2010-12-02;210.0;1580000.0;45005135.0;29.552533166;27.95509894;27.755419662;29.897978317;28.438522473
2010-12-03;222.0;2645000.0;80677101.0;31.181916075;29.931923794;29.255011041;31.748805546;30.452887031
2010-12-06;217.0;5535000.0;177071329.0;32.44748334;31.050327431;31.050327431;32.547722338;31.939898615
2010-12-07;200.0;1485000.0;49425359.0;31.948684503;32.447882699;31.948684503;33.925309678;33.229627073
2010-12-08;154.0;2010000.0;66060036.0;32.747401616;32.447882699;32.148563461;33.306303915;32.812896419
2010-12-09;264.0;3030000.0;97028172.0;31.948684503;33.046920533;31.549325947;33.046920533;31.971048582
2010-12-10;176.0;2090000.0;64814530.0;30.550929556;32.248203421;30.371218206;32.248203421;30.96206919
2010-12-13;84.0;1100000.0;34124723.0;31.149967391;30.650968875;30.591664129;31.149967391;30.972652192
2010-12-14;86.0;1490000.0;45912186.0;30.750608834;31.049728393;30.590865412;31.049728393;30.764187025
2010-12-15;83.0;1570000.0;48446096.0;30.885392347;30.550929556;30.355643222;30.950288113;30.807916787
2010-12-16;66.0;730000.0;22668321.0;31.050127752;30.950487792;30.870416401;31.090063607;31.002604083
2010-12-17;78.0;1215000.0;39385586.0;32.947080894;31.050127752;31.050127752;32.947080894;32.364217081
2010-12-20;110.0;820000.0;26727121.0;32.148363781;32.947280573;32.148363781;32.947280573;32.541731959
2010-12-21;51.0;310000.0;9964400.0;31.948285145;32.048524142;31.549525626;32.34804306;32.091654866
2010-12-22;87.0;825000.0;26429607.0;31.450484704;31.948684503;31.349646669;32.34804306;31.984427094
2010-12-23;15.0;80000.0;2554419.0;31.749005225;32.148363781;31.749005225;32.148363781;31.878996435
2010-12-27;38.0;215000.0;6922763.0;32.148363781;31.549525626;31.549325947;32.547722338;32.147165706
2010-12-28;8.0;40000.0;1298802.0;32.148363781;32.647561977;32.148363781;32.647561977;32.417930807
2010-12-29;16.0;85000.0;2736751.0;31.689301121;32.537738374;31.689301121;32.547722338;32.145368592
2010-12-30;15.0;100000.0;3198362.0;31.749005225;31.948684503;31.549325947;32.148363781;31.932310803
2011-01-03;79.0;780000.0;25351440.0;32.747401616;31.749204904;31.549325947;33.046920533;32.449679812
2011-01-04;50.0;280000.0;9358161.0;33.546118728;32.947080894;32.847241255;33.745798007;33.368404171
2011-01-05;63.0;430000.0;14217595.0;32.368010987;33.545519691;32.368010987;33.546118728;33.011177942
2011-01-06;77.0;650000.0;20359655.0;31.449486308;32.34804306;30.850448474;32.34804306;31.272370788
2011-01-07;67.0;635000.0;19932111.0;31.549325947;31.948684503;30.950288113;31.948684503;31.338863988
2011-01-10;88.0;1100000.0;35582495.0;32.647561977;31.828078219;31.549325947;32.647561977;32.295926768
2011-01-11;209.0;1655000.0;54923203.0;33.046920533;33.142566907;32.34804306;33.346239771;33.132982302
2011-01-12;214.0;2465000.0;83564458.0;33.945477285;33.047319892;33.047319892;34.684290614;33.846037004
2011-01-13;179.0;2910000.0;101722880.0;35.562879438;34.145156563;34.145156563;35.942270066;34.900343593
2011-01-14;120.0;950000.0;34216440.0;35.642751149;35.942270066;35.048505617;36.486995137;35.959642163
2011-01-17;53.0;360000.0;12993441.0;36.201853128;36.141949344;35.343232232;36.341628623;36.034921251
2011-01-18;99.0;810000.0;29303569.0;35.942270066;36.241788983;35.742590788;36.341628623;36.119185907
2011-01-19;70.0;495000.0;17466573.0;35.243392593;35.762758395;34.545513516;35.762758395;35.229415043
2011-01-20;61.0;1415000.0;49357316.0;34.544515119;35.343232232;34.544515119;35.343232232;34.825463864
2011-01-21;49.0;415000.0;14277904.0;34.145156563;34.544515119;34.145156563;34.544515119;34.349428464
2011-01-24;76.0;580000.0;20579311.0;35.54291151;33.945477285;33.945477285;35.942270066;35.424701377
2011-01-26;132.0;1240000.0;44497174.0;35.842230748;35.942270066;35.24419131;36.441268582;35.827254802
2011-01-27;146.0;1090000.0;39426408.0;36.141949344;35.942070387;35.642950828;36.341628623;36.112995849
2011-01-28;185.0;3045000.0;110604486.0;36.441468262;36.341428943;35.543310868;36.623775443;36.265151459
2011-01-31;200.0;2485000.0;90432987.0;36.301692767;36.441468262;35.982205922;36.54150758;36.333242093
2011-02-01;204.0;1825000.0;67300133.0;36.840826818;36.341828302;36.242188342;37.140345735;36.817664022
2011-02-02;106.0;765000.0;28436303.0;36.940666457;36.840826818;36.741186858;37.539504612;37.111991278
2011-02-03;106.0;790000.0;28893284.0;36.541307901;36.940466778;36.042109705;36.940866136;36.515149915
2011-02-04;138.0;1095000.0;40505609.0;36.760755427;36.501172366;36.501172366;37.340025013;36.932080248
