Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2020-02-14;0.0;0.0;0.0;9.3227793688;9.3227793688;9.3227793688;9.3227793688;9.3227793688
2020-02-17;10672.0;4011600.0;53802538.0;12.492524354;12.473878795;11.95180315;13.042568336;12.501847133
2020-02-18;10233.0;4449200.0;68425763.0;13.72313123;12.6976255;12.68830272;15.513104869;14.329111889
2020-02-19;6713.0;2000800.0;29231953.0;12.958663322;14.263852434;12.912049425;14.729991402;13.620580657
2020-02-20;1757.0;660000.0;9427419.0;13.611257878;13.042568336;12.967986102;13.8722957;13.312928938
2020-02-21;1759.0;602700.0;8950704.0;13.956200715;13.611257878;13.611257878;14.133333523;13.844327362
2020-02-26;1476.0;442800.0;6235514.0;13.042568336;13.173087248;12.604397706;13.518030084;13.126473351
2020-02-27;1254.0;394200.0;5459500.0;13.322251718;12.865435528;12.352682663;13.779067907;12.902726646
2020-02-28;951.0;247900.0;3414024.0;12.865435528;13.098505013;12.408619339;13.126473351;12.83746719
2020-03-02;846.0;324300.0;4593136.0;13.210378365;12.958663322;12.958663322;13.471416187;13.201055586
2020-03-03;846.0;289900.0;4198805.0;13.58328954;13.424802291;13.126473351;13.685840113;13.499384526
2020-03-04;464.0;173200.0;2540148.0;13.331574497;13.937555156;13.331574497;13.937555156;13.667194554
2020-03-05;535.0;165800.0;2314663.0;12.492524354;13.378188394;12.492524354;13.452770629;13.014599998
2020-03-06;1215.0;406800.0;5321304.0;12.585752147;12.352682663;12.072999282;12.734916617;12.194195414
2020-03-09;756.0;229800.0;2804043.0;11.000879655;11.877220915;10.814424067;11.923834812;11.373790829
2020-03-10;646.0;162400.0;2083317.0;12.492524354;12.119613179;11.373790829;12.492524354;11.95180315
2020-03-11;320.0;145000.0;1885920.0;12.865435528;12.389973781;11.653474211;12.865435528;12.119613179
2020-03-12;425.0;184400.0;2185645.0;11.187335242;11.830607019;10.255057305;11.830607019;11.047493552
2020-03-13;859.0;327700.0;3944457.0;11.653474211;11.373790829;10.255057305;12.184872635;11.21530358
2020-03-16;247.0;58800.0;632689.0;10.021987821;9.7889183372;9.5931399705;10.534740686;10.0313106
2020-03-17;435.0;150500.0;1557423.0;9.5185577355;10.255057305;9.3227793688;10.255057305;9.6397538673
2020-03-18;351.0;111300.0;1015230.0;8.3998242113;9.3134565894;7.7379068761;9.3134565894;8.5023747843
2020-03-19;411.0;194400.0;1712561.0;9.3227793688;7.9243624635;6.7124011455;9.3227793688;8.2040458445
2020-03-20;430.0;142700.0;1431443.0;9.7889183372;9.7889183372;8.7634126066;9.7889183372;9.3507477069
2020-03-23;196.0;50500.0;472739.0;8.5303431224;8.4091469906;8.4091469906;9.3227793688;8.7261214892
2020-03-24;378.0;145800.0;1328572.0;8.1108180508;9.2295515751;8.0548813746;9.2295515751;8.493052005
2020-03-25;594.0;255600.0;2252156.0;7.8311346698;8.166754727;7.8031663317;8.6235709161;8.2133686239
2020-03-26;909.0;389400.0;3406183.0;8.7074759304;7.8684257873;7.5700968474;8.7074759304;8.1481091683
2020-03-27;422.0;227500.0;2123935.0;8.9312226353;8.1294636096;7.7472296554;8.9405454146;8.6981531511
2020-03-30;550.0;149900.0;1353438.0;8.1108180508;8.9591909734;8.1108180508;8.9591909734;8.4091469906
2020-03-31;399.0;137200.0;1160475.0;7.5048373919;8.2786280795;7.5048373919;8.3438875351;7.8777485666
2020-04-01;376.0;94400.0;750792.0;7.2717679076;7.4675462744;7.0853123203;7.7845207729;7.4116095982
2020-04-02;382.0;92100.0;727586.0;7.0386984234;7.4861918331;7.0386984234;7.7845207729;7.355672922
2020-04-03;511.0;130100.0;968460.0;7.355672922;7.1412489965;6.6284961312;7.355672922;6.9361478504
2020-04-06;258.0;144100.0;1193744.0;7.8311346698;7.3929640394;7.2531223489;7.9243624635;7.7192613173
2020-04-07;428.0;181300.0;1525559.0;7.8311346698;7.9150396841;7.5887424062;8.2972736382;7.8404574491
2020-04-08;317.0;136000.0;1146941.0;7.7938435523;7.53280573;7.5141601712;8.1854002858;7.8591030079
2020-04-09;341.0;144500.0;1234697.0;8.2506597414;7.9243624635;7.5980651855;8.2506597414;7.9616535809
2020-04-13;254.0;69100.0;593988.0;7.9243624635;8.2506597414;7.9243624635;8.2506597414;8.0082674778
2020-04-14;383.0;128000.0;1085777.0;7.5887424062;8.2040458445;7.5887424062;8.2972736382;7.9057169047
2020-04-15;501.0;135300.0;1095438.0;7.458223495;7.53280573;7.4116095982;7.7285840967;7.5421285093
2020-04-16;706.0;116700.0;943101.0;7.4116095982;7.5514512887;7.4116095982;7.6726474205;7.53280573
2020-04-17;744.0;204200.0;1628667.0;7.3370273632;7.5607740681;7.3277045839;7.7285840967;7.4302551569
2020-04-20;904.0;184900.0;1486405.0;7.5048373919;7.2624451283;7.1132806584;7.5980651855;7.4861918331
2020-04-22;614.0;181100.0;1499768.0;7.8311346698;7.5048373919;7.5048373919;7.887071346;7.7192613173
2020-04-23;354.0;112000.0;967592.0;8.1947230651;7.9430080222;7.7845207729;8.2693053001;8.0455585953
2020-04-24;320.0;97200.0;809929.0;7.5514512887;7.8963941254;7.5514512887;8.0548813746;7.7658752142
2020-04-27;489.0;137200.0;1107527.0;7.4302551569;7.6540018618;7.4209323775;7.812489111;7.5234829506
2020-04-28;514.0;137300.0;1111143.0;7.4955146125;7.5514512887;7.4675462744;7.7285840967;7.5421285093
2020-04-29;324.0;104700.0;853508.0;7.5887424062;7.6819701999;7.5048373919;7.6912929792;7.5980651855
2020-04-30;383.0;149100.0;1213041.0;7.5514512887;7.53280573;7.4675462744;7.7379068761;7.5794196268
2020-05-04;253.0;64200.0;508799.0;7.4489007157;7.4489007157;7.2624451283;7.4489007157;7.3836412601
2020-05-05;185.0;60500.0;484421.0;7.4209323775;7.5514512887;7.3649957013;7.5980651855;7.458223495
2020-05-06;301.0;126200.0;975713.0;7.1132806584;7.4116095982;7.1132806584;7.4116095982;7.2065084521
2020-05-07;275.0;106700.0;802387.0;6.9920845266;7.5141601712;6.7963061598;7.5141601712;7.0107300853
2020-05-08;179.0;444200.0;3361491.0;7.4022868188;6.9920845266;6.9920845266;7.4022868188;7.0480212028
2020-05-11;753.0;142700.0;1078622.0;6.8522428361;7.178540114;6.8522428361;7.2904134664;7.0386984234
2020-05-12;218.0;81200.0;594916.0;6.6657872487;6.8988567329;6.6657872487;6.9454706297;6.8242744979
2020-05-13;779.0;220700.0;1507844.0;6.3394899708;6.7310467043;6.1903255009;6.7869833805;6.3674583089
2020-05-14;463.0;171400.0;1132362.0;6.1810027215;6.3394899708;5.9572560166;6.3394899708;6.1530343834
2020-05-15;576.0;214500.0;1443639.0;6.1343888247;6.1810027215;5.9386104579;6.6564644693;6.2742305152
2020-05-18;628.0;154400.0;1055777.0;6.3301671914;6.3674583089;6.2555849564;6.4700088819;6.3674583089
2020-05-19;539.0;240800.0;1657606.0;6.3394899708;6.3394899708;6.2649077358;6.7590150424;6.4140722057
2020-05-20;348.0;175400.0;1202414.0;6.2928760739;6.5166227788;6.2928760739;6.6098505725;6.3861038676
2020-05-21;510.0;236800.0;1596766.0;6.2835532946;6.2649077358;6.1996482802;6.4047494264;6.2835532946
2020-05-22;315.0;158600.0;1080441.0;6.4513633232;6.2928760739;6.2089710596;6.4513633232;6.3488127501
2020-05-25;969.0;450000.0;3354488.0;7.1412489965;6.6191733518;6.6191733518;7.1692173346;6.9454706297
2020-05-26;717.0;321400.0;2563160.0;7.4022868188;7.2717679076;7.1878628933;7.6446790824;7.4302551569
2020-05-27;434.0;196100.0;1574663.0;7.5514512887;7.4209323775;7.3836412601;7.5514512887;7.4768690538
2020-05-28;729.0;309900.0;2580202.0;7.7751979936;7.7751979936;7.6260335237;7.9150396841;7.7565524348
2020-05-29;462.0;231100.0;2004376.0;8.4837292256;7.8404574491;7.7938435523;8.4837292256;8.0828497127
2020-06-01;886.0;312300.0;2816405.0;8.4557608875;8.5023747843;8.3159191969;8.5303431224;8.3998242113
2020-06-02;759.0;333100.0;3137235.0;9.0430959877;8.5769570193;8.5769570193;9.0430959877;8.772735386
2020-06-03;1110.0;433700.0;4326150.0;9.0430959877;9.2295515751;8.8566404003;9.6024627498;9.2948110307
2020-06-04;615.0;177600.0;1748267.0;9.1922604576;9.0430959877;8.8100265035;9.3227793688;9.1736148989
2020-06-05;1048.0;573600.0;5757868.0;9.6211083086;9.4066843831;9.0524187671;9.6304310879;9.3507477069
2020-06-08;1892.0;490200.0;5134262.0;9.7982411166;9.7236588816;9.4346527212;10.068601718;9.7609499991
2020-06-09;734.0;326400.0;3459440.0;9.9287600277;9.6956905435;9.5092349561;10.068601718;9.8728233515
