Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2004-11-19;0.0;0.0;0.0;1.070893336;1.070893336;1.070893336;1.070893336;1.070893336
2004-11-22;3115.0;24604800.0;83693698.0;1.1394305095;1.1936891052;1.1143002126;1.1936891052;1.1657030927
2004-11-23;515.0;4343400.0;14356606.0;1.1280076473;1.1428573682;1.116584785;1.1645608065;1.1325767922
2004-11-24;399.0;2182200.0;7075225.0;1.1188693575;1.1308633628;1.0965947761;1.1479976562;1.1108733539
2004-11-25;355.0;1822200.0;5815279.0;1.0920256312;1.1251519317;1.0794604827;1.1251519317;1.0937390605
2004-11-26;149.0;898200.0;2851829.0;1.0965947761;1.0971659192;1.0794604827;1.0971659192;1.0880276294
2004-11-29;105.0;1009800.0;3214634.0;1.0965947761;1.0965947761;1.0863142001;1.1017350641;1.090883345
2004-11-30;277.0;4848000.0;15145996.0;1.070893336;1.0965947761;1.0651819049;1.0965947761;1.070893336
2004-12-01;263.0;2493000.0;7882708.0;1.0937390605;1.0794604827;1.0651819049;1.1028773503;1.0834584845
2004-12-02;127.0;1501200.0;4798085.0;1.0965947761;1.0954524899;1.090883345;1.0965947761;1.0954524899
2004-12-03;193.0;1618800.0;5244082.0;1.116584785;1.0971659192;1.0943102036;1.1194405006;1.1103022108
2004-12-06;92.0;1261800.0;4120232.0;1.1182982144;1.1034484934;1.1034484934;1.1251519317;1.1188693575
2004-12-07;115.0;1719000.0;5564590.0;1.0965947761;1.1160136419;1.0965947761;1.1160136419;1.1091599246
2004-12-08;104.0;1496400.0;4753291.0;1.0965947761;1.0863142001;1.0823161983;1.1051619228;1.0885987725
2004-12-09;110.0;1512600.0;4819324.0;1.0937390605;1.0965947761;1.090883345;1.0971659192;1.0920256312
2004-12-10;50.0;654000.0;2082390.0;1.090883345;1.0851719138;1.0851719138;1.0965947761;1.090883345
2004-12-13;81.0;799200.0;2557948.0;1.1000216348;1.090883345;1.090883345;1.1080176383;1.0965947761
2004-12-14;115.0;1233000.0;3959563.0;1.1034484934;1.0800316258;1.0800316258;1.1057330659;1.1005927779
2004-12-15;88.0;767400.0;2468219.0;1.106304209;1.0885987725;1.0885987725;1.106304209;1.1023062072
2004-12-16;94.0;643200.0;2073506.0;1.1080176383;1.1074464952;1.0994504916;1.1080176383;1.1045907797
2004-12-17;79.0;983400.0;3117711.0;1.0851719138;1.1080176383;1.0794604827;1.1108733539;1.0863142001
2004-12-20;36.0;338400.0;1068109.0;1.0885987725;1.0851719138;1.0777470534;1.090883345;1.0817450552
2004-12-21;64.0;697800.0;2209800.0;1.0851719138;1.0748913378;1.0743201947;1.0903122018;1.0851719138
2004-12-22;54.0;290400.0;915080.0;1.0766047671;1.0851719138;1.0714644791;1.0851719138;1.0800316258
2004-12-23;86.0;386400.0;1218650.0;1.0994504916;1.070893336;1.070893336;1.0994504916;1.0806027689
2004-12-27;76.0;2448000.0;7840255.0;1.1040196365;1.1000216348;1.0965947761;1.1137290695;1.0977370623
2004-12-28;103.0;389400.0;1280785.0;1.1280076473;1.1080176383;1.1080176383;1.1348613646;1.126865361
2004-12-29;140.0;807000.0;2709669.0;1.1594205185;1.1280076473;1.1280076473;1.1645608065;1.1508533718
2004-12-30;93.0;900000.0;3060586.0;1.1708433807;1.1559936598;1.1559936598;1.1708433807;1.1651319496
2005-01-03;206.0;1623000.0;5578183.0;1.2540927831;1.1952235628;1.1952235628;1.2540927831;1.2261447694
2005-01-04;259.0;2536200.0;9297783.0;1.2992853158;1.2487410358;1.2427946499;1.3313957996;1.3082048946
2005-01-05;123.0;465600.0;1703091.0;1.3420992942;1.2790676038;1.2784729652;1.3420992942;1.3052317017
2005-01-06;142.0;3191400.0;12061231.0;1.3379368241;1.3498295958;1.3254494137;1.3617223676;1.3486403187
2005-01-07;121.0;1425000.0;5291093.0;1.3141512805;1.3260440523;1.3141512805;1.3617223676;1.3248547751
2005-01-10;91.0;786000.0;2903571.0;1.3129620034;1.3373421855;1.2844193511;1.3373421855;1.3177191121
2005-01-11;80.0;1015200.0;3725405.0;1.3082048946;1.3082048946;1.2963121229;1.3141512805;1.3093941718
2005-01-12;43.0;402000.0;1452343.0;1.3070156175;1.2963121229;1.2725265793;1.3070156175;1.2891764598
2005-01-13;129.0;3574200.0;13013475.0;1.3082048946;1.2784729652;1.2725265793;1.3141512805;1.2992853158
2005-01-14;34.0;114000.0;415630.0;1.320692305;1.2784729652;1.2784729652;1.320692305;1.3010692316
2005-01-17;36.0;197400.0;717364.0;1.2963121229;1.3082048946;1.2814461582;1.3082048946;1.2963121229
2005-01-18;55.0;1300800.0;4599040.0;1.2487410358;1.2957174843;1.2487410358;1.2963121229;1.2612284462
2005-01-19;69.0;328200.0;1150573.0;1.2546874217;1.2487410358;1.236848264;1.2784729652;1.2505249516
2005-01-20;70.0;495000.0;1730964.0;1.2249554923;1.2576606146;1.2249554923;1.2576606146;1.2475517586
2005-01-21;26.0;249000.0;863425.0;1.2427946499;1.2249554923;1.2249554923;1.2427946499;1.2374429026
2005-01-24;17.0;29400.0;101751.0;1.24695712;1.2427946499;1.2219822993;1.2487410358;1.2350643483
