Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2000-01-04;1.0;16000.0;6000.0;0.1399275761;0.1399275761;0.1399275761;0.1399275761;0.1399275761
2000-01-13;3.0;120000.0;51000.0;0.15858458625;0.15858458625;0.15858458625;0.15858458625;0.15858458625
2000-01-18;3.0;120000.0;58000.0;0.18657010147;0.16791309132;0.16791309132;0.18657010147;0.18032000307
2000-01-19;2.0;80000.0;42000.0;0.19589860654;0.19589860654;0.19589860654;0.19589860654;0.19589860654
2000-01-24;1.0;40000.0;21000.0;0.19589860654;0.19589860654;0.19589860654;0.19589860654;0.19589860654
2000-03-23;1.0;80000.0;50000.0;0.23321262683;0.23321262683;0.23321262683;0.23321262683;0.23321262683
2000-04-12;2.0;208000.0;145600.0;0.26119814205;0.26119814205;0.26119814205;0.26119814205;0.26119814205
2000-07-05;1.0;4000.0;2300.0;0.25038582879;0.25038582879;0.25038582879;0.25038582879;0.25038582879
2000-08-04;2.0;124000.0;93000.0;0.32659021146;0.32659021146;0.32659021146;0.32659021146;0.32659021146
2000-11-01;1.0;272000.0;204000.0;0.32659021146;0.32659021146;0.32659021146;0.32659021146;0.32659021146
2001-06-08;1.0;68000.0;42500.0;0.31411120164;0.31411120164;0.31411120164;0.31411120164;0.31411120164
2001-09-10;1.0;4000.0;2400.0;0.30154675357;0.30154675357;0.30154675357;0.30154675357;0.30154675357
2005-05-18;1.0;12000.0;6000.0;0.29777059072;0.29777059072;0.29777059072;0.29777059072;0.29777059072
2007-06-01;4.0;20000.0;38500.0;1.1628800155;1.1628800155;1.1628800155;1.1628800155;1.1628800155
2007-06-04;5.0;60000.0;115500.0;1.1628800155;1.1628800155;1.1628800155;1.1628800155;1.1628800155
2007-06-13;9.0;100000.0;202717.0;1.2836987184;1.2081870291;1.2081870291;1.2836987184;1.2246485774
2007-06-15;1.0;4000.0;9000.0;1.3592104077;1.3592104077;1.3592104077;1.3592104077;1.3592104077
2007-06-22;2.0;20000.0;45000.0;1.3592104077;1.3592104077;1.3592104077;1.3592104077;1.3592104077
2007-07-02;4.0;28000.0;70000.0;1.5102337864;1.5102337864;1.5102337864;1.5102337864;1.5102337864
2007-07-10;1.0;20000.0;50000.0;1.5102337864;1.5102337864;1.5102337864;1.5102337864;1.5102337864
2007-07-12;7.0;32000.0;89700.0;1.7065641786;1.6914618407;1.6914618407;1.7065641786;1.6934251447
2007-07-16;2.0;16000.0;53351.0;2.0237132737;1.9861084525;1.9861084525;2.0237132737;2.0143498243
2007-07-27;2.0;800.0;2950.0;2.2653506796;2.1898389902;2.1898389902;2.2653506796;2.2275948349
2007-07-30;2.0;800.0;2880.0;2.1143273009;2.2351460038;2.1143273009;2.2351460038;2.1747366524
2007-08-01;3.0;1200.0;4168.0;2.0841226252;2.1113068333;2.0841226252;2.1113068333;2.0977147293
2007-08-03;9.0;16400.0;54525.0;2.0086109359;2.0086109359;2.0010597669;2.0086109359;2.0086109359
2007-08-06;2.0;4000.0;12540.0;1.887792233;1.9482015844;1.887792233;1.9482015844;1.8938331681
2007-08-08;1.0;400.0;1390.0;2.0992249631;2.0992249631;2.0992249631;2.0992249631;2.0992249631
2007-08-09;3.0;1200.0;4080.0;2.0539179495;2.0539179495;2.0539179495;2.0539179495;2.0539179495
2007-08-10;6.0;8400.0;28340.0;2.0388156116;2.0237132737;2.0237132737;2.0388156116;2.0388156116
2007-08-16;1.0;400.0;1518.0;2.2925348877;2.2925348877;2.2925348877;2.2925348877;2.2925348877
2007-08-20;6.0;6400.0;23999.0;2.2653506796;2.2638404458;2.2638404458;2.2653506796;2.2653506796
2007-08-23;3.0;2800.0;10500.0;2.2653506796;2.2653506796;2.2653506796;2.2653506796;2.2653506796
2007-08-27;1.0;12000.0;44490.0;2.2396767052;2.2396767052;2.2396767052;2.2396767052;2.2396767052
2007-08-28;5.0;16000.0;60000.0;2.2653506796;2.2653506796;2.2653506796;2.2653506796;2.2653506796
2007-08-29;2.0;16000.0;59960.0;2.2638404458;2.2638404458;2.2638404458;2.2638404458;2.2638404458
2007-09-13;1.0;800.0;2998.0;2.2638404458;2.2638404458;2.2638404458;2.2638404458;2.2638404458
2007-09-17;4.0;1600.0;5316.0;1.9678346236;1.9648141561;1.9648141561;2.1143273009;2.0071007021
2007-10-08;5.0;8800.0;34350.0;2.6429091261;2.3408623689;2.3408623689;2.6429091261;2.3574749405
2007-10-18;1.0;2000.0;7775.0;2.3484135378;2.3484135378;2.3484135378;2.3484135378;2.3484135378
2007-10-25;1.0;400.0;1400.0;2.1143273009;2.1143273009;2.1143273009;2.1143273009;2.1143273009
2007-10-26;3.0;1200.0;3603.0;1.866861846;1.866861846;1.866861846;1.866861846;1.866861846
2007-11-07;1.0;2000.0;6500.0;2.0207497084;2.0207497084;2.0207497084;2.0207497084;2.0207497084
2007-11-13;1.0;4000.0;13330.0;2.0720456625;2.0720456625;2.0720456625;2.0720456625;2.0720456625
2007-11-14;3.0;20000.0;71150.0;2.2119437193;2.2119437193;2.2119437193;2.2119437193;2.2119437193
2007-11-26;1.0;3600.0;12339.0;2.1311137309;2.1311137309;2.1311137309;2.1311137309;2.1311137309
2007-12-04;3.0;12800.0;44800.0;2.1761919936;2.1761919936;2.1761919936;2.1761919936;2.1761919936
2007-12-05;3.0;16800.0;58800.0;2.1761919936;2.1761919936;2.1761919936;2.1761919936;2.1761919936
2007-12-06;3.0;4800.0;16760.0;2.1761919936;2.1140150795;2.1140150795;2.1761919936;2.1715287251
2007-12-11;1.0;1600.0;6000.0;2.3316342789;2.3316342789;2.3316342789;2.3316342789;2.3316342789
2007-12-13;1.0;800.0;3000.0;2.3316342789;2.3316342789;2.3316342789;2.3316342789;2.3316342789
2007-12-14;1.0;800.0;3000.0;2.3316342789;2.3316342789;2.3316342789;2.3316342789;2.3316342789
2007-12-17;1.0;8000.0;29800.0;2.3160900504;2.3160900504;2.3160900504;2.3160900504;2.3160900504
2007-12-18;3.0;1600.0;5800.0;2.1761919936;2.1761919936;2.1761919936;2.3316342789;2.2539131363
2007-12-19;1.0;2000.0;7010.0;2.1793008394;2.1793008394;2.1793008394;2.1793008394;2.1793008394
2007-12-20;1.0;400.0;1550.0;2.4093554215;2.4093554215;2.4093554215;2.4093554215;2.4093554215
2007-12-26;1.0;400.0;1750.0;2.7202399921;2.7202399921;2.7202399921;2.7202399921;2.7202399921
2008-01-02;1.0;400.0;1699.0;2.6409644266;2.6409644266;2.6409644266;2.6409644266;2.6409644266
2008-01-07;2.0;1200.0;5099.0;2.6425188494;2.6409644266;2.6409644266;2.6425188494;2.6425188494
