Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2017-03-13;5636.0;3008800.0;26261057.0;8.3004112238;8.2624230717;8.1199675016;8.3858845659;8.2909141858
2017-03-14;6056.0;3150000.0;27203869.0;8.2244349197;8.2909141858;7.9395237793;8.404878642;8.2054408437
2017-03-15;12074.0;5853100.0;51274353.0;8.4998490221;8.2149378817;7.9965060074;8.4998490221;8.3194052998
2017-03-16;6696.0;5686600.0;50903409.0;8.433369756;8.5473342122;8.2909141858;8.6043164402;8.4998490221
2017-03-17;11677.0;7029700.0;62810462.0;8.5473342122;8.46186087;8.2624230717;8.5948194022;8.4903519841
2017-03-20;10866.0;13281000.0;119641005.0;8.46186087;8.46186087;8.3858845659;8.6707957063;8.5568312502
2017-03-21;16451.0;9470500.0;79940604.0;8.1579556536;8.452363832;7.749583019;8.5093460601;8.0155000834
2017-03-22;10405.0;6227900.0;53895646.0;8.3099082618;8.0724823115;7.9870089694;8.3953816039;8.2149378817
2017-03-23;7661.0;4964000.0;43000479.0;8.2624230717;8.2149378817;8.0629852735;8.3194052998;8.2244349197
2017-03-24;7939.0;5294200.0;45619821.0;8.1199675016;8.1769497296;8.0629852735;8.3478964139;8.1864467676
2017-03-27;8312.0;3572100.0;30204825.0;8.1199675016;8.0249971214;7.8635474752;8.1294645396;8.0344941594
2017-03-28;3946.0;2277900.0;19419594.0;8.1199675016;8.1199675016;8.0155000834;8.1199675016;8.1009734255
2017-03-29;9354.0;3887300.0;33043738.0;8.1009734255;8.0629852735;7.9775119313;8.1389615776;8.0724823115
2017-03-30;6809.0;3686700.0;31413765.0;8.1199675016;8.1294645396;8.0155000834;8.1674526916;8.0914763875
2017-03-31;5536.0;3184300.0;27221165.0;8.1199675016;8.1199675016;8.0629852735;8.1579556536;8.1199675016
2017-04-03;8695.0;45278100.0;392619951.0;8.423872718;8.1199675016;8.0724823115;8.423872718;8.2339319577
2017-04-04;11111.0;7484900.0;66801843.0;8.5093460601;8.433369756;8.3478964139;8.5473342122;8.4713579081
2017-04-05;9942.0;5915200.0;52425565.0;8.2814171478;8.5473342122;8.1294645396;8.5853223642;8.41437568
2017-04-06;11960.0;6357400.0;55043211.0;8.1674526916;8.2719201098;8.0344941594;8.3573934519;8.2244349197
2017-04-07;14689.0;5430100.0;47535892.0;8.3099082618;8.1769497296;8.0819793495;8.5188430981;8.3099082618
2017-04-10;6948.0;3014800.0;26506799.0;8.3668904899;8.3763875279;8.2624230717;8.46186087;8.3478964139
2017-04-11;10950.0;5129400.0;45585709.0;8.442866794;8.41437568;8.2624230717;8.5378371742;8.442866794
2017-04-12;10179.0;7200300.0;63762002.0;8.404878642;8.3858845659;8.3289023379;8.4808549461;8.41437568
2017-04-13;8452.0;14311000.0;125080743.0;8.1769497296;8.41437568;8.1769497296;8.423872718;8.3004112238
2017-04-17;8371.0;4097100.0;35909310.0;8.404878642;8.2149378817;8.1294645396;8.404878642;8.3194052998
2017-04-18;11658.0;7653300.0;68583259.0;8.4903519841;8.2909141858;8.2719201098;8.7182808964;8.5093460601
2017-04-19;10035.0;5658900.0;50339420.0;8.404878642;8.6138134783;8.3099082618;8.6707957063;8.452363832
2017-04-20;5506.0;4441600.0;38991195.0;8.2529260337;8.4998490221;8.1959438057;8.5188430981;8.3383993759
2017-04-24;9295.0;4949500.0;43232105.0;8.1864467676;8.423872718;8.1864467676;8.442866794;8.2909141858
2017-04-25;8342.0;6502500.0;55501725.0;8.1674526916;8.1674526916;7.9015356273;8.2434289957;8.1104704635
2017-04-26;8670.0;5147000.0;43914112.0;8.1484586156;8.1484586156;7.9870089694;8.2149378817;8.1009734255
2017-04-27;5871.0;3096800.0;26652175.0;8.2434289957;8.1769497296;8.0249971214;8.2719201098;8.1769497296
2017-04-28;6263.0;5467200.0;47517772.0;8.2909141858;8.1959438057;8.1199675016;8.3383993759;8.2529260337
2017-05-02;22762.0;14653000.0;133714333.0;8.8037542385;8.3099082618;8.3099082618;8.8512394286;8.6707957063
2017-05-03;16915.0;5593300.0;51774629.0;8.9082216567;8.7847601625;8.6423045923;8.9082216567;8.7942572005
2017-05-04;14107.0;5169900.0;47881278.0;8.7372749724;8.9462098087;8.6423045923;9.0221861128;8.7942572005
2017-05-05;6746.0;2552300.0;23440025.0;8.7657660865;8.8227483145;8.5948194022;8.8322453526;8.7182808964
2017-05-08;9586.0;4116300.0;38105218.0;8.8132512765;8.7372749724;8.6423045923;8.8797305426;8.7942572005
2017-05-09;14812.0;6935700.0;66253965.0;9.2121268731;8.8797305426;8.8512394286;9.2501150252;9.0696713029
2017-05-10;11874.0;6455900.0;62677689.0;9.2121268731;9.2976002152;9.0411801889;9.3450854053;9.2216239111
2017-05-11;13249.0;12028100.0;117834047.0;9.4115646714;9.2121268731;9.1741387211;9.4780439375;9.3070972532
2017-05-12;11744.0;8308500.0;82681906.0;9.4210617094;9.4400557854;9.3830735574;9.5445232036;9.4495528234
2017-05-15;8783.0;7370200.0;73909717.0;9.6204995077;9.3545824433;9.3260913293;9.6774817358;9.5255291276
2017-05-16;22005.0;6981900.0;72520007.0;9.9433988002;9.6869787738;9.6394935837;10.019375104;9.867422496
2017-05-17;18742.0;7143600.0;73312147.0;9.810440268;9.7914461919;9.5160320896;9.9149076861;9.7439610019
2017-05-18;51561.0;33091300.0;282628544.0;8.1484586156;7.4076896505;7.2652340803;8.4808549461;8.1104704635
2017-05-19;28176.0;22896900.0;204124298.0;8.423872718;8.5473342122;8.2624230717;8.6897897824;8.46186087
2017-05-22;50194.0;28827400.0;229182698.0;7.5026600307;8.2624230717;7.2652340803;8.2624230717;7.5501452207
2017-05-23;25591.0;17515900.0;139258421.0;7.5881333728;7.5881333728;7.4171866886;7.6926007909;7.5501452207
2017-05-24;29896.0;13423500.0;114555620.0;8.1389615776;7.8540504372;7.6451156009;8.3573934519;8.1009734255
2017-05-25;15977.0;18173700.0;156870105.0;8.2814171478;8.1769497296;7.8825415512;8.423872718;8.1959438057
2017-05-26;19475.0;11161400.0;98680814.0;8.3383993759;8.2909141858;8.2149378817;8.4903519841;8.3953816039
2017-05-29;8844.0;3801700.0;32689252.0;8.2149378817;8.2624230717;8.0819793495;8.2909141858;8.1674526916
2017-05-30;7024.0;6050300.0;51730744.0;8.1294645396;8.2434289957;7.9870089694;8.2434289957;8.1199675016
2017-05-31;18732.0;11887000.0;99668579.0;8.0534882355;8.1009734255;7.7875711711;8.2054408437;7.9585178553
2017-06-01;12016.0;8321800.0;70591448.0;7.8445533992;8.0344941594;7.8350563612;8.2054408437;8.0534882355
2017-06-02;13363.0;7369900.0;60630784.0;7.768577095;7.9205297033;7.6451156009;7.9965060074;7.8160622851
2017-06-05;15812.0;10300800.0;82774124.0;7.4836659546;7.6736067149;7.4171866886;7.9110326653;7.6356185629
2017-06-06;13078.0;13593500.0;105778606.0;7.3886955745;7.5501452207;7.2937251944;7.6166244868;7.3886955745
2017-06-07;15860.0;10222300.0;80375451.0;7.6261215249;7.4741689166;7.3412103845;7.6261215249;7.4646718786
2017-06-08;17738.0;6465200.0;51022956.0;7.5216541067;7.5976304108;7.4171866886;7.5976304108;7.4931629927
2017-06-09;8004.0;4447500.0;35226932.0;7.4836659546;7.5026600307;7.4266837266;7.6356185629;7.5216541067
2017-06-12;14130.0;9374900.0;72328472.0;7.3507074225;7.5026600307;7.1227785101;7.5121570687;7.3317133464
2017-06-13;12563.0;7940600.0;62549476.0;7.5026600307;7.3412103845;7.3222163084;7.5596422588;7.4836659546
2017-06-14;11589.0;8394500.0;67645130.0;7.702097829;7.6071274488;7.5311511447;7.730588943;7.6546126389
2017-06-16;8456.0;8083900.0;66460286.0;7.8825415512;7.5976304108;7.5406481827;7.8825415512;7.8065652471
2017-06-19;10372.0;5702200.0;47161532.0;7.9205297033;7.8350563612;7.711594867;7.9585178553;7.8540504372
2017-06-20;9427.0;12988200.0;105330199.0;7.711594867;7.8350563612;7.5691392968;7.8445533992;7.702097829
2017-06-21;9354.0;4208500.0;33983680.0;7.721091905;7.740085981;7.5691392968;7.7875711711;7.6736067149
2017-06-22;8518.0;4969800.0;41026637.0;7.9775119313;7.6926007909;7.6546126389;7.9775119313;7.8445533992
2017-06-23;7825.0;3396300.0;28141459.0;7.8350563612;7.9775119313;7.749583019;8.0249971214;7.8730445132
2017-06-26;12106.0;6515200.0;53758635.0;7.9395237793;7.8635474752;7.6926007909;7.9965060074;7.8350563612
2017-06-27;7726.0;2991400.0;24696546.0;7.8540504372;7.9300267413;7.7875711711;7.9300267413;7.8445533992
2017-06-28;12196.0;4006400.0;32958141.0;7.8540504372;7.9300267413;7.730588943;7.9300267413;7.8160622851
2017-06-29;7276.0;5282600.0;44103080.0;8.0060030454;7.9110326653;7.7970682091;8.0060030454;7.9300267413
2017-06-30;11110.0;6897000.0;59017763.0;8.2149378817;8.0155000834;8.0155000834;8.2149378817;8.1294645396
2017-07-03;6967.0;6824300.0;59014149.0;8.2624230717;8.2244349197;8.1104704635;8.2624230717;8.2149378817
2017-07-04;9369.0;2912000.0;25506060.0;8.3099082618;8.2149378817;8.1674526916;8.41437568;8.3194052998
2017-07-05;8594.0;4422400.0;39268685.0;8.4998490221;8.3668904899;8.2339319577;8.5283401361;8.433369756
2017-07-06;8494.0;4211700.0;37518980.0;8.46186087;8.5188430981;8.3763875279;8.5473342122;8.46186087
2017-07-07;10393.0;3361100.0;29759892.0;8.3573934519;8.5378371742;8.3289023379;8.5378371742;8.404878642
2017-07-10;10857.0;3647600.0;32152632.0;8.3668904899;8.3763875279;8.2339319577;8.4808549461;8.3668904899
2017-07-11;8844.0;2757700.0;24580115.0;8.5283401361;8.3668904899;8.3383993759;8.5283401361;8.46186087
2017-07-12;17196.0;9797900.0;89203686.0;8.6043164402;8.6138134783;8.5663282882;8.7752631245;8.6423045923
2017-07-13;5820.0;14289900.0;133291147.0;8.9747009228;8.6707957063;8.6138134783;9.0126890748;8.8607364666
2017-07-14;10484.0;6807300.0;65192264.0;9.107659455;9.0221861128;9.0126890748;9.1931327971;9.098162417
2017-07-17;7802.0;5235800.0;49685618.0;8.9652038848;9.0696713029;8.8607364666;9.2311209491;9.0126890748
2017-07-18;6270.0;4178600.0;39492545.0;9.117156493;8.9652038848;8.8512394286;9.117156493;8.9747009228
2017-07-19;7153.0;9628700.0;92556135.0;9.164641683;9.126653531;9.0601742649;9.2216239111;9.126653531
2017-07-20;6025.0;2987500.0;28780696.0;9.164641683;9.126653531;9.0601742649;9.2216239111;9.145647607
2017-07-21;7946.0;4546900.0;44907210.0;9.4495528234;9.155144645;9.126653531;9.4495528234;9.3830735574
2017-07-24;8929.0;8201500.0;82496224.0;9.6489906217;9.4685468995;9.3735765193;9.6584876597;9.5540202416
2017-07-25;11489.0;6274700.0;63950985.0;9.6869787738;9.6774817358;9.5635172796;9.7154698878;9.6774817358
2017-07-26;11535.0;5822200.0;58907438.0;9.5730143176;9.6679846977;9.3925705954;9.7154698878;9.6110024697
2017-07-27;6676.0;5752000.0;58666998.0;9.6774817358;9.6204995077;9.6110024697;9.7724521159;9.6869787738
2017-07-28;9497.0;6024000.0;61914971.0;9.8959136101;9.7439610019;9.6489906217;9.8959136101;9.7629550779
2017-07-31;13538.0;6865300.0;71035947.0;9.819937306;9.8959136101;9.7154698878;9.9718899142;9.829434344
2017-08-01;13660.0;11001900.0;112886856.0;9.7819491539;9.7819491539;9.6204995077;9.867422496;9.7439610019
2017-08-02;19338.0;10901500.0;115734905.0;10.4182507;9.7629550779;9.6394935837;10.4182507;10.08585437
2017-08-03;18726.0;8049200.0;86618695.0;10.27579513;10.37076551;10.028872142;10.389759586;10.218812902
2017-08-04;15191.0;7832700.0;84916658.0;10.285292168;10.351771434;10.209315864;10.408753662;10.294789206
2017-08-07;10588.0;6246200.0;67995875.0;10.332777358;10.294789206;10.294789206;10.399256624;10.342274396
2017-08-08;9003.0;5377500.0;58217054.0;10.304286244;10.294789206;10.152333636;10.37076551;10.285292168
2017-08-09;10715.0;3037800.0;32642453.0;10.199818826;10.209315864;10.13333956;10.304286244;10.209315864
2017-08-10;10432.0;6959800.0;72820820.0;9.9244047241;10.114345484;9.6394935837;10.123842522;9.9339017621
2017-08-11;10976.0;5134000.0;53643938.0;9.857925458;9.7914461919;9.7914461919;10.066860294;9.9244047241
2017-08-14;17011.0;4534800.0;47328462.0;9.819937306;9.876919534;9.7914461919;9.9718899142;9.9149076861
2017-08-15;18020.0;5901600.0;60066598.0;9.5635172796;9.857925458;9.5065350515;9.8864165721;9.6679846977
2017-08-16;20682.0;8947100.0;91559521.0;9.7534580399;9.6204995077;9.5445232036;9.819937306;9.7154698878
