Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2021-08-04;0.0;0.0;0.0;6.503421838;6.503421838;6.503421838;6.503421838;6.503421838
2021-08-05;87515.0;98192300.0;723996414.0;6.3628073118;6.5737291011;6.3100768644;6.6791899958;6.4770566143
2021-08-06;29934.0;28559800.0;203857793.0;6.2397696013;6.3715957197;6.1782507461;6.4594797985;6.266134825
2021-08-09;25384.0;14338700.0;102271926.0;6.2134043776;6.3100768644;6.2134043776;6.424326167;6.266134825
2021-08-10;13058.0;9861700.0;70083987.0;6.2397696013;6.2573464171;6.1958275619;6.2925000487;6.2397696013
2021-08-11;28669.0;31759000.0;220568593.0;6.0376362199;6.266134825;5.9761173646;6.2749232329;6.0991550751
2021-08-12;21329.0;16948600.0;115890613.0;6.1167318909;6.1255202988;5.9321753252;6.1343087066;6.0024825883
2021-08-13;18763.0;21044300.0;145689863.0;6.1606739303;6.1343087066;6.028847812;6.187039154;6.0815782593
2021-08-16;15416.0;13370400.0;92916797.0;6.1694623382;6.1255202988;5.9585405489;6.2573464171;6.0991550751
2021-08-17;21874.0;17656900.0;121569530.0;5.9936941804;6.0903666672;5.9409637331;6.1430971145;6.0464246278
2021-08-18;15514.0;8786100.0;60022213.0;5.9849057725;6.0024825883;5.9058101015;6.1518855224;6.0024825883
2021-08-19;10012.0;5341800.0;36225029.0;6.0903666672;5.8882332857;5.6421578649;6.0903666672;5.9585405489
2021-08-20;5900.0;3077300.0;21421142.0;6.1343087066;6.0552130356;6.0024825883;6.1958275619;6.1167318909
2021-08-23;6256.0;6093000.0;43431475.0;6.3012884565;6.187039154;6.1606739303;6.3276536802;6.2573464171
2021-08-24;14198.0;6010000.0;43856041.0;6.3715957197;6.3628073118;6.3100768644;6.503421838;6.4067493512
2021-08-25;8700.0;5155200.0;37804109.0;6.4506913907;6.4331145749;6.3803841275;6.4858450222;6.4419029828
2021-08-26;8644.0;7855000.0;56794500.0;6.2397696013;6.4506913907;6.2397696013;6.4858450222;6.345230496
