Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2000-08-04;2.0;1.7777777778;2060.0;127.05897266;127.05897266;127.05897266;127.05897266;127.05897266
2000-08-22;3.0;0.53333333333;735.0;151.11382672;151.11382672;151.11382672;151.11382672;151.11382672
2000-08-23;2.0;0.35555555556;500.0;154.19778236;154.19778236;154.19778236;154.19778236;154.19778236
2000-12-22;2.0;111.82222222;113220.0;111.0224033;111.0224033;111.0224033;111.0224033;111.0224033
2002-01-07;4.0;6.0444444444;3230.0;60.56396043;60.56396043;60.56396043;60.56396043;60.56396043
2002-02-26;3.0;2.6666666667;1425.0;60.56396043;60.56396043;60.56396043;60.56396043;60.56396043
2003-07-18;2.0;0.88888888889;500.0;63.751537294;63.751537294;63.751537294;63.751537294;63.751537294
2003-07-21;2.0;0.71111111111;400.0;63.751537294;63.751537294;63.751537294;63.751537294;63.751537294
2003-07-24;1.0;0.88888888889;500.0;63.751537294;63.751537294;63.751537294;63.751537294;63.751537294
2005-09-05;3.0;23.111111111;3900.0;19.371481683;19.371481683;19.371481683;19.371481683;19.371481683
2005-09-06;1.0;1.0666666667;180.0;19.371481683;19.371481683;19.371481683;19.371481683;19.371481683
2005-12-19;7.0;32.177777778;4163.0;14.85146929;14.85146929;14.85146929;14.85146929;14.85146929
2005-12-20;1.0;8.8888888889;1100.0;14.205753234;14.205753234;14.205753234;14.205753234;14.205753234
2005-12-21;1.0;8.8888888889;1100.0;14.205753234;14.205753234;14.205753234;14.205753234;14.205753234
2005-12-23;9.0;73.6;7108.0;10.977172953;11.62288901;10.977172953;11.62288901;10.977172953
2005-12-27;13.0;184.17777778;18706.0;14.205753234;11.62288901;11.62288901;14.205753234;11.62288901
2006-01-06;3.0;8.8888888889;950.0;12.268605066;12.268605066;12.268605066;12.268605066;12.268605066
2006-01-26;18.0;62.577777778;11977.0;24.537210132;20.017197739;20.017197739;31.640086749;21.954345908
2006-02-14;10.0;18.844444444;2092.0;12.268605066;24.537210132;12.268605066;25.828642244;12.914321122
2006-02-16;3.0;3.5555555556;480.0;15.497185346;15.497185346;15.497185346;15.497185346;15.497185346
2006-02-21;2.0;5.3333333333;690.0;14.85146929;14.85146929;14.85146929;14.85146929;14.85146929
2006-07-11;7.0;24.888888889;2800.0;12.914321122;12.914321122;12.914321122;12.914321122;12.914321122
2006-12-06;2.0;17.777777778;2600.0;16.788617459;16.788617459;16.788617459;16.788617459;16.788617459
2006-12-12;3.0;17.777777778;3100.0;20.017197739;20.017197739;20.017197739;20.017197739;20.017197739
2007-01-02;8.0;40.888888889;7920.0;22.600061964;21.954345908;21.954345908;22.600061964;21.954345908
2007-01-03;17.0;129.24444444;39725.0;38.742963367;29.057222525;29.057222525;38.742963367;35.514383086
2007-01-04;72.0;209.77777778;204681.0;129.14321122;45.200123928;38.742963367;193.06910078;111.7088777
2007-01-05;119.0;195.55555556;273282.0;129.14321122;154.97185347;123.33176671;185.96622416;160.13758191
2007-01-08;23.0;38.222222222;41215.0;97.503124472;149.80612502;97.503124472;149.80612502;123.97748277
2007-01-09;15.0;10.844444444;9436.0;82.651655182;103.31456897;81.36022307;115.58317404;100.08598869
2007-01-10;7.0;16.888888889;12526.0;90.400247855;83.943087294;82.651655182;90.400247855;85.234519406
2007-01-12;2.0;0.35555555556;211.0;86.525951519;49.72013632;49.72013632;86.525951519;68.445901948
2007-01-15;11.0;7.8222222222;6162.0;96.857408416;74.257346453;74.257346453;96.857408416;90.400247855
2007-01-16;8.0;4.0888888889;3421.0;90.400247855;101.3774208;90.400247855;101.3774208;96.21169236
2007-01-17;10.0;11.377777777;7010.0;65.217321667;77.485926733;65.217321667;77.485926733;71.028766172
2007-01-18;15.0;19.555555556;12195.0;71.028766172;65.217321667;65.217321667;78.777358845;71.674482228
2007-01-19;5.0;2.1333333333;1276.0;71.028766172;64.571605611;64.571605611;81.36022307;68.445901948
2007-01-22;4.0;3.2;2086.0;77.485926733;77.485926733;71.028766172;77.485926733;74.903062509
2007-01-23;2.0;2.4888888889;1680.0;77.485926733;77.485926733;77.485926733;77.485926733;77.485926733
2007-01-24;5.0;4.4444444444;2918.0;73.611630396;77.485926733;71.028766172;77.485926733;75.548778565
2007-01-26;14.0;15.466666666;11516.0;90.400247855;73.611630396;73.611630396;100.08598869;85.234519406
2007-01-29;9.0;4.4444444444;3796.0;91.691679967;90.400247855;90.400247855;100.73170475;98.148840529
2007-01-30;4.0;3.3777777778;2770.0;91.691679967;96.857408416;91.691679967;96.857408416;94.274544192
2007-01-31;2.0;1.4222222222;1072.0;84.58880335;87.171667575;84.58880335;87.171667575;86.525951519
