Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2007-01-30;0.0;0.0;0.0;13.444530443;13.444530443;13.444530443;13.444530443;13.444530443
2007-01-31;8135.0;4261600.0;91803469.0;15.685285517;13.878892196;13.878892196;15.795599613;14.851035167
2007-02-01;1058.0;1358000.0;30007526.0;15.168188193;15.761126458;14.906192215;16.374748618;15.237134503
2007-02-02;414.0;567500.0;12476676.0;15.195766717;15.023400942;14.961349263;15.223345241;15.161293562
2007-02-05;428.0;458100.0;10123083.0;15.506025112;15.030295573;15.030295573;15.581866053;15.237134503
2007-02-06;530.0;243300.0;5634460.0;16.133436533;15.375027123;15.175082824;16.45748419;15.967965388
2007-02-07;221.0;225800.0;5281461.0;15.857651292;16.078279485;15.857651292;16.395432511;16.126541902
2007-02-08;132.0;290900.0;6669549.0;15.857651292;15.857651292;15.650812363;15.871440554;15.809388875
2007-02-09;127.0;313700.0;7211775.0;15.857651292;15.857651292;15.685285517;15.857651292;15.850756661
2007-02-12;307.0;408700.0;9433186.0;15.926597602;15.781810351;15.719758672;16.202382843;15.91280834
2007-02-13;253.0;342000.0;8340506.0;16.891845942;15.995543912;15.995543912;17.036633193;16.816005001
2007-02-14;255.0;440300.0;10499683.0;16.443694928;16.760847953;15.864545923;17.167631182;16.443694928
2007-02-15;151.0;108400.0;2578649.0;16.547114393;16.340275463;15.885229816;16.753953322;16.402327142
2007-02-16;89.0;547500.0;13141494.0;16.547114393;16.547114393;16.478168083;16.67121775;16.547114393
2007-02-21;46.0;17700.0;426688.0;16.547114393;16.753953322;16.547114393;16.891845942;16.622955333
2007-02-22;77.0;63100.0;1513524.0;16.409221773;16.616060703;16.409221773;16.747058691;16.540219762
2007-02-23;95.0;82000.0;1932639.0;16.243750629;16.085174116;16.085174116;16.547114393;16.25064526
2007-02-26;98.0;219200.0;5082281.0;16.340275463;16.085174116;15.926597602;16.505746607;15.988649281
2007-02-27;141.0;102200.0;2295179.0;15.375027123;15.892124447;15.099241883;15.892124447;15.485341219
2007-02-28;138.0;220100.0;4807837.0;15.168188193;15.512919743;14.864824429;15.512919743;15.057874097
2007-03-01;192.0;310100.0;6786777.0;15.512919743;14.823456643;14.740721071;15.512919743;15.092347252
2007-03-02;80.0;123700.0;2769293.0;15.292291551;15.437078802;14.995822418;16.050700961;15.437078802
2007-03-05;108.0;213900.0;4558193.0;14.754510333;14.754510333;14.485619724;15.271607658;14.692458654
2007-03-06;74.0;113000.0;2552039.0;15.512919743;15.161293562;15.161293562;15.685285517;15.568076791
2007-03-07;72.0;86100.0;1926564.0;15.443973433;15.437078802;14.485619724;15.512919743;15.430184171
2007-03-08;71.0;37900.0;847416.0;15.299186182;15.443973433;14.554566034;15.547392898;15.416394909
2007-03-09;60.0;127000.0;2780866.0;14.582144558;15.168188193;14.582144558;15.299186182;15.099241883
2007-03-12;154.0;156300.0;3288569.0;14.582144558;14.692458654;14.340832473;14.885508322;14.506303617
2007-03-13;132.0;162200.0;3280933.0;13.754788838;14.616617713;13.458319705;14.616617713;13.947838506
2007-03-14;223.0;162800.0;3214319.0;13.547949908;13.513476753;13.099798894;13.899576089;13.610001587
2007-03-15;34.0;43300.0;840011.0;13.341110979;13.789261993;13.134272049;13.789261993;13.375584134
2007-03-16;128.0;359500.0;6639729.0;12.651647879;13.168745204;12.548228414;13.237691514;12.734383451
2007-03-19;225.0;235400.0;4284157.0;13.099798894;12.755067344;12.217286126;13.099798894;12.548228414
2007-03-20;82.0;232200.0;4399234.0;12.961906274;13.313532455;12.789540499;13.313532455;13.065325739
2007-03-21;88.0;246800.0;4675167.0;13.444530443;13.037747215;12.272443174;13.789261993;13.058431108
2007-03-22;50.0;236200.0;4495289.0;13.168745204;13.272164669;13.030852584;13.272164669;13.120482787
2007-03-23;79.0;323700.0;6223068.0;13.030852584;13.265270038;13.00327406;13.458319705;13.251480776
2007-03-26;48.0;162900.0;3076278.0;13.099798894;13.444530443;12.824013654;13.444530443;13.017063322
2007-03-27;36.0;36900.0;685936.0;12.79643513;13.099798894;12.734383451;13.099798894;12.817119023
2007-03-28;26.0;65000.0;1208606.0;12.824013654;13.230796883;12.582701569;13.230796883;12.817119023
2007-03-29;93.0;478800.0;9097183.0;13.237691514;13.099798894;12.968800905;13.237691514;13.099798894
2007-03-30;39.0;164000.0;3167493.0;13.444530443;13.430741182;13.099798894;13.444530443;13.313532455
2007-04-02;48.0;75600.0;1444006.0;12.996379429;13.375584134;12.927433119;13.444530443;13.168745204
2007-04-03;68.0;120900.0;2282308.0;13.134272049;13.306637824;12.93432775;13.306637824;13.017063322
2007-04-04;115.0;189800.0;3657810.0;14.065047233;13.099798894;12.982590167;14.065047233;13.285953931
