Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2020-12-09;0.0;0.0;0.0;48.481066741;48.481066741;48.481066741;48.481066741;48.481066741
2020-12-10;68505.0;26020700.0;1645678138.0;52.230983506;54.415644835;51.126097316;55.177346678;52.934092899
2020-12-11;12803.0;3543300.0;224671788.0;54.365422735;52.272835255;51.904539859;54.365422735;53.068018498
2020-12-14;14466.0;3860400.0;254999856.0;55.570753124;54.407274485;53.662313342;56.466380566;55.286161227
2020-12-15;11483.0;3280200.0;218833447.0;55.738160122;55.99764097;55.076902479;56.432899166;55.838604321
2020-12-16;10468.0;2828500.0;189209362.0;56.290603217;55.913937471;55.411716476;56.491491615;55.98927062
2020-12-17;15415.0;3834800.0;265177927.0;58.425042447;56.148307269;56.123196219;59.337410588;57.880969702
2020-12-18;14625.0;9732100.0;670885163.0;57.177860309;58.416672097;57.177860309;59.831261234;57.696822004
2020-12-21;11194.0;2149200.0;143016360.0;55.394975776;56.089714819;55.076902479;56.449639866;55.696308373
2020-12-22;6222.0;1742500.0;116803519.0;56.332454967;55.830233972;55.302901927;56.340825317;56.106455519
2020-12-23;3521.0;858400.0;58056002.0;57.03556436;56.491491615;56.081344469;57.10252716;56.608676514
2020-12-28;5698.0;1376300.0;93280871.0;56.918379461;57.336896957;56.416158466;57.479192906;56.725861413
2020-12-29;3787.0;967300.0;65713584.0;56.918379461;56.918379461;56.499861965;57.08578646;56.859787012
2020-12-30;3681.0;1304100.0;88542595.0;57.169489959;56.926749811;55.830233972;57.169489959;56.826305612
2021-01-04;3650.0;1350100.0;90165865.0;55.244309477;57.378748707;54.993198979;57.378748707;55.897196771
2021-01-05;5720.0;1235000.0;79974325.0;54.599478698;55.354310201;53.29949111;55.765274019;54.305933114
2021-01-06;5709.0;1223200.0;77004845.0;51.873698271;54.607865715;51.873698271;54.700122898;52.796270108
2021-01-07;9214.0;1918400.0;117821061.0;51.118866769;52.343371206;50.741451017;53.156911826;51.504669537
2021-01-08;7212.0;2329200.0;144965379.0;52.192404906;51.664022854;51.169188869;52.888527292;52.192404906
