Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2021-05-04;0.0;0.0;0.0;10.049549246;10.049549246;10.049549246;10.049549246;10.049549246
2021-05-05;28591.0;10450400.0;159878154.0;10.635489066;9.8451516344;9.7633925897;11.378133722;10.417464947
2021-05-06;4220.0;1642600.0;26269644.0;10.901205962;10.894392708;10.635489066;11.207802379;10.894392708
2021-05-07;7101.0;2297900.0;36692806.0;11.310001185;11.003404767;10.574169783;11.514398797;10.873952947
2021-05-10;3445.0;1031400.0;16541417.0;10.819446917;11.480332528;10.805820409;11.514398797;10.921645723
2021-05-11;8156.0;1700500.0;26836888.0;11.003404767;10.683181842;10.322079395;11.003404767;10.75131438
2021-05-12;734.0;352400.0;5618264.0;10.860326439;10.860326439;10.710434857;11.153296349;10.860326439
2021-05-13;1585.0;603200.0;9472638.0;10.730874618;10.758127633;10.512850499;10.846699932;10.69680835
2021-05-14;4984.0;2403400.0;38243200.0;10.901205962;10.758127633;10.492410738;11.04428429;10.839886678
2021-05-17;8108.0;1351000.0;21839114.0;11.132856588;10.894392708;10.69680835;11.132856588;11.010218021
2021-05-18;1048.0;405500.0;6520650.0;10.846699932;11.139669842;10.846699932;11.310001185;10.955711991
2021-05-19;900.0;1232300.0;19423082.0;10.628675812;10.819446917;10.574169783;10.969338499;10.737687872
2021-05-20;1076.0;358300.0;5564837.0;10.730874618;10.669555335;10.356145663;10.785380648;10.580983036
2021-05-21;720.0;258200.0;4051889.0;10.69680835;10.703621603;10.621862559;10.730874618;10.689995096
2021-05-24;758.0;320700.0;5036159.0;10.662742081;10.730874618;10.594609544;10.839886678;10.69680835
2021-05-25;467.0;204400.0;3201183.0;10.628675812;10.649115574;10.594609544;10.792193902;10.669555335
2021-05-26;1155.0;500300.0;7739426.0;10.431091454;10.676368589;10.424278201;10.717248111;10.53329026
2021-05-27;611.0;570100.0;8827925.0;10.567356529;10.53329026;10.397025186;10.717248111;10.546916768
2021-05-28;757.0;390500.0;6180067.0;10.799007156;10.724061365;10.601422798;10.873952947;10.778567394
2021-05-31;1878.0;1153500.0;18429510.0;10.969338499;10.792193902;10.724061365;11.003404767;10.8807662
2021-06-01;2539.0;706700.0;11464889.0;11.09879032;11.003404767;10.93527223;11.119230081;11.051097544
2021-06-02;886.0;741000.0;12052000.0;11.091977066;11.037471036;10.873952947;11.200989125;11.078350558
2021-06-04;1078.0;641100.0;10539347.0;11.439453006;11.207802379;10.948898738;11.439453006;11.200989125
2021-06-07;2485.0;411300.0;6773072.0;11.187362618;11.357693961;11.105603573;11.412199991;11.214615633
2021-06-08;532.0;196200.0;3186905.0;11.010218021;11.289561424;10.976151753;11.296374678;11.064724051
2021-06-09;2100.0;875800.0;14103650.0;11.017031275;11.051097544;10.887579454;11.064724051;10.969338499
2021-06-10;1994.0;738800.0;12178780.0;11.384946976;11.071537305;11.071537305;11.384946976;11.22824214
2021-06-11;1432.0;998400.0;16628192.0;11.378133722;11.378133722;11.166922857;11.500772289;11.344067454
2021-06-14;6089.0;1537300.0;26443111.0;11.786928946;11.582531334;11.541651812;11.895941006;11.718796409
2021-06-15;8460.0;1468300.0;26353227.0;12.270669961;11.861874737;11.855061483;12.536386856;12.222977184
2021-06-16;3244.0;771200.0;14187156.0;12.624959154;12.536386856;12.32517599;12.808917005;12.529573602
2021-06-17;5886.0;1155300.0;21442804.0;12.740784468;12.652212169;12.400121781;12.924742318;12.645398915
2021-06-18;2134.0;707700.0;13110927.0;12.604519393;12.686278438;12.481880826;12.877049542;12.618145901
2021-06-21;3041.0;700000.0;13354978.0;13.142766437;12.618145901;12.618145901;13.176832706;12.999688109
2021-06-22;4590.0;788800.0;15085937.0;12.911115811;13.142766437;12.863423035;13.285844766;13.026941124
2021-06-23;2135.0;368100.0;6941193.0;12.904302557;12.972435094;12.577266378;13.149579691;12.842983273
2021-06-24;3745.0;1150600.0;22518538.0;13.5311219;12.958808587;12.863423035;13.817278556;13.333537542
2021-06-25;1840.0;1112400.0;21722630.0;13.347164049;13.490242377;13.115513423;13.681013482;13.299471273
2021-06-28;1124.0;345600.0;6660200.0;13.149579691;13.347164049;12.999688109;13.544748407;13.12913993
2021-06-29;2303.0;841100.0;16393617.0;13.381230318;13.156392945;13.122326676;13.544748407;13.279031512
2021-06-30;3882.0;1206600.0;23653675.0;13.456176109;13.381230318;13.204085721;13.524308646;13.353977303
2021-07-01;983.0;1473900.0;28774753.0;13.299471273;13.5311219;13.217712228;13.708266497;13.299471273
2021-07-02;1281.0;525200.0;10569863.0;13.790025541;13.381230318;13.374417064;13.926290616;13.708266497
