Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2025-11-28;1.0;200.0;6722.0;33.61;33.61;33.61;33.61;33.61
2025-12-05;1.0;200.0;7000.0;35.0;35.0;35.0;35.0;35.0
2025-12-09;1.0;100.0;3400.0;34.0;34.0;34.0;34.0;34.0
2025-12-10;1.0;100.0;3450.0;34.5;34.5;34.5;34.5;34.5
2025-12-11;1.0;100.0;3480.0;34.8;34.8;34.8;34.8;34.8
2025-12-15;1.0;100.0;3480.0;34.8;34.8;34.8;34.8;34.8
2025-12-16;1.0;100.0;3500.0;35.0;35.0;35.0;35.0;35.0
2025-12-18;1.0;100.0;3450.0;34.5;34.5;34.5;34.5;34.5
2025-12-22;1.0;100.0;3400.0;34.0;34.0;34.0;34.0;34.0
2025-12-26;1.0;100.0;3400.0;34.0;34.0;34.0;34.0;34.0
2026-01-05;1.0;100.0;3420.0;34.2;34.2;34.2;34.2;34.2
2026-01-07;1.0;100.0;3361.0;33.61;33.61;33.61;33.61;33.61
2026-01-16;1.0;100.0;3400.0;34.0;34.0;34.0;34.0;34.0
2026-01-20;1.0;100.0;3600.0;36.0;36.0;36.0;36.0;36.0
2026-01-22;1.0;100.0;3280.0;32.8;32.8;32.8;32.8;32.8
2026-01-27;1.0;100.0;3140.0;31.4;31.4;31.4;31.4;31.4
2026-02-05;1.0;100.0;2960.0;29.6;29.6;29.6;29.6;29.6
2026-02-11;1.0;100.0;2920.0;29.2;29.2;29.2;29.2;29.2
2026-02-24;1.0;100.0;3050.0;30.5;30.5;30.5;30.5;30.5
