Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2013-08-30;2.0;140.0;29988.0;120.62002827;120.62002827;120.62002827;120.62002827;120.62002827
2013-09-02;2.0;110.0;23562.0;120.62002827;120.62002827;120.62002827;120.62002827;120.62002827
2013-09-04;1.0;5.0;2000.0;225.2474851;225.2474851;225.2474851;225.2474851;225.2474851
2013-09-06;1.0;25.0;10000.0;225.2474851;225.2474851;225.2474851;225.2474851;225.2474851
2013-09-10;1.0;10.0;4000.0;225.2474851;225.2474851;225.2474851;225.2474851;225.2474851
2013-09-11;1.0;20.0;8000.0;225.2474851;225.2474851;225.2474851;225.2474851;225.2474851
2013-09-13;1.0;5.0;2140.0;241.01480906;241.01480906;241.01480906;241.01480906;241.01480906
2013-09-18;1.0;5.0;2240.0;252.27718331;252.27718331;252.27718331;252.27718331;252.27718331
2015-06-18;1.0;125.0;49975.0;248.90945762;248.90945762;248.90945762;248.90945762;248.90945762
2015-07-07;1.0;5.0;2000.0;249.0339746;249.0339746;249.0339746;249.0339746;249.0339746
2015-07-23;2.0;10.0;4200.0;261.48567333;261.48567333;261.48567333;261.48567333;261.48567333
2016-01-21;1.0;50.0;19000.0;236.58227587;236.58227587;236.58227587;236.58227587;236.58227587
2016-07-22;1.0;50.0;14000.0;209.11939611;209.11939611;209.11939611;209.11939611;209.11939611
2016-07-28;1.0;10.0;2800.0;209.11939611;209.11939611;209.11939611;209.11939611;209.11939611
2016-08-02;1.0;10.0;2800.0;209.11939611;209.11939611;209.11939611;209.11939611;209.11939611
2016-08-03;1.0;5.0;1400.0;209.11939611;209.11939611;209.11939611;209.11939611;209.11939611
2016-10-06;2.0;15.0;4350.0;216.58794597;216.58794597;216.58794597;216.58794597;216.58794597
2017-03-13;8.0;75.0;10514.0;140.0;140.2;140.0;140.2;140.2
2017-03-14;3.0;80.0;11204.0;140.0;140.4;140.0;140.4;140.0
2017-03-16;3.0;50.0;6420.0;128.0;130.0;128.0;130.0;128.4
2017-03-17;2.0;30.0;3600.0;120.0;120.0;120.0;120.0;120.0
2017-03-20;2.0;50.0;6000.0;120.0;120.0;120.0;120.0;120.0
2017-03-21;1.0;15.0;1740.0;116.0;116.0;116.0;116.0;116.0
2017-03-22;1.0;25.0;2800.0;112.0;112.0;112.0;112.0;112.0
2017-03-24;5.0;25.0;2550.0;104.0;100.0;100.0;104.0;102.0
2017-03-27;2.0;105.0;10920.0;104.0;104.0;104.0;104.0;104.0
2017-03-28;9.0;190.0;16030.0;83.6;103.8;83.6;103.8;84.4
2017-03-29;195.0;5240.0;292758.0;52.0;83.6;50.0;84.0;55.8
2017-03-30;510.0;15765.0;621166.0;40.0;52.0;34.0;52.0;39.4
2017-03-31;613.0;20695.0;804234.0;37.2;39.0;35.0;42.0;38.8
2017-04-03;526.0;17225.0;709219.0;43.4;40.0;39.4;43.4;41.2
2017-04-04;2631.0;112520.0;6485836.0;70.0;45.0;44.8;70.2;57.6
2017-04-05;3081.0;151075.0;10738693.0;51.0;74.0;45.0;83.0;71.0
2017-04-06;1208.0;38100.0;1968503.0;52.0;51.4;46.2;59.8;51.6
2017-04-07;322.0;10500.0;525700.0;51.0;52.0;46.6;53.0;50.0
2017-04-10;441.0;18435.0;861229.0;46.6;48.8;44.0;49.4;46.8
2017-04-11;786.0;37245.0;1995204.0;54.0;46.4;43.0;58.0;53.6
2017-04-12;416.0;11815.0;634587.0;52.2;56.0;51.0;57.4;53.8
2017-04-13;449.0;18095.0;1059240.0;56.8;60.0;55.6;62.4;58.6
2017-04-17;302.0;9985.0;560240.0;57.0;58.0;54.2;60.0;56.2
2017-04-18;240.0;7545.0;402382.0;53.0;56.0;52.0;56.0;53.4
2017-04-19;1141.0;54935.0;3321103.0;54.0;68.0;54.0;68.0;60.4
2017-04-20;452.0;19540.0;1012577.0;48.4;55.2;48.4;56.4;51.8
2017-04-24;246.0;7315.0;352415.0;47.4;48.4;47.0;49.6;48.2
2017-04-25;177.0;6035.0;274803.0;45.6;47.4;44.0;47.6;45.6
2017-04-26;135.0;6280.0;281570.0;44.8;45.2;44.2;46.0;44.8
2017-04-27;335.0;11055.0;470639.0;42.8;44.8;41.0;44.8;42.6
2017-04-28;355.0;9355.0;412845.0;44.0;42.6;41.2;46.8;44.2
2017-05-02;192.0;5880.0;268768.0;44.4;46.0;44.4;47.0;45.8
2017-05-03;203.0;6260.0;271224.0;42.8;44.4;42.6;44.8;43.4
2017-05-04;296.0;7970.0;347976.0;45.2;42.8;41.4;46.8;43.6
2017-05-05;132.0;5105.0;235573.0;46.6;46.6;45.0;47.6;46.2
2017-05-08;74.0;1935.0;87708.0;44.8;46.2;44.6;46.6;45.4
2017-05-09;24.0;920.0;41256.0;44.8;46.0;44.0;46.4;44.8
2017-05-10;75.0;2185.0;97041.0;43.2;46.0;43.2;46.0;44.4
2017-05-11;82.0;2400.0;104231.0;42.8;43.4;42.8;44.6;43.4
2017-05-12;283.0;10350.0;469748.0;45.4;44.0;42.0;48.0;45.4
2017-05-15;388.0;21750.0;1100741.0;50.2;50.0;48.2;54.0;50.6
2017-05-16;205.0;10100.0;476072.0;46.6;49.4;45.0;49.8;47.2
2017-05-17;150.0;7235.0;327794.0;44.8;46.0;44.0;46.4;45.4
2017-05-18;309.0;11540.0;477660.0;40.8;42.0;38.0;43.4;41.4
2017-05-19;218.0;10500.0;454482.0;43.2;40.8;40.8;44.0;43.2
2017-05-22;112.0;4275.0;177186.0;41.0;44.4;40.2;44.4;41.4
2017-05-23;128.0;3950.0;164490.0;42.2;41.0;41.0;42.2;41.6
2017-05-24;77.0;2595.0;109145.0;41.4;42.0;41.2;42.6;42.0
2017-05-25;69.0;1805.0;76454.0;43.4;42.2;41.4;43.6;42.4
2017-05-26;197.0;6400.0;286765.0;45.2;44.4;42.6;47.2;44.8
2017-05-29;265.0;9335.0;436340.0;46.6;47.0;44.4;49.0;46.8
2017-05-30;107.0;4410.0;200539.0;45.2;47.0;45.0;47.0;45.4
2017-05-31;160.0;4230.0;196051.0;45.6;46.0;45.0;47.2;46.4
2017-06-01;109.0;2365.0;109371.0;46.4;46.2;45.2;46.8;46.2
2017-06-02;530.0;15520.0;768513.0;51.0;47.4;47.4;52.0;49.6
2017-06-05;75.0;3225.0;162667.0;49.6;51.2;49.2;52.0;50.4
2017-06-06;181.0;5300.0;259972.0;49.2;50.4;48.0;50.4;49.0
2017-06-07;142.0;2930.0;146812.0;50.4;49.8;49.2;51.0;50.2
2017-06-08;90.0;2605.0;128287.0;50.0;50.4;48.0;50.4;49.2
2017-06-09;122.0;3685.0;187862.0;50.6;51.2;49.2;53.0;51.0
2017-06-12;70.0;3225.0;165536.0;52.0;50.6;50.6;52.0;51.4
2017-06-13;412.0;14410.0;808200.0;56.6;52.8;52.8;57.4;56.0
2017-06-14;169.0;9085.0;504109.0;53.6;57.8;52.2;59.0;55.4
2017-06-16;132.0;5215.0;276255.0;53.8;54.6;50.0;54.6;53.0
2017-06-19;35.0;1400.0;75462.0;53.0;54.0;52.4;55.0;54.0
2017-06-20;81.0;3725.0;197365.0;52.8;53.0;51.2;54.0;53.0
2017-06-21;105.0;2635.0;138291.0;52.4;53.0;51.6;54.0;52.4
2017-06-22;289.0;7180.0;394407.0;56.2;51.6;51.6;56.2;55.0
2017-06-23;258.0;8480.0;493775.0;58.2;57.2;56.6;60.0;58.2
2017-06-26;70.0;2170.0;128670.0;59.2;60.2;57.6;60.6;59.2
2017-06-27;122.0;4610.0;274602.0;58.8;60.2;57.6;60.4;59.6
2017-06-28;80.0;4555.0;267805.0;57.2;58.8;56.4;59.8;58.8
2017-06-29;32.0;985.0;56513.0;57.2;59.0;57.0;59.0;57.4
2017-06-30;32.0;2090.0;119463.0;56.0;57.2;56.0;58.0;57.2
2017-07-03;40.0;2625.0;146325.0;55.2;56.2;55.2;56.2;55.8
2017-07-04;504.0;20705.0;1246198.0;58.0;60.0;56.4;63.8;60.2
2017-07-05;250.0;8020.0;474849.0;59.4;60.4;57.2;60.6;59.2
2017-07-06;50.0;2625.0;153689.0;58.0;60.6;58.0;60.6;58.6
2017-07-07;149.0;4315.0;254035.0;60.0;58.4;57.0;60.0;58.8
2017-07-10;91.0;4350.0;261471.0;59.8;60.2;59.0;61.6;60.2
2017-07-11;70.0;1705.0;100308.0;58.8;59.4;58.0;59.4;58.8
2017-07-12;89.0;4000.0;236395.0;59.0;60.0;58.2;60.0;59.0
2017-07-13;110.0;4050.0;237249.0;58.2;60.0;58.0;60.0;58.6
2017-07-14;32.0;960.0;55913.0;58.0;58.2;58.0;58.6;58.2
2017-07-17;99.0;4250.0;241248.0;56.8;57.6;54.0;57.6;56.8
2017-07-18;133.0;6175.0;365955.0;58.0;59.4;58.0;61.4;59.2
2017-07-19;33.0;3105.0;180230.0;58.8;59.0;56.8;59.0;58.0
2017-07-20;60.0;2725.0;161721.0;58.8;59.8;58.6;59.8;59.4
2017-07-21;13.0;880.0;51255.0;58.6;57.6;57.6;59.0;58.2
2017-07-24;31.0;615.0;35700.0;57.6;57.6;57.6;59.2;58.0
2017-07-25;107.0;3495.0;196605.0;56.8;59.0;55.0;59.0;56.2
2017-07-26;83.0;2405.0;133849.0;55.6;55.6;55.4;56.0;55.6
2017-07-27;127.0;1440.0;79060.0;54.8;56.2;53.6;56.2;55.0
2017-07-28;57.0;1510.0;81860.0;54.2;54.8;52.4;54.8;54.2
2017-07-31;63.0;2865.0;155470.0;54.2;54.2;54.0;54.6;54.2
2017-08-01;23.0;515.0;28076.0;55.4;54.2;53.2;55.4;54.6
2017-08-02;62.0;2125.0;116869.0;55.6;53.4;53.4;56.4;55.0
2017-08-03;25.0;1025.0;55929.0;55.4;54.6;54.4;55.4;54.6
2017-08-04;122.0;3740.0;206274.0;55.2;55.4;54.6;56.0;55.2
2017-08-07;37.0;1475.0;80505.0;55.2;55.0;54.2;55.2;54.6
2017-08-08;67.0;2640.0;144054.0;55.0;55.0;54.2;55.0;54.6
2017-08-09;42.0;1545.0;84312.0;54.8;55.8;54.0;55.8;54.6
2017-08-10;23.0;635.0;34412.0;54.0;54.0;54.0;54.6;54.2
2017-08-11;56.0;2405.0;131033.0;54.6;54.8;53.4;55.2;54.4
2017-08-14;35.0;750.0;41080.0;54.2;55.0;54.0;55.8;54.8
2017-08-15;76.0;3590.0;195016.0;55.8;53.2;52.8;55.8;54.4
2017-08-16;11.0;360.0;19665.0;54.0;54.4;54.0;55.4;54.6
2017-08-17;24.0;1290.0;69963.0;53.8;54.4;53.8;54.6;54.2
2017-08-18;11.0;350.0;18925.0;54.8;53.8;53.8;54.8;54.0
2017-08-21;33.0;1120.0;61197.0;54.8;54.8;54.2;55.0;54.6
2017-08-22;97.0;1820.0;102119.0;55.2;55.0;55.0;57.0;56.2
2017-08-23;44.0;2870.0;162851.0;57.4;56.2;55.4;58.0;56.6
2017-08-24;53.0;2070.0;119108.0;56.8;57.8;56.8;58.0;57.4
2017-08-25;24.0;1340.0;76088.0;56.6;57.8;56.2;57.8;56.6
2017-08-28;137.0;2685.0;153774.0;57.2;57.4;56.6;59.0;57.2
2017-08-29;41.0;1540.0;87664.0;56.6;57.2;56.2;57.8;56.8
2017-08-30;24.0;1485.0;84114.0;57.4;56.4;56.4;57.4;56.6
2017-08-31;28.0;1925.0;108777.0;57.4;56.4;56.0;57.4;56.4
2017-09-01;111.0;3540.0;201004.0;57.0;57.4;56.2;57.8;56.6
2017-09-04;127.0;2850.0;158958.0;56.6;56.0;55.0;56.6;55.6
2017-09-05;61.0;2265.0;126911.0;56.0;55.8;55.4;56.8;56.0
2017-09-06;105.0;3210.0;180317.0;56.2;56.0;55.2;57.0;56.0
2017-09-08;182.0;5310.0;300591.0;56.6;56.0;56.0;57.6;56.6
2017-09-11;86.0;4565.0;259406.0;56.8;57.0;56.0;57.8;56.8
2017-09-12;120.0;3950.0;225626.0;57.0;57.6;56.4;57.6;57.0
2017-09-13;35.0;1600.0;91356.0;57.4;56.6;56.4;57.4;57.0
2017-09-14;58.0;2095.0;120325.0;58.0;57.8;56.4;58.0;57.4
2017-09-15;169.0;7365.0;427466.0;58.8;58.0;56.0;59.0;58.0
2017-09-18;152.0;5490.0;316046.0;57.2;58.8;57.0;58.8;57.4
2017-09-19;284.0;13990.0;834376.0;60.4;57.8;57.8;61.2;59.6
2017-09-20;666.0;25400.0;1585357.0;63.6;59.8;59.2;65.0;62.4
2017-09-21;277.0;11330.0;703299.0;61.6;64.0;60.6;64.0;62.0
2017-09-22;87.0;2455.0;149440.0;62.0;61.6;59.8;62.6;60.8
2017-09-25;119.0;3845.0;236688.0;62.0;63.0;60.2;63.0;61.4
2017-09-26;48.0;2970.0;181513.0;61.2;61.8;60.0;61.8;61.0
2017-09-27;62.0;1950.0;116050.0;58.8;61.8;58.2;61.8;59.4
2017-09-28;107.0;3500.0;209266.0;58.6;58.8;58.2;61.4;59.6
2017-09-29;425.0;9805.0;601394.0;64.0;58.8;58.2;64.6;61.2
2017-10-02;229.0;7260.0;470086.0;64.4;64.0;62.6;67.0;64.6
2017-10-03;186.0;4030.0;257993.0;63.6;64.4;62.0;65.2;64.0
2017-10-04;616.0;10265.0;666552.0;65.0;63.6;62.8;66.8;64.8
2017-10-05;169.0;4550.0;302119.0;63.4;66.6;62.8;67.4;66.2
2017-10-06;320.0;13900.0;811138.0;59.0;59.4;55.2;60.8;58.2
2017-10-09;277.0;6410.0;369767.0;60.0;59.4;56.2;60.0;57.6
2017-10-10;90.0;2450.0;145348.0;59.4;58.2;58.2;60.4;59.2
2017-10-11;17.0;520.0;30871.0;59.4;59.2;58.8;60.0;59.2
2017-10-13;58.0;1305.0;76526.0;57.8;59.8;57.8;60.0;58.6
2017-10-16;70.0;1790.0;104656.0;59.2;59.8;56.0;60.0;58.4
2017-10-17;37.0;510.0;29458.0;58.6;59.2;56.4;59.2;57.6
2017-10-18;49.0;1265.0;72959.0;58.0;56.6;56.6;58.6;57.6
2017-10-19;31.0;750.0;43793.0;60.0;58.0;58.0;60.0;58.2
2017-10-20;5.0;170.0;10040.0;60.0;59.0;59.0;60.0;59.0
2017-10-23;14.0;925.0;54320.0;60.0;58.8;58.4;60.0;58.6
2017-10-24;39.0;1235.0;71824.0;58.2;58.4;56.8;59.2;58.0
2017-10-25;28.0;2115.0;124394.0;57.6;59.0;57.4;60.8;58.8
2017-10-26;57.0;1720.0;100285.0;59.6;59.8;57.4;59.8;58.2
2017-10-27;44.0;850.0;49744.0;58.0;59.6;58.0;59.6;58.4
2017-10-30;55.0;1620.0;93132.0;56.8;59.6;56.4;59.6;57.4
2017-10-31;71.0;3050.0;171161.0;57.2;56.0;55.2;57.6;56.0
2017-11-01;26.0;2320.0;130228.0;56.2;58.0;55.8;58.0;56.0
2017-11-03;138.0;5425.0;291493.0;55.0;54.4;51.0;55.6;53.6
2017-11-06;345.0;7045.0;376232.0;54.8;54.2;52.4;55.6;53.4
2017-11-07;153.0;4245.0;221656.0;53.0;54.4;50.6;54.4;52.2
2017-11-08;38.0;1965.0;103994.0;53.4;53.2;52.0;53.8;52.8
2017-11-09;109.0;2500.0;137270.0;55.0;53.4;52.6;56.4;54.8
2017-11-10;61.0;1225.0;67844.0;57.8;55.0;53.2;58.4;55.2
2017-11-13;187.0;4830.0;256453.0;52.8;56.2;52.2;56.2;53.0
2017-11-14;46.0;985.0;51783.0;52.4;53.8;51.4;53.8;52.4
2017-11-16;29.0;1215.0;61742.0;50.8;53.8;50.2;54.6;50.8
2017-11-17;93.0;2145.0;104058.0;48.2;53.4;47.0;53.4;48.4
2017-11-21;90.0;3635.0;170590.0;46.8;49.8;46.0;49.8;46.8
2017-11-22;68.0;2415.0;116026.0;48.8;47.2;46.6;50.8;48.0
2017-11-23;37.0;3350.0;159130.0;47.6;49.6;47.4;49.6;47.4
2017-11-24;77.0;4705.0;229305.0;52.0;47.0;47.0;52.8;48.6
2017-11-27;59.0;1855.0;98483.0;52.0;54.0;51.8;54.6;53.0
2017-11-28;19.0;810.0;41557.0;52.0;50.8;50.0;52.0;51.2
2017-11-29;63.0;2160.0;109570.0;51.0;51.2;50.0;51.6;50.6
2017-11-30;20.0;620.0;30930.0;51.0;50.6;48.2;51.0;49.8
2017-12-01;56.0;1665.0;80044.0;49.0;51.2;47.4;51.2;48.0
2017-12-04;51.0;2205.0;104592.0;47.4;47.4;47.0;49.0;47.4
2017-12-05;49.0;2675.0;126265.0;46.6;49.8;46.6;49.8;47.2
2017-12-06;19.0;355.0;16977.0;48.2;46.8;46.8;48.6;47.8
2017-12-07;32.0;1020.0;47387.0;47.8;46.6;46.0;48.0;46.4
2017-12-08;26.0;2480.0;117520.0;47.0;48.2;46.8;48.4;47.2
2017-12-11;50.0;1035.0;48302.0;47.0;46.8;46.0;47.8;46.6
2017-12-12;24.0;620.0;28844.0;46.4;46.4;46.4;47.0;46.4
2017-12-13;10.0;105.0;4997.0;47.6;47.6;47.4;47.6;47.4
2017-12-14;27.0;915.0;42406.0;46.4;48.0;45.4;48.0;46.2
2017-12-15;9.0;125.0;5776.0;46.0;46.8;45.4;46.8;46.2
2017-12-18;14.0;760.0;35402.0;46.4;47.0;46.0;47.0;46.4
2017-12-19;48.0;1740.0;79636.0;46.8;46.0;45.0;46.8;45.6
2017-12-20;23.0;1040.0;47839.0;46.4;46.6;45.4;46.6;45.8
2017-12-21;13.0;375.0;17443.0;45.6;47.0;45.6;47.0;46.4
2017-12-22;38.0;775.0;35697.0;45.6;46.2;45.6;47.0;46.0
2017-12-26;29.0;1170.0;52951.0;45.2;45.2;45.0;45.8;45.2
2017-12-27;8.0;360.0;16744.0;46.8;47.0;46.0;47.0;46.4
2017-12-28;23.0;1220.0;57553.0;47.2;48.2;46.2;48.2;47.0
2018-01-02;19.0;555.0;25960.0;46.6;46.4;46.4;47.0;46.6
2018-01-03;14.0;240.0;11280.0;47.8;46.4;46.4;47.8;47.0
2018-01-04;43.0;1705.0;78645.0;45.6;47.2;45.0;47.2;46.0
2018-01-05;38.0;1925.0;86396.0;44.8;47.0;43.8;47.0;44.8
2018-01-08;27.0;480.0;22224.0;46.6;46.0;45.8;47.0;46.2
2018-01-09;17.0;445.0;20764.0;47.0;46.8;46.0;47.0;46.6
2018-01-10;11.0;200.0;9334.0;46.8;47.0;46.0;47.0;46.6
