Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2000-04-10;1.0;50.0;1960.0;3.9034935973;3.9034935973;3.9034935973;3.9034935973;3.9034935973
2000-05-15;1.0;50.0;1980.0;3.9433251646;3.9433251646;3.9433251646;3.9433251646;3.9433251646
2000-07-11;1.0;200.0;9680.0;4.8196196456;4.8196196456;4.8196196456;4.8196196456;4.8196196456
2000-07-13;1.0;450.0;21780.0;4.8196196456;4.8196196456;4.8196196456;4.8196196456;4.8196196456
2000-12-18;2.0;100.0;5000.0;5.1002255222;5.1002255222;5.1002255222;5.1002255222;5.1002255222
2001-09-12;1.0;50.0;2390.0;5.0942129675;5.0942129675;5.0942129675;5.0942129675;5.0942129675
2001-12-13;4.0;2000.0;98000.0;5.2221011592;5.2221011592;5.2221011592;5.2221011592;5.2221011592
2002-01-04;2.0;700.0;33320.0;5.0728982689;5.0728982689;5.0728982689;5.0728982689;5.0728982689
2002-05-09;2.0;250.0;11900.0;5.3002319399;5.3002319399;5.3002319399;5.3002319399;5.3002319399
2002-05-31;2.0;550.0;27500.0;5.5674705251;5.5674705251;5.5674705251;5.5674705251;5.5674705251
2003-03-07;2.0;600.0;27720.0;5.3148941335;5.3148941335;5.3148941335;5.3148941335;5.3148941335
2003-04-15;4.0;1700.0;76160.0;5.2943073993;5.2943073993;5.2943073993;5.2943073993;5.2943073993
2003-04-28;1.0;500.0;23000.0;5.4361192046;5.4361192046;5.4361192046;5.4361192046;5.4361192046
2003-05-16;1.0;550.0;24200.0;5.1997661957;5.1997661957;5.1997661957;5.1997661957;5.1997661957
2003-10-10;1.0;400.0;16800.0;4.9634131868;4.9634131868;4.9634131868;4.9634131868;4.9634131868
2003-10-14;1.0;100.0;4200.0;4.9634131868;4.9634131868;4.9634131868;4.9634131868;4.9634131868
2003-10-17;1.0;150.0;6300.0;4.9634131868;4.9634131868;4.9634131868;4.9634131868;4.9634131868
2004-01-06;1.0;50.0;1990.0;4.78949168;4.78949168;4.78949168;4.78949168;4.78949168
2004-02-11;2.0;150.0;4980.0;3.8508475819;4.0674577584;3.8508475819;4.0674577584;3.9952543662
2004-02-13;1.0;50.0;1610.0;3.8749153793;3.8749153793;3.8749153793;3.8749153793;3.8749153793
2004-03-01;4.0;3000.0;114000.0;4.5728815035;4.5728815035;4.5728815035;4.5728815035;4.5728815035
2004-06-09;1.0;650.0;22100.0;4.3279122749;4.3279122749;4.3279122749;4.3279122749;4.3279122749
2004-07-30;1.0;50.0;1700.0;4.3279122749;4.3279122749;4.3279122749;4.3279122749;4.3279122749
2004-08-04;1.0;100.0;3500.0;4.4552038124;4.4552038124;4.4552038124;4.4552038124;4.4552038124
2004-08-23;3.0;1400.0;57400.0;5.2189530374;5.2189530374;5.2189530374;5.2189530374;5.2189530374
2004-09-17;1.0;50.0;1850.0;4.7097868874;4.7097868874;4.7097868874;4.7097868874;4.7097868874
2004-11-25;1.0;100.0;3800.0;4.8370784249;4.8370784249;4.8370784249;4.8370784249;4.8370784249
2004-11-30;2.0;205.0;8118.0;5.0407448849;5.0407448849;5.0407448849;5.0407448849;5.0407448849
2004-12-17;4.0;1000.0;36000.0;4.5824953499;4.5824953499;4.5824953499;4.5824953499;4.5824953499
2004-12-27;3.0;120.0;4200.0;4.4552038124;4.4552038124;4.4552038124;4.4552038124;4.4552038124
2005-01-05;1.0;5.0;194.0;4.9389116549;4.9389116549;4.9389116549;4.9389116549;4.9389116549
2005-01-14;3.0;215.0;8385.0;4.9643699624;4.9643699624;4.9643699624;4.9643699624;4.9643699624
2005-02-09;10.0;300.0;9762.0;4.4814691186;4.5093043305;4.4814691186;4.9825029331;4.5371395424
2005-02-11;1.0;55.0;1925.0;4.8711620854;4.8711620854;4.8711620854;4.8711620854;4.8711620854
2005-02-16;1.0;20.0;720.0;5.010338145;5.010338145;5.010338145;5.010338145;5.010338145
2005-02-22;1.0;10.0;430.0;5.9845705621;5.9845705621;5.9845705621;5.9845705621;5.9845705621
2005-02-24;2.0;90.0;3258.0;5.0381733569;5.0381733569;5.0381733569;5.0381733569;5.0381733569
2005-03-29;1.0;90.0;3330.0;5.1495142046;5.1495142046;5.1495142046;5.1495142046;5.1495142046
2005-04-22;2.0;50.0;1730.0;4.8154916616;4.8154916616;4.8154916616;4.8154916616;4.8154916616
2005-05-06;1.0;4000.0;138400.0;4.8154916616;4.8154916616;4.8154916616;4.8154916616;4.8154916616
2005-06-20;4.0;145.0;4495.0;4.3144578471;4.3144578471;4.3144578471;4.3144578471;4.3144578471
2005-06-23;1.0;25.0;825.0;4.5928099663;4.5928099663;4.5928099663;4.5928099663;4.5928099663
2005-07-12;4.0;1485.0;47104.0;3.9526000922;4.4257986948;3.9526000922;4.4257986948;4.4257986948
2005-07-19;1.0;550.0;18150.0;4.5928099663;4.5928099663;4.5928099663;4.5928099663;4.5928099663
2005-07-20;1.0;950.0;31350.0;4.5928099663;4.5928099663;4.5928099663;4.5928099663;4.5928099663
2005-07-27;1.0;275.0;8800.0;4.4536339067;4.4536339067;4.4536339067;4.4536339067;4.4536339067
2005-08-10;1.0;200.0;6120.0;4.2587874233;4.2587874233;4.2587874233;4.2587874233;4.2587874233
2005-08-11;1.0;5.0;150.0;4.1752817875;4.1752817875;4.1752817875;4.1752817875;4.1752817875
2005-08-17;5.0;360.0;10800.0;4.1752817875;4.1752817875;4.1752817875;4.1752817875;4.1752817875
2005-08-25;1.0;80.0;2432.0;4.2309522114;4.2309522114;4.2309522114;4.2309522114;4.2309522114
2005-09-06;2.0;110.0;3300.0;4.1752817875;4.1752817875;4.1752817875;4.1752817875;4.1752817875
2005-09-08;1.0;25.0;750.0;4.1752817875;4.1752817875;4.1752817875;4.1752817875;4.1752817875
2005-09-14;1.0;100.0;3000.0;4.1752817875;4.1752817875;4.1752817875;4.1752817875;4.1752817875
2005-09-19;6.0;910.0;23660.0;3.6185775492;3.6185775492;3.6185775492;3.6185775492;3.6185775492
2005-09-28;4.0;4845.0;144950.0;4.1752817875;3.6185775492;3.6185775492;4.1752817875;4.1752817875
