Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2000-01-10;1.0;1000.0;62999.999523;67.746320281;67.746320281;67.746320281;67.746320281;67.746320281
2000-02-01;8.0;1520.0;86250.0;65.595645482;63.444964273;53.766921265;65.595645482;61.294289473
2000-02-03;1.0;4270.0;251929.9888;63.444964273;63.444964273;63.444964273;63.444964273;63.444964273
2000-02-04;2.0;20.0;1110.0;60.218952073;59.143614673;59.143614673;60.218952073;60.218952073
2000-02-08;2.0;20.0;1139.9999857;59.143614673;63.444964273;59.143614673;63.444964273;61.294289473
2000-02-09;1.0;10.0;529.99997139;56.992933464;56.992933464;56.992933464;56.992933464;56.992933464
2000-02-11;1.0;10.0;509.99999046;54.842258665;54.842258665;54.842258665;54.842258665;54.842258665
2000-02-14;1.0;10.0;490.00000954;52.691583865;52.691583865;52.691583865;52.691583865;52.691583865
2000-02-15;1.0;10.0;479.99998927;51.616243261;51.616243261;51.616243261;51.616243261;51.616243261
2000-02-16;2.0;20.0;930.0;49.465568461;50.540905861;49.465568461;50.540905861;50.540905861
2000-02-18;1.0;10.0;500.0;53.766921265;53.766921265;53.766921265;53.766921265;53.766921265
2000-02-28;1.0;10.0;469.99999881;50.540905861;50.540905861;50.540905861;50.540905861;50.540905861
2000-03-13;2.0;30.0;1349.9999642;48.390227857;48.390227857;48.390227857;48.390227857;48.390227857
2000-03-14;2.0;140.0;6400.0;49.465568461;48.390227857;48.390227857;49.465568461;49.465568461
2000-03-15;1.0;20.0;920.00001669;49.465568461;49.465568461;49.465568461;49.465568461;49.465568461
2000-03-20;2.0;1110.0;47730.000794;46.239553057;46.239553057;46.239553057;46.239553057;46.239553057
2000-03-21;1.0;10.0;469.99999881;50.540905861;50.540905861;50.540905861;50.540905861;50.540905861
2000-03-23;2.0;210.0;10060.0;49.465568461;51.616243261;49.465568461;51.616243261;51.616243261
2000-03-29;4.0;50.0;2510.0;58.068277274;52.691583865;52.691583865;58.068277274;53.766921265
2000-04-04;1.0;10.0;490.00000954;52.691583865;52.691583865;52.691583865;52.691583865;52.691583865
2000-04-06;2.0;210.0;10500.0;53.766921265;53.766921265;53.766921265;53.766921265;53.766921265
2000-04-07;3.0;1300.0;66600.0;54.842258665;55.917596065;54.842258665;55.917596065;54.842258665
2000-04-10;5.0;360.0;18640.0;55.917596065;53.766921265;53.766921265;55.917596065;55.917596065
2000-04-14;2.0;70.0;3590.0;56.992933464;54.842258665;54.842258665;56.992933464;54.842258665
2000-04-17;1.0;10.0;529.99997139;56.992933464;56.992933464;56.992933464;56.992933464;56.992933464
2000-04-18;2.0;30.0;1610.0;58.068277274;56.992933464;56.992933464;58.068277274;58.068277274
2000-04-20;1.0;10.0;519.99998093;55.917596065;55.917596065;55.917596065;55.917596065;55.917596065
2000-04-24;4.0;50.0;2490.0;57.31899028;55.071188841;55.071188841;57.31899028;56.195089561
2000-04-25;3.0;90.0;4750.0;59.566791719;57.31899028;57.31899028;59.566791719;59.566791719
2000-04-26;1.0;10.0;529.99997139;59.566791719;59.566791719;59.566791719;59.566791719;59.566791719
2000-04-27;4.0;40.0;2200.0000477;64.062401295;59.566791719;59.566791719;64.062401295;61.814599856
2000-04-28;2.0;210.0;12210.0;68.558010872;65.186302015;65.186302015;68.558010872;65.186302015
2000-05-04;1.0;60.0;3600.0001431;67.434110152;67.434110152;67.434110152;67.434110152;67.434110152
2000-05-08;1.0;10.0;610.00001431;68.558010872;68.558010872;68.558010872;68.558010872;68.558010872
2000-05-09;7.0;1420.0;82359.99763;65.186302015;65.186302015;65.186302015;65.186302015;65.186302015
2000-05-17;1.0;400.0;23199.999332;65.186302015;65.186302015;65.186302015;65.186302015;65.186302015
2000-05-25;1.0;10.0;540.00002146;60.690699137;60.690699137;60.690699137;60.690699137;60.690699137
2000-06-01;1.0;600.0;32400.001287;60.690699137;60.690699137;60.690699137;60.690699137;60.690699137
2000-06-13;1.0;10.0;560.00000238;62.938500576;62.938500576;62.938500576;62.938500576;62.938500576
2000-06-15;2.0;110.0;6570.0;67.434110152;64.062401295;64.062401295;67.434110152;67.434110152
2000-06-21;3.0;50.0;3070.0;68.558010872;67.434110152;67.434110152;71.92971303;68.558010872
2000-06-27;4.0;80.0;4880.0001144;67.434110152;71.92971303;67.434110152;71.92971303;68.558010872
2000-06-28;1.0;10.0;639.99998569;71.92971303;71.92971303;71.92971303;71.92971303;71.92971303
2000-07-04;7.0;10100.0;636299.99518;70.80581231;70.80581231;70.80581231;70.80581231;70.80581231
2000-07-05;2.0;20.0;1240.0000095;66.310202734;73.053613749;66.310202734;73.053613749;69.681911591
2000-07-06;1.0;10.0;589.99997377;66.310202734;66.310202734;66.310202734;66.310202734;66.310202734
2000-07-07;5.0;140.0;8880.0;70.80581231;71.92971303;70.80581231;73.053613749;70.80581231
2000-07-10;1.0;10.0;639.99998569;71.92971303;71.92971303;71.92971303;71.92971303;71.92971303
2000-07-21;1.0;10.0;649.99997616;73.053613749;73.053613749;73.053613749;73.053613749;73.053613749
2000-07-25;1.0;860.0;55039.99877;71.92971303;71.92971303;71.92971303;71.92971303;71.92971303
2000-07-26;2.0;110.0;6640.0;67.434110152;71.92971303;67.434110152;71.92971303;67.434110152
2000-07-31;1.0;10.0;639.99998569;71.92971303;71.92971303;71.92971303;71.92971303;71.92971303
2000-08-07;19.0;2570.0;158910.0;67.434110152;70.80581231;67.434110152;70.80581231;69.681911591
2000-08-08;1.0;20.0;1200.0000477;67.434110152;67.434110152;67.434110152;67.434110152;67.434110152
2000-08-10;1.0;360.0;21600.000858;67.434110152;67.434110152;67.434110152;67.434110152;67.434110152
2000-08-21;1.0;50.0;3000.0001192;67.434110152;67.434110152;67.434110152;67.434110152;67.434110152
2000-08-22;2.0;70.0;4200.0001669;67.434110152;67.434110152;67.434110152;67.434110152;67.434110152
2000-08-23;2.0;90.0;5400.0002146;67.434110152;67.434110152;67.434110152;67.434110152;67.434110152
2000-08-29;1.0;80.0;4800.0001907;67.434110152;67.434110152;67.434110152;67.434110152;67.434110152
2000-08-31;2.0;30.0;1800.0000715;67.434110152;67.434110152;67.434110152;67.434110152;67.434110152
2000-09-01;1.0;100.0;6000.0002384;67.434110152;67.434110152;67.434110152;67.434110152;67.434110152
2000-09-04;3.0;30.0;1709.9999785;64.062401295;64.062401295;64.062401295;64.062401295;64.062401295
2000-09-05;1.0;10.0;579.99998331;65.186302015;65.186302015;65.186302015;65.186302015;65.186302015
2000-09-06;2.0;50.0;2990.0;67.434110152;66.310202734;66.310202734;67.434110152;67.434110152
2000-09-11;3.0;30.0;1610.0;59.566791719;60.690699137;59.566791719;60.690699137;60.690699137
2000-09-12;2.0;20.0;1059.9999428;59.566791719;59.566791719;59.566791719;59.566791719;59.566791719
2000-09-15;1.0;10.0;529.99997139;59.566791719;59.566791719;59.566791719;59.566791719;59.566791719
2000-09-19;1.0;50.0;2750.0000596;61.814599856;61.814599856;61.814599856;61.814599856;61.814599856
2000-10-02;6.0;210.0;11330.0;56.195089561;61.814599856;56.195089561;61.814599856;60.690699137
2000-10-05;1.0;100.0;5500.0001192;61.814599856;61.814599856;61.814599856;61.814599856;61.814599856
2000-10-10;4.0;140.0;7700.0001669;61.814599856;61.814599856;61.814599856;61.814599856;61.814599856
2000-10-23;1.0;10.0;550.00001192;61.814599856;61.814599856;61.814599856;61.814599856;61.814599856
2000-10-31;6.0;200.0;10000.0;56.195089561;56.195089561;56.195089561;56.195089561;56.195089561
2000-11-07;1.0;10.0;540.00002146;60.690699137;60.690699137;60.690699137;60.690699137;60.690699137
2000-11-09;3.0;220.0;11860.0;58.442890999;60.690699137;58.442890999;60.690699137;60.690699137
2000-11-14;1.0;10.0;540.00002146;60.690699137;60.690699137;60.690699137;60.690699137;60.690699137
2000-11-20;5.0;240.0;12000.0;56.195089561;56.195089561;56.195089561;56.195089561;56.195089561
2000-11-21;45.0;13900.0;741010.0;56.195089561;60.690699137;56.195089561;62.938500576;59.566791719
2000-11-22;2.0;1620.0;85859.995365;59.566791719;59.566791719;59.566791719;59.566791719;59.566791719
2000-11-23;1.0;10.0;550.00001192;61.814599856;61.814599856;61.814599856;61.814599856;61.814599856
2000-11-27;1.0;70.0;3850.0000834;61.814599856;61.814599856;61.814599856;61.814599856;61.814599856
2000-11-28;2.0;30.0;1650.0000358;61.814599856;61.814599856;61.814599856;61.814599856;61.814599856
2000-12-07;1.0;40.0;2200.0000477;61.814599856;61.814599856;61.814599856;61.814599856;61.814599856
2000-12-12;3.0;500.0;27500.000596;61.814599856;61.814599856;61.814599856;61.814599856;61.814599856
