Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2025-04-17;0.0;0.0;0.0;4.0036408933;4.0036408933;4.0036408933;4.0036408933;4.0036408933
2025-05-12;2.0;2000.0;13499.0;2.5796890754;3.225148869;2.5796890754;3.225148869;2.9022039623
2025-05-13;1.0;1000.0;5990.0;2.5758188967;2.5758188967;2.5758188967;2.5758188967;2.5758188967
2025-05-16;10.0;12000.0;59250.0;2.5758188967;2.0640952762;1.7200793968;2.5758188967;2.1230079955
2025-05-26;4.0;5000.0;31709.0;3.0101389444;2.2829753794;2.2829753794;3.0101389444;2.7267558638
2025-05-27;5.0;5000.0;35863.0;3.4358585951;2.9241349746;2.9241349746;3.4358585951;3.0841023585
2025-05-28;1.0;1000.0;9578.0;4.1187301156;4.1187301156;4.1187301156;4.1187301156;4.1187301156
2025-06-09;17.0;23000.0;189002.0;3.6551687182;3.0970029539;3.0970029539;3.6551687182;3.5334731009
2025-07-09;6.0;8000.0;64000.0;3.4401587936;3.4401587936;3.4401587936;3.4401587936;3.4401587936
2025-07-10;14.0;29000.0;229777.0;3.6547386984;3.4401587936;3.3537248039;3.6547386984;3.4070472652
2025-07-11;48.0;59000.0;489434.0;3.4616597861;3.6551687182;3.3584550223;4.2997684721;3.5670146491
2025-07-14;4.0;4000.0;33494.0;3.6547386984;3.5476637559;3.5476637559;3.6547386984;3.6005561974
2025-07-15;2.0;2000.0;17549.0;3.7837446531;3.7626736805;3.7626736805;3.7837446531;3.7729941569
2025-07-16;1.0;1000.0;8398.0;3.6113066936;3.6113066936;3.6113066936;3.6113066936;3.6113066936
2025-07-23;14.0;24000.0;208785.0;3.8792090596;3.4401587936;3.4401587936;3.8792090596;3.7407426682
2025-07-24;4.0;4000.0;43985.0;5.1602381904;4.2958982935;4.2958982935;5.1602381904;4.7284982618
2025-07-25;8.0;10000.0;113401.0;5.1172362055;4.300198492;4.300198492;5.1598081706;4.8764250899
2025-07-28;8.0;8000.0;91493.0;5.0742342206;4.7297883214;4.7297883214;5.0948751733;4.9177069955
2025-07-29;1.0;1000.0;13000.0;5.5902580396;5.5902580396;5.5902580396;5.5902580396;5.5902580396
2025-07-30;3.0;3000.0;46900.0;6.8373156023;6.6653076626;6.6653076626;6.8373156023;6.7225003025
2025-08-01;2.0;2000.0;32600.0;7.009323542;7.009323542;7.009323542;7.009323542;7.009323542
2025-08-06;2.0;2000.0;32899.0;7.0523255269;7.094897492;7.0523255269;7.094897492;7.0733964995
2025-08-07;17.0;2500.0;44858.0;6.8803175872;7.7145560947;6.8803175872;7.9553672102;7.6801545067
2025-08-08;42.0;5300.0;95809.0;8.600396984;6.8459159993;6.8459159993;8.6692001599;7.770458675
2025-08-11;10.0;2100.0;45000.0;9.8904565316;8.600396984;8.600396984;9.8904565316;9.2110251699
2025-08-12;12.0;1600.0;40696.0;11.180516079;9.8904565316;9.8904565316;11.606235729;10.94830536
2025-08-13;22.0;5600.0;151107.0;12.900595476;11.17621588;10.75049623;12.900595476;11.601935531
2025-08-14;3.0;300.0;5183.0;17.01;17.32;17.01;17.5;17.27
2025-08-15;29.0;4400.0;112776.0;30.0;18.01;18.01;30.5;25.63
2025-08-18;12.0;1300.0;39544.0;29.48;30.0;29.48;31.0;30.41
2025-08-19;25.0;2700.0;72433.0;27.97;23.59;23.59;27.98;26.82
2025-08-20;55.0;6900.0;145933.0;21.0;27.97;17.99;27.97;21.14
2025-08-21;1.0;100.0;2100.0;21.0;21.0;21.0;21.0;21.0
2025-08-22;4.0;500.0;10005.0;20.0;20.05;20.0;20.05;20.01
2025-08-25;16.0;2000.0;45218.0;23.95;18.99;18.99;23.98;22.6
2025-08-28;2.0;200.0;4779.0;23.9;23.89;23.89;23.9;23.89
2025-08-29;10.0;1200.0;25389.0;22.89;21.0;21.0;22.89;21.15
2025-09-01;2.0;200.0;4562.0;22.82;22.8;22.8;22.82;22.81
2025-09-04;33.0;3800.0;53837.0;14.96;12.0;12.0;14.99;14.16
2025-09-05;11.0;1400.0;20114.0;13.99;14.25;13.99;14.99;14.36
