Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2009-10-07;32454.0;83723400.031;1932741367.0;7.7625539925;8.064545483;7.7625539925;8.1125895837;7.9204131807
2009-10-08;19147.0;29667600.011;669058707.0;7.772849157;7.7900077644;7.5497872607;7.9478669526;7.7385319422
2009-10-09;5968.0;6226300.0023;142361515.0;7.8483470296;7.765985714;7.7453953851;7.8929594089;7.8449153081
2009-10-13;4910.0;7042000.0026;159378729.0;7.8208932577;7.8243249792;7.6836243985;7.8758008015;7.765985714
2009-10-14;7883.0;7531100.0027;170864467.0;7.7694174355;7.8552104726;7.7419636637;7.8895276874;7.7865760429
2009-10-15;7684.0;8341900.003;191810668.0;8.0302282682;7.7419636637;7.7213733348;8.0302282682;7.8895276874
2009-10-16;8859.0;9033200.0033;212322249.0;8.050818597;7.96502556;7.9410035096;8.1331799126;8.064545483
2009-10-19;5821.0;5131300.0019;120810288.0;8.0611137615;8.050818597;8.0130696607;8.1125895837;8.0782723689
2009-10-20;5185.0;5555400.002;126692134.0;7.8208932577;7.8277567007;7.7213733348;7.9272766237;7.8277567007
2009-10-21;12785.0;18562500.007;430426821.0;7.958162117;7.7797126;7.7797126;8.0233648252;7.958162117
2009-10-22;4079.0;7875300.0029;179343790.0;7.8380518652;7.87236908;7.7488271066;7.9101180163;7.8140298148
2009-10-23;4977.0;2791300.001;63094829.0;7.7522588281;7.8895276874;7.7110781703;7.9032545733;7.7556905496
2009-10-26;4279.0;3892800.0014;88878043.0;7.8517787511;7.8414835866;7.7591222711;7.8792325229;7.8346201437
2009-10-27;3772.0;2840100.001;64112776.0;7.7213733348;7.8277567007;7.6904878414;7.9512986741;7.7453953851
2009-10-28;6522.0;7014600.0025;152606025.0;7.381632908;7.7351002207;7.2100468339;7.765985714;7.4674259451
2009-10-29;4786.0;5907300.0022;127664948.0;7.3335888073;7.4845845525;7.2546592132;7.5154700458;7.4159501228
2009-10-30;4649.0;4160700.0015;87392420.0;7.2066151124;7.388496351;7.0350290383;7.4193818443;7.2066151124
2009-11-03;4407.0;7298500.0027;153707895.0;7.4639942236;7.0418924813;6.9149187865;7.4674259451;7.2272054413
2009-11-04;2766.0;5022600.0018;108158902.0;7.4090866799;7.4331087303;7.3164301999;7.4708576666;7.388496351
2009-11-05;3649.0;3478600.0013;73971228.0;7.2580909347;7.3267253643;7.2306371628;7.381632908;7.295839871
2009-11-06;2946.0;2478800.0009;52508789.0;7.2580909347;7.3095667569;7.1002317465;7.3404522503;7.2683860991
2009-11-09;2119.0;2249800.0008;47577705.0;7.2237737199;7.3267253643;7.1379806828;7.3335888073;7.2580909347
2009-11-10;3200.0;1811700.0007;38019977.0;7.2718178206;7.2134785554;7.1345489613;7.2718178206;7.203183391
2009-11-11;4264.0;3967600.0014;86457856.0;7.5772410325;7.3644743006;7.3610425791;7.5772410325;7.4777211095
2009-11-12;1552.0;2062900.0007;44908465.0;7.4090866799;7.5189017673;7.388496351;7.5635141466;7.4708576666
2009-11-13;2758.0;1240300.0005;26988565.0;7.4399721732;7.4434038947;7.3095667569;7.5600824251;7.4674259451
2009-11-16;2048.0;1148200.0004;25322123.0;7.5497872607;7.4983114384;7.481152831;7.6081265259;7.5669458681
2009-11-17;1209.0;1245600.0005;27673881.0;7.6596023481;7.5360603747;7.5017431599;7.6630340696;7.6252851333
2009-11-18;8218.0;4704000.0017;107419146.0;7.7900077644;7.6012630829;7.5841044755;7.8963911304;7.8380518652
2009-11-19;2772.0;2351700.0009;52693092.0;7.6218534118;7.7248050562;7.5703775895;7.8414835866;7.6904878414
2009-11-23;3541.0;1853900.0007;41930110.0;7.772849157;7.6218534118;7.6218534118;7.858642194;7.7625539925
2009-11-24;2313.0;2238500.0008;50385447.0;7.8929594089;7.7213733348;7.6390120192;7.8929594089;7.7248050562
2009-11-25;1740.0;1192000.0004;27189591.0;7.7934394859;7.8552104726;7.7522588281;7.8860959659;7.8277567007
2009-11-26;866.0;578800.00021;12822509.0;7.5497872607;7.6870561199;7.5189017673;7.6904878414;7.6012630829
2009-11-27;2870.0;2636900.001;59480904.0;7.8689373585;7.481152831;7.4536990592;7.87236908;7.7419636637
2009-11-30;6069.0;4604800.0017;107060462.0;8.0130696607;7.8380518652;7.8071663718;8.0336599896;7.9787524459
2009-12-01;13076.0;8077900.0029;193859792.0;8.2361315571;8.0027744963;7.9959110533;8.342514923;8.2361315571
2009-12-02;4849.0;3310500.0012;80517763.0;8.3734004164;8.2773122149;8.1812240134;8.4283079601;8.3459466445
2009-12-03;3141.0;1626000.0006;39291608.0;8.2189729497;8.3871273023;8.1846557348;8.3871273023;8.2910391008
2009-12-04;4754.0;2288300.0008;54231602.0;8.0199331037;8.0988626978;7.9512986741;8.3390832015;8.1331799126
2009-12-07;1002.0;1224700.0004;28645929.0;8.0062062178;8.0817040904;7.9272766237;8.1091578622;8.0267965467
2009-12-08;2419.0;1325500.0005;31177045.0;8.2189729497;7.9890476104;7.8483470296;8.2189729497;8.0714089259
2009-12-09;4006.0;2893200.0011;69554536.0;8.2361315571;8.2326998356;8.0679772045;8.356241809;8.249858443
2009-12-10;2050.0;1441500.0005;34556310.0;8.1366116341;8.2361315571;8.1331799126;8.3047659867;8.2258363926
2009-12-11;1555.0;1192700.0004;28240012.0;8.1812240134;8.2018143423;8.064545483;8.2224046711;8.1263164696
2009-12-14;2839.0;1771000.0006;41318194.0;7.9066862948;8.2018143423;7.9032545733;8.2361315571;8.0062062178
2009-12-15;1842.0;1891000.0007;43367703.0;7.8414835866;7.9101180163;7.7968712074;7.9375717881;7.8689373585
2009-12-16;1921.0;1515600.0006;34481273.0;7.772849157;7.8758008015;7.7453953851;7.958162117;7.8071663718
2009-12-17;1613.0;1032700.0003;23367222.0;7.6561706266;7.7591222711;7.6561706266;7.8414835866;7.765985714
2009-12-18;3284.0;1691700.0006;38791120.0;7.8105980933;7.7385319422;7.6493071836;7.9753207244;7.8689373585
2009-12-21;3890.0;2913600.0011;68902004.0;8.064545483;7.9101180163;7.7934394859;8.2326998356;8.1160213052
2009-12-22;2175.0;1585100.0006;37781018.0;8.1091578622;8.0679772045;8.0679772045;8.2326998356;8.1812240134
2009-12-23;1881.0;912200.00033;21501268.0;8.0473868756;8.1366116341;8.0199331037;8.1983826208;8.0885675334
2009-12-28;707.0;359200.00013;8444067.0;8.0405234326;8.05768204;7.9993427748;8.1366116341;8.0679772045
2009-12-29;949.0;742800.00027;17352332.0;8.1585310797;8.130780974;8.0267180776;8.1585310797;8.1030308683
2009-12-30;961.0;686200.00025;16288263.0;8.2903440819;8.1446560269;8.064874473;8.3042191347;8.2348438705
2010-01-04;1834.0;1503900.0005;35985936.0;8.2383126337;8.2209688176;8.2175000544;8.3423755301;8.3007503715
2010-01-05;1845.0;1281600.0005;30420867.0;8.3180941876;8.2348438705;8.130780974;8.3215629508;8.2348438705
2010-01-06;1555.0;785700.00029;18680594.0;8.276469029;8.2556564497;8.1724061326;8.307687898;8.2487189233
2010-01-07;2366.0;1069900.0004;25282620.0;8.2175000544;8.2175000544;8.1550623165;8.2521876865;8.1966874751
2010-01-08;1964.0;1148900.0004;27017549.0;8.1342497373;8.1724061326;7.8914363123;8.2209688176;8.1585310797
2010-01-11;1877.0;1604600.0006;38005437.0;8.2209688176;8.1342497373;8.1342497373;8.307687898;8.2175000544
2010-01-12;1373.0;922400.00034;21849538.0;8.2348438705;8.1515935533;8.1203746844;8.2730002658;8.2175000544
2010-01-13;2087.0;1179000.0004;27957554.0;8.2903440819;8.1689373694;8.1342497373;8.3042191347;8.2244375808
2010-01-14;1322.0;934500.00034;21914443.0;8.064874473;8.2695315026;8.0614057097;8.2730002658;8.1342497373
2010-01-15;1289.0;851500.00031;19781961.0;7.9434677605;8.1515935533;7.9330614708;8.1515935533;8.0579369465
2010-01-18;515.0;410000.00015;9460684.0;7.9781553926;8.0128430248;7.9399989973;8.0475306569;8.0024367351
2010-01-19;811.0;1030300.0003;23754292.0;8.0267180776;7.9712178662;7.9122488915;8.0614057097;7.9989679719
2010-01-20;1028.0;1004800.0003;22816706.0;7.8567486801;7.9261239444;7.822061048;7.9954992087;7.8775612594
2010-01-21;1477.0;1593100.0006;35264160.0;7.596591439;7.9087801283;7.596591439;7.9399989973;7.6798417562
2010-01-22;2124.0;1698500.0006;36914668.0;7.5272161748;7.6000602023;7.4786534898;7.7700295998;7.5376224644
2010-01-26;3164.0;3403800.0012;74966164.0;7.7700295998;7.5896539126;7.5098723587;7.7873734158;7.6382165976
2010-01-27;806.0;783000.00029;17364082.0;7.6312790712;7.6486228873;7.5757788598;7.8047172319;7.693716809
2010-01-28;1011.0;2726100.001;61047181.0;7.7700295998;7.7561545469;7.693716809;7.8844987858;7.7665608365
2010-01-29;1922.0;2060100.0007;46647292.0;7.8116547583;7.8047172319;7.7596233101;7.9261239444;7.8532799169
2010-02-01;2352.0;2413400.0009;53914792.0;7.6416853608;7.8012484687;7.6312790712;7.9226551812;7.7492170205
2010-02-02;2125.0;4856600.0018;107092154.0;7.6312790712;7.676372993;7.596591439;7.7526857837;7.6486228873
2010-02-03;1614.0;1246600.0005;27777187.0;7.7804358894;7.6347478344;7.6347478344;7.7873734158;7.7284044412
2010-02-04;4166.0;6091600.0022;130731198.0;7.2982778026;7.7769671262;7.2566526441;7.7769671262;7.4439658576
2010-02-05;3609.0;3681900.0013;74199639.0;7.0242455087;7.1109645891;6.7987758998;7.1942149062;6.9895578766
2010-02-08;1960.0;1919700.0007;39674555.0;7.1768710901;7.0624019041;7.0277142719;7.2982778026;7.1699335637
2010-02-09;2106.0;2222800.0008;47077847.0;7.3711218301;7.2774652233;7.2427775912;7.4509033841;7.3468404876
2010-02-10;648.0;667000.00024;14255106.0;7.4613096737;7.3607155405;7.3156216187;7.4751847266;7.4127469887
2010-02-11;1623.0;1488300.0005;32615712.0;7.6174040183;7.4578409105;7.4578409105;7.724935678;7.6000602023
2010-02-12;2688.0;2496400.0009;53765661.0;7.6000602023;7.5584350437;7.3503092508;7.6243415448;7.4717159633
2010-02-17;1609.0;642700.00023;14351861.0;7.7353419676;7.6312790712;7.6312790712;7.8012484687;7.7457482573
