Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2000-01-03;103.0;326964.77995;2812574.2;2.7498931457;2.7759585369;2.73686045;2.8020239282;2.7747855574
2000-01-04;64.0;313599.07358;2524904.5;2.5869849358;2.6847298617;2.5674357953;2.6847298617;2.5971502403
2000-01-05;130.0;860602.98251;6686304.7;2.5149140843;2.5544030996;2.476467739;2.5544030996;2.5061823783
2000-01-06;69.0;385377.86706;3000267.8;2.5022725113;2.515305207;2.4631744245;2.5283379026;2.51139534
2000-01-07;45.0;261126.30042;2055167.6;2.5374607313;2.541370404;2.5283379026;2.541370404;2.5387640203
2000-01-10;138.0;791051.80676;6545198.2;2.6716971661;2.5804684909;2.5804684909;2.6977625574;2.6689602787
2000-01-11;65.0;254443.44723;2076342.7;2.6325992734;2.6325992734;2.6130501329;2.6847298617;2.6323384603
2000-01-12;78.0;348003.39183;2844502.8;2.6260828285;2.6847298617;2.6065338822;2.6847298617;2.6366392556
2000-01-13;67.0;448246.18962;3653780.1;2.6065338822;2.6847298617;2.5935011865;2.6847298617;2.6293409539
2000-01-14;58.0;233652.34843;1920180.7;2.6586644705;2.6065338822;2.6065338822;2.6715668566;2.6509752403
2000-01-17;55.0;292065.43554;2411289.3;2.6977625574;2.6847298617;2.6456317748;2.6977625574;2.6632258848
2000-01-18;58.0;233157.32227;1930525.5;2.6716971661;2.678213611;2.6586644705;2.678213611;2.6709153092
2000-01-19;28.0;128706.8021;1051683.3;2.6325992734;2.6716971661;2.6130501329;2.6716971661;2.6358573988
2000-01-20;48.0;356913.86275;2904129.7;2.6586644705;2.6325992734;2.6065338822;2.6586644705;2.6247795395
2000-01-21;61.0;418297.10683;3486093.5;2.6716971661;2.6847298617;2.6716971661;2.6990658463;2.6883789155
2000-01-24;62.0;597249.06436;4934830.6;2.6195665778;2.6716971661;2.6195665778;2.6847298617;2.6653112249
2000-01-26;71.0;433642.91785;3569163.4;2.7106649435;2.6456317748;2.6391155241;2.7106649435;2.6550154167
2000-01-27;61.0;171774.07819;1412155.3;2.6195665778;2.710795253;2.6130501329;2.710795253;2.6518876008
2000-01-28;39.0;210138.60574;1682334.7;2.5804684909;2.6195665778;2.5546639128;2.6195665778;2.5824233273
2000-01-31;38.0;121776.43583;959841.1;2.6065338822;2.5804684909;2.5022725113;2.6065338822;2.5425433835
2000-02-01;56.0;368299.46447;2921780.0;2.541370404;2.6065338822;2.5283379026;2.6065338822;2.5590950177
2000-02-02;48.0;285877.60851;2294584.6;2.5935011865;2.5811202325;2.5804684909;2.6066641916;2.5892003912
2000-02-03;52.0;191575.12467;1561875.2;2.6195665778;2.6586644705;2.6065338822;2.6977625574;2.629862386
2000-02-04;39.0;205930.88336;1688066.2;2.6455014654;2.6455014654;2.6391155241;2.6560578925;2.6441981764
2000-02-07;35.0;249988.21177;2027459.8;2.6195665778;2.6456317748;2.6064035727;2.6456317748;2.6161779488
2000-02-08;61.0;370032.05604;3016426.6;2.6286894065;2.6586644705;2.6065338822;2.6847298617;2.6296015728
2000-02-09;27.0;98757.719304;782251.0;2.541370404;2.6062732632;2.541370404;2.6062732632;2.5550548412
2000-02-10;82.0;292560.4617;2253798.3;2.4892398157;2.5284682121;2.4631744245;2.5284682121;2.4850693298
2000-02-11;40.0;200980.62174;1542709.5;2.4631744245;2.5022725113;2.4566581737;2.5022725113;2.4760768106
2000-02-14;51.0;292807.97478;2208943.9;2.4110438361;2.4566581737;2.4110438361;2.4631744245;2.4334599794
2000-02-15;74.0;304936.11575;2232431.5;2.3589130536;2.4240765318;2.319815161;2.4240765318;2.3615196316
2000-02-16;62.0;187367.40229;1369276.7;2.3980111405;2.3719457493;2.3328478566;2.4371092274;2.3573491457
2000-02-17;45.0;257166.09112;1893770.5;2.2813688157;2.4084372582;2.2813688157;2.4175600869;2.3754646878
2000-02-18;81.0;520767.52235;3790542.7;2.2924464807;2.3458805522;2.2924464807;2.3589130536;2.3479656981
2000-02-21;103.0;444038.46725;3154390.6;2.2937497697;2.3067824653;2.2820203631;2.3067824653;2.2915343144
2000-02-22;73.0;221276.69438;1566878.1;2.2937497697;2.3263314117;2.2676843784;2.3263314117;2.2842360126
2000-02-23;70.0;248750.64637;1754764.0;2.2807170741;2.2937497697;2.2676843784;2.2937497697;2.2755041123
2000-02-24;77.0;204693.31796;1453686.2;2.2898399027;2.3263314117;2.2807170741;2.3263314117;2.2908825728
2000-02-25;28.0;136379.70761;982232.5;2.3328478566;2.3302412786;2.3067824653;2.3393641073;2.3232035958
2000-02-28;23.0;80194.238232;565688.6;2.2937497697;2.2937497697;2.2546516828;2.3067824653;2.2755041123
2000-02-29;22.0;141824.99539;1006894.1;2.287233519;2.3067824653;2.2807170741;2.3067824653;2.2901007159
2000-03-01;67.0;203703.26563;1436936.4;2.2676843784;2.2807170741;2.2611681277;2.287233519;2.2755041123
2000-03-02;69.0;339340.434;2343019.5;2.2103406342;2.2676843784;2.2025210945;2.2807170741;2.2272831968
2000-03-03;57.0;280432.32073;1981148.8;2.3002660204;2.2807170741;2.2611681277;2.3002660204;2.2788925472
2000-03-08;21.0;168308.89506;1197477.0;2.3458805522;2.2937497697;2.2937497697;2.3458805522;2.2950530587
2000-03-09;28.0;130191.88058;939685.1;2.3196848515;2.3458805522;2.2807170741;2.3719457493;2.3282864422
2000-03-10;20.0;122271.46199;875358.4;2.2937497697;2.319815161;2.2937497697;2.319815161;2.3093890433
2000-03-13;49.0;194297.76856;1326366.4;2.2155537901;2.2676843784;2.1894883989;2.2807170741;2.2019998566
2000-03-14;35.0;100985.33703;688112.7;2.1634230076;2.2155537901;2.1634230076;2.2155537901;2.1980899896
2000-03-15;106.0;484135.58636;3171904.3;2.1112924193;2.1764557032;2.0982597237;2.1764557032;2.1133775652
2000-03-16;104.0;535370.79412;3492580.6;2.0981294142;2.1699394525;2.086530317;2.1699394525;2.104385046
2000-03-17;45.0;120043.84426;782681.0;2.085227028;2.1180694832;2.0721943324;2.1180694832;2.1032120665
2000-03-20;65.0;196525.38629;1250612.7;2.059161831;2.085227028;2.0330964397;2.085227028;2.0527756956
2000-03-21;121.0;543786.23888;3367467.5;2.0200637441;2.059161831;1.9744494065;2.059161831;1.9976476008
2000-03-22;101.0;540816.08191;3442925.9;2.0461291354;2.0200637441;2.0070310485;2.0982597237;2.0535577466
2000-03-23;186.0;1236822.8656;8022625.8;2.1373578106;2.059161831;2.0265799948;2.1503905062;2.0923950204
2000-03-24;136.0;1087572.4778;7343669.9;2.1634230076;2.1634230076;2.1503905062;2.2025210945;2.1781499207
2000-03-27;82.0;330924.98925;2231902.6;2.1764557032;2.2025210945;2.1569067569;2.2155537901;2.1755435369
2000-03-28;103.0;658137.28228;4385551.8;2.1438740613;2.1634230076;2.1386610995;2.1699394525;2.1494781456
2000-03-29;219.0;1827636.5898;11689958.8;2.1112924193;2.2152931712;2.0200637441;2.2152931712;2.0632018132
