Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2013-10-28;0.0;0.0;0.0;13.588254261;13.588254261;13.588254261;13.588254261;13.588254261
2013-10-29;5818.0;4194300.0;73033521.0;13.339783326;13.720254446;13.246606726;13.782372179;13.518371811
2013-10-30;2560.0;1117900.0;19369335.0;13.588254261;13.339783326;13.269900876;13.735783879;13.456254077
2013-10-31;1460.0;1242300.0;21978425.0;13.937666514;13.432959927;13.432959927;13.937666514;13.735783879
2013-11-01;1672.0;804800.0;14740143.0;14.170608015;13.937666514;13.937666514;14.318137633;14.224961032
2013-11-04;912.0;1614600.0;30339538.0;14.985903271;14.364725933;14.3026082;15.055785722;14.589902718
2013-11-05;1805.0;1355400.0;26189430.0;15.102374022;14.939314971;14.807314787;15.29649194;15.001432705
2013-11-06;1112.0;273600.0;5272895.0;15.024726855;15.024726855;14.830608937;15.063550438;14.962609121
2013-11-07;1387.0;447200.0;8786814.0;15.36637439;15.141197606;14.752961769;15.521668725;15.257668356
2013-11-08;1192.0;368800.0;7284008.0;15.374139107;15.374139107;15.156727039;15.451786274;15.335315524
2013-11-11;300.0;181500.0;3573193.0;15.29649194;15.36637439;15.211080056;15.374139107;15.288727223
2013-11-12;706.0;230500.0;4519495.0;15.102374022;15.444021558;14.939314971;15.444021558;15.226609489
2013-11-13;1659.0;324300.0;6370830.0;15.141197606;15.055785722;14.768491203;15.428492124;15.24990364
2013-11-14;1053.0;319800.0;6346327.0;15.451786274;15.29649194;15.063550438;15.513904008;15.405197974
2013-11-18;608.0;250700.0;4999221.0;15.529433442;15.529433442;15.335315524;15.614845326;15.482845141
2013-11-19;597.0;161000.0;3201646.0;15.529433442;15.350844957;15.218844773;15.614845326;15.444021558
2013-11-21;573.0;240600.0;4789315.0;15.521668725;15.312021373;15.187785906;15.622610042;15.459550991
2013-11-22;933.0;283200.0;5663486.0;15.529433442;15.521668725;15.242138923;16.003081162;15.529433442
2013-11-25;1188.0;361100.0;7278708.0;15.72355136;15.847786827;15.358609674;15.909904561;15.653668909
2013-11-26;1240.0;518000.0;10667076.0;16.111787196;15.72355136;15.451786274;16.189434363;15.987551728
2013-11-27;1060.0;388200.0;8132935.0;16.305905114;16.251552097;15.653668909;16.60096435;16.267081531
2013-11-28;549.0;275300.0;5853719.0;16.616493783;16.305905114;15.925433994;16.64755265;16.507787749
2013-11-29;656.0;504600.0;10797353.0;16.616493783;16.577670199;16.461199449;16.849435285;16.616493783
2013-12-02;658.0;547500.0;11732078.0;16.577670199;16.391316998;16.204963797;16.989200186;16.639787933
