Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2020-10-06;0.0;0.0;0.0;2253.8360983;2253.8360983;2253.8360983;2253.8360983;2253.8360983
2020-10-07;10626.0;41816.0;101180473.0;2217.4839032;2213.8486836;2153.8675617;2244.7480495;2197.4901958
2020-10-08;2936.0;9850.5;24122679.0;2262.9241471;2190.2197568;2181.131708;2288.3706837;2224.7543422
2020-10-09;2498.0;7650.5;18868718.0;2253.8360983;2272.0121959;2202.9430251;2273.8298056;2241.11283
2020-10-13;1305.0;1422.5;3535545.0;2252.0184885;2255.6537081;2242.9304398;2272.0121959;2257.4713178
2020-10-14;1165.0;1994.0;4952833.0;2253.8360983;2246.5656593;2232.0247812;2279.2826349;2255.6537081
2020-10-15;427.0;927.5;2303120.0;2253.8360983;2232.0247812;2219.3015129;2286.5530739;2255.6537081
2020-10-16;878.0;1272.5;3169347.0;2255.6537081;2253.8360983;2246.5656593;2326.5404886;2262.9241471
2020-10-19;865.0;2420.5;5987920.0;2250.2008788;2257.4713178;2237.4776105;2270.1945861;2246.5656593
2020-10-20;849.0;1660.0;4117364.0;2235.6600007;2253.8360983;2235.6600007;2297.4587325;2253.8360983
2020-10-21;150.0;313.5;777260.0;2246.5656593;2235.6600007;2235.6600007;2257.4713178;2252.0184885
2020-10-22;791.0;2542.5;6270308.0;2235.6600007;2248.383269;2201.1254154;2264.7417568;2241.11283
2020-10-23;245.0;931.0;2308398.0;2262.9241471;2237.4776105;2237.4776105;2262.9241471;2252.0184885
2020-10-26;568.0;2575.0;6386067.0;2253.8360983;2253.8360983;2235.6600007;2261.1065373;2253.8360983
2020-10-27;118.0;334.5;830744.0;2262.9241471;2239.2952202;2235.6600007;2262.9241471;2255.6537081
2020-10-28;1689.0;5698.5;14115606.0;2253.8360983;2239.2952202;2226.5719519;2262.9241471;2250.2008788
2020-10-29;176.0;855.0;2148999.0;2295.6411227;2237.4776105;2237.4776105;2295.6411227;2282.9178544
2020-10-30;862.0;2107.0;5359550.0;2362.8926837;2255.6537081;2252.0184885;2368.345513;2310.1820008
2020-11-03;468.0;760.5;2027860.0;2426.5090252;2361.0750739;2337.4461471;2508.3014642;2422.8738057
2020-11-04;1489.0;2821.5;7343147.0;2362.8926837;2457.408391;2331.9933178;2508.3014642;2364.7102935
2020-11-05;317.0;344.5;927632.0;2453.7731715;2390.15683;2353.8046349;2477.4020984;2446.5027325
2020-11-06;825.0;916.0;2541459.0;2626.4460984;2471.9492691;2402.8800983;2626.4460984;2521.0247325
2020-11-09;1099.0;1456.0;4161878.0;2630.0813179;2699.1504887;2519.2071228;2699.1504887;2597.3643423
2020-11-10;1883.0;4435.0;12468334.0;2617.3580496;2708.2385375;2497.3958057;2708.2385375;2553.7417082
2020-11-11;3947.0;4345.0;13168714.0;2757.3140009;2753.6787814;2640.9869765;2971.7919522;2753.6787814
2020-11-12;1746.0;2501.5;7659862.0;2851.8297082;2726.414635;2680.9743911;2851.8297082;2782.7605375
2020-11-13;929.0;1765.5;5650210.0;2908.1756107;2908.1756107;2851.8297082;2962.7039034;2908.1756107
2020-11-16;3120.0;5699.5;18363899.0;2980.880001;3062.67244;2840.9240497;3062.67244;2928.169318
2020-11-17;2250.0;2599.5;8457273.0;3008.1441473;2984.5152205;2893.6347327;3008.1441473;2955.4334644
2020-11-18;4437.0;5859.0;18907962.0;2962.7039034;3008.1441473;2880.9114644;3106.2950742;2931.8045375
2020-11-19;2108.0;2803.5;9196690.0;3073.5780986;2944.5278058;2929.9869278;3073.5780986;2980.880001
2020-11-20;1904.0;3145.5;10669731.0;3089.9365864;3068.1252693;3035.4082937;3269.8799523;3082.6661473
2020-11-23;1731.0;5482.0;18739889.0;3109.9302937;3124.4711718;3084.4837571;3142.6472693;3106.2950742
2020-11-24;1823.0;3145.0;10807555.0;3117.2007327;3126.2887815;3097.2070254;3218.9868791;3122.653562
2020-11-25;1604.0;2131.5;7329052.0;3144.4648791;3117.2007327;3077.2133181;3162.6409766;3124.4711718
2020-11-26;1520.0;2462.0;8869751.0;3286.2384401;3117.2007327;3117.2007327;3406.200684;3273.5151718
2020-11-27;1375.0;2024.5;7699828.0;3391.659806;3364.3956596;3340.7667328;3698.8358549;3455.2761475
2020-11-30;2732.0;3553.0;13950052.0;3553.4270743;3448.0057084;3448.0057084;3706.1062939;3567.9679524
2020-12-01;1596.0;2265.0;8849915.0;3509.8044402;3600.684928;3478.9050743;3711.5591232;3549.7918548
2020-12-02;1596.0;2138.0;8030132.0;3373.4837084;3511.6220499;3366.2132694;3587.9616597;3411.6535133
2020-12-03;1871.0;2199.5;8113336.0;3355.3076109;3398.930245;3295.3264889;3420.7415621;3351.6723913
2020-12-04;1145.0;1145.0;4233690.0;3369.8484889;3355.3076109;3326.2258547;3420.7415621;3358.9428304
2020-12-07;1306.0;1279.0;4853012.0;3440.7352694;3368.0308791;3328.0434645;3518.892489;3448.0057084
2020-12-08;2109.0;2094.5;8132865.0;3511.6220499;3418.9239523;3418.9239523;3617.0434158;3527.9805377
2020-12-09;1737.0;1590.0;6057135.0;3426.1943914;3526.162928;3402.5654645;3578.8736109;3460.7289767
2020-12-10;1061.0;938.5;3616702.0;3507.9868304;3418.9239523;3393.4774157;3535.2509768;3500.7163914
2020-12-11;2491.0;4349.0;17344365.0;3629.7666841;3535.2509768;3526.162928;3697.0182451;3624.3138548
2020-12-14;3197.0;3514.0;14540330.0;3673.3893183;3635.2195134;3635.2195134;3904.2257574;3758.8169768
2020-12-15;1212.0;1962.0;7966767.0;3722.4647817;3709.7415134;3637.0371231;3735.18805;3689.7478061
2020-12-16;755.0;802.5;3291574.0;3709.7415134;3722.4647817;3709.7415134;3762.4521964;3726.1000012
2020-12-17;2130.0;1703.0;6891995.0;3671.5717085;3720.6471719;3618.8610256;3798.8043915;3677.0245378
2020-12-18;2492.0;2203.0;9144247.0;3807.8924403;3640.6723427;3640.6723427;3869.691172;3771.5402451
2020-12-21;2259.0;3942.5;16555948.0;3873.3263915;3758.8169768;3720.6471719;3971.4773184;3815.1628793
2020-12-22;1937.0;3725.0;16374625.0;4051.4521477;3873.3263915;3833.3389769;4051.4521477;3993.2886355
2020-12-23;1547.0;2045.0;9103405.0;4045.9993184;4102.3452209;3980.5653672;4178.6848306;4044.1817086
