Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2011-04-12;0.0;0.0;0.0;148.7291332;148.7291332;148.7291332;148.7291332;148.7291332
2011-04-13;1009.0;393050.0;62814860.0;148.7291332;148.26435466;147.79957612;149.65869028;148.54322178
2011-04-14;222.0;54200.0;8627941.0;148.17139895;148.7291332;146.12637337;149.10095603;147.98548753
2011-04-15;114.0;52930.0;8373520.0;147.33479758;146.87001904;145.94046195;148.26435466;147.05593045
2011-04-18;449.0;49480.0;7764872.0;144.08134779;146.03341766;144.08134779;148.07844324;145.84750624
2011-04-19;195.0;22290.0;3517909.0;145.94046195;146.87001904;145.10386058;148.35731037;146.68410762
2011-04-20;39.0;4120.0;646682.0;145.94046195;146.4981962;144.54612633;146.59115191;145.94046195
2011-04-25;85.0;31350.0;4856280.0;142.68701216;145.84750624;142.68701216;145.94046195;143.98839208
2011-04-26;43.0;15620.0;2402834.0;142.12927791;145.289772;142.12927791;145.289772;142.96587929
2011-04-27;85.0;44060.0;6499840.0;136.366024;139.43356238;134.87873267;139.43356238;137.10966967
2011-04-28;53.0;12710.0;1874183.0;138.50400529;139.34060667;136.18011259;139.34060667;137.10966967
2011-04-29;58.0;18720.0;2807989.0;139.43356238;139.43356238;139.24765096;139.43356238;139.43356238
2011-05-02;95.0;8840.0;1315903.0;137.57444821;139.61947379;137.57444821;141.75745508;138.41104958
2011-05-03;484.0;55920.0;8374793.0;139.61947379;136.18011259;136.18011259;139.61947379;139.24765096
2011-05-04;70.0;2710.0;402617.0;137.10966967;137.57444821;137.10966967;139.7124295;138.13218246
2011-05-05;8.0;470.0;70380.0;137.29558109;139.43356238;137.29558109;139.43356238;139.15469525
2011-05-06;80.0;12750.0;1902233.0;139.43356238;137.10966967;137.10966967;141.75745508;138.68991671
2011-05-09;15.0;11780.0;1767146.0;139.34060667;141.75745508;139.15469525;141.75745508;139.43356238
2011-05-10;39.0;32990.0;4948441.0;142.12927791;139.43356238;139.24765096;142.12927791;139.43356238
2011-05-11;27.0;1140.0;171481.0;140.827898;139.52651808;139.43356238;140.827898;139.80538521
2011-05-12;9.0;520.0;78065.0;139.52651808;139.43356238;139.43356238;141.19972083;139.52651808
2011-05-13;24.0;1020.0;153157.0;139.43356238;139.52651808;139.43356238;140.827898;139.61947379
2011-05-16;17.0;4770.0;715545.0;140.827898;139.43356238;139.43356238;140.827898;139.43356238
2011-05-17;12.0;650.0;98091.0;141.19972083;141.29267654;139.43356238;141.29267654;140.27016375
2011-05-18;1.0;10.0;1517.0;141.01380942;141.01380942;141.01380942;141.01380942;141.01380942
2011-05-19;14.0;4860.0;733330.0;140.36311946;139.43356238;139.43356238;140.36311946;140.27016375
2011-05-20;13.0;19330.0;2899500.0;139.43356238;139.43356238;139.43356238;139.43356238;139.43356238
2011-05-23;69.0;8550.0;1244188.0;135.2505555;135.80828975;134.78577696;135.80828975;135.2505555
2011-05-24;25.0;11680.0;1729264.0;137.10966967;139.24765096;135.34351121;139.24765096;137.66740392
2011-05-25;33.0;4100.0;600358.0;133.85621988;137.10966967;133.85621988;137.10966967;136.08715688
2011-05-26;137.0;10060.0;1443504.0;133.85621988;133.85621988;132.9266628;134.32099842;133.39144134
2011-05-27;37.0;7440.0;1074193.0;134.78577696;133.85621988;133.39144134;134.78577696;134.22804271
2011-05-30;7.0;230.0;33012.0;133.01961851;134.32099842;132.9266628;134.32099842;133.39144134
2011-05-31;49.0;6330.0;932513.0;139.43356238;134.78577696;134.78577696;139.43356238;136.92375825
2011-06-01;65.0;16630.0;2491648.0;139.43356238;139.43356238;138.50400529;139.89834092;139.24765096
2011-06-02;64.0;3570.0;518015.0;133.85621988;136.64489113;132.09006142;139.24765096;134.87873267
2011-06-03;27.0;870.0;128629.0;137.57444821;137.76035963;136.18011259;138.41104958;137.38853679
2011-06-06;19.0;5930.0;865799.0;135.71533405;133.85621988;133.85621988;138.03922675;135.71533405
2011-06-07;18.0;720.0;103647.0;135.43646692;134.32099842;130.13799155;135.71533405;133.85621988
2011-06-08;4.0;70.0;10049.0;132.9266628;134.78577696;132.9266628;134.78577696;133.48439705
2011-06-09;163.0;16580.0;2349225.0;128.27887739;132.83370709;124.56064905;132.9266628;131.71823859
2011-06-10;80.0;5240.0;725322.0;128.74365593;132.55483996;124.18882622;132.55483996;128.65070022
2011-06-13;58.0;5820.0;818451.0;130.13799155;130.13799155;128.27887739;131.99710572;130.6957258
2011-06-14;54.0;1950.0;273481.0;132.46188426;128.74365593;128.74365593;132.46188426;130.32390297
2011-06-15;30.0;6070.0;849821.0;130.23094726;130.13799155;130.13799155;130.23094726;130.13799155
2011-06-16;45.0;38060.0;5301928.0;128.37183309;130.13799155;126.32680751;132.83370709;129.48730159
2011-06-17;56.0;17930.0;2473837.0;128.27887739;127.81409884;121.02833214;129.5802573;128.27887739
2011-06-20;35.0;7270.0;1002286.0;126.51271892;124.56064905;124.56064905;129.20843447;128.18592168
2011-06-21;23.0;25800.0;3580710.0;130.13799155;128.27887739;128.27887739;130.13799155;129.02252305
2011-06-22;9.0;4840.0;668163.0;128.27887739;133.76326417;128.27887739;133.76326417;128.37183309
2011-06-24;5.0;50.0;6947.0;130.04503584;128.27887739;128.27887739;130.13799155;129.11547876
2011-06-27;37.0;3060.0;431489.0;133.39144134;130.13799155;130.13799155;133.39144134;131.06754863
2011-06-28;244.0;9120.0;1301052.0;133.29848563;133.39144134;130.13799155;133.67030846;132.64779567
2011-06-29;111.0;12840.0;1798604.0;131.53232717;133.29848563;128.27887739;133.29848563;130.23094726
2011-06-30;40.0;4910.0;691585.0;130.60277009;132.74075138;130.13799155;132.74075138;130.97459292
2011-07-01;41.0;9570.0;1348661.0;130.13799155;131.53232717;129.67321301;132.27597284;130.97459292
2011-07-04;26.0;1540.0;215644.0;132.55483996;130.13799155;130.04503584;132.55483996;130.13799155
2011-07-05;21.0;78280.0;10959257.0;130.13799155;131.99710572;130.13799155;131.99710572;130.13799155
2011-07-06;23.0;470.0;66168.0;131.99710572;131.06754863;129.20843447;131.99710572;130.88163722
2011-07-07;83.0;4770.0;667065.0;129.95208013;131.90415001;128.83661163;132.36892855;129.95208013
2011-07-08;46.0;1650.0;228664.0;130.88163722;129.67321301;127.25636459;130.88163722;128.83661163
2011-07-11;6.0;60.0;8295.0;127.07045317;126.97749747;126.97749747;129.95208013;128.55774451
2011-07-12;23.0;640.0;87808.0;127.81409884;130.04503584;126.41976322;130.04503584;127.53523171
2011-07-13;29.0;2190.0;299247.0;128.00001026;128.27887739;125.67611755;128.27887739;126.97749747
2011-07-14;50.0;3570.0;484777.0;127.81409884;130.04503584;119.91286364;130.04503584;126.2338518
2011-07-15;107.0;3230.0;445567.0;129.11547876;127.81409884;126.41976322;129.20843447;128.18592168
2011-07-18;90.0;1560.0;216709.0;130.13799155;129.11547876;126.41976322;130.13799155;129.11547876
2011-07-19;152.0;4320.0;595890.0;127.81409884;129.95208013;127.72114313;130.04503584;128.18592168
2011-07-20;60.0;14130.0;1977007.0;130.13799155;130.13799155;126.88454176;131.99710572;130.04503584
2011-07-21;53.0;41380.0;5791943.0;130.13799155;130.32390297;127.72114313;130.32390297;130.13799155
2011-07-22;70.0;18990.0;2663414.0;131.99710572;131.06754863;130.13799155;131.99710572;130.41685867
2011-07-25;132.0;2640.0;369675.0;130.13799155;131.90415001;128.37183309;131.90415001;130.13799155
2011-07-26;227.0;6030.0;845347.0;130.13799155;131.90415001;125.49020613;131.99710572;130.32390297
2011-07-27;91.0;20820.0;2914086.0;130.13799155;131.90415001;128.27887739;131.99710572;130.13799155
2011-07-28;149.0;19450.0;2723652.0;131.99710572;128.00001026;127.90705455;131.99710572;130.13799155
2011-07-29;47.0;12060.0;1716615.0;134.78577696;130.23094726;129.39434588;134.78577696;132.27597284
2011-08-01;98.0;1920.0;276841.0;135.71533405;132.9266628;132.46188426;135.71533405;134.0421313
2011-08-02;124.0;32210.0;4663381.0;134.78577696;135.62237834;132.18301713;135.62237834;134.59986555
2011-08-03;83.0;35990.0;5139554.0;132.9266628;131.16050434;128.74365593;133.48439705;132.74075138
2011-08-04;109.0;7130.0;994222.0;128.4647888;135.1575998;126.51271892;135.1575998;129.5802573
2011-08-05;57.0;1820.0;250021.0;127.53523171;130.13799155;127.3493203;130.13799155;127.72114313
2011-08-08;191.0;37300.0;4992422.0;124.56064905;126.41976322;116.28759102;126.41976322;124.37473763
2011-08-09;80.0;6480.0;872509.0;125.49020613;125.49020613;121.86493351;125.49020613;125.1183833
2011-08-10;45.0;16070.0;2171135.0;125.58316184;130.04503584;125.39725043;130.04503584;125.58316184
2011-08-11;145.0;25850.0;3569065.0;131.53232717;125.58316184;125.58316184;131.53232717;128.37183309
2011-08-12;157.0;8810.0;1231963.0;130.13799155;130.13799155;129.20843447;132.36892855;129.95208013
2011-08-15;65.0;15990.0;2287947.0;134.32099842;132.18301713;129.48730159;134.32099842;133.01961851
2011-08-16;98.0;5530.0;776294.0;130.32390297;132.9266628;129.67321301;132.9266628;130.50981438
2011-08-17;35.0;1200.0;170737.0;132.9266628;133.29848563;131.62528288;133.29848563;132.27597284
2011-08-18;66.0;1990.0;287301.0;135.71533405;132.83370709;131.53232717;135.71533405;134.22804271
2011-08-19;44.0;2430.0;348172.0;133.85621988;131.90415001;130.23094726;133.85621988;133.20552992
2011-08-22;33.0;430.0;62013.0;135.71533405;134.78577696;133.39144134;136.64489113;134.0421313
2011-08-23;48.0;2330.0;341141.0;136.64489113;135.52942263;132.64779567;137.10966967;136.08715688
2011-08-24;70.0;3770.0;545247.0;135.52942263;134.78577696;130.13799155;138.96878383;134.41395413
2011-08-25;26.0;5570.0;794254.0;135.52942263;134.32099842;132.09006142;135.52942263;132.55483996
2011-08-26;64.0;11090.0;1565596.0;135.71533405;134.78577696;130.13799155;135.71533405;131.25346005
2011-08-29;68.0;3320.0;486905.0;138.50400529;134.32099842;134.32099842;138.50400529;136.366024
2011-08-30;148.0;4080.0;603205.0;138.96878383;139.43356238;134.32099842;140.36311946;137.38853679
2011-08-31;123.0;10840.0;1582611.0;136.64489113;138.96878383;133.94917559;138.96878383;135.71533405
2011-09-01;141.0;4340.0;635450.0;134.78577696;140.36311946;134.32099842;140.36311946;136.08715688
2011-09-02;97.0;3480.0;500439.0;134.32099842;131.90415001;131.8111943;135.52942263;133.67030846
2011-09-05;19.0;800.0;113995.0;134.32099842;134.0421313;131.99710572;134.32099842;132.46188426
2011-09-06;101.0;3180.0;462027.0;136.18011259;134.32099842;134.32099842;137.57444821;135.06464409
2011-09-08;45.0;3910.0;568326.0;135.62237834;137.4814925;133.85621988;137.57444821;135.1575998
2011-09-09;122.0;8450.0;1190813.0;130.13799155;135.62237834;130.13799155;135.62237834;130.97459292
2011-09-12;31.0;1020.0;142177.0;130.13799155;131.8111943;128.83661163;131.8111943;129.5802573
2011-09-13;30.0;7330.0;1028806.0;132.9266628;130.04503584;128.4647888;132.9266628;130.50981438
2011-09-14;14.0;21280.0;3047441.0;133.11257421;133.76326417;131.06754863;134.78577696;133.11257421
2011-09-15;45.0;2210.0;323677.0;135.62237834;136.45897971;133.01961851;141.01380942;136.18011259
2011-09-16;43.0;2390.0;348895.0;136.18011259;136.64489113;133.11257421;136.64489113;135.71533405
2011-09-19;105.0;17250.0;2491080.0;132.64779567;135.71533405;132.46188426;135.71533405;134.22804271
2011-09-20;51.0;8730.0;1241355.0;130.97459292;135.1575998;130.13799155;135.1575998;132.18301713
2011-09-21;70.0;5700.0;796894.0;128.74365593;130.13799155;128.00001026;131.43937147;129.95208013
2011-09-22;85.0;3530.0;470325.0;124.09587051;126.14089609;121.40015497;126.41976322;123.81700338
2011-09-23;80.0;14440.0;1846446.0;121.30719926;125.49020613;115.72985677;125.49020613;118.89035085
2011-09-26;162.0;6010.0;775765.0;117.12419239;124.93247188;116.47350243;125.02542759;120.00581935
2011-09-27;167.0;13610.0;1693933.0;113.8707426;119.63399651;113.03414123;119.63399651;115.72985677
2011-09-28;43.0;4470.0;536504.0;111.5468499;113.8707426;107.82862157;114.80029968;111.5468499
2011-09-29;60.0;21670.0;2565396.0;110.61729281;111.5468499;106.06246311;113.40596406;110.05955856
2011-09-30;150.0;9880.0;1138818.0;105.03995032;111.08207135;101.32172199;111.08207135;107.17793161
2011-10-03;13.0;5690.0;648972.0;106.89906448;105.9695074;105.87655169;106.89906448;106.06246311
2011-10-04;76.0;5010.0;557252.0;103.7385704;106.43428594;99.927386369;106.43428594;103.36674757
2011-10-05;41.0;14800.0;1628277.0;100.85694345;105.41177315;100.85694345;105.41177315;102.25127907
2011-10-06;17.0;970.0;106268.0;102.25127907;103.7385704;101.22876628;104.01743753;101.87945624
2011-10-07;96.0;5460.0;588846.0;97.603493663;103.64561469;97.603493663;103.64561469;100.20625349
2011-10-10;25.0;4040.0;432119.0;102.25127907;99.462607828;96.952803705;102.25127907;99.462607828
2011-10-11;27.0;2330.0;250036.0;99.462607828;99.555563536;98.997829286;101.22876628;99.741474952
2011-10-13;177.0;7120.0;750114.0;96.67393658;99.462607828;92.95570825;100.20625349;97.975316496
2011-10-14;112.0;7800.0;788303.0;94.628910999;97.417582246;91.096594085;97.417582246;93.978221041
2011-10-17;131.0;7050.0;690115.0;89.23747992;95.651423789;89.23747992;95.651423789;91.003638377
2011-10-18;73.0;56310.0;5378260.0;88.029055713;90.538859836;84.310827383;90.538859836;88.772701379
2011-10-19;155.0;6610.0;615256.0;87.378365755;89.23747992;84.682650216;89.23747992;86.541764381
2011-10-20;62.0;6340.0;614508.0;89.79521417;86.262897256;86.262897256;91.933195459;90.074081294
2011-10-21;160.0;7670.0;801919.0;99.090784995;92.119106876;92.026151168;103.45970328;97.23167083
2011-10-24;26.0;8870.0;970187.0;103.64561469;100.39216491;98.997829286;103.64561469;101.69354482
2011-10-25;16.0;3820.0;419173.0;103.08788044;103.64561469;101.78650053;103.64561469;101.97241195
2011-10-26;47.0;12200.0;1358191.0;105.03995032;104.01743753;101.78650053;105.9695074;103.45970328
2011-10-27;186.0;27810.0;3204054.0;106.06246311;105.13290603;105.13290603;110.89615994;107.0849759
2011-10-28;66.0;1970.0;224288.0;106.43428594;106.43428594;104.01743753;107.54975444;105.87655169
2011-10-31;84.0;13030.0;1529770.0;111.5468499;106.80610878;105.69064028;111.5468499;109.13000148
2011-11-01;21.0;1370.0;159158.0;108.75817865;110.71024852;107.36384302;110.80320423;108.01453298
2011-11-03;26.0;10630.0;1246001.0;111.45389419;111.5468499;108.38635582;111.5468499;108.94409006
2011-11-04;51.0;1850.0;217746.0;110.24546998;111.5468499;108.38635582;111.5468499;109.40886861
2011-11-07;60.0;26390.0;3160084.0;110.98911565;111.45389419;108.38635582;111.5468499;111.26798277
2011-11-08;38.0;5710.0;683079.0;111.08207135;111.45389419;110.61729281;117.12419239;111.17502706
2011-11-09;20.0;59420.0;7130097.0;114.33552114;111.36093848;108.75817865;114.33552114;111.5468499
2011-11-10;98.0;7980.0;959454.0;112.94118552;111.5468499;111.17502706;114.14960973;111.73276131
2011-11-11;13.0;500.0;61250.0;113.8707426;114.24256543;113.77778689;114.24256543;113.8707426
2011-11-14;28.0;10240.0;1234914.0;112.47640698;114.70734398;111.5468499;114.70734398;112.10458415
2011-11-16;41.0;1050.0;127163.0;114.24256543;114.05665402;111.17502706;114.24256543;112.56936269
2011-11-17;56.0;32340.0;3934426.0;112.10458415;114.05665402;111.5468499;114.14960973;113.12709694
2011-11-18;6.0;80.0;9670.0;112.47640698;113.31300835;111.17502706;113.31300835;112.38345127
2011-11-21;53.0;990.0;119877.0;112.47640698;112.66231839;110.33842569;113.40596406;112.56936269
2011-11-22;8.0;390.0;47267.0;114.33552114;109.3159129;109.3159129;114.33552114;112.66231839
2011-11-23;39.0;12320.0;1477229.0;113.40596406;114.33552114;109.78069144;114.33552114;111.45389419
2011-11-24;26.0;880.0;106483.0;111.73276131;112.10458415;111.73276131;113.03414123;112.47640698
2011-11-25;56.0;7170.0;857312.0;110.24546998;112.84822981;106.71315307;112.84822981;111.17502706
2011-11-28;125.0;14810.0;1799945.0;113.40596406;110.80320423;110.71024852;114.05665402;112.94118552
2011-11-29;20.0;6970.0;857346.0;114.33552114;115.63690106;114.33552114;115.63690106;114.33552114
2011-11-30;487.0;48310.0;6341305.0;125.49020613;114.24256543;113.40596406;127.07045317;122.05084493
2011-12-01;31.0;5820.0;791211.0;125.49020613;127.16340888;124.28178193;127.16340888;126.32680751
2011-12-02;19.0;390.0;52612.0;125.49020613;125.49020613;124.93247188;125.49020613;125.39725043
2011-12-05;40.0;17260.0;2344722.0;125.76907326;125.30429472;122.79449059;127.3493203;126.2338518
2011-12-06;14.0;2040.0;275082.0;127.72114313;124.93247188;124.65360476;127.72114313;125.30429472
2011-12-07;11.0;8120.0;1119800.0;126.88454176;128.27887739;126.41976322;128.27887739;128.18592168
2011-12-08;3.0;30.0;4126.0;128.27887739;127.81409884;127.44227601;128.27887739;127.81409884
2011-12-09;60.0;2510.0;341838.0;125.95498467;127.3493203;125.86202897;128.27887739;126.60567463
2011-12-12;69.0;3950.0;539492.0;127.81409884;126.32680751;122.79449059;130.13799155;126.97749747
2011-12-13;114.0;58820.0;8062366.0;126.41976322;128.4647888;125.49020613;129.30139018;127.44227601
2011-12-14;82.0;77200.0;10115270.0;120.37764218;125.49020613;120.37764218;126.41976322;121.7719778
2011-12-15;89.0;5880.0;762960.0;120.84242072;122.60857918;117.58897093;122.60857918;120.6565093
2011-12-16;190.0;4490.0;581275.0;120.37764218;120.84242072;118.61148372;120.84242072;120.37764218
2011-12-19;161.0;23790.0;3069001.0;119.91286364;120.84242072;119.07626226;120.84242072;119.91286364
2011-12-20;14.0;1990.0;258288.0;120.84242072;121.7719778;120.28468647;121.7719778;120.6565093
2011-12-21;15.0;380.0;49165.0;120.37764218;120.74946501;119.63399651;120.74946501;120.28468647
2011-12-22;44.0;2260.0;292513.0;119.91286364;120.84242072;118.89035085;120.84242072;120.28468647
2011-12-23;16.0;570.0;73243.0;119.72695222;119.91286364;118.3326166;119.91286364;119.4480851
2011-12-26;18.0;370.0;47741.0;120.84242072;120.84242072;118.98330656;120.84242072;119.91286364
2011-12-27;168.0;18620.0;2359531.0;116.19463531;120.74946501;116.19463531;120.74946501;117.77488235
2011-12-28;88.0;8590.0;1027705.0;110.61729281;114.80029968;110.4313814;114.80029968;111.17502706
2011-12-29;112.0;49600.0;5857608.0;106.43428594;113.8707426;106.43428594;113.8707426;109.78069144
