Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2021-07-13;0.0;0.0;0.0;20.770931581;20.770931581;20.770931581;20.770931581;20.770931581
2021-07-14;66093.0;31918000.0;941131440.0;27.995603435;26.207497151;25.828201879;28.772255659;26.622915783
2021-07-15;22586.0;9374400.0;296332571.0;28.853533218;27.805955799;26.514545705;29.973357355;28.546484664
2021-07-16;10043.0;2612900.0;82290515.0;29.079304213;28.898687417;27.408598847;29.115427572;28.438114586
2021-07-19;4815.0;1517700.0;46832947.0;27.72467824;28.194281911;27.345382968;29.070273373;27.860140838
2021-07-20;5228.0;1387600.0;41776099.0;27.607277323;27.824017478;26.668069982;27.878202517;27.191858691
2021-07-21;6235.0;1291900.0;38905744.0;27.083488613;27.896264197;26.839655938;28.356837028;27.191858691
2021-07-22;4036.0;881400.0;26045497.0;27.092519453;27.092519453;26.324898069;27.372475488;26.686131661
2021-07-23;5610.0;1784700.0;52880228.0;26.640977462;27.083488613;26.568730744;27.471814726;26.74934754
2021-07-26;3033.0;2053600.0;59889927.0;25.981726156;26.640977462;25.981726156;26.866748458;26.324898069
2021-07-27;8051.0;2149100.0;60681548.0;25.647585082;25.728862641;25.087673014;25.873356078;25.494060805
2021-07-28;2590.0;1077900.0;30382142.0;25.141858053;25.864325238;25.141858053;25.864325238;25.448906606
2021-07-29;4032.0;3674500.0;102599790.0;25.28635149;25.033487975;24.392298348;25.466968286;25.214104771
2021-07-30;4631.0;1458900.0;40119266.0;24.825778659;25.28635149;23.940756357;25.28635149;24.825778659
2021-08-02;2744.0;580300.0;16186525.0;25.105734693;24.870932858;24.834809499;25.945602796;25.187012252
2021-08-03;1060.0;590500.0;16296370.0;25.322474849;25.187012252;24.383267508;25.801109359;24.916087057
2021-08-04;1863.0;633400.0;17912809.0;25.647585082;25.322474849;25.105734693;26.072034554;25.530184165
2021-08-05;2032.0;728300.0;20598203.0;25.105734693;25.557276684;24.997364615;26.640977462;25.521153325
2021-08-06;2046.0;737900.0;20750675.0;25.466968286;25.241197291;25.141858053;25.512122485;25.394721567
2021-08-09;1578.0;419900.0;11723361.0;25.28635149;25.512122485;24.970272096;25.728862641;25.205073931
2021-08-10;1317.0;198500.0;5573855.0;25.196043091;25.123796373;25.123796373;25.819171039;25.349567368
2021-08-11;1151.0;560900.0;15530493.0;25.28635149;25.214104771;24.825778659;25.28635149;25.006395455
2021-08-12;2092.0;871100.0;23738498.0;24.383267508;25.150888892;24.383267508;25.150888892;24.600007663
2021-08-13;3708.0;1034300.0;27895565.0;24.518730105;24.365205828;23.642738643;24.916087057;24.356174988
2021-08-16;3247.0;1275400.0;32920904.0;23.164104132;23.958818036;22.929302297;24.464545066;23.30859757
2021-08-17;7195.0;2930300.0;77962227.0;24.076218954;23.100888254;22.270050991;24.600007663;24.022033915
2021-08-18;4054.0;602800.0;15842060.0;23.949787197;24.067188114;23.317628409;24.509699265;23.733047041
2021-08-19;3710.0;1673000.0;44408037.0;24.970272096;23.416967647;22.77577802;25.28635149;23.967848876
2021-08-20;3374.0;1118000.0;31827670.0;25.376659888;24.572915144;24.401329187;26.957056856;25.701770121
2021-08-23;2795.0;545100.0;15096844.0;25.051549654;26.099127073;24.410360027;26.216527991;25.006395455
2021-08-24;2039.0;537000.0;15048709.0;25.28635149;25.358598208;24.925117897;25.728862641;25.304413169
2021-08-25;3986.0;18191900.0;498587075.0;24.744501101;25.168950572;24.500668425;25.439875767;24.744501101
2021-08-26;3263.0;721100.0;19419082.0;24.464545066;24.699346901;23.931725517;24.735470261;24.320051629
2021-08-27;3073.0;1331800.0;36007252.0;24.473575906;24.545822625;23.940756357;24.861902018;24.410360027
2021-08-30;4186.0;1225100.0;33084180.0;24.383267508;24.25683575;23.814324599;24.834809499;24.383267508
2021-08-31;2788.0;1044400.0;28030519.0;24.383267508;24.365205828;23.985910556;24.437452547;24.229743231
2021-09-01;2465.0;626500.0;16991702.0;24.383267508;24.600007663;23.985910556;24.744501101;24.491637586
2021-09-02;2235.0;541000.0;14335926.0;23.615646123;24.229743231;23.579522764;24.374236668;23.922694677
2021-09-03;5498.0;1040600.0;26823901.0;23.435029327;23.751108721;22.866086418;23.922694677;23.27247421
2021-09-06;961.0;272100.0;7108087.0;23.561461084;23.182165812;23.182165812;23.958818036;23.588553604
2021-09-08;2363.0;1109500.0;27819707.0;22.577099544;23.398905968;22.468729466;23.480183526;22.640315423
2021-09-09;2807.0;1292000.0;32296481.0;22.577099544;22.577099544;22.30617435;22.78480886;22.568068704
2021-09-10;2021.0;720600.0;18507363.0;23.543399405;22.540976185;22.531945345;23.561461084;23.191196652
2021-09-13;3070.0;926300.0;25022210.0;24.645161863;23.76013956;23.570491924;24.77159362;24.392298348
