Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2007-02-09;0.0;0.0;0.0;4.4040197173;4.4040197173;4.4040197173;4.4040197173;4.4040197173
2007-02-12;5033.0;20976300.0;163367675.0;5.2099553255;5.1747231678;4.9809463002;5.2628035621;5.1438950298
2007-02-13;2249.0;6365700.0;52473518.0;5.4389643508;5.2848236607;5.2297734142;5.5931050409;5.4455703804
2007-02-14;1131.0;3468300.0;28948073.0;5.4940145973;5.5380547945;5.4609844494;5.6151251395;5.513832686
2007-02-15;1649.0;3555900.0;30796712.0;5.6833874451;5.5380547945;5.5380547945;5.9013864211;5.7208216127
2007-02-16;1642.0;2717400.0;24861695.0;6.2493039788;5.8111040169;5.7692658296;6.3043542253;6.0445170619
2007-02-21;3157.0;4896900.0;49946262.0;6.5950195266;6.5179491816;6.4056466788;7.0684516462;6.7381501674
2007-02-22;1888.0;3461400.0;35381697.0;6.5619893787;6.8372406111;6.5619893787;6.9143109561;6.7535642364
2007-02-23;3076.0;4446300.0;42202404.0;6.1656276042;6.6082315858;6.121587407;6.7161300688;6.2691220675
2007-02-26;1676.0;5802300.0;54053889.0;6.0555271112;6.38582859;6.0224969634;6.4078486886;6.1546175549
2007-02-27;1623.0;3051900.0;26838632.0;5.7296296522;5.7252256324;5.5270447452;5.9454266183;5.8089020071
2007-02-28;1186.0;1895100.0;16905358.0;5.9454266183;5.8661542634;5.8111040169;6.0180929436;5.8925783817
2007-03-01;794.0;1355100.0;11897101.0;5.7692658296;5.7692658296;5.6195291592;5.934416569;5.8000939676
2007-03-02;540.0;1385100.0;12392868.0;5.8991844113;5.7912859282;5.7912859282;6.0445170619;5.9101944606
2007-03-05;760.0;1702200.0;14805401.0;5.7032055339;5.7890839183;5.7032055339;5.8133060268;5.7450437212
2007-03-06;870.0;1765500.0;15851678.0;5.9013864211;5.9212045099;5.8793663226;6.0335070126;5.9322145592
2007-03-07;753.0;1940700.0;17428728.0;5.8221140662;5.9894668155;5.8221140662;6.0114869141;5.9322145592
2007-03-08;643.0;1069500.0;9582604.0;5.8353261254;5.9872648056;5.8221140662;6.0114869141;5.9190025
2007-03-09;620.0;1169100.0;10407154.0;5.8463361747;5.965244707;5.731831662;5.9894668155;5.8815683324
2007-03-12;392.0;524700.0;4634794.0;5.8353261254;5.8991844113;5.7758718592;5.9013864211;5.8353261254
