Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2021-04-28;0.0;0.0;0.0;8.251255646;8.251255646;8.251255646;8.251255646;8.251255646
2021-04-29;18802.0;8197864.8223;113727519.0;12.08517241;11.585096311;11.260046846;12.768609747;12.118510817
2021-04-30;19464.0;8026309.1621;125473644.0;13.502054693;12.58524851;12.501902493;14.902267772;13.660412125
2021-05-03;10596.0;3238165.5181;51289692.0;13.368701066;14.335514859;12.910297975;14.335514859;13.83543876
2021-05-04;4158.0;1298307.2306;19835648.0;13.252016643;13.510389295;13.08532461;13.852107963;13.352031863
2021-05-05;1957.0;872459.10334;13186002.0;13.018647797;13.410374075;13.010313195;13.418708676;13.202009033
2021-05-06;2325.0;667976.50099;9911917.0;12.726936738;13.210343635;12.676929128;13.210343635;12.968640187
2021-05-07;3269.0;844041.26475;12206678.0;12.751940543;12.793613552;12.343545062;12.93530178;12.63525612
2021-05-10;2409.0;631064.7697;9189338.0;12.593583112;12.751940543;12.593583112;12.88529417;12.718602137
2021-05-11;1759.0;402253.98082;5753545.0;12.501902493;12.501902493;12.293537452;12.626921518;12.493567892
2021-05-12;2043.0;557241.30711;8044521.0;12.543575502;12.418556477;12.376883469;12.83528656;12.610252315
2021-05-13;8261.0;3201778.1012;49664536.0;13.48538549;12.751940543;12.543575502;14.018799996;13.552062303
2021-05-14;6335.0;2172339.277;34711709.0;13.918784776;13.652077523;13.58540071;14.285507249;13.960457784
2021-05-17;5909.0;1993128.6271;32535285.0;14.068807606;14.077142208;13.760427345;14.668898926;14.260503444
2021-05-18;3008.0;878226.56135;14133781.0;13.935453979;14.210495834;13.768761946;14.335514859;14.060473004
2021-05-19;2427.0;791609.82825;12438401.0;13.568731506;13.860442564;13.443712481;14.035469199;13.727088938
2021-05-20;3655.0;1103786.6012;16567526.0;13.168670626;13.33536266;12.918632577;13.33536266;13.118663017
2021-05-21;1775.0;529976.96013;8110777.0;13.302024253;13.168670626;13.168670626;13.568731506;13.368701066
2021-05-24;2634.0;993575.72165;15611748.0;13.510389295;13.48538549;13.410374075;14.110480614;13.718754336
2021-05-25;1520.0;535954.14389;8302316.0;13.352031863;13.48538549;13.33536266;13.727088938;13.5353931
2021-05-26;946.0;365447.11239;5630430.0;13.360366465;13.452047083;13.343697261;13.602069913;13.460381685
2021-05-27;1595.0;463074.44715;7058128.0;13.252016643;13.410374075;13.23534744;13.5353931;13.318693456
2021-05-28;1927.0;773468.55123;11664210.0;13.110328415;13.293689651;13.043651602;13.402039473;13.177005228
2021-05-31;2324.0;710131.37594;10567146.0;12.960305585;13.13533222;12.693598332;13.293689651;13.001978593
2021-06-01;1719.0;618586.08781;9343075.0;13.33536266;13.101993813;12.926967178;13.410374075;13.193674431
2021-06-02;2247.0;584086.20259;8781736.0;13.035317;13.33536266;12.968640187;13.402039473;13.13533222
2021-06-04;1729.0;454161.10295;6792350.0;13.060320805;13.068655407;12.93530178;13.318693456;13.068655407
2021-06-07;1853.0;651093.57844;9648693.0;12.843621162;12.943636382;12.776944348;13.160336025;12.943636382
2021-06-08;2418.0;717157.18843;10315071.0;12.526906298;12.776944348;12.501902493;12.818617357;12.568579307
2021-06-09;1581.0;445876.93598;6486963.0;12.810282755;12.610252315;12.610252315;12.818617357;12.710267535
2021-06-10;2038.0;482683.80441;7142464.0;12.993643992;12.901963373;12.801948153;13.08532461;12.926967178
