Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2000-12-15;1.0;2080.0;11440.0;0.076316711291;0.076316711291;0.076316711291;0.076316711291;0.076316711291
2001-02-06;2.0;840.0;4200.0;0.069378828446;0.069378828446;0.069378828446;0.069378828446;0.069378828446
2001-12-26;2.0;60.0;273.0;0.063134733886;0.063134733886;0.063134733886;0.063134733886;0.063134733886
2002-03-21;1.0;180.0;810.0;0.062440945602;0.062440945602;0.062440945602;0.062440945602;0.062440945602
2002-04-18;2.0;420.0;3171.0;0.10476203095;0.10476203095;0.10476203095;0.10476203095;0.10476203095
2002-12-09;5.0;2360.0;11800.0;0.07622679898;0.07622679898;0.07622679898;0.07622679898;0.07622679898
2004-09-20;3.0;80.0;800.0;0.17134538152;0.17134538152;0.17134538152;0.17134538152;0.17134538152
2005-10-20;2.0;780.0;6864.0;0.16754254463;0.16754254463;0.16754254463;0.16754254463;0.16754254463
2007-07-25;1.0;100.0;5511.0;1.7470864647;1.7470864647;1.7470864647;1.7470864647;1.7470864647
2007-09-26;2.0;500.0;24245.0;1.5372205166;1.5372205166;1.5372205166;1.5372205166;1.5372205166
2008-12-23;1.0;200.0;9126.0;1.5369499012;1.5369499012;1.5369499012;1.5369499012;1.5369499012
2009-03-18;1.0;200.0;9500.0;1.5999368903;1.5999368903;1.5999368903;1.5999368903;1.5999368903
2009-12-21;2.0;200.0;6600.0;1.1408924293;1.1408924293;1.1408924293;1.1408924293;1.1408924293
2009-12-23;2.0;400.0;13204.0;1.1412381543;1.1412381543;1.1412381543;1.1412381543;1.1412381543
2010-11-17;1.0;100.0;3062.0;1.1412797194;1.1412797194;1.1412797194;1.1412797194;1.1412797194
2011-11-07;2.0;200.0;9004.0;1.7589312711;1.7589312711;1.7589312711;1.7589312711;1.7589312711
2011-11-11;1.0;300.0;13506.0;1.7589312711;1.7589312711;1.7589312711;1.7589312711;1.7589312711
2012-01-10;5.0;500.0;15705.0;1.3508057222;1.2689635094;1.2689635094;1.3508057222;1.2853319519
2012-01-17;1.0;100.0;4000.0;1.6368442559;1.6368442559;1.6368442559;1.6368442559;1.6368442559
2012-04-24;1.0;100.0;4200.0;1.7186864687;1.7186864687;1.7186864687;1.7186864687;1.7186864687
2014-04-03;3.0;700.0;34996.0;10.992038922;10.989840514;10.989840514;10.992038922;10.989840514
2017-07-07;1.0;100.0;3480.0;10.712761506;10.712761506;10.712761506;10.712761506;10.712761506
2019-07-31;1.0;100.0;3800.0;14.614036201;14.614036201;14.614036201;14.614036201;14.614036201
2019-10-22;5.0;500.0;16050.0;12.868043455;12.00273868;12.00273868;12.868043455;12.345014791
2021-04-22;5.0;500.0;23300.0;19.328129436;17.750322952;17.750322952;19.328129436;18.381445545
2021-05-03;1.0;100.0;4020.0;18.83308833;18.83308833;18.83308833;18.83308833;18.83308833
2022-04-26;1.0;200.0;9202.0;21.554984926;21.554984926;21.554984926;21.554984926;21.554984926
2024-10-10;2.0;200.0;9400.0;33.934926529;33.934926529;33.934926529;33.934926529;33.934926529
2025-10-23;1.0;100.0;4801.0;39.450014891;39.450014891;39.450014891;39.450014891;39.450014891
2025-11-05;1.0;100.0;4800.0;39.44179785;39.44179785;39.44179785;39.44179785;39.44179785
2025-11-11;1.0;100.0;4800.0;39.44179785;39.44179785;39.44179785;39.44179785;39.44179785
2026-01-13;1.0;100.0;3866.0;38.66;38.66;38.66;38.66;38.66
