Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2017-07-28;0.0;0.0;0.0;6.8561942036;6.8561942036;6.8561942036;6.8561942036;6.8561942036
2017-07-31;4058.0;5691900.0;93796916.0;7.2517438692;7.234163884;7.1198939806;7.3835937577;7.2429538766
2017-08-01;775.0;457400.0;7629521.0;7.3791987614;7.2517438692;7.2517438692;7.3791987614;7.3308538023
2017-08-02;489.0;365400.0;6111259.0;7.3440387911;7.4011737428;7.3176688134;7.4011737428;7.3484337874
2017-08-03;941.0;799700.0;13447859.0;7.3835937577;7.4714936834;7.3308538023;7.4714936834;7.3923837503
2017-08-04;931.0;291700.0;4949373.0;7.6780585087;7.449518702;7.326458806;7.6780585087;7.4583086945
2017-08-07;620.0;286300.0;4885505.0;7.4758886797;7.4714936834;7.3616187763;7.6341085459;7.4978636611
2017-08-08;375.0;157500.0;2672592.0;7.4714936834;7.6472935347;7.418753728;7.6472935347;7.4583086945
2017-08-09;191.0;114900.0;1934711.0;7.3748037651;7.5549986128;7.3440387911;7.5549986128;7.4011737428
2017-08-10;216.0;78100.0;1314019.0;7.4275437205;7.3176688134;7.3000888283;7.5593936091;7.3923837503
2017-08-11;259.0;129000.0;2178393.0;7.4670986871;7.5110486499;7.3000888283;7.5242336388;7.4231487243
2017-08-14;402.0;143300.0;2436332.0;7.4714936834;7.5154436462;7.35722378;7.5593936091;7.4714936834
2017-08-15;226.0;143200.0;2394535.0;7.3088788209;7.4934686648;7.3000888283;7.5286286351;7.3484337874
2017-08-16;202.0;57100.0;949832.0;7.3132738171;7.3176688134;7.1550539509;7.4231487243;7.3088788209
2017-08-17;651.0;118500.0;1975365.0;7.449518702;7.3396437948;7.1946089175;7.449518702;7.326458806
2017-08-18;580.0;139600.0;2359844.0;7.5154436462;7.449518702;7.3748037651;7.5154436462;7.4275437205
2017-08-21;191.0;52300.0;889545.0;7.449518702;7.5110486499;7.4011737428;7.5330236314;7.4758886797
2017-08-22;110.0;250800.0;4251191.0;7.5154436462;7.4714936834;7.3616187763;7.5462086202;7.449518702
2017-08-23;387.0;88200.0;1522357.0;7.5593936091;7.4143587317;7.3835937577;7.7923284121;7.5857635868
2017-08-24;112.0;63500.0;1086217.0;7.5813685905;7.6428985385;7.4714936834;7.6428985385;7.5154436462
2017-08-25;254.0;112000.0;1938577.0;7.6472935347;7.6780585087;7.4846786722;7.6780585087;7.6033435719
2017-08-28;414.0;123200.0;2125631.0;7.6033435719;7.6472935347;7.4890736685;7.7791434233;7.5813685905
2017-08-29;405.0;142400.0;2433258.0;7.5022586574;7.5769735942;7.4714936834;7.5813685905;7.5066536536
2017-08-30;692.0;251500.0;4304480.0;7.590158583;7.5593936091;7.4758886797;7.651688531;7.5198386425
2017-08-31;400.0;234500.0;4063081.0;7.6253185533;7.6165285607;7.5418136239;7.682453505;7.6121335645
2017-09-01;366.0;70100.0;1219574.0;7.6692685162;7.6560835273;7.5549986128;7.6780585087;7.6428985385
2017-09-04;143.0;53200.0;929982.0;7.7088234827;7.682453505;7.5813685905;7.7088234827;7.682453505
2017-09-05;879.0;744100.0;12809358.0;7.5418136239;7.6912434976;7.4275437205;7.6912434976;7.5637886053
2017-09-06;701.0;211100.0;3636902.0;7.6385035422;7.5549986128;7.4978636611;7.6385035422;7.5681836016
2017-09-08;824.0;257700.0;4400094.0;7.4714936834;7.6560835273;7.4583086945;7.7000334902;7.5022586574
2017-09-11;277.0;693100.0;11801392.0;7.5374186276;7.5506036165;7.4714936834;7.5506036165;7.4802836759
2017-09-12;271.0;324000.0;5518406.0;7.4934686648;7.6033435719;7.4714936834;7.6033435719;7.4846786722
2017-09-13;298.0;613500.0;10452890.0;7.5022586574;7.5813685905;7.4714936834;7.6297135496;7.4846786722
2017-09-14;407.0;142200.0;2468338.0;7.620923557;7.620923557;7.5813685905;7.6868485013;7.6253185533
2017-09-15;214.0;1324000.0;22926233.0;7.6428985385;7.7351934604;7.6033435719;7.7351934604;7.6077385682
