Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2006-10-26;0.0;0.0;0.0;0.9242432189;0.9242432189;0.9242432189;0.9242432189;0.9242432189
2006-10-27;6175.0;30747900.0;236102228.0;1.0078652244;0.99466174987;0.99114082332;1.0338320577;1.0140268459
2006-10-30;495.0;3247200.0;24677844.0;0.99906290805;0.99686232896;0.99686232896;1.0201884673;1.0034640662
2006-10-31;616.0;4287300.0;32402877.0;0.99378151823;1.0012634871;0.99026059168;1.0052245295;0.9977425606
2006-11-01;274.0;1008900.0;7604627.0;0.99246117077;0.99026059168;0.99026059168;1.0056646453;0.99510186569
2006-11-03;387.0;1715100.0;13024192.0;1.0083053402;0.99466174987;0.99026059168;1.0118262668;1.0025838346
2006-11-06;373.0;1722600.0;13124268.0;1.0197483515;0.99510186569;0.99510186569;1.0342721735;1.0061047611
2006-11-07;143.0;1148700.0;8809666.0;1.0201884673;1.0122663826;1.0047844137;1.0250297413;1.0127064984
2006-11-08;247.0;1075500.0;8158707.0;1.0122663826;0.99730244478;0.9907007075;1.0342721735;1.001703603
2006-11-09;135.0;1277400.0;9699369.0;1.0078652244;1.0039041821;0.99906290805;1.0122663826;1.0025838346
2006-11-10;190.0;1473900.0;11216811.0;1.0034640662;1.0025838346;1.0012634871;1.0100658035;1.0047844137
2006-11-13;294.0;1287900.0;9763723.0;1.0122663826;1.0012634871;0.99510186569;1.0166675408;1.0008233713
2006-11-14;102.0;254700.0;1956354.0;1.0008233713;1.0122663826;1.0008233713;1.0206285832;1.0140268459
2006-11-16;43.0;151500.0;1162811.0;1.0166675408;1.0034640662;1.0034640662;1.0166675408;1.0135867301
2006-11-17;31.0;142500.0;1088285.0;1.016227425;1.0056646453;1.0034640662;1.016227425;1.0083053402
2006-11-21;245.0;1002600.0;7703042.0;1.0232692781;1.0034640662;1.0034640662;1.0254698572;1.0144669617
2006-11-22;64.0;412800.0;3185623.0;1.0298710153;1.0083053402;1.0083053402;1.0316314786;1.0188681199
2006-11-23;70.0;66900.0;525238.0;1.0347122894;1.0298710153;1.0298710153;1.0430744899;1.0364727526
2006-11-24;136.0;521100.0;4115871.0;1.0584785436;1.0342721735;1.0342721735;1.0584785436;1.0430744899
2006-11-27;78.0;2598000.0;20788351.0;1.0782837554;1.0518768063;1.0518768063;1.0782837554;1.0567180803
2006-11-28;97.0;1135800.0;9085571.0;1.0567180803;1.0567180803;1.0540773854;1.0655203966;1.0562779645
2006-11-29;61.0;97500.0;783250.0;1.0650802808;1.0567180803;1.0558378486;1.0650802808;1.0606791226
2006-11-30;36.0;114000.0;914328.0;1.0606791226;1.0650802808;1.0562779645;1.0650802808;1.0589186594
2006-12-01;51.0;291300.0;2362674.0;1.0782837554;1.0606791226;1.0606791226;1.0914872299;1.0708017865
2006-12-04;77.0;714900.0;5869135.0;1.0826849136;1.0782837554;1.0699215548;1.1002895463;1.084005261
2006-12-05;117.0;1207200.0;9980851.0;1.0914872299;1.1046907045;1.0738825972;1.1222953372;1.0914872299
2006-12-06;27.0;219300.0;1794298.0;1.0848854927;1.0738825972;1.0738825972;1.0884064192;1.0804843345
2006-12-07;53.0;1178700.0;9584871.0;1.0734424814;1.0804843345;1.0730023656;1.0804843345;1.0738825972
2006-12-08;21.0;132900.0;1080868.0;1.0730023656;1.0734424814;1.0716820181;1.0738825972;1.0738825972
2006-12-11;26.0;241500.0;1966823.0;1.0738825972;1.0866459559;1.0650802808;1.0870860718;1.0752029447
2006-12-12;43.0;122700.0;985820.0;1.0562779645;1.0716820181;1.0562779645;1.0716820181;1.0606791226
2006-12-13;78.0;529200.0;4185304.0;1.0562779645;1.0562779645;1.0342721735;1.0562779645;1.0443948374
2006-12-14;70.0;192000.0;1538925.0;1.0606791226;1.0606791226;1.050116343;1.0782837554;1.0584785436
2006-12-15;124.0;713700.0;5820249.0;1.0567180803;1.0782837554;1.045275069;1.0804843345;1.0769634079
2006-12-18;92.0;346500.0;2775855.0;1.0796041028;1.0562779645;1.0540773854;1.0796041028;1.0575983119
2006-12-19;60.0;159900.0;1279199.0;1.0562779645;1.0782837554;1.0298710153;1.0782837554;1.0562779645
2006-12-20;216.0;981900.0;7865514.0;1.0562779645;1.0562779645;1.0540773854;1.0734424814;1.0575983119
2006-12-21;80.0;1241400.0;9908895.0;1.0518768063;1.0562779645;1.0474756481;1.0562779645;1.0540773854
2006-12-22;22.0;23700.0;187582.0;1.0518768063;1.0342721735;1.0254698572;1.0606791226;1.0448349532
2006-12-26;53.0;127200.0;1017638.0;1.0562779645;1.0518768063;1.0474756481;1.0584785436;1.0562779645
2006-12-27;48.0;592500.0;4740534.0;1.0562779645;1.0562779645;1.0558378486;1.0584785436;1.0562779645
2006-12-28;18.0;440100.0;3537192.0;1.0606791226;1.0650802808;1.0562779645;1.0782837554;1.0611192385
2007-01-02;33.0;56400.0;452137.0;1.0562779645;1.0562779645;1.0562779645;1.0606791226;1.0584785436
2007-01-03;45.0;1535700.0;12312451.0;1.0914872299;1.0562779645;1.0562779645;1.0998494305;1.0584785436
2007-01-04;96.0;475800.0;3823307.0;1.0782837554;1.0606791226;1.0562779645;1.0787238712;1.0611192385
2007-01-05;72.0;1295700.0;10421202.0;1.0562779645;1.0782837554;1.0562779645;1.0782837554;1.0619994701
2007-01-08;18.0;62100.0;500785.0;1.0672808599;1.0562779645;1.0562779645;1.0672808599;1.064640165
2007-01-09;46.0;177000.0;1423714.0;1.0567180803;1.0672808599;1.0562779645;1.0782837554;1.0619994701
2007-01-10;35.0;2920200.0;23361600.0;1.0562779645;1.0562779645;1.0562779645;1.0562779645;1.0562779645
2007-01-11;24.0;142200.0;1140376.0;1.0738825972;1.0540773854;1.0347122894;1.0782837554;1.0589186594
2007-01-12;41.0;165600.0;1347627.0;1.0562779645;1.0738825972;1.0408739108;1.093687809;1.074322713
2007-01-15;31.0;111000.0;888373.0;1.0562779645;1.0518768063;1.0518768063;1.0655203966;1.0567180803
2007-01-16;31.0;1311000.0;10418833.0;1.045275069;1.0738825972;1.0342721735;1.0756430605;1.0492361114
2007-01-17;12.0;1194000.0;9506832.0;1.0474756481;1.0756430605;1.0474756481;1.0756430605;1.0514366905
2007-01-18;22.0;69900.0;545308.0;1.0298710153;1.0347122894;1.0254698572;1.0347122894;1.0298710153
2007-01-19;11.0;311400.0;2449830.0;1.0430744899;1.0373529843;1.0369128684;1.0430744899;1.0386733317
2007-01-22;95.0;614100.0;4799516.0;1.021068699;1.0127064984;1.0105059193;1.0461553006;1.0320715944
2007-01-23;97.0;297000.0;2306065.0;1.0342721735;1.021068699;1.0127064984;1.0382332159;1.0250297413
2007-01-24;44.0;403500.0;3169010.0;1.0562779645;1.0342721735;1.0342721735;1.0562779645;1.0369128684
2007-01-26;14.0;87900.0;694367.0;1.0430744899;1.0171076566;1.0171076566;1.0558378486;1.0430744899
2007-01-29;66.0;1602300.0;12549446.0;1.0342721735;1.0342721735;1.0100658035;1.0347122894;1.0342721735
2007-01-30;21.0;888900.0;6967294.0;1.0342721735;1.0342721735;1.0342721735;1.0386733317;1.0347122894
2007-01-31;21.0;177300.0;1395870.0;1.0122663826;1.0342721735;1.0122663826;1.0562779645;1.0395535634
2007-02-01;28.0;55500.0;435445.0;1.0562779645;1.0122663826;1.0122663826;1.0562779645;1.0360326368
2007-02-02;31.0;217800.0;1705618.0;1.0518768063;1.0298710153;1.0298710153;1.0562779645;1.0338320577
2007-02-05;48.0;124800.0;1003037.0;1.0474756481;1.0518768063;1.0342721735;1.0650802808;1.0611192385
2007-02-06;23.0;342600.0;2740372.0;1.0562779645;1.0342721735;1.0342721735;1.0562779645;1.0562779645
2007-02-07;24.0;189600.0;1497708.0;1.0430744899;1.0215088148;1.021068699;1.0474756481;1.0430744899
2007-02-08;19.0;458400.0;3628390.0;1.0562779645;1.0430744899;1.0430744899;1.0686012074;1.045275069
2007-02-09;46.0;489600.0;3920499.0;1.0584785436;1.0562779645;1.0562779645;1.0650802808;1.0571581961
2007-02-12;155.0;380700.0;3073087.0;1.1002895463;1.0518768063;1.0518768063;1.1086517469;1.0659605125
2007-02-13;52.0;1029000.0;8245389.0;1.0575983119;1.0677209757;1.0562779645;1.0760831763;1.0580384277
2007-02-14;129.0;684600.0;5509849.0;1.0650802808;1.0580384277;1.0496762272;1.0699215548;1.0624395859
2007-02-15;32.0;135300.0;1108152.0;1.0787238712;1.0650802808;1.0650802808;1.0998494305;1.0813645661
2007-02-16;39.0;101100.0;839499.0;1.0958883881;1.0782837554;1.0782837554;1.0998494305;1.0963285039
2007-02-21;42.0;796200.0;6632696.0;1.1002895463;1.1002895463;1.0571581961;1.1178941791;1.0998494305
2007-02-22;48.0;229800.0;1884386.0;1.0826849136;1.0958883881;1.0782837554;1.0958883881;1.0826849136
2007-02-23;11.0;134700.0;1093370.0;1.0738825972;1.0782837554;1.069481439;1.0782837554;1.0716820181
2007-02-26;81.0;1637100.0;13196771.0;1.0650802808;1.069481439;1.0518768063;1.0738825972;1.0642000492
2007-02-27;64.0;236100.0;1879466.0;1.0127064984;1.0558378486;1.0122663826;1.0562779645;1.0509965746
2007-02-28;67.0;597000.0;4608751.0;1.0298710153;1.0294308995;1.0118262668;1.0298710153;1.0193082357
2007-03-01;124.0;1403400.0;10596342.0;1.0122663826;1.0122663826;0.96737456912;1.021068699;0.99686232896
2007-03-02;28.0;589200.0;4327920.0;0.96825480076;1.0122663826;0.96781468494;1.0122663826;0.97001526403
2007-03-05;64.0;1580400.0;11569867.0;0.95065016802;0.96825480076;0.926443798;0.96825480076;0.96649433748
2007-03-06;72.0;3398400.0;24713615.0;0.97001526403;0.96825480076;0.9550513262;0.99906290805;0.96033271602
2007-03-07;34.0;32100.0;233709.0;0.96825480076;0.95065016802;0.95065016802;0.97045537985;0.96121294766
2007-03-08;24.0;146100.0;1108512.0;1.0034640662;0.98629954932;0.98629954932;1.0254698572;1.001703603
2007-03-09;53.0;786600.0;6070241.0;1.0232692781;1.0122663826;1.0122663826;1.0558378486;1.0188681199
