Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2007-01-31;0.0;0.0;0.0;87.889358266;87.889358266;87.889358266;87.889358266;87.889358266
2007-02-01;8920.0;1348690.0;188550219.0;91.2697182;96.678294093;91.2697182;97.962830868;94.514863736
2007-02-02;900.0;114520.0;15436654.0;91.337325398;91.878182988;88.768251849;93.635970153;91.134503802
2007-02-05;570.0;112230.0;15024071.0;91.2697182;90.999289405;89.24150224;91.810575789;90.526039014
2007-02-06;530.0;135310.0;18220581.0;90.931682206;91.134503802;90.052788624;91.607754193;91.066896604
2007-02-07;718.0;101070.0;13370233.0;88.971073445;91.2697182;87.21328628;91.404932597;89.444323836
2007-02-08;363.0;151480.0;19727894.0;87.889358266;88.430215856;87.821751068;89.106287842;88.024572664
2007-02-09;311.0;111690.0;14532065.0;88.22739426;88.768251849;87.348500677;88.903466246;87.956965465
2007-02-12;420.0;151130.0;19151366.0;85.523106313;87.889358266;83.900533545;88.565430253;85.65832071
2007-02-13;312.0;81770.0;10363139.0;85.861142306;85.861142306;85.18507032;86.1991783;85.65832071
2007-02-14;318.0;140810.0;17674224.0;84.847034326;85.861142306;82.818818366;86.537214293;84.847034326
2007-02-15;563.0;111230.0;13542131.0;83.15685436;84.64421273;81.1286384;84.64421273;82.277960777
2007-02-16;446.0;84840.0;10268452.0;83.15685436;83.832926346;80.452566413;83.832926346;81.804710386
2007-02-21;427.0;107060.0;12896569.0;81.1286384;82.14274638;80.452566413;83.15685436;81.466674393
2007-02-22;392.0;105650.0;12635435.0;81.1286384;81.804710386;80.249744817;82.277960777;80.858209605
2007-02-23;249.0;204050.0;24485134.0;82.413175174;80.790602406;79.235636837;82.413175174;81.1286384
2007-02-26;471.0;148380.0;18567638.0;84.17096234;82.480782373;82.480782373;87.21328628;84.576605532
2007-02-27;699.0;275030.0;32123197.0;76.734170486;80.452566413;76.396134493;82.480782373;78.965208042
2007-02-28;331.0;197410.0;22443079.0;76.734170486;78.356743254;76.0580985;79.776494426;76.869384884
2007-03-01;569.0;182340.0;20352209.0;81.737103188;76.0580985;72.812952964;81.737103188;75.449633712
2007-03-02;263.0;191730.0;22207722.0;78.762386446;80.11453042;75.111597718;80.452566413;78.289136056
2007-03-05;169.0;30930.0;3528702.0;77.410242473;76.0580985;73.691846546;77.815885665;77.139813678
2007-03-06;203.0;47530.0;5563443.0;79.641280029;76.734170486;76.734170486;80.722995208;79.168029638
2007-03-07;139.0;33280.0;3823473.0;76.869384884;80.925816804;76.801777685;80.925816804;77.680671268
2007-03-08;466.0;60740.0;6672251.0;74.02988254;78.762386446;72.339702573;78.762386446;74.232704136
2007-03-09;269.0;58040.0;6211112.0;73.01577456;74.705954526;70.9875586;75.04399052;72.339702573
2007-03-12;311.0;91950.0;9825588.0;72.677738566;73.083381758;70.649522606;74.367918533;72.272095374
2007-03-13;312.0;29630.0;3108706.0;69.43259303;71.731237785;69.364985832;73.083381758;70.919951401
2007-03-14;344.0;75610.0;7826122.0;69.97345062;68.95934264;68.41848505;71.663630586;69.97345062
2007-03-15;158.0;33810.0;3472147.0;68.95934264;69.635414626;68.824128242;70.9875586;69.43259303
2007-03-16;320.0;52650.0;5169562.0;65.578982706;69.297378633;65.240946713;69.635414626;66.39026909
2007-03-19;349.0;120130.0;11333621.0;63.009909157;66.255054693;62.87469476;67.607198666;63.753588342
2007-03-20;757.0;274770.0;27003850.0;68.688913845;63.550766746;63.077516356;68.95934264;66.457876289
2007-03-21;263.0;139900.0;14036038.0;67.539591468;68.95934264;66.322661892;70.514308209;67.810020262
2007-03-22;189.0;111560.0;11227785.0;68.553699448;68.621306646;67.607198666;69.97345062;68.012841858
2007-03-23;209.0;44040.0;4472731.0;68.41848505;68.486092249;67.471984269;70.176272216;68.688913845
2007-03-26;262.0;32590.0;3352657.0;70.649522606;69.905843421;67.674805865;70.919951401;69.567807428
2007-03-27;155.0;33810.0;3490144.0;68.688913845;70.379093812;68.283270653;71.663630586;69.770629024
2007-03-28;233.0;71750.0;7224213.0;68.621306646;68.350877852;67.607198666;68.891735441;68.080449057
2007-03-29;257.0;82530.0;8422769.0;70.243879414;66.998733878;66.998733878;70.243879414;69.026949838
2007-03-30;256.0;53990.0;5686129.0;72.677738566;68.688913845;68.688913845;73.01577456;71.190380196
2007-04-02;101.0;30860.0;3238454.0;71.663630586;70.919951401;70.311486613;72.745345765;70.919951401
2007-04-03;169.0;60120.0;6360709.0;71.663630586;73.01577456;70.649522606;73.01577456;71.528416189
2007-04-04;218.0;56430.0;6064529.0;73.759453745;72.677738566;71.663630586;75.04399052;72.677738566
2007-04-05;105.0;39620.0;4207839.0;73.01577456;74.367918533;71.663630586;74.367918533;71.798844984
2007-04-09;189.0;30320.0;3221351.0;71.663630586;73.624239348;70.311486613;75.04399052;71.798844984
2007-04-10;237.0;38470.0;3914072.0;68.621306646;71.325594593;67.94523466;71.325594593;68.756521044
2007-04-11;298.0;91720.0;9365779.0;68.283270653;68.688913845;67.94523466;70.311486613;69.026949838
2007-04-12;169.0;10470.0;1053499.0;67.810020262;68.95934264;67.607198666;68.95934264;68.012841858
2007-04-13;116.0;108300.0;10941488.0;68.891735441;68.95934264;67.269162673;68.95934264;68.283270653
2007-04-16;211.0;112650.0;11492547.0;69.97345062;68.891735441;68.553699448;70.243879414;68.95934264
2007-04-17;157.0;50860.0;5195375.0;69.538885464;69.403464071;68.184671531;69.809728251;69.200331981
2007-04-18;170.0;47160.0;4858139.0;69.742017554;68.997199891;68.997199891;70.622256611;69.742017554
2007-04-19;219.0;107650.0;11109202.0;70.080571037;69.742017554;68.455514318;70.893099397;69.877438948
2007-04-20;389.0;116980.0;12409387.0;72.111891937;70.419124521;70.419124521;72.45044542;71.84104915
2007-04-23;487.0;124060.0;13661140.0;75.023451893;71.773338454;71.637917061;76.51308722;74.549477017
2007-04-24;221.0;27420.0;3006568.0;74.48176632;74.48176632;73.804659353;75.429716073;74.210923533
2007-04-25;302.0;50680.0;5759848.0;77.190194186;74.346344927;73.804659353;78.476697423;76.987062096
2007-04-26;226.0;78940.0;9151785.0;76.71621931;76.10682304;76.10682304;79.560068569;78.476697423
2007-04-27;149.0;31560.0;3519428.0;75.158873287;76.174533736;74.617187713;76.851640703;75.49742677
