Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2011-06-30;0.0;0.0;0.0;11.606622443;11.606622443;11.606622443;11.606622443;11.606622443
2011-07-01;2230.0;2742900.0;47172778.0;12.324122739;11.958338274;11.747308775;12.514049288;12.099024607
2011-07-04;210.0;390800.0;6927247.0;12.654735621;12.310054106;12.310054106;12.654735621;12.471843388
2011-07-05;66.0;126000.0;2239815.0;12.556255188;12.394465905;12.394465905;12.619564038;12.507014972
2011-07-06;42.0;40800.0;728606.0;12.584392455;12.521083605;12.422603172;12.647701304;12.563289505
2011-07-07;85.0;100100.0;1777626.0;12.556255188;12.577358138;12.394465905;12.584392455;12.492946338
2011-07-08;89.0;520700.0;9175089.0;12.450740439;12.528117921;12.310054106;12.528117921;12.394465905
2011-07-11;35.0;197400.0;3440254.0;12.267848206;12.141230507;12.13419619;12.331157056;12.260813889
2011-07-12;43.0;17700.0;308070.0;12.246745256;12.23971094;12.13419619;12.408534539;12.246745256
2011-07-13;23.0;15600.0;270083.0;12.211573673;12.331157056;12.13419619;12.331157056;12.17640209
2011-07-14;75.0;771500.0;13189671.0;12.028681441;12.232676623;11.993509857;12.23971094;12.028681441
2011-07-15;131.0;531600.0;9076399.0;11.958338274;12.09199029;11.866892158;12.09199029;12.007578491
2011-07-18;74.0;70800.0;1191772.0;11.958338274;11.859857841;11.536279276;11.958338274;11.838754892
2011-07-19;45.0;149900.0;2564652.0;11.951303958;12.232676623;11.895029425;12.232676623;12.035715757
2011-07-20;32.0;88000.0;1517651.0;12.162333457;11.944269641;11.923166691;12.232676623;12.13419619
2011-07-21;193.0;50600.0;891188.0;12.626598354;12.232676623;12.204539356;12.626598354;12.387431589
2011-07-22;49.0;10500.0;187764.0;12.661769937;12.521083605;12.042750074;12.661769937;12.577358138
2011-07-25;89.0;54900.0;973730.0;12.591426771;12.380397272;12.380397272;12.591426771;12.478877705
2011-07-26;86.0;263900.0;4671796.0;12.450740439;12.795421953;12.380397272;12.80245627;12.450740439
2011-07-27;139.0;43900.0;768245.0;12.310054106;12.450740439;12.141230507;12.450740439;12.310054106
2011-07-28;21.0;123100.0;2115373.0;11.958338274;12.246745256;11.824686258;12.246745256;12.084955974
2011-07-29;131.0;718500.0;12223190.0;11.958338274;11.895029425;11.247872294;12.310054106;11.965372591
2011-08-01;50.0;180800.0;3022629.0;11.676965609;11.613656759;11.606622443;11.887995108;11.761377409
2011-08-02;57.0;40600.0;649733.0;11.247872294;11.606622443;10.938362363;11.606622443;11.254906611
2011-08-03;125.0;324700.0;5039361.0;11.184563445;11.050911429;9.848043285;11.564416543;10.917259413
2011-08-04;56.0;251400.0;3770979.0;10.551474948;10.382651349;10.340445449;10.86098488;10.551474948
2011-08-05;81.0;180300.0;2682044.0;10.410788615;10.832847613;9.4963274534;10.832847613;10.467063148
2011-08-08;23.0;16100.0;229145.0;9.9183864514;9.848043285;9.4752245035;10.544440631;10.009832567
2011-08-09;134.0;256000.0;3808954.0;10.234930699;10.86098488;9.848043285;10.868019196;10.467063148
2011-08-10;33.0;31900.0;472776.0;10.481131781;10.234930699;9.9887296177;10.481131781;10.424857248
2011-08-11;57.0;243700.0;3654176.0;10.727332864;10.783607397;10.199759116;11.149391862;10.544440631
2011-08-12;59.0;93600.0;1428642.0;10.903190779;10.69216128;10.678092647;10.903190779;10.73436718
2011-08-15;34.0;574400.0;8897790.0;10.69216128;10.924293729;10.69216128;11.043877112;10.896156463
2011-08-16;39.0;64400.0;991089.0;10.903190779;10.495200415;10.495200415;10.903190779;10.825813296
2011-08-17;21.0;224200.0;3416870.0;10.614783798;10.586646531;10.586646531;10.86098488;10.720298547
2011-08-18;219.0;160900.0;2335099.0;10.481131781;10.305273866;9.8550776017;10.544440631;10.206793433
2011-08-19;87.0;122000.0;1758231.0;10.12941595;10.17162185;9.848043285;10.361548399;10.136450267
2011-08-22;52.0;29200.0;418018.0;10.101278683;10.368582715;9.9605923512;10.368582715;10.073141417
2011-08-23;141.0;37800.0;556481.0;10.375617032;10.333411132;10.234930699;10.375617032;10.354514082
2011-08-24;8.0;8700.0;128260.0;10.375617032;10.368582715;10.199759116;10.375617032;10.368582715
2011-08-25;142.0;110200.0;1587373.0;10.305273866;10.375617032;9.8550776017;10.375617032;10.12941595
2011-08-26;113.0;61500.0;887524.0;10.298239549;10.199759116;9.7425285356;10.298239549;10.1505189
2011-08-29;27.0;59300.0;884010.0;10.889122146;10.375617032;10.073141417;10.938362363;10.488166098
2011-08-30;70.0;26100.0;413662.0;11.318215461;11.072014379;10.846916246;11.318215461;11.149391862
2011-08-31;74.0;54700.0;896900.0;11.705102876;11.339318411;11.149391862;11.705102876;11.536279276
2011-09-01;155.0;67100.0;1128819.0;12.028681441;12.04978439;11.297112511;12.127161873;11.831720575
2011-09-02;166.0;92400.0;1536759.0;11.817651942;11.44483316;11.395592944;11.951303958;11.698068559
