Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2001-03-08;2.0;1000.0;115000.0;107.72068893;107.72068893;107.72068893;107.72068893;107.72068893
2002-09-17;1.0;194.0;21340.0;107.70191942;107.70191942;107.70191942;107.70191942;107.70191942
2003-12-17;1.0;1.0;52.0;50.913634639;50.913634639;50.913634639;50.913634639;50.913634639
2004-03-10;1.0;1.0;52.0;50.913634639;50.913634639;50.913634639;50.913634639;50.913634639
2004-07-13;2.0;15.0;750.0;48.955417922;48.955417922;48.955417922;48.955417922;48.955417922
2005-02-25;2.0;16.0;880.0;53.850959714;53.850959714;53.850959714;53.850959714;53.850959714
2005-08-15;2.0;194.0;10864.0;54.830068073;54.830068073;54.830068073;54.830068073;54.830068073
2005-08-29;1.0;6.0;420.0;68.537585091;68.537585091;68.537585091;68.537585091;68.537585091
2005-08-30;1.0;4.0;280.0;68.537585091;68.537585091;68.537585091;68.537585091;68.537585091
2005-08-31;1.0;14.0;980.0;68.537585091;68.537585091;68.537585091;68.537585091;68.537585091
2005-09-26;1.0;2.0;140.0;68.537585091;68.537585091;68.537585091;68.537585091;68.537585091
2005-09-30;1.0;5.0;350.0;68.537585091;68.537585091;68.537585091;68.537585091;68.537585091
2005-10-21;2.0;40.0;2800.0;68.537585091;68.537585091;68.537585091;68.537585091;68.537585091
2005-11-28;1.0;1.0;70.0;68.537585091;68.537585091;68.537585091;68.537585091;68.537585091
2006-03-30;2.0;3.0;211.0;69.516693449;68.537585091;68.537585091;69.516693449;68.537585091
2006-05-17;1.0;3.0;210.0;68.537585091;68.537585091;68.537585091;68.537585091;68.537585091
2006-07-14;1.0;18.0;1260.0;68.537585091;68.537585091;68.537585091;68.537585091;68.537585091
2006-08-25;3.0;3.0;169.0;67.558476732;48.955417922;48.955417922;67.558476732;54.830068073
2006-09-12;1.0;1.0;51.0;49.93452628;49.93452628;49.93452628;49.93452628;49.93452628
2006-09-21;1.0;5.0;255.0;49.93452628;49.93452628;49.93452628;49.93452628;49.93452628
2006-10-04;2.0;6.0;300.0;48.955417922;48.955417922;48.955417922;48.955417922;48.955417922
2006-10-17;2.0;3.0;150.0;48.955417922;48.955417922;48.955417922;48.955417922;48.955417922
2006-10-26;1.0;1.0;45.0;44.05987613;44.05987613;44.05987613;44.05987613;44.05987613
2006-11-16;3.0;679.0;30555.0;44.05987613;44.05987613;44.05987613;44.05987613;44.05987613
2006-11-17;2.0;6.0;298.0;48.955417922;46.997201205;46.997201205;48.955417922;48.955417922
2006-11-27;2.0;24.0;1680.0;68.537585091;68.537585091;68.537585091;68.537585091;68.537585091
2006-11-28;1.0;1.0;70.0;68.537585091;68.537585091;68.537585091;68.537585091;68.537585091
2006-12-04;1.0;1.0;48.0;46.997201205;46.997201205;46.997201205;46.997201205;46.997201205
2006-12-19;7.0;18.0;720.0;39.164334338;39.164334338;39.164334338;39.164334338;39.164334338
2007-01-04;2.0;21.0;1470.0;68.537585091;68.537585091;68.537585091;68.537585091;68.537585091
2007-01-05;1.0;11.0;825.0;73.433126883;73.433126883;73.433126883;73.433126883;73.433126883
