Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2000-01-03;24.0;9022.0;34910.0;2.8030166331;2.8030166331;2.1022624748;2.8030166331;2.8030166331
2000-01-04;23.0;6325.0;29400.0;2.8030166331;2.8030166331;2.8030166331;3.5037707914;3.5037707914
2000-01-05;30.0;5381.0;21814.0;2.8030166331;2.8030166331;2.1022624748;3.5037707914;2.8030166331
2000-01-06;12.0;1094.0;4375.9998895;2.8030166331;2.8030166331;2.8030166331;2.8030166331;2.8030166331
2000-01-07;54.0;33345.0;129841.0;2.8030166331;2.8030166331;2.1022624748;3.5037707914;2.8030166331
2000-01-10;34.0;15370.0;61479.998447;2.8030166331;2.8030166331;2.8030166331;2.8030166331;2.8030166331
2000-01-11;35.0;10614.0;42419.0;2.8030166331;2.8030166331;2.1022624748;2.8030166331;2.8030166331
2000-01-12;15.0;2588.0;10340.0;2.8030166331;2.1022624748;2.1022624748;2.8030166331;2.8030166331
2000-01-13;43.0;4998.0;21490.0;2.8030166331;3.5037707914;2.1022624748;3.5037707914;2.8030166331
2000-01-14;26.0;4585.0;18893.0;3.5037707914;2.8030166331;2.8030166331;3.5037707914;2.8030166331
2000-01-17;22.0;1384.0;5616.0;2.8030166331;2.8030166331;2.8030166331;3.5037707914;2.8030166331
2000-01-18;35.0;9672.0;42251.0;2.8030166331;2.8030166331;2.8030166331;3.5037707914;2.8030166331
2000-01-19;23.0;1797.0;7989.0;2.8030166331;2.8030166331;2.8030166331;3.5037707914;2.8030166331
2000-01-20;21.0;7833.0;35932.0;2.8030166331;2.8030166331;2.8030166331;3.5037707914;3.5037707914
2000-01-21;16.0;1236.0;4998.0;2.8030166331;2.8030166331;2.8030166331;3.5037707914;2.8030166331
2000-01-24;11.0;1332.0;5327.9998654;2.8030166331;2.8030166331;2.8030166331;2.8030166331;2.8030166331
2000-01-26;22.0;5651.0;23105.0;2.8030166331;3.5037707914;2.8030166331;3.5037707914;2.8030166331
2000-01-27;45.0;32684.0;133636.0;2.8030166331;2.8030166331;2.8030166331;3.5037707914;2.8030166331
2000-01-28;26.0;5765.0;23100.0;2.8030166331;2.8030166331;2.8030166331;3.5037707914;2.8030166331
2000-01-31;26.0;5668.0;22669.0;2.8030166331;2.8030166331;2.1022624748;2.8030166331;2.8030166331
2000-02-01;20.0;19133.0;69594.0;2.8030166331;2.8030166331;2.1022624748;2.8030166331;2.8030166331
2000-02-02;12.0;284.0;903.0;2.8030166331;2.1022624748;2.1022624748;2.8030166331;2.1022624748
2000-02-03;23.0;8413.0;25606.0;2.8030166331;2.8030166331;2.1022624748;2.8030166331;2.1022624748
2000-02-04;28.0;4608.0;17347.0;2.1022624748;2.1022624748;2.1022624748;2.8030166331;2.8030166331
