Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2017-05-04;7435.0;10181400.0;75841892.0;6.4288852042;6.8413870535;6.2489641848;6.8896585465;6.5385931428
2017-05-05;6497.0;6513600.0;48430892.0;6.7141258447;6.2840707252;6.1655861515;6.7360674324;6.5254281902
2017-05-08;1640.0;2564400.0;19338494.0;6.5868646358;6.7185141622;6.5385931428;6.7667856552;6.6175828587
2017-05-09;1155.0;1394200.0;10422316.0;6.6921842569;6.5605347306;6.4157202516;6.6921842569;6.5605347306
2017-05-10;3589.0;5431000.0;42113183.0;6.8194454657;6.9993664851;6.5210398727;6.9993664851;6.8062805131
2017-05-11;1780.0;970600.0;7485901.0;6.7580090201;6.9335417219;6.6614660341;6.9335417219;6.7711739727
2017-05-12;1505.0;923800.0;6995724.0;6.6263594937;6.8238337833;6.5824763183;6.8238337833;6.6483010815
2017-05-15;2307.0;1761200.0;13255412.0;6.5824763183;6.6263594937;6.5473697779;6.6921842569;6.604417906
2017-05-16;2909.0;2108800.0;15824066.0;6.7360674324;6.5912529534;6.4508267919;6.7360674324;6.5868646358
2017-05-17;1605.0;2370000.0;17918846.0;6.5912529534;6.6131945411;6.5693113657;6.7404557499;6.6351361288
2017-05-18;2095.0;3029400.0;20114947.0;5.7925791601;5.5292801074;5.4853969319;6.266517455;5.8276857005
2017-05-19;2517.0;3912800.0;26797894.0;6.0558782128;5.8671805584;5.8671805584;6.1392562462;6.0119950374
2017-05-22;781.0;419200.0;2796462.0;5.9022870987;5.8189090654;5.7486959846;6.0339366251;5.8540156057
2017-05-23;693.0;741400.0;4997883.0;5.9242286865;5.9066754163;5.832074018;6.0119950374;5.9154520514
2017-05-24;1905.0;1631600.0;10847114.0;5.8364623356;5.9154520514;5.7662492548;5.9154520514;5.8364623356
2017-05-25;861.0;1320800.0;8710283.0;5.8101324303;5.7486959846;5.7311427145;5.9637235444;5.7881908425
2017-05-26;1411.0;7599000.0;51656165.0;6.1436445637;5.8408506531;5.7662492548;6.1436445637;5.9681118619
2017-05-29;920.0;863600.0;5988750.0;6.1304796111;6.1392562462;6.0119950374;6.2314109146;6.0865964356
2017-05-30;1934.0;1330200.0;9174612.0;6.0909847532;6.1875277392;5.9812768146;6.1963043743;6.0514898953
2017-05-31;1652.0;1060000.0;7289991.0;6.0514898953;6.0778198006;5.9725001795;6.0822081181;6.0339366251
2017-06-01;790.0;896800.0;6084520.0;5.9154520514;6.121702976;5.9022870987;6.121702976;5.9549469093
2017-06-02;881.0;528400.0;3565686.0;5.9242286865;5.9154520514;5.9022870987;6.0119950374;5.9242286865
2017-06-05;1380.0;1646000.0;11104277.0;5.9242286865;5.9242286865;5.9022870987;5.976888497;5.9198403689
2017-06-06;1164.0;892400.0;5988407.0;5.8627922408;5.9198403689;5.8013557952;5.9637235444;5.8891221461
2017-06-07;1400.0;1160400.0;7821705.0;5.9242286865;5.8715688759;5.8145207478;5.9944417672;5.9154520514
2017-06-08;1583.0;4309400.0;30099880.0;6.2006926918;5.9198403689;5.880345511;6.3235655831;6.1304796111
2017-06-09;931.0;463200.0;3233234.0;6.1436445637;6.1963043743;5.9900534496;6.2445758673;6.1260912936
2017-06-12;835.0;900200.0;6236190.0;6.0427132602;6.1611978339;6.0427132602;6.1611978339;6.0822081181
2017-06-13;481.0;526000.0;3631135.0;6.0295483076;6.0997613883;5.9988300847;6.0997613883;6.0602665304
2017-06-14;661.0;245400.0;1716762.0;6.1436445637;6.0953730707;6.0822081181;6.2314109146;6.1392562462
2017-06-16;982.0;1633000.0;11503655.0;6.1480328813;6.1129263409;6.1129263409;6.2314109146;6.1831394216
2017-06-19;737.0;471400.0;3280902.0;6.121702976;6.1129263409;6.0339366251;6.3191772656;6.1085380234
2017-06-20;420.0;527000.0;3633129.0;6.0514898953;6.121702976;6.0076067198;6.121702976;6.0514898953
2017-06-21;722.0;429200.0;2945095.0;6.0339366251;6.0339366251;5.9856651321;6.1787511041;6.0207716725
2017-06-22;288.0;502800.0;3462852.0;6.0558782128;6.0339366251;5.928617004;6.0778198006;6.0427132602
2017-06-23;312.0;1995000.0;13745475.0;6.0163833549;6.1392562462;5.928617004;6.1392562462;6.0471015777
2017-06-26;713.0;1462800.0;10210560.0;6.1963043743;6.0339366251;6.0163833549;6.2094693269;6.1260912936
2017-06-27;612.0;1430000.0;9991823.0;6.121702976;6.1963043743;6.0997613883;6.1963043743;6.1304796111
