Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2000-05-09;2.0;14351.360375;49500.0;;;;;
2001-01-17;1.0;1159.7058889;16000.0;;;;;
2001-05-28;1.0;3334.1544307;46000.0;;;;;
2007-08-01;1.0;144.96323612;11671.0;25.765266908;25.765266908;25.765266908;25.765266908;25.765266908
2008-06-03;1.0;125.40072328;12060.0;32.258900895;32.258900895;32.258900895;32.258900895;32.258900895
2010-05-13;3.0;335.31398279;24000.0;26.091265607;26.091265607;26.091265607;26.091265607;26.091265607
2010-05-14;1.0;111.77132759;8001.0;26.094527016;26.094527016;26.094527016;26.094527016;26.094527016
2010-05-20;1.0;111.77132759;8000.0;26.091265607;26.091265607;26.091265607;26.091265607;26.091265607
2012-07-17;1.0;106.38647002;8851.0;41.52659663;41.52659663;41.52659663;41.52659663;41.52659663
2024-12-23;17.0;9800.0;398860.0;35.017723819;35.017723819;35.017723819;35.017723819;35.017723819
2024-12-27;3.0;400.0;20000.0;44.75603627;44.75603627;44.75603627;44.75603627;44.75603627
2024-12-30;2.0;200.0;10004.0;44.773938685;44.773938685;44.773938685;44.773938685;44.773938685
2025-01-03;1.0;100.0;5009.0;44.836597136;44.836597136;44.836597136;44.836597136;44.836597136
2025-01-13;3.0;500.0;25045.0;44.836597136;44.836597136;44.836597136;44.836597136;44.836597136
2025-02-03;1.0;100.0;5300.0;47.441398447;47.441398447;47.441398447;47.441398447;47.441398447
2025-02-19;1.0;100.0;9998.0;89.494170126;89.494170126;89.494170126;89.494170126;89.494170126
2025-07-21;1.0;200.0;15600.0;70.295778668;70.295778668;70.295778668;70.295778668;70.295778668
2025-07-23;1.0;200.0;15202.0;68.502335084;68.502335084;68.502335084;68.502335084;68.502335084
2025-07-28;3.0;400.0;72000.0;162.2210277;162.2210277;162.2210277;162.2210277;162.2210277
2025-07-31;3.0;300.0;54000.0;162.2210277;162.2210277;162.2210277;162.2210277;162.2210277
2025-08-04;1.0;100.0;19395.0;174.79315734;174.79315734;174.79315734;174.79315734;174.79315734
2025-10-08;1.0;100.0;19581.0;176.4694413;176.4694413;176.4694413;176.4694413;176.4694413
2025-12-09;1.0;100.0;20700.0;207.0;207.0;207.0;207.0;207.0
2026-01-05;1.0;100.0;20700.0;207.0;207.0;207.0;207.0;207.0
2026-02-06;1.0;100.0;20723.0;207.23;207.23;207.23;207.23;207.23
2026-02-11;1.0;100.0;21000.0;210.0;210.0;210.0;210.0;210.0
2026-02-26;1.0;100.0;21200.0;212.0;212.0;212.0;212.0;212.0
2026-02-27;1.0;100.0;21499.0;214.99;214.99;214.99;214.99;214.99
2026-04-02;1.0;100.0;21499.0;214.99;214.99;214.99;214.99;214.99
