Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2021-02-04;0.0;0.0;0.0;20.828739012;20.828739012;20.828739012;20.828739012;20.828739012
2021-02-05;33922.0;13274300.0;347089123.0;26.184700472;25.787962587;24.508482904;28.098960772;25.926820847
2021-02-08;7555.0;2325700.0;58936682.0;24.915139237;26.33347718;24.796117872;26.779807301;25.133345075
2021-02-09;9736.0;2560200.0;62178599.0;26.184700472;24.796117872;22.524793475;26.184700472;24.081989677
2021-02-10;9211.0;1907900.0;46474705.0;23.615822661;25.659022774;23.506719742;25.906983952;24.151418807
2021-02-11;4990.0;1219100.0;28257648.0;22.376016767;23.65549645;22.376016767;24.14150036;22.981042043
2021-02-12;4053.0;1050700.0;22617690.0;21.374253605;22.36609832;21.136210874;22.36609832;21.344498264
2021-02-17;2719.0;764700.0;16074507.0;20.828739012;21.374253605;20.491511809;21.374253605;20.848575906
2021-02-18;853.0;280200.0;5783562.0;20.689880752;20.828739012;20.03526324;20.828739012;20.471674915
2021-02-19;1994.0;669600.0;14948550.0;22.822346889;20.689880752;20.203876842;22.822346889;22.137974036
2021-02-22;1416.0;333100.0;7517750.0;22.981042043;21.820583727;21.562704101;23.040552726;22.376016767
2021-02-23;1594.0;595200.0;13968743.0;23.605904214;23.080226515;22.653733288;24.468809116;23.268677011
2021-02-24;1322.0;686800.0;16869884.0;24.201011043;23.407535271;23.010797385;25.18293731;24.359706197
2021-02-25;1013.0;299000.0;7271844.0;24.28035862;24.201011043;23.229003222;24.786199425;24.121663466
2021-02-26;794.0;394500.0;9573167.0;23.804273157;24.290277067;22.990960491;24.508482904;24.062152783
2021-03-01;1049.0;412600.0;9876998.0;23.139737198;24.300195514;23.139737198;24.796117872;23.734844027
2021-03-02;1241.0;460100.0;10648593.0;23.79435471;23.774517815;21.909849751;23.853865393;22.951286702
2021-03-03;2437.0;689000.0;15745351.0;22.217321613;23.467045954;22.217321613;24.518401351;22.663651735
2021-03-04;3035.0;687100.0;16056978.0;23.308350799;22.614059499;21.969360434;25.04407905;23.169492539
2021-03-05;3719.0;920400.0;21045174.0;22.614059499;23.605904214;22.237158507;24.191092596;22.673570182
2021-03-08;1495.0;353500.0;7619933.0;21.165966215;21.929686646;20.372490443;22.663651735;21.374253605
2021-03-09;356.0;100400.0;2146941.0;21.225476898;21.32466137;20.551022492;21.681725467;21.205640004
2021-03-10;553.0;111100.0;2427813.0;21.67180702;21.820583727;20.918005037;22.078463353;21.67180702
2021-03-11;948.0;410100.0;8832660.0;21.622214784;21.701562361;20.808902118;21.790828386;21.354416711
2021-03-12;677.0;139200.0;3047548.0;21.473438077;21.592459443;21.106455532;22.167729377;21.711480808
2021-03-15;320.0;65300.0;1428731.0;21.622214784;22.118137142;21.523030313;22.29666919;21.691643914
2021-03-16;887.0;308500.0;6899648.0;22.812428442;22.217321613;21.74123615;22.812428442;22.177647824
2021-03-17;861.0;154700.0;3633271.0;24.220847937;22.812428442;22.316506084;24.220847937;23.288513905
2021-03-18;1238.0;258900.0;6221694.0;23.546393531;24.300195514;23.328187694;24.369624644;23.834028498
2021-03-19;1923.0;909600.0;21388510.0;23.407535271;23.496801295;22.653733288;23.93321297;23.318269247
2021-03-22;324.0;59100.0;1385592.0;23.109981856;22.911612913;22.911612913;23.496801295;23.248840116
2021-03-23;286.0;59800.0;1398144.0;23.556311978;22.802509995;22.544630369;23.556311978;23.189329434
2021-03-24;417.0;97300.0;2277228.0;22.812428442;23.268677011;22.812428442;23.804273157;23.209166328
2021-03-25;711.0;148500.0;3386981.0;22.961205149;22.663651735;22.217321613;23.109981856;22.614059499
2021-03-26;483.0;82500.0;1902050.0;23.397616824;22.514875027;22.256995402;24.022478994;22.862020678
2021-03-29;307.0;93400.0;2151679.0;22.961205149;23.010797385;22.564467263;23.248840116;22.842183783
2021-03-30;471.0;104500.0;2415693.0;22.941368255;22.812428442;22.614059499;23.229003222;22.921531361
2021-03-31;1519.0;404800.0;8945708.0;21.820583727;22.802509995;21.523030313;23.010797385;21.909849751
2021-04-01;671.0;136500.0;3050100.0;22.078463353;22.306587637;21.473438077;22.415690556;22.15781093
2021-04-05;1157.0;226300.0;4855978.0;21.175884662;21.790828386;21.146129321;22.078463353;21.275069134
2021-04-06;313.0;66300.0;1397778.0;20.689880752;21.146129321;20.689880752;21.175884662;20.908086589
2021-04-07;963.0;171900.0;3592034.0;21.275069134;20.808902118;20.283224419;21.413927394;20.719636094
