Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2006-03-08;0.0;0.0;0.0;1.4986571461;1.4986571461;1.4986571461;1.4986571461;1.4986571461
2006-03-09;2624.0;38292000.0;85455817.0;1.5923232177;1.5454901819;1.5244153158;1.5923232177;1.5679700391
2006-03-10;855.0;12025500.0;28054058.0;1.6391562535;1.5857665927;1.5829566105;1.7328223251;1.6386879232
2006-03-13;272.0;3435000.0;8152065.0;1.6578894678;1.6625727714;1.6391562535;1.6976975483;1.667256075
2006-03-14;264.0;4510500.0;10702673.0;1.6625727714;1.6485228607;1.6438395571;1.6967608876;1.6667877447
2006-03-15;263.0;3966000.0;9466479.0;1.6859892893;1.6621044411;1.6396245839;1.6906725929;1.6766226822
2006-03-16;103.0;1911000.0;4495090.0;1.622764691;1.6625727714;1.622764691;1.6766226822;1.6522695035
2006-03-17;216.0;4206000.0;9670690.0;1.6813059858;1.6232330213;1.5829566105;1.6850526286;1.6152714053
2006-03-20;363.0;2665500.0;6420181.0;1.6958242269;1.6621044411;1.6208913696;1.7098741376;1.692077584
2006-03-21;454.0;6433500.0;15766219.0;1.723455718;1.6859892893;1.6719393786;1.7421889323;1.7215823966
2006-03-22;129.0;1806000.0;4434628.0;1.7281390216;1.7000392001;1.7000392001;1.7328223251;1.7248607091
2006-03-23;100.0;762000.0;1865080.0;1.723455718;1.723455718;1.6625727714;1.7309490037;1.7192407448
2006-03-24;103.0;2862000.0;6981100.0;1.7094058072;1.710342468;1.6625727714;1.7243923787;1.7136207805
2006-03-27;95.0;3051000.0;7343150.0;1.6625727714;1.7089374769;1.6625727714;1.7094058072;1.6906725929
2006-03-28;211.0;10804500.0;24627415.0;1.6391562535;1.6621044411;1.5454901819;1.6621044411;1.6012214945
2006-03-29;119.0;5043000.0;11770823.0;1.6578894678;1.6391562535;1.6204230392;1.6813059858;1.6396245839
2006-03-30;86.0;1743000.0;4098852.0;1.685520959;1.6578894678;1.6391562535;1.685520959;1.6518011732
2006-03-31;213.0;4242000.0;10111376.0;1.6859892893;1.6438395571;1.6438395571;1.6953558965;1.6742810304
2006-04-03;194.0;3205500.0;7879142.0;1.7328223251;1.6859892893;1.6742810304;1.754833852;1.7267340305
2006-04-04;109.0;1096500.0;2681885.0;1.7187724144;1.7328223251;1.6859892893;1.7328223251;1.718304084
2006-04-05;104.0;3228000.0;7871409.0;1.7187724144;1.6934825751;1.6859892893;1.7276706912;1.7131524501
2006-04-06;45.0;195000.0;476580.0;1.723455718;1.718304084;1.7000392001;1.7262657001;1.716899093
2006-04-07;48.0;279000.0;680348.0;1.7187724144;1.7229873876;1.705190834;1.723455718;1.7131524501
2006-04-10;180.0;1813500.0;4448956.0;1.7398472805;1.7000392001;1.6976975483;1.7426572627;1.723455718
2006-04-11;271.0;2458500.0;6083036.0;1.7351639769;1.7328223251;1.723455718;1.7440622537;1.7379739591
2006-04-12;258.0;5104500.0;12621140.0;1.7328223251;1.7145574412;1.6953558965;1.7515555395;1.7370372984
2006-04-13;268.0;4138500.0;11303629.0;1.9201544684;1.8264883968;1.8030718789;1.969329156;1.9187494773
2006-04-17;173.0;2806500.0;7717484.0;1.9669875042;1.9206227988;1.9192178077;1.9669875042;1.9318627274
2006-04-18;92.0;1221000.0;3417786.0;1.9669875042;1.9674558346;1.9482542899;1.9904040221;1.9665191739
2006-04-19;74.0;1756500.0;4877970.0;1.9201544684;1.9440393167;1.9201544684;1.9646458524;1.951064272
2006-04-20;68.0;813000.0;2186551.0;1.8967379505;1.8836247005;1.8522465665;1.9201544684;1.8892446648
2006-04-24;53.0;1405500.0;3745054.0;1.8709797808;1.8967379505;1.8264883968;1.8967379505;1.8719164415
2006-04-25;94.0;271500.0;720787.0;1.8709797808;1.8405383075;1.8405383075;1.875194754;1.8648914861
2006-04-26;91.0;3267000.0;8749915.0;1.8826880398;1.8681697987;1.8269567271;1.8826880398;1.8812830487
2006-04-27;82.0;1485000.0;3964879.0;1.8733214326;1.8681697987;1.8335133522;1.8873713433;1.8756630844
2006-04-28;74.0;1198500.0;3209064.0;1.9201544684;1.886903013;1.8733214326;1.9201544684;1.8808147183
2006-05-02;169.0;6202500.0;16925540.0;2.0142888704;1.8639548254;1.8639548254;2.0142888704;1.9168761559
2006-05-03;98.0;493500.0;1365356.0;1.9576208971;1.9786957632;1.8967379505;1.9786957632;1.9435709863
