Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2007-07-20;0.0;0.0;0.0;22.057120385;22.057120385;22.057120385;22.057120385;22.057120385
2007-07-23;3224.0;4152375.0;157773035.0;22.057120385;22.057120385;21.290925677;22.173210492;22.057120385
2007-07-24;428.0;639975.0;23851053.0;22.057120385;22.057120385;21.128399527;22.2893006;21.639195999
2007-07-25;155.0;214200.0;7989893.0;22.033902364;21.824940171;21.244489634;22.057120385;21.66241402
2007-07-26;158.0;306000.0;11325247.0;21.824940171;21.151617548;20.571167012;21.824940171;21.476669849
2007-07-27;134.0;118075.0;4404924.0;22.057120385;20.919437334;20.919437334;22.057120385;21.66241402
2007-07-30;74.0;18400.0;695662.0;22.057120385;22.010684342;21.383797763;22.057120385;21.941030278
2007-07-31;267.0;101800.0;3898966.0;22.405390707;21.824940171;21.824940171;22.637570922;22.242864557
2007-08-01;134.0;63275.0;2360585.0;21.778504128;21.824940171;20.942655355;22.057120385;21.66241402
2007-08-02;76.0;112050.0;4195772.0;21.755286106;21.824940171;21.430233806;21.824940171;21.732068085
2007-08-03;56.0;30975.0;1153245.0;21.592759956;21.244489634;21.17483557;21.824940171;21.615977977
2007-08-06;100.0;52375.0;1914257.0;21.49988787;21.615977977;20.873001291;22.057120385;21.221271613
2007-08-07;97.0;55400.0;2036077.0;21.546323913;21.523105892;20.896219312;21.546323913;21.33736172
2007-08-08;134.0;125775.0;4733332.0;21.592759956;21.476669849;21.476669849;22.405390707;21.848158192
2007-08-09;73.0;325275.0;12076904.0;22.173210492;21.848158192;20.965873377;22.173210492;21.546323913
2007-08-10;41.0;81375.0;3008810.0;21.476669849;20.942655355;20.896219312;21.476669849;21.453451827
2007-08-13;26.0;3700.0;139802.0;21.987466321;21.824940171;21.523105892;22.057120385;21.941030278
2007-08-14;50.0;1257725.0;45422764.0;20.873001291;21.592759956;20.54794899;21.987466321;20.965873377
2007-08-15;85.0;463375.0;16182665.0;19.735318239;21.267707656;19.619228132;21.267707656;20.269332733
2007-08-16;143.0;259975.0;7315722.0;16.229396999;17.413516094;15.904344698;18.551199145;16.345487107
2007-08-17;160.0;138800.0;3879815.0;17.413516094;18.806597381;15.091713947;18.806597381;16.229396999
2007-08-20;101.0;97550.0;2914227.0;17.413516094;17.413516094;16.949155664;18.342236952;17.343862029
2007-08-21;53.0;172200.0;5102578.0;17.181335879;17.413516094;16.856283579;17.413516094;17.2045539
2007-08-22;18.0;10550.0;312244.0;17.181335879;17.413516094;16.833065557;17.413516094;17.181335879
2007-08-23;212.0;238250.0;6832671.0;16.600885343;17.413516094;16.252615021;17.761786415;16.647321385
2007-08-24;63.0;152325.0;4367512.0;18.342236952;16.71697545;16.252615021;18.342236952;16.647321385
2007-08-27;35.0;10325.0;323227.0;18.922687488;18.31901893;17.645696308;18.922687488;18.179710802
2007-08-28;52.0;14000.0;444675.0;18.574417166;18.806597381;17.761786415;19.503138025;18.435109038
2007-08-29;50.0;25025.0;805526.0;19.503138025;18.574417166;18.574417166;19.503138025;18.690507274
2007-08-30;12.0;4225.0;143450.0;19.712100218;19.503138025;19.503138025;19.735318239;19.712100218
2007-08-31;61.0;104400.0;3603238.0;19.735318239;19.735318239;19.596010111;20.431858883;20.037152518
2007-09-03;10.0;15275.0;519398.0;19.735318239;20.849783269;19.735318239;20.849783269;19.735318239
2007-09-04;39.0;17625.0;590430.0;19.038777596;19.967498454;19.038777596;20.431858883;19.43348396
2007-09-05;50.0;116000.0;3713705.0;18.806597381;19.038777596;18.574417166;19.387047918;18.574417166
2007-09-06;7.0;1625.0;52988.0;18.922687488;19.27095781;18.876251445;19.27095781;18.922687488
2007-09-10;4.0;1650.0;52799.0;18.574417166;18.551199145;18.551199145;18.574417166;18.574417166
2007-09-11;15.0;1875.0;60409.0;18.806597381;17.877876523;17.877876523;18.806597381;18.690507274
2007-09-12;21.0;3875.0;124016.0;18.574417166;18.249364866;18.249364866;18.690507274;18.574417166
2007-09-13;19.0;2300.0;72780.0;18.458327059;18.040402673;17.99396663;18.574417166;18.365454973
2007-09-14;30.0;7700.0;243387.0;18.458327059;18.574417166;17.785004437;18.574417166;18.342236952
2007-09-17;19.0;7475.0;229893.0;17.808222458;17.947530587;17.692132351;17.947530587;17.854658501
2007-09-18;51.0;12025.0;372471.0;18.040402673;18.31901893;17.576042244;18.31901893;17.970748609
2007-09-19;50.0;55275.0;1684944.0;17.529606201;17.66891433;17.2045539;17.785004437;17.692132351
2007-09-20;92.0;198650.0;6004354.0;17.529606201;17.924312566;17.413516094;17.924312566;17.552824222
2007-09-21;95.0;385075.0;11649256.0;17.645696308;17.83144048;17.459952136;17.83144048;17.552824222
2007-09-24;56.0;88075.0;2776060.0;18.086838716;17.645696308;17.645696308;18.342236952;18.295800909
2007-09-25;10.0;3200.0;99696.0;18.110056737;18.086838716;17.877876523;18.110056737;18.086838716
2007-09-26;38.0;22625.0;712199.0;18.458327059;18.411891016;17.99396663;18.458327059;18.272582888
2007-09-27;60.0;18225.0;572083.0;18.272582888;18.458327059;17.459952136;18.574417166;18.226146845
2007-09-28;42.0;27500.0;840855.0;17.645696308;17.877876523;17.645696308;18.063620694;17.738568394
2007-10-01;50.0;17275.0;533281.0;18.110056737;17.785004437;17.761786415;18.110056737;17.924312566
2007-10-02;36.0;23625.0;720996.0;17.645696308;17.761786415;17.576042244;18.110056737;17.715350373
2007-10-03;28.0;5300.0;158635.0;17.413516094;17.692132351;17.2045539;17.692132351;17.367080051
2007-10-04;41.0;6925.0;213569.0;17.877876523;18.086838716;17.320644008;18.086838716;17.901094544
2007-10-05;93.0;63225.0;1950302.0;17.877876523;17.99396663;17.459952136;17.99396663;17.901094544
2007-10-08;39.0;20225.0;622561.0;17.877876523;17.483170158;17.413516094;17.877876523;17.877876523
2007-10-09;97.0;207925.0;6575711.0;18.574417166;17.99396663;17.99396663;18.574417166;18.365454973
2007-10-10;16.0;2600.0;81210.0;18.202928823;18.110056737;17.901094544;18.551199145;18.133274759
2007-10-11;26.0;13600.0;420451.0;18.202928823;17.970748609;17.785004437;18.202928823;17.947530587
2007-10-15;88.0;39350.0;1192882.0;17.413516094;18.110056737;17.181335879;18.435109038;17.599260265
2007-10-16;40.0;79800.0;2354520.0;17.413516094;17.227771922;16.833065557;17.413516094;17.134899836
2007-10-17;59.0;197375.0;5921313.0;17.413516094;17.413516094;17.413516094;17.529606201;17.413516094
2007-10-18;30.0;23000.0;686476.0;17.645696308;17.2045539;17.181335879;17.645696308;17.320644008
2007-10-19;25.0;3250.0;97307.0;17.390298072;17.622478287;17.065245772;17.645696308;17.390298072
2007-10-22;26.0;9475.0;284149.0;17.413516094;17.367080051;17.065245772;17.599260265;17.413516094
2007-10-23;58.0;74075.0;2290461.0;18.110056737;17.645696308;17.645696308;18.31901893;17.947530587
2007-10-24;37.0;18525.0;577042.0;18.110056737;18.342236952;17.99396663;18.342236952;18.086838716
2007-10-25;16.0;13675.0;421717.0;17.99396663;18.226146845;17.877876523;18.458327059;17.901094544
2007-10-26;45.0;19525.0;609580.0;18.574417166;17.761786415;17.761786415;18.574417166;18.133274759
2007-10-29;27.0;2550.0;81105.0;18.504763102;18.133274759;18.133274759;18.551199145;18.458327059
2007-10-30;24.0;43875.0;1327940.0;17.877876523;18.295800909;17.459952136;18.295800909;17.576042244
2007-10-31;48.0;57175.0;1725234.0;17.645696308;17.529606201;17.413516094;18.017184651;17.506388179
2007-11-01;28.0;33450.0;1018142.0;17.877876523;17.877876523;17.529606201;17.877876523;17.66891433
2007-11-05;18.0;3575.0;107325.0;17.413516094;17.367080051;17.343862029;17.645696308;17.436734115
2007-11-06;23.0;24600.0;747612.0;17.645696308;17.877876523;17.436734115;17.877876523;17.645696308
