Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2021-07-27;0.0;0.0;0.0;66.497423181;66.497423181;66.497423181;66.497423181;66.497423181
2021-07-28;21659.0;2174971.4286;168989225.0;88.196582325;76.997016315;73.497151937;88.196582325;77.696989191
2021-07-29;20321.0;1568114.2857;146068758.0;92.466416866;89.526530789;84.066742359;99.046161897;93.096392454
2021-07-30;8446.0;403600.00001;35703852.0;90.086509089;89.736522651;82.106818307;93.936359905;88.476571475
2021-08-02;6655.0;361900.00001;30830109.0;83.646758634;92.046433141;82.946785758;92.046433141;85.116701672
2021-08-03;6108.0;699600.00001;53625920.0;75.597070564;83.996745071;75.597070564;83.996745071;76.57703259
2021-08-04;9242.0;384742.85715;28772711.0;73.917135663;74.407116676;71.887214324;79.306926805;74.757103113
2021-08-05;4922.0;223828.57143;16490830.0;74.897097689;75.037092264;70.417271285;78.466959354;73.637146513
2021-08-06;1706.0;101700.0;7653557.0;75.457075989;74.827100401;72.937173637;76.997016315;75.247084126
2021-08-09;1980.0;128442.85714;9794235.0;75.597070564;76.57703259;74.267122101;78.326964779;76.227046152
2021-08-10;2932.0;112185.71428;8533199.0;75.947057002;76.367040727;74.197124813;77.696989191;76.01705429
2021-08-11;4262.0;380271.42858;28792530.0;79.376924092;75.737065139;73.7071438;79.376924092;75.807062427
2021-08-12;7288.0;420828.57144;34802024.0;83.996745071;79.376924092;77.696989191;86.656641999;82.666796608
2021-08-13;6095.0;646900.00001;49739320.0;76.927019028;82.59679932;75.037092264;82.736793895;76.85702174
2021-08-16;11692.0;841685.7143;56317884.0;63.137553379;76.29704344;62.787566941;76.787024453;66.847409619
2021-08-17;17166.0;1481328.5715;81470302.0;53.197938545;61.107632039;50.888028056;61.107632039;54.947870734
2021-08-18;6586.0;499285.7143;27542607.0;55.297857172;54.107903283;51.518003644;59.427697138;55.157862597
2021-08-19;4923.0;217957.14286;11570771.0;54.247897859;53.197938545;51.588000931;54.387892434;53.05794397
2021-08-20;4998.0;277714.28572;15906441.0;58.5177324;53.897911421;52.847952107;59.287702563;57.257781224
2021-08-23;5697.0;345171.42858;21234609.0;63.697531679;59.0777107;59.0777107;64.53749913;61.457618477
2021-08-24;4463.0;333471.42858;21270371.0;63.277547954;66.077439456;61.597613052;66.777412332;63.767528967
2021-08-25;2834.0;174600.0;11287670.0;67.057401482;64.327507267;62.297585928;67.057401482;64.747490993
2021-08-26;4741.0;236471.42858;15961547.0;65.517461156;66.427425894;64.747490993;70.137282135;67.477385207
2021-08-27;3149.0;254757.14286;16815512.0;66.497423181;66.427425894;64.81748828;67.40738792;65.937444881
2021-08-30;2950.0;120314.28571;7856021.0;66.497423181;66.287431319;63.627534392;66.847409619;65.307469293
2021-08-31;4023.0;173800.0;11067650.0;62.367583215;66.567420469;62.297585928;66.567420469;63.627534392
2021-09-01;3630.0;157342.85715;9693279.0;60.687648314;63.767528967;59.637689001;65.307469293;61.527615765
2021-09-02;4368.0;195100.0;11195682.0;55.36785446;61.527615765;55.157862597;62.087594065;57.327778511
2021-09-03;2373.0;130742.85714;7197349.0;56.067827335;56.277819198;53.687919558;57.397775799;55.017868022
2021-09-06;1196.0;70371.428573;3995381.0;57.887756812;56.137824623;54.877873447;57.887756812;56.767800211
2021-09-08;3071.0;165657.14286;8917637.0;53.127941258;57.327778511;52.287973807;57.327778511;53.757916846
