Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2021-07-08;0.0;0.0;0.0;11.683315957;11.683315957;11.683315957;11.683315957;11.683315957
2021-07-12;41175.0;26228300.0;322286880.0;11.540254945;12.017124984;11.444880937;12.350934011;11.711928159
2021-07-13;9246.0;5188700.0;62933885.0;11.587941949;11.540254945;11.444880937;11.807302167;11.559329747
2021-07-14;5702.0;5260700.0;63220890.0;11.444880937;11.635628953;11.368581731;11.673778556;11.454418338
2021-07-15;3933.0;4045000.0;48347849.0;11.378119132;11.444880937;11.330432128;11.578404548;11.397193933
2021-07-16;3320.0;1851700.0;21811543.0;11.301819925;11.444880937;11.091997108;11.473493139;11.225520719
2021-07-19;4064.0;2171300.0;24966749.0;10.968010898;11.254132922;10.882174291;11.254132922;10.958473497
2021-07-20;6074.0;2750600.0;31804759.0;11.254132922;10.882174291;10.681888875;11.254132922;11.025235303
2021-07-21;3005.0;1621000.0;19121412.0;11.263670322;11.130146711;11.025235303;11.425806136;11.244595521
2021-07-22;2381.0;1208700.0;14301225.0;11.244595521;11.244595521;11.177833715;11.387656532;11.282745124
2021-07-23;3569.0;1674600.0;19589913.0;11.063384906;11.244595521;11.015697902;11.521180143;11.149221513
2021-07-26;2385.0;1968600.0;22579712.0;10.87263689;11.120609311;10.586514867;11.349506929;10.929861295
2021-07-27;6558.0;1846300.0;20623198.0;10.634201871;10.87263689;10.452991256;11.091997108;10.643739272
2021-07-28;2664.0;1383400.0;15599364.0;10.74865068;10.653276672;10.491140859;11.025235303;10.74865068
2021-07-29;2154.0;887200.0;10036732.0;10.87263689;10.74865068;10.634201871;10.920323894;10.786800283
2021-07-30;3709.0;2339200.0;25883992.0;10.777262882;10.681888875;10.271780641;10.87263689;10.548365264
2021-08-02;2662.0;1024600.0;11485604.0;10.672351474;10.729575879;10.586514867;10.87263689;10.691426275
2021-08-03;1725.0;1353700.0;14912854.0;10.491140859;10.662814073;10.348079847;10.672351474;10.50067826
2021-08-04;2709.0;1400800.0;15458559.0;10.491140859;10.50067826;10.443453855;10.700963676;10.519753061
2021-08-05;729.0;881000.0;9717782.0;10.491140859;10.519753061;10.414841653;10.681888875;10.510215661
2021-08-06;1183.0;978700.0;10957377.0;10.777262882;10.491140859;10.481603458;11.063384906;10.672351474
2021-08-09;2188.0;1175300.0;13866646.0;11.416268735;10.863099489;10.863099489;11.425806136;11.244595521
2021-08-10;4580.0;2358200.0;28276356.0;11.158758914;11.416268735;11.158758914;11.664241155;11.425806136
2021-08-11;2144.0;1065800.0;12327386.0;10.968010898;11.206445918;10.786800283;11.540254945;11.025235303
2021-08-12;2017.0;740300.0;8431533.0;10.767725482;11.044310104;10.634201871;11.187371116;10.853562089
2021-08-13;1650.0;887500.0;10183816.0;11.130146711;10.844024688;10.681888875;11.158758914;10.939398696
2021-08-16;6356.0;2089400.0;22969578.0;10.491140859;11.168296314;10.119182229;11.378119132;10.481603458
2021-08-17;6101.0;3185400.0;32810752.0;9.9570464157;10.481603458;9.4515641743;10.605589668;9.8235228048
2021-08-18;4393.0;1301300.0;13388332.0;9.7090739954;9.9665838165;9.6423121899;10.004733419;9.8044480032
2021-08-19;3677.0;2804600.0;28266593.0;9.7281487969;9.4420267735;9.1940543532;9.9093594118;9.6041625868
2021-08-20;3570.0;1307500.0;13674413.0;9.9665838165;9.6518495907;9.5850877852;10.13825703;9.9665838165
2021-08-23;4443.0;1394500.0;14181639.0;9.680461793;10.01427082;9.4420267735;10.166869232;9.6899991938
2021-08-24;1902.0;878700.0;9064152.0;9.7758358009;9.7662984001;9.6899991938;9.9761212173;9.8330602056
2021-08-25;2478.0;756700.0;7769193.0;9.813985404;9.7567609993;9.680461793;9.8616724079;9.7853732016
