Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2004-09-03;1.0;100.0;710.0;1.2884829021;1.2884829021;1.2884829021;1.2884829021;1.2884829021
2004-12-28;1.0;100.0;750.0;1.3610734882;1.3610734882;1.3610734882;1.3610734882;1.3610734882
2005-03-28;1.0;100.0;800.0;1.4518117207;1.4518117207;1.4518117207;1.4518117207;1.4518117207
2005-03-29;1.0;200.0;1500.0;1.3610734882;1.3610734882;1.3610734882;1.3610734882;1.3610734882
2005-06-07;1.0;100.0;740.0;1.3429389129;1.3429389129;1.3429389129;1.3429389129;1.3429389129
2005-09-05;1.0;100.0;740.0;1.3429389129;1.3429389129;1.3429389129;1.3429389129;1.3429389129
2005-09-09;1.0;100.0;740.0;1.3429389129;1.3429389129;1.3429389129;1.3429389129;1.3429389129
2007-04-05;1.0;100.0;740.0;1.3429389129;1.3429389129;1.3429389129;1.3429389129;1.3429389129
2007-05-22;1.0;100.0;1100.0;1.9962605463;1.9962605463;1.9962605463;1.9962605463;1.9962605463
2007-08-22;1.0;900.0;19800.0;3.9925210925;3.9925210925;3.9925210925;3.9925210925;3.9925210925
2009-07-21;6.0;1300.0;3900.0;3.0;3.0;3.0;3.0;3.0
2009-07-24;2.0;200.0;700.0;3.5;3.5;3.5;3.5;3.5
2009-07-27;2.0;200.0;860.0;4.3;4.3;4.3;4.3;4.3
2009-07-28;1.0;100.0;420.0;4.2;4.2;4.2;4.2;4.2
2009-08-24;1.0;100.0;420.0;4.2;4.2;4.2;4.2;4.2
2009-09-25;1.0;100.0;490.0;4.9;4.9;4.9;4.9;4.9
2009-09-28;5.0;500.0;6030.0;14.9;5.0;5.0;15.5;12.1
2009-09-29;2.0;200.0;3790.0;19.0;18.9;18.9;19.0;19.0
2009-09-30;8.0;900.0;12240.0;12.0;19.2;12.0;19.2;13.6
2009-10-01;7.0;900.0;13850.0;15.0;15.0;15.0;17.0;15.4
2009-10-02;1.0;100.0;1450.0;14.5;14.5;14.5;14.5;14.5
2009-10-05;2.0;200.0;2500.0;12.1;12.9;12.1;12.9;12.5
2009-10-06;7.0;900.0;10120.0;10.1;12.5;10.0;12.5;11.2
2009-10-07;6.0;800.0;8210.0;10.1;10.1;10.1;11.4;10.3
2009-10-23;2.0;500.0;3900.0;7.8;7.8;7.8;7.8;7.8
2009-10-30;1.0;100.0;790.0;7.9;7.9;7.9;7.9;7.9
2010-02-08;1.0;100.0;720.0;7.2;7.2;7.2;7.2;7.2
2010-03-02;1.0;100.0;770.0;7.7;7.7;7.7;7.7;7.7
2010-03-19;5.0;600.0;6590.0;11.0;10.9;10.9;11.0;11.0
2010-03-22;6.0;900.0;11170.0;13.4;11.0;11.0;14.0;12.4
2010-03-23;7.0;700.0;9730.0;16.0;13.1;13.0;16.0;13.9
2010-03-24;4.0;500.0;8080.0;16.0;16.0;16.0;16.8;16.2
2010-03-25;32.0;4200.0;74130.0;14.0;17.3;14.0;21.9;17.7
2010-03-26;3.0;600.0;8450.0;14.5;14.0;14.0;14.5;14.1
2010-03-29;2.0;200.0;2910.0;14.5;14.6;14.5;14.6;14.6
2010-03-30;1.0;100.0;1790.0;17.9;17.9;17.9;17.9;17.9
2010-03-31;4.0;400.0;5340.0;13.3;13.1;13.1;13.9;13.4
2010-04-14;1.0;100.0;1390.0;13.9;13.9;13.9;13.9;13.9
2010-04-22;1.0;100.0;1230.0;12.3;12.3;12.3;12.3;12.3
2010-04-29;1.0;100.0;1030.0;10.3;10.3;10.3;10.3;10.3
