Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2012-04-26;0.0;0.0;0.0;7.6585145652;7.6585145652;7.6585145652;7.6585145652;7.6585145652
2012-04-27;1872.0;2354900.0;35366069.0;8.4024845515;8.2055513198;7.986736618;8.4079549191;8.2164920549
2012-04-30;220.0;214800.0;3333763.0;8.637710356;8.5337733726;8.22743279;8.7361769718;8.4900104322
2012-05-02;233.0;530200.0;8513679.0;8.9987546141;8.5611252103;8.4845400647;8.9987546141;8.7854102798
2012-05-03;184.0;1255200.0;20429321.0;8.8893472631;8.9932842465;8.8401139552;9.2339804186;8.9057583658
2012-05-04;300.0;266800.0;4311418.0;8.8619954254;8.9659324088;8.8018213824;8.9659324088;8.8401139552
2012-05-07;84.0;43200.0;699541.0;8.8565250579;8.8565250579;8.8127621175;9.1245730676;8.8565250579
2012-05-08;181.0;250400.0;3998838.0;8.7525880745;8.8346435877;8.6431807235;9.0206360843;8.7361769718
2012-05-09;166.0;92200.0;1441046.0;8.5064215349;8.8565250579;8.4954807998;8.8565250579;8.5501844753
2012-05-10;369.0;582900.0;9042786.0;8.4790696971;8.5118919024;8.3204290383;8.6924140315;8.4845400647
2012-05-11;253.0;140000.0;2208824.0;8.6869436639;8.5283030051;8.5064215349;8.80729175;8.6322399885
2012-05-14;39.0;69600.0;1102614.0;8.6705325613;8.6650621937;8.5337733726;8.6705325613;8.6650621937
2012-05-15;344.0;202400.0;3130069.0;8.4790696971;8.7252362367;8.1563180119;8.7252362367;8.457188227
2012-05-16;90.0;246200.0;3815226.0;8.4790696971;8.7252362367;8.3696623462;8.7252362367;8.4790696971
2012-05-17;29.0;31700.0;487841.0;8.4024845515;8.5720659454;8.1617883795;8.6431807235;8.4188956541
2012-05-18;164.0;85400.0;1320510.0;8.5884770481;8.6486510911;8.2329031576;8.7361769718;8.457188227
2012-05-21;37.0;72700.0;1148681.0;8.7252362367;8.5994177832;8.4790696971;8.8291732201;8.6431807235
2012-05-22;47.0;55800.0;862225.0;8.4243660217;8.4681289621;8.4243660217;8.7471177069;8.4517178594
2012-05-23;74.0;134000.0;2046248.0;8.3423105085;8.4243660217;8.3423105085;8.7635288096;8.3532512436
2012-05-24;87.0;124600.0;1911724.0;8.3423105085;8.5884770481;8.3149586708;8.7361769718;8.3915438164
2012-05-25;86.0;203500.0;3155415.0;8.7471177069;8.5884770481;8.3641919787;8.7471177069;8.4845400647
2012-05-28;220.0;68400.0;1091611.0;8.7525880745;8.7689991771;8.5720659454;9.0042249816;8.7307066043
2012-05-29;80.0;335500.0;5273221.0;8.6103585183;8.7525880745;8.4681289621;8.7525880745;8.5994177832
2012-05-30;92.0;1137200.0;17420093.0;8.4790696971;8.7471177069;8.3587216111;8.7471177069;8.3806030813
2012-05-31;137.0;154500.0;2409312.0;8.7525880745;8.7307066043;8.3751327138;8.7525880745;8.5283030051
2012-06-01;50.0;173100.0;2771540.0;9.0261064518;8.7361769718;8.5337733726;9.0261064518;8.758058442
2012-06-04;66.0;68400.0;1098445.0;8.9987546141;8.7799399122;8.7416473394;9.0206360843;8.7854102798
2012-06-05;96.0;43000.0;695432.0;8.9166991009;8.758058442;8.7525880745;8.9823435114;8.8455843228
2012-06-06;119.0;101900.0;1664178.0;9.0042249816;9.0151657167;8.8346435877;9.0261064518;8.9331102035
2012-06-08;89.0;235200.0;3812898.0;8.8619954254;9.228510051;8.8619954254;9.228510051;8.867465793
2012-06-11;41.0;85900.0;1410243.0;8.9385805711;9.0643990246;8.8619954254;9.0643990246;8.9823435114
2012-06-12;33.0;43500.0;709016.0;8.9549916737;8.9932842465;8.8291732201;8.9932842465;8.9166991009
2012-06-13;326.0;80500.0;1313762.0;8.9166991009;8.9549916737;8.8291732201;8.9604620413;8.927639836
2012-06-14;38.0;13500.0;221115.0;8.9604620413;9.047987922;8.8948176307;9.047987922;8.9604620413
2012-06-15;41.0;89100.0;1450995.0;8.9166991009;9.1026915975;8.8510546903;9.1026915975;8.9112287333
2012-06-18;80.0;105100.0;1701634.0;8.7525880745;9.1902174782;8.7525880745;9.1902174782;8.8565250579
2012-06-19;162.0;213200.0;3470792.0;9.0206360843;8.9112287333;8.7854102798;9.0206360843;8.9057583658
2012-06-20;54.0;95300.0;1563037.0;9.0261064518;8.9440509386;8.867465793;9.0261064518;8.9714027763
2012-06-21;44.0;43100.0;706740.0;9.0261064518;9.1191027001;8.9331102035;9.1191027001;8.9714027763
2012-06-22;49.0;126200.0;2077120.0;9.0261064518;9.1191027001;8.8565250579;9.1191027001;9.0042249816
2012-06-25;41.0;138600.0;2252269.0;9.0206360843;9.1573952729;8.8565250579;9.1573952729;8.8893472631
2012-06-26;75.0;173500.0;2780861.0;8.7361769718;9.1847471107;8.637710356;9.1847471107;8.7689991771
2012-06-27;42.0;20100.0;322104.0;8.7525880745;8.9932842465;8.7525880745;8.9932842465;8.7689991771
2012-06-28;21.0;11100.0;177413.0;8.7416473394;8.9768731439;8.6705325613;8.9768731439;8.7416473394
2012-06-29;207.0;192600.0;3073587.0;8.7525880745;8.9112287333;8.6322399885;8.9112287333;8.7307066043
2012-07-02;80.0;64300.0;1031200.0;8.6924140315;8.9987546141;8.6541214586;8.9987546141;8.7744695447
2012-07-03;89.0;309200.0;4899117.0;8.7525880745;8.697884399;8.4900104322;8.927639836;8.6650621937
2012-07-04;199.0;450900.0;7149594.0;8.7799399122;8.7033547666;8.4845400647;8.7799399122;8.6760029288
2012-07-05;41.0;13900.0;224402.0;8.8346435877;9.0042249816;8.7744695447;9.0042249816;8.8291732201
2012-07-06;261.0;56200.0;902734.0;8.7799399122;8.8729361605;8.6814732964;8.9549916737;8.7854102798
2012-07-10;164.0;28800.0;451821.0;8.4845400647;8.9768731439;8.4845400647;8.9768731439;8.5830066805
2012-07-11;69.0;21200.0;332896.0;8.6705325613;8.6212992534;8.3258994059;8.8401139552;8.5884770481
2012-07-12;78.0;220500.0;3418911.0;8.4790696971;8.8510546903;8.4735993296;8.8510546903;8.4845400647
2012-07-13;22.0;30900.0;479056.0;8.4790696971;8.7307066043;8.4462474919;8.7307066043;8.4790696971
2012-07-16;62.0;65200.0;1009982.0;8.4790696971;8.6869436639;8.4243660217;8.6869436639;8.4735993296
2012-07-17;76.0;93400.0;1452434.0;8.4243660217;8.7307066043;8.4134252866;8.7307066043;8.5064215349
2012-07-18;70.0;246400.0;3762728.0;8.4243660217;8.5994177832;8.3149586708;8.5994177832;8.3532512436
2012-07-19;132.0;91400.0;1412151.0;8.4243660217;8.4845400647;8.3696623462;8.4845400647;8.4517178594
2012-07-20;21.0;48200.0;742042.0;8.4243660217;8.6705325613;8.3696623462;8.6705325613;8.4243660217
2012-07-23;97.0;21800.0;335427.0;8.3915438164;8.6103585183;8.3696623462;8.6158288858;8.4188956541
2012-07-24;158.0;140700.0;2137620.0;8.3149586708;8.5611252103;8.287606833;8.5611252103;8.3094883032
2012-07-25;81.0;189700.0;2853345.0;8.2055513198;8.4735993296;8.1234958066;8.4735993296;8.22743279
2012-07-26;53.0;34600.0;513177.0;8.0961439689;8.4298363892;8.0359699259;8.4298363892;8.1125550715
2012-07-27;200.0;290700.0;4388019.0;8.2602549953;8.2438438926;7.986736618;8.4298363892;8.2547846277
2012-07-30;45.0;320900.0;4814008.0;8.22743279;8.1946105847;8.1836698496;8.3149586708;8.2055513198
2012-07-31;99.0;156800.0;2372832.0;8.2821364655;8.3094883032;8.1399069093;8.3368401409;8.2766660979
2012-08-01;49.0;90000.0;1354650.0;8.3094883032;8.287606833;8.1344365417;8.3860734489;8.2329031576
2012-08-02;34.0;23000.0;348463.0;8.3149586708;8.3094883032;8.2329031576;8.3149586708;8.287606833
2012-08-03;72.0;220700.0;3347321.0;8.287606833;8.3641919787;8.2055513198;8.3806030813;8.2985475681
2012-08-06;133.0;94600.0;1424298.0;8.2055513198;8.3915438164;8.1946105847;8.3915438164;8.2383735251
2012-08-07;359.0;388700.0;5355665.0;7.3849961878;8.2000809523;7.3849961878;8.2055513198;7.5381664791
2012-08-08;1140.0;2965500.0;35066781.0;6.2362190031;7.4178183931;6.0174043012;7.5436368467;6.46597444
2012-08-09;685.0;1777400.0;18872063.0;5.7438859239;6.4112707646;5.6344785729;6.4112707646;5.8095303344
2012-08-10;209.0;471600.0;4893556.0;5.6071267352;5.6673007782;5.6071267352;5.7985895993;5.6782415133
2012-08-13;207.0;689700.0;7063534.0;5.8259414371;5.6837118809;5.525071222;5.8259414371;5.6016563677
2012-08-14;324.0;416700.0;4624088.0;6.0338154038;5.9079969503;5.7657673941;6.2690412083;6.0721079767
2012-08-15;449.0;216300.0;2376893.0;6.2143375329;6.1213412846;5.7165340861;6.2581004733;6.0119339337
2012-08-16;372.0;345800.0;3891830.0;6.1541634899;6.2033967978;6.0994598144;6.2963930461;6.1541634899
2012-08-17;296.0;352300.0;3997368.0;6.3401559865;6.2635708408;6.1268116521;6.4112707646;6.2088671653
2012-08-20;261.0;124100.0;1452174.0;6.4933262777;6.3182745163;6.1924560627;6.4987966453;6.4003300295
2012-08-21;386.0;165700.0;1922491.0;6.2909226785;6.5589706883;6.2909226785;6.6683780392;6.345626354
2012-08-22;528.0;138100.0;1609213.0;6.4167411321;6.3620374566;6.2362190031;6.526148483;6.3729781917
2012-08-23;316.0;321800.0;3656925.0;6.1541634899;6.3346856189;6.1541634899;6.3346856189;6.2143375329
2012-08-24;233.0;69200.0;787537.0;6.3893892944;6.2088671653;6.0666376091;6.4003300295;6.225278268
2012-08-27;256.0;89500.0;1024104.0;6.2198079004;6.4550337049;6.2198079004;6.4550337049;6.2581004733
2012-08-28;311.0;168600.0;1941678.0;6.2909226785;6.3018634136;6.1924560627;6.3565670891;6.3018634136
2012-08-29;124.0;458700.0;5201628.0;6.2362190031;6.3948596619;6.1377523872;6.3948596619;6.2033967978
2012-08-30;84.0;384000.0;4366974.0;6.1541634899;6.2307486355;6.1377523872;6.285452311;6.2198079004
2012-08-31;260.0;125200.0;1406730.0;6.1268116521;6.2799819434;6.0994598144;6.2799819434;6.1486931223
2012-09-03;277.0;262100.0;2878106.0;5.9627006257;6.2198079004;5.9627006257;6.2198079004;6.0064635661
2012-09-04;137.0;101100.0;1105049.0;5.9572302582;6.0119339337;5.9462895231;6.0174043012;5.9791117284
2012-09-05;72.0;23200.0;254699.0;6.0174043012;6.0885190793;5.9572302582;6.0885190793;6.0064635661
2012-09-06;142.0;317900.0;3444920.0;5.875174745;6.0666376091;5.8423525397;6.0666376091;5.9298784205
2012-09-10;745.0;280700.0;2994073.0;5.9025265827;6.0228746687;5.6782415133;6.0228746687;5.8368821722
2012-09-11;253.0;388700.0;4213297.0;5.8806451125;5.9736413608;5.8095303344;6.055696874;5.9298784205
2012-09-12;96.0;132800.0;1421920.0;5.7712377616;5.9791117284;5.7712377616;5.9900524635;5.8587636424
2012-09-13;111.0;182000.0;1960865.0;5.935348788;5.8204710695;5.7876488643;5.935348788;5.8915858476
2012-09-14;451.0;716200.0;7188298.0;5.4430157088;5.9298784205;5.3883120334;5.9298784205;5.4922490167
2012-09-17;250.0;99900.0;1001505.0;5.4156638711;5.4977193843;5.4156638711;5.5633637948;5.4867786492
2012-09-18;286.0;782400.0;7900120.0;5.4977193843;5.464897179;5.4320749737;5.5743045299;5.525071222
2012-09-19;469.0;271300.0;2810528.0;5.6891822484;5.5633637948;5.5414823247;5.8259414371;5.6673007782
2012-09-20;313.0;457500.0;4798248.0;5.7876488643;5.6837118809;5.645419308;5.8040599669;5.7384155563
2012-09-21;186.0;108600.0;1142310.0;5.7165340861;5.7438859239;5.7165340861;5.7985895993;5.754826659
2012-09-24;62.0;44400.0;468203.0;5.7712377616;5.7001229835;5.7001229835;5.8259414371;5.7712377616
2012-09-25;454.0;309900.0;3286860.0;5.8532932748;5.7493562914;5.6125971028;6.2362190031;5.8040599669
2012-09-26;297.0;306300.0;3342482.0;5.8806451125;5.8970562152;5.8697043774;6.0721079767;5.9681709933
2012-09-27;227.0;323000.0;3550757.0;6.0174043012;5.9025265827;5.8970562152;6.0283450363;6.0119339337
2012-09-28;135.0;103800.0;1139592.0;6.0447561389;6.0392857714;5.8806451125;6.0885190793;6.0064635661
2012-10-01;92.0;81100.0;907501.0;6.1979264302;5.9736413608;5.9736413608;6.2362190031;6.1213412846
2012-10-02;71.0;162500.0;1849450.0;6.2362190031;6.1815153276;6.1541634899;6.345626354;6.225278268
2012-10-03;64.0;44900.0;504711.0;6.1268116521;6.1815153276;6.1268116521;6.225278268;6.1486931223
2012-10-04;154.0;70900.0;799675.0;6.0721079767;6.2033967978;6.0721079767;6.2635708408;6.1705745925
2012-10-05;98.0;56800.0;630528.0;6.0939894469;6.1268116521;6.0283450363;6.1979264302;6.0721079767
2012-10-08;105.0;522900.0;5749490.0;6.0666376091;6.0228746687;5.9408191556;6.0666376091;6.0174043012
2012-10-09;455.0;217600.0;2351139.0;5.9517598906;6.104930182;5.7767081292;6.104930182;5.9079969503
2012-10-10;721.0;169300.0;1773970.0;5.6344785729;5.9079969503;5.6344785729;5.9079969503;5.7329451888
2012-10-11;447.0;220200.0;2217348.0;5.3992527684;5.6563600431;5.3992527684;5.7274748212;5.5086601194
2012-10-15;237.0;84000.0;837172.0;5.4703675465;5.4703675465;5.404723136;5.4758379141;5.4539564439
2012-10-16;445.0;130600.0;1302341.0;5.4156638711;5.4703675465;5.4156638711;5.4867786492;5.4539564439
2012-10-17;201.0;64800.0;647824.0;5.4703675465;5.4977193843;5.4430157088;5.5196008545;5.4703675465
2012-10-18;626.0;342200.0;3255949.0;5.1476158613;5.4977193843;4.9889752025;5.4977193843;5.2023195368
2012-10-19;188.0;55500.0;530467.0;5.3336083579;5.1476158613;5.1366751262;5.3336083579;5.2296713745
2012-10-22;258.0;125600.0;1230572.0;5.3609601956;5.4101935035;5.1913788017;5.4101935035;5.3609601956
2012-10-23;141.0;140100.0;1373141.0;5.3609601956;5.4156638711;5.3336083579;5.4156638711;5.3609601956
2012-10-24;207.0;47400.0;465438.0;5.4101935035;5.3937824009;5.3062565202;5.4101935035;5.3719009307
2012-10-25;289.0;172200.0;1720663.0;5.525071222;5.4266046062;5.3937824009;5.5797748975;5.464897179
2012-10-26;480.0;730500.0;7300490.0;5.4211342386;5.525071222;5.3062565202;5.6290082054;5.464897179
