Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2021-01-28;0.0;0.0;0.0;5.3161884296;5.3161884296;5.3161884296;5.3161884296;5.3161884296
2021-01-29;22096.0;34438000.0;271260961.0;6.3487557976;6.5430011441;6.1381529483;6.6636377277;6.4407667512
2021-02-01;4904.0;5338800.0;43876642.0;6.7474699299;6.5430011441;6.4653030055;6.9130896463;6.7208889877
2021-02-02;5931.0;4686800.0;39357465.0;6.6656824156;6.9090002706;6.6656824156;7.0868881142;6.8681065135
2021-02-03;4514.0;3913200.0;31811643.0;6.7270230513;6.7720061841;6.4837051962;6.8374361956;6.6472802248
2021-02-04;2853.0;3601200.0;29551032.0;6.7065761727;6.7392911784;6.6288780341;6.8292574442;6.7106655484
2021-02-05;3758.0;4343600.0;35278473.0;6.645235537;6.6943080456;6.5245989534;6.7290677391;6.6411461613
2021-02-08;3627.0;3120000.0;26976614.0;7.0235027906;6.6759058548;6.6493249127;7.420172235;7.0705306114
2021-02-09;1752.0;1356000.0;11518263.0;6.9335365249;7.0766646749;6.7720061841;7.1748096921;6.945804652
2021-02-10;3544.0;3464400.0;28325814.0;6.7474699299;6.9928324728;6.573671462;6.9928324728;6.6861292941
2021-02-11;1123.0;1632800.0;13398480.0;6.7822296234;6.6779505427;6.6718164791;6.874240577;6.7106655484
2021-02-12;813.0;641200.0;5375952.0;6.845614947;6.7679168084;6.7331571149;7.0071452878;6.8558383863
2021-02-17;1815.0;2578000.0;22122174.0;7.0848434264;6.931491837;6.9274024613;7.1952565707;7.0173687271
2021-02-18;1529.0;980400.0;8502934.0;7.0337262299;7.0971115535;6.9519387156;7.1870778192;7.0930221778
2021-02-19;1904.0;1968800.0;17475466.0;7.2586418942;6.9723855942;6.9560280913;7.3976806686;7.2586418942
2021-02-22;1856.0;1337200.0;11596431.0;7.1155137442;6.8701512013;6.8660618256;7.5224066279;7.0909774899
2021-02-23;2256.0;1683200.0;14755747.0;7.1155137442;7.1175584321;7.0541731085;7.2852228364;7.1686756285
2021-02-24;2068.0;1426000.0;12400196.0;7.1359606228;7.2565972064;6.9233130856;7.3588315993;7.1114243685
2021-02-25;2181.0;1248000.0;10730582.0;6.9703409063;7.1686756285;6.7638274327;7.2075246978;7.0316815421
2021-02-26;2953.0;1840800.0;15607154.0;7.0541731085;6.9703409063;6.6554589763;7.2852228364;6.9335365249
2021-03-01;1975.0;1331600.0;11300995.0;6.8190340049;7.0603071721;6.8190340049;7.1973012585;6.9396705885
2021-03-02;1616.0;1157600.0;9524007.0;6.9907877849;6.8210786927;6.5430011441;6.9907877849;6.7270230513
2021-03-03;1617.0;1400400.0;11636557.0;6.9008215192;6.9233130856;6.716799612;6.9233130856;6.7944977506
2021-03-04;894.0;747600.0;6367535.0;6.9519387156;6.931491837;6.7842743113;7.0337262299;6.9642068428
2021-03-05;1378.0;1292400.0;10905424.0;6.8333468199;6.931491837;6.831302132;6.9928324728;6.9008215192
2021-03-08;913.0;1002000.0;8088716.0;6.4796158205;6.8333468199;6.4796158205;6.8333468199;6.602297092
2021-03-09;2664.0;2480400.0;19119391.0;6.2567448441;6.5777608377;6.2015382719;6.6411461613;6.3037726648
2021-03-10;1412.0;1274000.0;9505993.0;6.0890804397;6.4141858091;5.9643544804;6.4203198727;6.1013485669
2021-03-11;2814.0;2200800.0;16947162.0;6.4959733234;6.1238401333;6.0522760583;6.4959733234;6.2976386012
2021-03-12;4528.0;3219600.0;24984013.0;6.5205095777;6.4734817569;6.2874151619;6.716799612;6.3446664219
