Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2007-06-05;0.0;0.0;0.0;53195.698124;53195.698124;53195.698124;53195.698124;53195.698124
2007-06-06;4765.0;984.52;173229177.0;53378.083374;53378.083374;52922.120247;54411.599795;53499.673541
2007-06-08;1249.0;217.92;38525576.0;56235.452302;52739.734997;51827.808743;56235.452302;53742.853876
2007-06-11;734.0;136.81;25913507.0;58059.304809;56174.657218;55323.526048;58515.267936;57572.944141
2007-06-12;337.0;104.03;19854331.0;57451.353973;57147.378556;56873.800679;58515.267936;58028.907267
2007-06-13;326.0;34.77;6585248.0;58059.304809;56782.608054;56539.42772;58211.292518;57572.944141
2007-06-14;137.0;16.23;3028194.0;56083.464593;56843.403138;56083.464593;58028.907267;56721.812971
2007-06-15;311.0;79.73;14343973.0;53803.648959;55931.476884;53530.071083;56235.452302;54685.177671
2007-06-18;112.0;19.77;3489222.0;53803.648959;54138.021919;52587.747288;54715.575213;53651.66125
2007-06-19;132.0;113.3;19958253.0;52435.759579;53499.673541;52435.759579;54411.599795;53560.468625
2007-06-20;134.0;92.59;16252254.0;53195.698124;52891.722706;52587.747288;54046.829293;53347.685832
2007-06-21;93.0;42.51;7403078.0;52861.325164;52891.722706;52587.747288;53347.685832;52922.120247
2007-06-22;186.0;46.01;8156288.0;54563.587504;52739.734997;52587.747288;54654.780129;53894.841585
2007-06-25;254.0;52.49;9681350.0;56235.452302;53499.673541;53499.673541;56843.403138;56053.067051
2007-06-26;154.0;29.3;5504728.0;56843.403138;55931.476884;55931.476884;57451.353973;57116.981014
2007-06-27;87.0;54.45;9959576.0;55597.103925;55931.476884;55171.538339;56235.452302;55597.103925
2007-06-28;100.0;57.03;10676425.0;56843.403138;55475.513757;55475.513757;57512.149057;56904.198221
2007-06-29;275.0;51.94;9853899.0;58363.280227;56235.452302;56235.452302;59244.808939;57664.136766
2007-07-02;285.0;157.05;30802532.0;61707.009823;58332.882685;57755.329391;62314.960659;59609.57944
2007-07-03;238.0;50.72;10382266.0;63804.440206;61403.034405;60643.095861;63834.837748;62223.768034
2007-07-04;316.0;64.37;13719157.0;64442.788584;63834.837748;63561.259872;65962.665673;64777.161544
2007-07-05;100.0;59.57;12269698.0;62345.358201;62922.911495;60795.08357;64442.788584;62618.936077
2007-07-06;94.0;28.09;5817980.0;63530.86233;62375.755742;62314.960659;63834.837748;62953.309036
2007-07-10;100.0;27.09;5565407.0;62010.985241;63834.837748;59913.554858;64138.813166;62436.550826
2007-07-11;90.0;38.16;7664425.0;61707.009823;62618.936077;60187.132734;62618.936077;61038.263904
2007-07-12;164.0;147.38;30338557.0;63470.067247;62770.923786;61707.009823;63834.837748;62588.538535
2007-07-13;142.0;80.36;16851491.0;64442.788584;63530.86233;62314.960659;66114.653382;63743.645123
2007-07-16;74.0;24.3;5093037.0;63530.86233;64138.813166;63014.10412;64138.813166;63713.247581
2007-07-17;186.0;71.55;14986696.0;65202.727129;63682.850039;62314.960659;65293.919754;63682.850039
2007-07-18;301.0;178.5;38799843.0;66874.591927;65354.714837;64442.788584;67634.530471;66084.25584
2007-07-19;264.0;71.87;16337364.0;69914.346105;67634.530471;67482.542762;70674.28465;69093.612477
2007-07-20;207.0;56.88;12918719.0;70522.296941;70643.887108;68090.493598;70674.28465;69032.817393
2007-07-23;99.0;36.47;8538782.0;72042.17403;69914.346105;69336.792811;72042.17403;71160.645318
2007-07-24;113.0;49.68;11595710.0;69914.346105;72194.161739;69306.39527;72194.161739;70947.862526
2007-07-25;108.0;20.83;4711585.0;68485.661641;71859.788779;67634.530471;71859.788779;68759.239517
2007-07-26;172.0;85.68;18226372.0;65050.73942;66874.591927;61707.009823;66874.591927;64655.571376
2007-07-27;88.0;10.15;2187839.0;64716.36646;66874.591927;63865.23529;68090.493598;65537.100088
2007-07-30;123.0;33.33;6998039.0;63834.837748;66874.591927;62618.936077;67938.505889;63834.837748
2007-07-31;92.0;12.88;2685108.0;63226.886912;66570.616509;62314.960659;66570.616509;63378.874621
2007-08-01;248.0;77.7;15121225.0;60795.08357;62284.563117;57755.329391;63226.886912;59153.616313
2007-08-02;103.0;42.63;8274183.0;58636.858103;61676.612282;58636.858103;62010.985241;59001.628604
2007-08-03;102.0;36.82;6825183.0;56265.849844;59548.784357;55931.476884;60156.735192;56357.042469
2007-08-06;192.0;75.19;13662406.0;59275.206481;56265.849844;53955.636668;59275.206481;55232.333423
2007-08-07;105.0;53.1;10098465.0;58819.243354;59275.206481;57147.378556;59275.206481;57816.124475
2007-08-08;190.0;36.85;7268725.0;58940.833521;58363.280227;58363.280227;61403.034405;59974.349942
2007-08-09;97.0;67.79;13012144.0;58363.280227;59275.206481;57907.3171;59275.206481;58332.882685
2007-08-10;70.0;22.2;4258077.0;60795.08357;55475.513757;55475.513757;60795.08357;58302.485143
2007-08-13;64.0;36.23;7226733.0;60643.095861;62314.960659;59579.181898;62314.960659;60643.095861
2007-08-14;21.0;4.86;962043.0;60491.108152;60795.08357;59275.206481;62132.575408;60187.132734
2007-08-15;74.0;8.92;1700415.0;57420.956432;59275.206481;56843.403138;60460.71061;57937.714642
2007-08-16;197.0;121.86;20308675.0;51675.821034;53955.636668;44106.83313;54715.575213;50672.702155
