Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2006-04-26;0.0;0.0;0.0;5.96489159;5.96489159;5.96489159;5.96489159;5.96489159
2006-04-27;8137.0;9415373.0;143802374.0;6.3157675659;6.649099743;6.3157675659;6.6666435418;6.4841880343
2006-04-28;1918.0;1501610.0;22048177.0;6.140329578;6.3789252416;6.140329578;6.3859427611;6.2350660914
2006-05-02;1427.0;2592546.0;37229146.0;6.140329578;6.0069967071;5.96489159;6.3157675659;6.0982244608
2006-05-03;658.0;1146596.0;16461092.0;5.96489159;6.0701543828;5.96489159;6.2455923707;6.0947157011
2006-05-04;545.0;2457510.0;34552165.0;5.8947163948;5.96489159;5.8947163948;6.1052419804;5.9684003498
2006-05-05;878.0;732534.0;10457327.0;6.1754171755;5.8982251546;5.8982251546;6.2105047731;6.0596281035
2006-05-08;546.0;627385.0;9171547.0;6.2841887281;6.1754171755;6.1052419804;6.2982237671;6.2069960134
2006-05-09;358.0;582252.0;8475691.0;6.1227857792;6.2455923707;6.0034879474;6.2806799683;6.1789259353
2006-05-10;269.0;91839.0;1311596.0;6.0631368633;6.1087507401;6.0350667852;6.140329578;6.0631368633
2006-05-11;257.0;1159301.0;16314873.0;5.96489159;6.0175229864;5.9333127522;6.1157682596;5.9754178693
2006-05-12;206.0;717893.0;9888249.0;5.9298039924;5.96489159;5.7999798813;5.96489159;5.849102518
2006-05-15;236.0;642147.0;8884809.0;5.8245411997;5.9298039924;5.8069974009;5.9578740705;5.8736638363
2006-05-16;373.0;1962983.0;27657154.0;5.9298039924;5.8947163948;5.8947163948;6.0491018242;5.9824353888
2006-05-17;139.0;264506.0;3657829.0;5.8596287972;5.8280499594;5.7929623618;5.96489159;5.8701550765
2006-05-18;100.0;380666.0;5160568.0;5.7894536021;5.7964711216;5.6491032117;5.8245411997;5.7543660045
2006-05-19;86.0;916454.0;12458760.0;5.7894536021;5.7929623618;5.6140156141;5.7929623618;5.7719098033
2006-05-22;253.0;1471602.0;18747377.0;5.4034900286;5.6140156141;5.2631396382;5.6666470105;5.4069987884
2006-05-23;143.0;653037.0;8323174.0;5.3333148334;5.4736652238;5.2631396382;5.5403316592;5.4105075481
2006-05-24;245.0;1360524.0;16505190.0;5.1403330467;5.3333148334;4.94735126;5.3333148334;5.150859326
2006-05-25;185.0;777667.0;9531146.0;5.2631396382;5.1929644431;5.0841928905;5.3333148334;5.2034907223
2006-05-26;187.0;786863.0;9691051.0;5.4350688664;5.4210338274;5.0912104101;5.5403316592;5.2280520407
2006-05-29;181.0;128744.0;1652545.0;5.6140156141;5.368402431;5.2631396382;5.6140156141;5.4491039055
2006-05-30;131.0;318351.0;3945722.0;5.2631396382;5.3368235932;5.1578768455;5.4385776262;5.2631396382
2006-05-31;95.0;364694.0;4422684.0;5.1227892479;5.2596308785;5.1087542089;5.3333148334;5.1473505662
2006-06-01;235.0;708818.0;8258831.0;4.94735126;5.1227892479;4.8070008696;5.1894556833;4.94735126
2006-06-02;258.0;336864.0;3878195.0;4.771913272;4.9824388575;4.7684045122;5.1894556833;4.887702344
2006-06-05;127.0;101519.0;1127554.0;4.6912117976;4.8070008696;4.5964752841;4.8385797074;4.7157731159
2006-06-06;386.0;328152.0;3680612.0;4.8947198636;4.684194278;4.5648964462;4.8947198636;4.7613869927
2006-06-07;78.0;104181.0;1191897.0;4.8070008696;4.9824388575;4.7403344342;5.0315614942;4.8561235062
2006-06-08;110.0;61226.0;670694.0;4.8912111038;4.5613876865;4.3859496985;4.8912111038;4.6491066805
2006-06-09;129.0;247687.0;2774292.0;4.6070015633;4.7999833501;4.5999840438;4.7999833501;4.7543694732
2006-06-12;95.0;177265.0;1855082.0;4.3473533412;4.6070015633;4.3157745034;4.6070015633;4.4420898547
2006-06-13;155.0;113740.0;1121303.0;4.1648978337;4.3122657436;3.9648985275;4.4034934973;4.1859503923
2006-06-14;217.0;749111.0;7555024.0;4.2105117106;4.2105117106;4.1403365154;4.4210372961;4.2806869058
2006-06-16;161.0;277816.0;2943789.0;4.859632266;4.554370167;4.4210372961;4.859632266;4.4982300108
2006-06-19;79.0;167343.0;1844601.0;4.6666504792;4.9122636624;4.4912124913;4.9122636624;4.6806855183
2006-06-20;78.0;629321.0;6778860.0;4.7017380768;4.5438438877;4.5298088487;4.7017380768;4.5719139658
2006-06-21;68.0;148225.0;1644012.0;4.7368256744;4.7122643561;4.5648964462;4.7368256744;4.7087555963
2006-06-22;44.0;83732.0;926545.0;4.7543694732;4.6666504792;4.6666504792;4.7543694732;4.6982293171
2006-06-23;32.0;43681.0;485666.0;4.8350709477;4.7017380768;4.684194278;4.8350709477;4.7192818756
2006-06-26;34.0;87967.0;973424.0;4.6631417195;4.7017380768;4.6631417195;4.7017380768;4.6982293171
2006-06-27;36.0;196020.0;2106565.0;4.554370167;4.6666504792;4.4736686925;4.6666504792;4.5613876865
2006-06-28;71.0;250954.0;2693523.0;4.5613876865;4.554370167;4.4912124913;4.5613876865;4.5578789267
2006-06-29;121.0;153549.0;1659561.0;4.859632266;4.5263000889;4.4596336535;4.8771760648;4.5894577646
2006-06-30;88.0;41866.0;482053.0;4.9122636624;4.859632266;4.771913272;4.9157724221;4.887702344
2006-07-03;59.0;60742.0;711814.0;5.0350702539;4.9122636624;4.9122636624;5.0841928905;4.975421338
2006-07-04;26.0;17545.0;204990.0;4.9122636624;4.9122636624;4.9122636624;4.9824388575;4.961386299
2006-07-05;41.0;132495.0;1482596.0;4.9824388575;4.771913272;4.7368256744;5.0140176954;4.7508607135
2006-07-06;128.0;698049.0;8233233.0;4.9999826563;4.9824388575;4.9789300978;5.1227892479;5.0070001759
2006-07-07;55.0;81554.0;943974.0;4.9122636624;4.9122636624;4.9087549026;5.0175264551;4.9157724221
2006-07-10;13.0;8349.0;97920.0;4.9122636624;4.9999826563;4.9122636624;4.9999826563;4.9789300978
2006-07-11;90.0;344003.0;4011409.0;5.1157717284;4.9122636624;4.8245446684;5.1157717284;4.9508600197
2006-07-12;20.0;94259.0;1113306.0;4.9648950587;5.1157717284;4.94735126;5.1157717284;5.0140176954
2006-07-13;69.0;112046.0;1286311.0;4.859632266;4.9122636624;4.8420884672;4.9262987014;4.873667305
2006-07-14;49.0;266684.0;3084924.0;4.9122636624;4.8420884672;4.8420884672;4.9157724221;4.9122636624
2006-07-17;16.0;11253.0;130050.0;4.8771760648;4.9648950587;4.7368256744;4.9648950587;4.9052461428
2006-07-18;62.0;226754.0;2619641.0;4.9122636624;4.9122636624;4.8420884672;4.9192811819;4.9052461428
2006-07-19;75.0;70785.0;815216.0;5.1599742565;4.9513118294;4.7744792641;5.1635109078;4.9300919216
2006-07-20;31.0;258698.0;3066788.0;5.0185082043;5.0927778817;4.9513118294;5.1635109078;5.0715579739
2006-07-21;33.0;232683.0;2681210.0;4.9513118294;5.0185082043;4.8805788033;5.0185082043;4.9300919216
2006-07-24;53.0;170610.0;1978368.0;4.968995086;4.9513118294;4.9513118294;5.0220448556;4.9619217834
2006-07-25;87.0;86515.0;1024592.0;5.1953407696;4.968995086;4.968995086;5.1953407696;5.0680213226
2006-07-26;95.0;248655.0;2962227.0;5.1104611382;5.1635109078;5.0397281121;5.3049769601;5.096314533
2006-07-27;37.0;46464.0;548609.0;5.0220448556;5.1281443948;4.9972882964;5.1281443948;5.0538747173
2006-07-28;34.0;204974.0;2376946.0;5.004361599;4.9513118294;4.9336285729;5.0538747173;4.9619217834
2006-07-31;35.0;219736.0;2542475.0;4.9513118294;4.9513118294;4.9017987111;5.0361914608;4.9513118294
2006-08-01;68.0;185735.0;2147543.0;4.9159453164;4.9548484807;4.8452122902;4.9548484807;4.9477751781
