Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2008-04-28;0.0;0.0;0.0;95.729491748;95.729491748;95.729491748;95.729491748;95.729491748
2008-04-29;647.0;166044.64286;17904220.0;76.583593398;85.092881554;76.583593398;85.092881554;81.97280923
2008-04-30;226.0;49382.142857;5054001.0;80.12913013;78.001808091;75.165378706;80.12913013;77.718165152
2008-05-02;174.0;19066.071429;2148182.0;96.438599094;80.12913013;80.12913013;96.438599094;85.660167431
2008-05-05;104.0;7221.4285714;908164.0;95.729491748;96.438599094;90.056632978;96.438599094;95.587670279
2008-05-06;28.0;1060.7142857;130329.0;92.183955016;95.020384402;91.616669139;95.729491748;93.318526771
2008-05-07;35.0;6133.9285714;722501.0;89.205704162;94.311277055;86.794739185;94.311277055;89.489347101
2008-05-08;31.0;883.92857143;102125.0;87.929310939;89.205704162;86.227453308;92.042133547;87.78748947
2008-05-09;37.0;23887.5;2655123.0;86.511096246;86.511096246;81.121880415;86.511096246;84.383774207
2008-05-12;42.0;3964.2857143;437174.0;85.092881554;83.674666861;81.97280923;85.092881554;83.81648833
2008-05-13;17.0;610.71428571;67986.0;85.092881554;82.965559515;82.398273638;85.943810369;84.525595677
2008-05-14;12.0;262.5;28687.0;82.965559515;83.107380984;82.965559515;83.107380984;82.965559515
2008-05-15;21.0;776.78571429;87342.0;87.078382123;83.107380984;83.107380984;87.929310939;85.376524492
2008-05-16;31.0;975.0;114092.0;87.929310939;81.547344822;81.547344822;91.47484767;88.922061224
2008-05-19;25.0;2946.4285714;339132.0;87.929310939;86.511096246;85.8019889;90.056632978;87.503846531
2008-05-20;13.0;626.78571429;72596.0;87.929310939;85.234703023;85.234703023;88.638418285;87.929310939
2008-05-21;6.0;514.28571429;59427.0;87.645668;87.78748947;87.645668;87.929310939;87.78748947
2008-05-23;46.0;13103.571428;1484890.0;85.092881554;87.645668;85.092881554;87.929310939;86.085631838
2008-05-26;14.0;433.92857143;49601.0;88.638418285;84.951060084;84.667417146;88.638418285;86.794739185
2008-05-27;18.0;6064.2857143;706871.0;88.638418285;88.354775347;88.212953877;88.638418285;88.496596816
2008-05-28;49.0;11335.714285;1357572.0;94.311277055;88.638418285;88.638418285;94.311277055;91.049383262
2008-05-29;10.0;3241.0714286;398925.0;93.602169709;94.311277055;92.893062363;94.311277055;93.46034824
2008-05-30;13.0;498.21428571;60532.0;94.169455586;92.183955016;92.042133547;95.729491748;92.325776486
2008-06-03;3.0;26.785714286;3134.0;89.205704162;89.347525631;88.638418285;89.347525631;88.922061224
2008-06-04;10.0;139.28571429;15810.0;86.511096246;89.347525631;85.234703023;89.347525631;86.227453308
2008-06-05;11.0;133.92857143;15398.0;87.220203593;86.511096246;86.085631838;92.042133547;87.362025062
2008-06-06;6.0;337.5;37846.0;85.092881554;87.220203593;85.092881554;87.220203593;85.234703023
2008-06-10;8.0;1864.2857143;208805.0;85.092881554;85.092881554;85.092881554;85.8019889;85.092881554
2008-06-11;1.0;80.357142857;9000.0;85.092881554;85.092881554;85.092881554;85.092881554;85.092881554
2008-06-12;5.0;535.71428571;60000.0;85.092881554;85.092881554;85.092881554;85.092881554;85.092881554
2008-06-13;1.0;5.3571428571;600.0;85.092881554;85.092881554;85.092881554;85.092881554;85.092881554
2008-06-17;2.0;42.857142857;4800.0;85.092881554;85.092881554;85.092881554;85.092881554;85.092881554
2008-06-18;1.0;21.428571429;2400.0;85.092881554;85.092881554;85.092881554;85.092881554;85.092881554
2008-06-19;5.0;75.0;8400.0;85.092881554;85.092881554;85.092881554;85.092881554;85.092881554
2008-06-20;3.0;8035.7142857;900000.0;85.092881554;85.092881554;85.092881554;85.092881554;85.092881554
2008-06-23;5.0;6589.2857143;738000.0;85.092881554;85.092881554;85.092881554;85.092881554;85.092881554
2008-06-24;2.0;117.85714285;12872.0;82.965559515;83.107380984;82.965559515;83.107380984;82.965559515
2008-06-25;17.0;17641.071429;1927190.0;82.256452169;85.092881554;80.12913013;85.092881554;82.965559515
2008-06-26;2.0;883.92857143;94875.0;81.547344822;81.547344822;81.547344822;81.547344822;81.547344822
2008-06-30;2.0;10.714285714;1160.0;80.838237476;83.674666861;80.838237476;83.674666861;82.256452169
2008-07-01;6.0;160.71428571;16878.0;78.001808091;81.547344822;78.001808091;81.547344822;79.845487191
2008-07-02;25.0;1880.3571429;178346.0;66.65609055;78.001808091;66.65609055;78.001808091;72.045306382
2008-07-03;14.0;648.21428571;56422.0;69.492519935;66.65609055;63.819661165;69.492519935;66.088804673
2008-07-04;1.0;5.3571428571;490.0;69.492519935;69.492519935;69.492519935;69.492519935;69.492519935
2008-07-07;2.0;107.14285714;9800.0;69.492519935;69.492519935;69.492519935;69.492519935;69.492519935
2008-07-08;11.0;14480.357142;1351168.0;73.463521075;69.492519935;69.492519935;73.747164013;70.910734628
2008-07-11;1.0;5.3571428571;480.0;68.074305243;68.074305243;68.074305243;68.074305243;68.074305243
2008-07-16;3.0;75.0;6875.0;67.932483774;69.776162874;67.932483774;69.776162874;69.634341405
2008-07-21;1.0;5.3571428571;485.0;68.783412589;68.783412589;68.783412589;68.783412589;68.783412589
2008-07-22;9.0;3717.8571429;324098.0;66.230626143;66.230626143;66.230626143;66.230626143;66.230626143
2008-07-23;3.0;8035.7142857;700500.0;66.230626143;66.230626143;66.230626143;66.230626143;66.230626143
2008-07-24;1.0;21.428571429;1868.0;66.230626143;66.230626143;66.230626143;66.230626143;66.230626143
2008-07-25;1.0;5.3571428571;499.0;70.768913159;70.768913159;70.768913159;70.768913159;70.768913159
2008-07-28;1.0;5.3571428571;500.0;70.910734628;70.910734628;70.910734628;70.910734628;70.910734628
2008-07-30;3.0;819.64285714;76315.0;67.365197897;70.768913159;67.365197897;70.768913159;70.768913159
2008-08-01;8.0;176.78571429;14885.0;63.819661165;66.230626143;63.819661165;66.230626143;63.961482635
2008-08-04;2.0;32.142857143;2710.0;63.819661165;64.528768512;63.819661165;64.528768512;64.103304104
2008-08-05;4.0;107.14285714;9060.0;68.074305243;63.819661165;63.819661165;68.074305243;64.245125573
2008-08-06;6.0;13928.571428;1188114.0;68.216126712;65.946983204;64.670589981;68.216126712;64.81241145
2008-08-07;2.0;160.71428571;14400.0;68.074305243;68.074305243;68.074305243;68.074305243;68.074305243
2008-08-08;3.0;101.78571428;8959.0;66.79791202;66.79791202;66.79791202;68.216126712;66.939733489
2008-08-11;1.0;267.85714286;23750.0;67.365197897;67.365197897;67.365197897;67.365197897;67.365197897
2008-08-14;2.0;21.428571429;1860.0;65.946983204;65.946983204;65.946983204;65.946983204;65.946983204
2008-08-18;1.0;267.85714286;23500.0;66.65609055;66.65609055;66.65609055;66.65609055;66.65609055
2008-08-20;2.0;10.714285714;900.0;63.819661165;63.819661165;63.819661165;63.819661165;63.819661165
2008-08-21;3.0;16.071428571;1365.0;64.528768512;64.528768512;64.528768512;64.528768512;64.528768512
2008-08-22;4.0;364.28571429;30603.0;63.819661165;63.819661165;63.819661165;63.961482635;63.819661165
2008-08-26;6.0;1526.7857143;128350.0;63.961482635;63.961482635;63.819661165;63.961482635;63.819661165
2008-08-27;4.0;385.71428571;32470.0;65.237875858;63.961482635;63.819661165;65.237875858;63.961482635
2008-08-28;2.0;42.857142857;3630.0;63.819661165;65.237875858;63.819661165;65.237875858;64.386947042
2008-08-29;2.0;21.428571429;1813.0;63.961482635;65.237875858;63.961482635;65.237875858;64.245125573
2008-09-01;2.0;16.071428571;1350.0;63.819661165;63.819661165;63.819661165;63.819661165;63.819661165
2008-09-03;1.0;21.428571429;1800.0;63.819661165;63.819661165;63.819661165;63.819661165;63.819661165
2008-09-04;2.0;26.785714286;2250.0;63.819661165;63.819661165;63.819661165;63.819661165;63.819661165
2008-09-05;1.0;21.428571429;1800.0;63.819661165;63.819661165;63.819661165;63.819661165;63.819661165
2008-09-09;2.0;21.428571429;1800.0;63.819661165;63.819661165;63.819661165;63.819661165;63.819661165
2008-09-10;3.0;42.857142857;3600.0;63.819661165;63.819661165;63.819661165;63.819661165;63.819661165
2008-09-11;3.0;80.357142857;6750.0;63.819661165;63.819661165;63.819661165;63.819661165;63.819661165
2008-09-12;1.0;21.428571429;1800.0;63.819661165;63.819661165;63.819661165;63.819661165;63.819661165
2008-09-15;7.0;171.42857143;14678.0;65.237875858;63.819661165;63.819661165;65.379697327;65.096054388
2008-09-16;1.0;21.428571429;1880.0;66.65609055;66.65609055;66.65609055;66.65609055;66.65609055
2008-09-17;3.0;139.28571429;11700.0;63.819661165;63.819661165;63.819661165;63.819661165;63.819661165
2008-09-18;3.0;26.785714286;2250.0;63.819661165;63.819661165;63.819661165;63.819661165;63.819661165
2008-09-23;3.0;91.071428571;7653.0;63.819661165;63.961482635;63.819661165;63.961482635;63.819661165
2008-09-24;6.0;1071.4285714;90000.0;63.819661165;63.819661165;63.819661165;63.819661165;63.819661165
2008-09-25;8.0;642.85714286;54000.0;63.819661165;63.819661165;63.819661165;63.819661165;63.819661165
2008-09-30;11.0;5442.8571429;406470.0;57.437695049;60.274124434;56.019480356;60.274124434;56.728587702
2008-10-02;8.0;3450.0;248395.0;54.601265664;56.728587702;54.601265664;56.728587702;54.743087133
2008-10-03;6.0;6975.0;491250.0;53.183050971;54.601265664;53.183050971;54.601265664;53.46669391
2008-10-06;8.0;13151.785714;874299.0;49.63751424;50.488443055;49.63751424;53.183050971;50.488443055
2008-10-07;7.0;15610.714285;1017680.0;47.510192201;49.63751424;47.510192201;49.63751424;49.49569277
2008-10-08;3.0;58.928571429;3751.0;48.361121016;48.361121016;48.361121016;48.361121016;48.361121016
2008-10-09;1.0;5.3571428571;345.0;48.928406893;48.928406893;48.928406893;48.928406893;48.928406893
2008-10-14;2.0;20839.285714;1342086.0;54.033979787;48.928406893;48.928406893;54.033979787;48.928406893
2008-10-15;3.0;42.857142857;3120.0;55.31037301;55.31037301;55.31037301;55.31037301;55.31037301
2008-10-16;2.0;10.714285714;795.0;56.728587702;56.019480356;56.019480356;56.728587702;56.444944764
2008-10-20;4.0;128.57142857;8760.0;56.728587702;50.772085994;50.772085994;56.728587702;51.764836279
2008-10-21;13.0;5753.5714286;429508.0;56.728587702;56.019480356;50.913907463;56.728587702;56.728587702
2008-10-22;1.0;10.714285714;800.0;56.728587702;56.728587702;56.728587702;56.728587702;56.728587702
2008-10-23;3.0;2689.2857143;180258.0;56.586766233;50.913907463;50.913907463;56.586766233;50.913907463
2008-10-28;1.0;10.714285714;800.0;56.728587702;56.728587702;56.728587702;56.728587702;56.728587702
2008-10-29;2.0;32.142857143;2404.0;56.728587702;56.870409172;56.728587702;56.870409172;56.870409172
2008-10-30;1.0;26.785714286;2000.0;56.728587702;56.728587702;56.728587702;56.728587702;56.728587702
2008-10-31;6.0;32.142857143;2224.0;56.586766233;51.764836279;51.764836279;56.586766233;52.615765094
2008-11-07;6.0;1746.4285714;114402.0;49.49569277;49.779335709;49.49569277;49.779335709;49.779335709
2008-11-10;2.0;26.785714286;1770.0;51.055728932;49.63751424;49.63751424;51.055728932;50.204800117
2008-11-11;3.0;21.428571429;1429.0;50.346621586;51.055728932;50.346621586;51.055728932;50.630264524
2008-11-13;2.0;21.428571429;1559.0;53.041229502;56.019480356;53.041229502;56.019480356;55.31037301
2008-11-14;1.0;5.3571428571;385.0;54.601265664;54.601265664;54.601265664;54.601265664;54.601265664
2008-11-17;1.0;5.3571428571;394.0;55.877658887;55.877658887;55.877658887;55.877658887;55.877658887
2008-11-18;2.0;10.714285714;718.0;54.601265664;47.226549262;47.226549262;54.601265664;50.913907463
2008-11-21;16.0;1408.9285714;80008.0;45.524691631;42.546440777;42.546440777;45.80833457;43.113726654
2008-11-24;10.0;2196.4285714;123049.0;42.546440777;49.49569277;42.546440777;49.49569277;42.546440777
2008-11-25;3.0;16.071428571;910.0;43.255548123;42.546440777;42.546440777;43.255548123;42.971905185
2008-11-26;26.0;1366.0714286;69524.0;42.546440777;42.546440777;35.455367314;45.950156039;38.717261107
2008-11-28;10.0;787.5;39259.0;42.546440777;36.16447466;36.16447466;45.241048693;37.866332291
2008-12-01;11.0;118371.42857;5640472.0;47.935656609;49.353871301;36.16447466;49.353871301;36.16447466
2008-12-03;1.0;37.5;2366.0;47.935656609;47.935656609;47.935656609;47.935656609;47.935656609
2008-12-08;7.0;37.5;2246.0;48.077478078;42.546440777;42.546440777;48.077478078;45.524691631
2008-12-11;5.0;396.42857143;23301.0;48.077478078;44.531941346;44.531941346;48.077478078;44.673762816
2008-12-15;5.0;257.14285714;15801.0;48.361121016;45.382870162;45.382870162;48.361121016;46.659263385
2008-12-16;6.0;69.642857143;4328.0;49.070228363;44.531941346;44.531941346;49.353871301;47.226549262
2008-12-18;5.0;58.928571429;3654.0;49.212049832;44.815584285;44.673762816;49.212049832;47.084727793
2008-12-22;4.0;21.428571429;1499.0;53.183050971;55.168551541;51.055728932;55.168551541;53.183050971
2008-12-23;1.0;5.3571428571;380.0;53.892158317;53.892158317;53.892158317;53.892158317;53.892158317
2008-12-29;1.0;16.071428571;1050.0;49.63751424;49.63751424;49.63751424;49.63751424;49.63751424
2008-12-30;5.0;112.5;7332.0;49.63751424;53.608515379;43.113726654;53.608515379;49.49569277
2009-01-02;2.0;10.714285714;754.0;53.46669391;53.46669391;53.46669391;53.46669391;53.46669391
2009-01-05;1.0;5.3571428571;378.0;53.608515379;53.608515379;53.608515379;53.608515379;53.608515379
2009-01-06;1.0;10.714285714;756.0;53.608515379;53.608515379;53.608515379;53.608515379;53.608515379
2009-01-09;2.0;16.071428571;1156.0;56.728587702;53.608515379;53.608515379;56.728587702;54.601265664
2009-01-14;4.0;37.5;2478.0;53.183050971;49.779335709;49.63751424;53.183050971;50.204800117
2009-01-22;4.0;64.285714286;4080.0;49.63751424;47.510192201;47.510192201;49.63751424;48.219299547
2009-01-23;12.0;80.357142857;4929.0;48.786585424;48.219299547;43.964655469;49.49569277;46.659263385
2009-01-26;1.0;5.3571428571;397.0;56.303123295;56.303123295;56.303123295;56.303123295;56.303123295
2009-01-28;14.0;3996.4285714;240607.0;45.382870162;45.80833457;45.382870162;45.80833457;45.80833457
2009-01-29;6.0;69.642857143;4228.0;50.062978647;49.63751424;45.382870162;50.062978647;46.091977508
2009-01-30;3.0;37.5;2413.0;48.644763955;49.63751424;48.219299547;49.63751424;48.928406893
2009-02-02;2.0;21.428571429;1367.0;48.502942486;48.361121016;48.361121016;48.502942486;48.502942486
2009-02-04;17.0;1039.2857143;60168.0;43.964655469;44.248298408;43.964655469;44.248298408;43.964655469
2009-02-05;9.0;192.85714286;10690.0;43.964655469;43.964655469;41.128226084;43.964655469;42.120976369
2009-02-06;2.0;10.714285714;652.0;46.233798977;46.233798977;46.233798977;46.233798977;46.233798977
2009-02-09;1.0;21.428571429;1300.0;46.091977508;46.091977508;46.091977508;46.091977508;46.091977508
2009-02-10;3.0;101.78571428;6259.0;46.801084855;46.091977508;46.091977508;46.801084855;46.659263385
2009-02-13;1.0;5.3571428571;334.0;47.368370732;47.368370732;47.368370732;47.368370732;47.368370732
2009-02-16;4.0;21.428571429;1362.0;48.502942486;47.65201367;47.65201367;48.502942486;48.361121016
2009-02-17;9.0;96.428571429;5680.0;46.801084855;43.113726654;43.113726654;46.801084855;44.815584285
2009-02-26;24.0;353.57142857;19844.0;42.546440777;42.546440777;42.546440777;44.531941346;42.688262246
2009-02-27;62.0;9546.4285714;489904.0;42.546440777;42.546440777;38.291796699;43.822834;39.000904045
2009-03-02;1.0;5.3571428571;318.0;45.099227223;45.099227223;45.099227223;45.099227223;45.099227223
